title,date,tags,article
日銀総裁、黒田氏続投の方向　５年の任期超えは異例,2018年2月10日00時38分,"経済,金融・財政,政治,国政,経済政策,有料記事",安倍政権は、日本銀行の黒田東彦（はるひこ）総裁（７３）を４月８日の任期満了後も続投させる方向で最終調整に入った。安倍晋三首相の経済政策「アベノミクス」の中核の異次元緩和を推進した実績に加え、現在の金融政策を熟知し、経済情勢の変化に対応できる能力を評価。緩和路線を続けて景気拡大を維持するには適任と判断した。総裁が５年の任期を超えて続投するのは異例。特集：日銀・黒田緩和政権は今後副総裁２人の人事で詰めの調整を行い、近く国会に正副総裁の人事案を提示する。衆参両院での同意を経て正式決定する。任期は２０２３年までの５年間。総裁を５年以上務めるのは１９５６～６４年に務めた山際正道氏以来、約６０年ぶりとなる。政権は黒田氏を続投させ、大規模緩和路線の継続の意思を内外に示す。１９年１０月に予定される消費増税などを控え、好調な景気をできるだけ持続させる。最近は米国発の株価急落で景気への不安感も出ていることもあり、早期に金融政策の司令塔を固め、景気対応を万全にする狙いもあるとみられる。黒田氏は財務省財務官、アジア開発銀行（ＡＤＢ）総裁を経て１３年３月、前年末政権交代を果たした安倍首相のもとで総裁に任命された。途中退任した白川方明（まさあき）前総裁の残り任期を引き継ぎ、同４月に再任された。同４月に異次元緩和を開始し、かつてない規模で市場にお金を流し込んだ。「物価上昇率２％を２年程度で実現する」と公約。円安と株高が進んで物価上昇率は１４年春に１％台半ばに達したがその後低迷し、「２％」の達成時期は６度も先送りした。マイナス金利は年金や保険の運用悪化を招き、１６年秋には、市場に流すお金の「量」から「金利操作」に政策の軸足を移した。物価目標は達成できていないが景気は堅調で、安倍首相は最近も黒田氏の「手腕を信頼している」と明言。麻生太郎財務相や菅義偉官房長官らも黒田氏続投を支持していた。金融市場でも安定感がある黒田氏支持の声が多く、続投につながった。最近の景気改善は、米国など海外での景気拡大の効果が大きい。国内では将来不安で消費の勢いはまだ鈍く、低金利で銀行の収益が悪化し、貸し出し減につながりかねない。緩和で国債や上場投資信託（ＥＴＦ）を大量に買い、市場機能が低下することへの懸念も強い。米欧の中央銀行はすでに緩和縮小に向かっており、黒田氏が次の任期で異次元緩和をどのように修正するかが今後の焦点となる。
農産物・食品輸出、５年連続過去最高　目標達成には課題,2018年2月9日20時05分,"経済,産業・商品,政治,国政,経済政策,有料記事",日本から２０１７年に輸出した農林水産物と食品は前年より７・６％多い８０７３億円（速報値）で、５年連続で過去最高を更新した。政府が掲げる「１９年に１兆円」という目標にはなお開きがある。農林水産省が９日発表した。内訳は水産物が４・２％増の２７５０億円、加工食品が１１・９％増の２６３６億円、農産物（加工食品を除く）が４・２％増の２３３２億円、林産物が３２・３％増の３５５億円。輸出先は香港、米国、中国、台湾、韓国が上位を占めた。日本食レストランの増加なども追い風になり、品目別では牛肉が４１・４％増の１９２億円、緑茶が２４・３％増の１４４億円、日本酒が１９・９％増の１８７億円など。農水省が力を入れるコメは３２億円と規模は小さいが、１８・１％伸びた。一方、以前から主力の輸出品であるホタテ（調整品含む）は過去の天候被害の影響が残り、１７・７％減の５５７億円。リンゴは台湾で人気の大玉が少なかったことなどから１７・７％減の１０９億円だった。食品は国や地域によって検疫を理由に持ち込めない品目が少なくない。年１兆円の目標達成には、各国に輸入検疫の緩和を促すなど、政府の取り組みも欠かせない。日本との経済連携協定に合意した欧州連合（ＥＵ）には現在、豚肉、鶏肉、鶏卵、乳製品などが持ち込めず、解禁に向けた手続きを進めている。東アジア諸国や米国などでは、福島原発事故後に設けた輸入規制が今も続く。（山村哲史）
基礎的財政収支、２０年度の赤字幅拡大　財政の悪化進む,2018年1月24日05時01分,"経済,金融・財政,政治,国政,経済政策",内閣府は２３日、国の財政見通しを示す最新の試算を公表した。財政再建の指標として政府が２０２０年度の黒字化を目指していた国と地方の基礎的財政収支（プライマリーバランス＝ＰＢ）は、高成長を見込んでも２０年度の赤字幅が１０・８兆円に拡大。安倍晋三首相が昨年秋に決めた消費税収の使途拡大によって、財政の悪化が一段と進む。ＰＢは、黒字になると、社会保障や公共事業などの政策経費を借金以外の税収などで賄えることを示す指標で、内閣府が年２回、改定値を公表している。今回の試算では、１９年１０月の消費増税で得られる税収増のうち、借金返済に回すはずだった１・７兆円分を教育無償化などに使うとの安倍首相の方針を反映。生産性の伸びを見直すなどしたため、経済成長率も従来より引き下げられた。この結果、高い成長を見込んだ場合でも、２０年度のＰＢの赤字幅は、昨年７月の試算時の８・２兆円から２兆円超も拡大。高齢化で伸びる社会保障費などの歳出の抑制策を何も講じない場合、ＰＢが黒字になる時期は従来の試算の２５年度から２７年度へと２年遅れる見通しとなった。安倍首相は昨年９月に衆院解散を表明した時、消費税収の使途変更と合わせて、ＰＢを２０年度に黒字化する目標の断念を表明した。政府は今回の試算をもとに新たなＰＢの黒字化目標や達成に向けた歳出削減策などの計画を６月までにまとめ、「骨太の方針」に盛り込む方針だ。焦点は黒字化の時期を２７年度からどれだけ前倒しできるかだ。財政再建に本腰を入れ、黒字化の時期の大幅な前倒しを目指す場合、歳出の抑制を一段と進める必要がある。だが、政府・与党内には経済成長を優先し、さらなる歳出拡大を求める声も根強く、調整は難航しそうだ。（松浦祐子）
ＴＰＰ首席交渉官会合、東京で開幕　カナダの説得焦点,2018年1月22日18時09分,"政治,国政,経済政策,国際,アジア・太平洋",米国を除く環太平洋経済連携協定（ＴＰＰ）参加１１カ国の首席交渉官会合が２２日、東京都内で始まった。今回の会合で、日本は大筋合意後も残っていた懸案の話し合いを終わらせ、署名式の日程も決めたい考えだ。早期の署名に消極的なカナダを説得できるかがカギとなる。会合は２３日までの２日間。会合の冒頭で茂木敏充経済再生担当相は「今会合でＴＰＰの協定文を確定し、署名の候補日を決めたい。各国が（発効に向けた国内の）手続きを進めるためにも絶対に必要なことだ」と強調した。ＴＰＰは昨年１１月、米国の主導で協定に盛り込まれた２０項目について、米国が戻るまでの間は効力が生じないよう「凍結」することで合意。しかし、それ以外で４項目が継続協議となっていた。これまでの交渉で、このうち３項目は凍結などの方針が固まった。残る課題は、自国の文化保護を名目に、外国のオンラインコンテンツへの規制を認めるよう求めたカナダの要望だ。効力の凍結でなく、協定内容の修正にあたることから各国は反対している。日本はカナダに要求を取り下げるよう説得するが、カナダが強硬な姿勢を取り続ければ残る１０カ国での署名を検討する構えだ。（伊藤舞虹）
個人の自己破産、前年比６.４％増　カードローン影響か,2018年2月13日07時23分,"社会,経済,金融・財政",最高裁がまとめた２０１７年の個人の自己破産申立件数（速報値）は、前年比６・４％増の６万８７９１件で、２年連続で増えた。伸び率は１６年（１・２％増）から大幅に拡大した。自己破産は１６年から前年比増加に転じ、ペースが上がっている。ここ数年で貸し出しが急増した銀行カードローンの影響もあるとみられる。自己破産件数は０３年の約２４万件をピークに減り続けていたが、増加傾向がより鮮明になった。以前の自己破産減少は、消費者金融への規制強化の影響が大きかった。多重債務が社会問題となり、０６年に改正貸金業法が成立。１０年に完全施行された。利息制限法の上限（２０％）を超える「グレーゾーン金利」が撤廃され、年収の３分の１超の貸し出しが禁止された。その一方で、消費者金融と同じ業態なのに、規制対象外の銀行カードローンの貸出残高が急増した。１３年春からの４年間で１・６倍に膨らみ、消費者金融の残高も抜いた。日銀の統計では、１７年末の銀行カードローンの貸出残高は前年比５・７％増の５兆７４６０億円。年収を上回るお金を貸すケースもあり、自己破産が増える原因となっていると指摘されている。批判を受け、全国銀行協会は昨春、過剰融資の防止策を講じるよう会員銀行に求めた。昨秋には金融庁が大手行などに、カードローン業務に関する検査を行った。多くの銀行は貸出額を年収の２分の１以下に抑え、ＣＭは自主規制し始めている。（藤田知也）
日銀総裁、黒田氏続投の方向　５年の任期超えは異例,2018年2月10日00時38分,"経済,金融・財政,政治,国政,経済政策,有料記事",安倍政権は、日本銀行の黒田東彦（はるひこ）総裁（７３）を４月８日の任期満了後も続投させる方向で最終調整に入った。安倍晋三首相の経済政策「アベノミクス」の中核の異次元緩和を推進した実績に加え、現在の金融政策を熟知し、経済情勢の変化に対応できる能力を評価。緩和路線を続けて景気拡大を維持するには適任と判断した。総裁が５年の任期を超えて続投するのは異例。特集：日銀・黒田緩和政権は今後副総裁２人の人事で詰めの調整を行い、近く国会に正副総裁の人事案を提示する。衆参両院での同意を経て正式決定する。任期は２０２３年までの５年間。総裁を５年以上務めるのは１９５６～６４年に務めた山際正道氏以来、約６０年ぶりとなる。政権は黒田氏を続投させ、大規模緩和路線の継続の意思を内外に示す。１９年１０月に予定される消費増税などを控え、好調な景気をできるだけ持続させる。最近は米国発の株価急落で景気への不安感も出ていることもあり、早期に金融政策の司令塔を固め、景気対応を万全にする狙いもあるとみられる。黒田氏は財務省財務官、アジア開発銀行（ＡＤＢ）総裁を経て１３年３月、前年末政権交代を果たした安倍首相のもとで総裁に任命された。途中退任した白川方明（まさあき）前総裁の残り任期を引き継ぎ、同４月に再任された。同４月に異次元緩和を開始し、かつてない規模で市場にお金を流し込んだ。「物価上昇率２％を２年程度で実現する」と公約。円安と株高が進んで物価上昇率は１４年春に１％台半ばに達したがその後低迷し、「２％」の達成時期は６度も先送りした。マイナス金利は年金や保険の運用悪化を招き、１６年秋には、市場に流すお金の「量」から「金利操作」に政策の軸足を移した。物価目標は達成できていないが景気は堅調で、安倍首相は最近も黒田氏の「手腕を信頼している」と明言。麻生太郎財務相や菅義偉官房長官らも黒田氏続投を支持していた。金融市場でも安定感がある黒田氏支持の声が多く、続投につながった。最近の景気改善は、米国など海外での景気拡大の効果が大きい。国内では将来不安で消費の勢いはまだ鈍く、低金利で銀行の収益が悪化し、貸し出し減につながりかねない。緩和で国債や上場投資信託（ＥＴＦ）を大量に買い、市場機能が低下することへの懸念も強い。米欧の中央銀行はすでに緩和縮小に向かっており、黒田氏が次の任期で異次元緩和をどのように修正するかが今後の焦点となる。
コインチェック、日本円の出金１３日に再開へ,2018年2月9日23時14分,"経済,金融・財政,テック＆サイエンス,有料記事",仮想通貨交換業者「コインチェック」から５８０億円分の仮想通貨ＮＥＭ（ネム）が不正流出した問題で、同社は９日、顧客から預かっていた日本円の出金を１３日に再開すると発表した。ただ、仮想通貨の出金はできない。不正流出したＮＥＭの所有者への日本円での返金時期もまだ未定だ。特集：仮想通貨流出問題とは関係者によると、顧客からは日本円で少なくとも３００億円の出金依頼が来ている。顧客本人かを確認する手間がかかるため、実際にお金が届くまで時間がかかる可能性もある。出金できるようになるのは、顧客が仮想通貨と交換するために預けたお金や、仮想通貨を売って得たお金。１月２６日の問題発覚後、コインチェックからはすべての仮想通貨や日本円の出金ができなくなっていた。同社は外部の専門家に安全性をチェックしてもらい、金融庁に日本円の出金については了解を得た。同社は同庁から業務改善命令を受けており、１３日に改善計画を提出する。同社は１月３０日、出金の見通しを「数日中にも」示すとしていたが、これまで具体的な発表がなく、顧客からネット上で批判が出ていた。（榊原謙）
法人市民税の減税、１９年度廃止へ　名古屋市,2018年2月9日14時33分,"社会,経済,金融・財政,政治,地方政治",名古屋市の河村たかし市長は９日、看板政策「市民税５％減税」のうち、法人市民税分を２０１９年度に廃止すると発表した。国の法人実効税率引き下げを理由に挙げ、「減税を先導する役割は果たせた」と説明している。個人市民税の減税は続ける。市は減税の条例改正案を１９日開会の２月市議会に提案する。名古屋市の市民税収は１８年度当初予算案で２７９２億円。主に企業が納める法人市民税は２割強の６４７億円、個人市民税は８割弱の２１４６億円を見込む。市が法人市民税の減税をやめるのは、国が法人実効税率を段階的に引き下げているのが理由だ。市が５％減税を始める前年の１１年度は３９・５４％だったが、１８年度は２９・７４％に下がる。河村氏は会見で「国が圧倒的に下げたので、企業には理解いただきたい」と話した。法人税減税の廃止で生まれる財源は約３４億円。その半分を子ども支援などの重点政策に配分し、残りを新設する「企業寄付促進特例税制」に割り当てる。この税制は１９、２０年度の２年間限りで、ＮＰＯや社会福祉法人などに年間５千円以上寄付をした法人の市民税を減額する。減額幅は寄付額の６９％。河村氏は「努力しているＮＰＯにあったかいお金がいくよう、協力をお願いしたい」と寄付を呼びかけた。河村氏は０９年の市長選で市民税１０％減税を公約して初当選。１０％減税は議会の反対で１０年度限りになったが、その後の市議選で、河村氏が代表の地域政党・減税日本が第１会派に躍進。１２年度から５％減税が続いている。（諸星晃一）
欧米のサーバーから不正接続、ＮＥＭ流出の２～３日前,2018年2月8日21時01分,"社会,事件・事故・裁判,経済,金融・財政,テック＆サイエンス",仮想通貨交換業者「コインチェック」から顧客資産の仮想通貨ＮＥＭ（ネム）約５８０億円分が不正流出した問題で、流出の２～３日前、同社の社内ネットワークに欧米のサーバーから不正な接続が相次いでいたことが、捜査関係者への取材でわかった。警視庁は、海外の捜査当局などへの捜査協力依頼を始めており、発信元の特定を進める。捜査関係者によると、不正接続は、警視庁が同社から提供を受けた社内ネットワークへの通信記録の解析で判明した。不正接続はＮＥＭが流出した３日前の１月２３日ごろに始まり、２４日まで断続的に続いた。これまでの解析で、少なくとも欧米の１カ国のサーバーが発信元だったことが確認されたという。警視庁は、不正接続した何者かがＮＥＭの口座を操作するために必要な「暗号鍵」の情報を盗んだ疑いがあるとみている。警視庁は、海外のサーバー運営会社などに発信元のＩＰアドレスや接続記録などの情報を照会しているが、これまでの不正アクセス事件では、発信元の特定を困難にするために複数の国のサーバーを経由させる技術が悪用されているケースが多い。今回も実際の発信元は別の国の可能性もあるとみて、さらに詳しい解析を進める。
コインチェック以外の仮想通貨業者も立ち入りへ　金融庁,2018年2月8日06時58分,"経済,金融・財政",仮想通貨交換業者「コインチェック」で顧客資産の仮想通貨ＮＥＭ（ネム）約５８０億円分が不正流出した問題で、金融庁は同社以外の複数の交換業者に対しても、近く改正資金決済法に基づく立ち入り検査に入る。一部業者に検査を予告した。コインチェックでは顧客資産の安全管理が不十分だった。他の業者への緊急調査でも問題が判明し、立ち入り検査が必要と判断した。特集：コインチェックの仮想通貨流出問題検査に入る業者には、昨年の登録制導入後、一定の要件を満たして登録された業者も含まれている。登録審査中のみなし業者の一部には安全管理以外の問題があり、やはり検査に入る。コインチェックでの不正流出は１月２６日に発覚。金融庁は同社に業務改善命令を出し、立ち入り検査に入った。同社以外の３１業者にも管理態勢などについて２日までの報告を求め、問題がある業者に検査に入ることを決めた。（榊原謙）
