"title","date","tags","article"
"いまどきの仏壇、洋室にぴったり　タンス風、小型が続々","2018年2月12日17時11分","経済,産業・商品,ショッピング","洋風の生活スタイルが広がり、マンションなど和室のない家が増えました。それに合わせ仏壇も、コンパクトでスタイリッシュなものが次々に登場。大きくおごそか、というイメージが変わってきています。きりとりトレンド　話題の商品を紹介仏壇メーカー「八木研」（大阪市）のＪＲ大阪駅近くのショールーム。常時１００本ほど展示する仏壇は、扉を閉めると洋風の戸棚やタンスにしか見えないものばかりだ。「お客さんの６割はリビングや洋室に置かれます。実家の仏壇は大きすぎて引き継げないと、買い替える人も多いです」。広報の西田理亜さんが説明してくれた。ほかの家具の上に置くタイプや壁掛けタイプなど省スペース商品の人気が高く、売れ筋の価格帯は３０万円前後。キリスト教の十字架を飾ったり、無宗教で遺影だけ置いたりしても、とくに違和感がない。同社は、こうした家具調の仏壇を１９８４年につくり始めた草分けだ。当初は「こんなものは仏壇じゃない」と批判も受けたが、都会のマンション住民などに支持されて徐々に普及してきた。メーカーの数も増え、仏壇店の紹介サイト「いい仏壇」を運営する鎌倉新書（東京都）の調査では、今はこうした家具調や小型の仏壇を買う人が６～７割。伝統的な唐木仏壇や金仏壇のシェアは２割に満たない。大手のはせがわ（福岡県）も、家具大手の「カリモク家具」（愛知県）と共同開発した仏壇を１５年から販売。仏壇メーカーの発想を変え、現代の住まいに合うインテリアとして開発した。今や売り上げの大きな割合を占めるようになっているという。国の商業統計によると、仏壇を含む「宗教用具小売業」の１４年の販売額は０２年に比べて約４割減。はせがわの担当者は、「ライフスタイルや価値観の多様化に対応しないといけない」と話す。（清井聡）重さ４キロ　壁に掛けられる八木研の「ピウマ」は、壁に掛けられる。縦横が４０ｃｍ×２７ｃｍ、奥行きが２０ｃｍと小さく、重さも４ｋｇ程度。ナチュラルで淡い色調の北欧家具を思わせるデザインで、リビングにも合う。専用台にセットすれば、家具の上に置くこともできる。１２万円。本棚に収まるＡ４サイズいのりオーケストラの「Ａ４仏壇」は、縦横の長さを２１ｃｍ、２９．７ｃｍにしたＡ４用紙サイズ。雑誌やファイルと同じ大きさで、本棚やキャビネットに収まる。木製パーツの組み合わせで、何十通りもの飾り方ができる。価格は５万円。カリモク家具とのコラボはせがわの「ＳＯＬＩＤ　ＢＯＡＲＤ　ＪＵＳＴ」は、高級家具で知られるカリモク家具とのコラボ商品。大きめの位牌（いはい）も入るよう内部を広くとりつつ、奥行きは約３０ｃｍに抑えた。部屋の色調にあわせて５色から選べる。価格は仏壇が２３万～２５万円、下台が１２万～１３万円。中は伝統　外は現代的浜屋の「今昔」は、一見すると現代的だが、扉を開けると伝統的な荘厳さが残るデザイン。代表的な家具材のウォールナットを使い、和室、洋室のどちらでもあうように仕上げた。花立てや香炉など基本的な仏具つきで、４７万９８００円。◇主なメーカーのおすすめ商品から選びました。価格は税抜きで仏具の値段は原則、含まれません。（きりとりトレンド）"
"就職の「体育会プレミアム」落ちている　プラス面発信を","2018年2月12日09時10分","社会,その他・話題,経済,オピニオン,有料会員限定記事","岡崎仁美さん（リクルートキャリア就職みらい研究所長）大学の運動部の出身者は１９８０年代まで、企業で重宝されました。体力があり、与えられたことをこなせることが、重要視されたからです。欧米に追いつけ追い越せと、拡大再生産のモデルで日本経済が伸び、「２４時間戦えますか」の時代でしたから。いまも根性や体力は否定はされませんが、他の対応力も求められるようになり、優先度は下がりました。体育会出身者を優遇する「体育会プレミアム」は、落ちている面があると思います。そもそも企業の採用が、どこの大学か、どの学部か、あるいは体育会かといったラベルで判断されることは、相対的に少なくなりました。一人一人を個別に評価する細分化が、進んでいます。ある程度、最初の配属先や職種を提示しないと、引く手あまたの人であればあるほど内定を辞退する。企業からみて採りたい優秀な学生は、起業をして就職しないこともあるようです。単に「体育会に所属している」という外形的なものだけで、就職できる時代ではなくなりました。直近の２０年のスパンでみれば、少子化で大学が学生の争奪戦をするなか、「特定の競技能力が突出していれば学力は二の次」と見えるプロセスを経て入学する学生も増えました。このため、「スポーツ推薦で入学した学生は勉強していない」というイメージを持たれているのも、マイナスの影響です。また、コーチの言うことを違和感を持たず、ただ「はい、はい」とやり遂げるだけという、昔ながらの体育会のイメージを引きずっている企業人事の方は、少なくないと感じます。でも、運動部活動をしながら、時間をやり繰りして授業に出席し、課題を出している学生は少なくない。それ自体、相当にマルチタスク能力や忍耐力、継続力が高くないとできないことです。他にも、約束を守る。実行力がある。試合に向けて計画を立てる癖がついている。こういった、いま求められる人間力を兼ね備えている、あるいは兼ね備えるよう指導される機会は、運動部の活動を通じて多くあるはずではないでしょうか。大学は、そんな体育会学生の価値をもっとアピールするべきでしょう。同時に「会社人」から「社会人」へという、価値観の変化を前提にした育成も引き続き必要です。スポーツ庁が音頭をとって、「日本版ＮＣＡＡ」の創設を新年度中にめざしています。全米大学体育協会（ＮＣＡＡ）をモデルとして、さまざまな競技をまとめて、大学スポーツの安全や活性化、選手の文武両道を支援する組織です。ここが率先して、運動部活動のブランディングを担っていくべきでしょう。（聞き手・編集委員　中小路徹）◇１９７１年生まれ。９３年にリクルートに入社。就職情報サイト「リクナビ」編集長などを歴任し、現職。"
"ミリ単位で勝負、メダリスト導くインソール　群馬の会社","2018年2月12日07時27分","経済,産業・商品,医療・健康・福祉（アピタル）,平昌五輪,群馬,有料記事","群馬県北部の小さな町に、平昌（ピョンチャン）五輪に出場する選手らが通うインソール（中敷き）メーカーがある。ミリ単位以下の微妙な調整で、選手たちの足元を支えている。特集：平昌五輪新潟県に接する群馬県みなかみ町の山間部。社員１６人の会社「ＢＭＺ」はインソールの製作や、スキーやスノーボードのブーツの加工を手がける。ソチ五輪のフリースタイルスキー女子ハーフパイプの銅メダリストで平昌五輪に出場する小野塚彩那選手（２９）や、ノルディックスキー複合の渡部暁斗選手（２９）、スノーボードアルペンの竹内智香選手（３４）らが訪れる。同社が重視するのは、小指とかかとを結んだ線上にある「立方骨」。アーチ形の足を支える役割がある。アーチ形が崩れると、衝撃の吸収やバランスをとる安定性、地面を蹴る推進力などに影響が出るという。０・２５ミリ単位でインソールの厚さを合わせ、硬さも調節する。ブーツも、足の甲や足首、ふくらはぎなどの太さや形に合わせ、０・５度単位で角度を加工する。社長の高橋毅さん（６１）は「スキーやスノーボードの選手にとって、力を過不足なく板に伝えるためにブーツの調整は欠かせない」。同社製のインソールを利用し、ブーツの調整を依頼する小野塚選手は「お願いするようになってから成績が上がるようになった」と信頼を寄せる。高橋さんは高校のサッカー部時代、プロを目指していたが足首をねんざし、ひざまで痛めた。「原因は新調したスパイクだと思いました。少しの違いでも足に合っていないとダメなんだと」スポーツ用品店で２０年以上働き、２００１年に独立。生まれ育ったみなかみ町に会社を置いた。会社の核となる研究や測定をする施設は、もともと幼稚園だった建物を改修して作った。「一昔前までは『インソール＝中敷き』だった。そのイメージを変えたい」。クッションや防臭ではなく、足裏から能力を最大限に発揮できるようにするのがインソールの役割だと考えている。会社を訪れる選手たちが間もなく五輪の舞台に臨む。「最高のパフォーマンスをしてほしい。足回りの専門家として知識や経験、技術を使ってサポートしていきたい」（角詠之）"
"東芝会長に車谷・元三井住友銀副頭取　原発事業てこ入れ","2018年2月11日20時45分","経済,産業・商品","東芝は、元三井住友銀行副頭取の車谷暢昭（のぶあき）氏（６０）を会長に充てる人事を固めた。４月にも就任する見通し。債務超過を解消した後の成長戦略づくりと原発事業のてこ入れのため、社外から経営陣に迎え入れる。同行は東芝の主力取引銀行の一つで、車谷氏は東芝と関係が深かった旧三井銀行の出身。福島第一原発事故後に東京電力を支援する枠組みの策定などを手がけ、原発事業に通じている。昨年５月に英国の大手投資ファンド、ＣＶＣキャピタル・パートナーズの日本法人会長に転じていた。米国の原発事業で巨額の損失を出し、経営に深刻な影響を与えた責任を明確にするため、原発事業を統括していた志賀重範会長が昨年２月に引責辞任。会長職は空席となっており、東芝は社外から民間人を迎える検討を進めていた。東芝は昨年１２月に実施した約６千億円の増資などで債務超過の解消と上場廃止の回避が確実視されているが、稼ぎ頭の半導体子会社「東芝メモリ」の売却を控え、新たな収益源づくりが課題になっている。売却後の柱に据えたいインフラ事業の急成長は期待できず、原発事業で収益を確保できないと経営は苦しくなる。"
"キャンピングカー　自分に合った１台探す　入門編は……","2018年2月11日12時25分","経済,産業・商品,クルマ","キャンプは好きだが、キャンピングカーを活用したことはない。今月初めに千葉・幕張メッセであった国内最大級の見本市「ジャパンキャンビングカーショー」で、自分にあった１台を探してみた。上下するベッドに椅子　「夢」のキャンピングカーに潜入室内の広さだけを考えると、バスのように大きな車両をベースにした豪華版が最適だ。ただ、車そのものの価格が高くて取り回しにも気を使う。キャンピングカーを専用で持つのは難しいので、普段使いもできる車がよさそう。自然と小型車や軽自動車に目がいく。欲しい機能はオプションで追加していく。追加すれば、価格も高くなる。自分がどんな機能を必要としているのか、よく考えるのが大切だ。伸び伸びと寝られるベッドはぜひ欲しい。あとは、水や発電、電子レンジに冷蔵庫――。どこまで手を広げるか。トイレは小型車では難しそうなので、他の方法を確保しておく必要がありそう。軽自動車をベースにキャンピングカーを製造、販売する「クルーズカンパニー」（神奈川県藤沢市）の青木秀之社長は、ベッドに加え、電源用のバッテリーと水が使えるようにすることを入門編として勧める。確かに、電気が使えれば家電も使える。水が使えれば洗い物も出来るし、電子レンジがあれば温かい物が食べられる。情報源であるスマホの充電ができることも魅力だ。重要だと感じたのは、屋根に載せたソーラーパネル。通常、エンジンをかけて車を走らせれば勝手にバッテリーは充電される仕組みだが、ガソリンの減り方が心配になる。４０ワットの出力のもので天気のよい日ならバッテリーはほぼ充電される。８０ワットのものを付ければさらに安心だ。車内には２人分の睡眠スペースしかないが、オプションで天井裏にも寝られるようになる。装備はどれも小ぶりなので、普段使いのクルマとしても活用できそう。同社ブースでは、スズキの軽バン「エブリイ」をベースにした様々な仕様のキャンピングカーが並んでいた。後部座席を倒して２人が寝られるようにしたミニマムな仕様で、かつベース車両を最廉価グレードにして価格を抑えると、税抜き１５４万円。給水タンクや１００ボルトの電源の装着には、２０万～３０万円が追加で必要になるという。最近は災害時を意識して購入する人が増えているという。受注生産をしている同社の納期は、以前は３カ月だったが現在は６カ月ほどに延びている。（神沢和敬）"
"上下するベッドに椅子　「夢」のキャンピングカーに潜入","2018年2月11日12時25分","経済,産業・商品,クルマ","伊フィアット「デュカト」をベースにしたキャンピングカー＝千葉・幕張メッセ国内最大級のキャンピングカー見本市「ジャパンキャンビングカーショー」が、２月２～４日、千葉・幕張メッセで開かれた。気の向くままに、西へ東へ。そんな生活を夢想させてくれるキャンピングカー。その究極の姿はどんなカタチなのか？　様々な趣向の展示車両３６０台超の中で、最も高い値札が付いた一台を見せてもらった。ガスコンロが付いたキッチン。走行中に開かないよう、キッチン下の棚は、エンジンを掛けると自動でロックされる＝千葉・幕張メッセ「東和モータース販売」（東京都杉並区）のブースに並んだ車両は、税抜き２２００万円。全長８７１センチ、車幅２３３センチ、車高３０４センチ。バスのように大きいが乗車定員は５人で、普通免許があれば運転できる。ベース車両は伊フィアットの大型バン「デュカト」。日本国内ではなじみが薄いが、欧州ではキャンピングカーの定番だという。キャンピングカー　自分に合った１台探す　入門編は……天井は高く、頭上に余裕がある＝千葉・幕張メッセ室内は、身長１７１センチの記者が立っても頭上に十分すぎる余裕がある高さ。シートも本革張りで、高級感が漂う。狭い車内空間を効率的に使うため、シャワーとトイレは一緒のケースが多いが、この大きな車両はそれぞれ独立させることが可能だ。Play Video運転席の上のベッド蛇口からはお湯も出るし、キッチンにはガスコンロが３口ある。もちろん冷蔵庫も備える。キッチン下の収納は、エンジンがかかると自動でロックされ、走行中に扉が開いて収納品が散乱するのを防いでくれる。車内の後端には、２人が寝られるベッドがある。運転席の上にも、電動で下りてくるベッドが隠れている。まるで「動くホテル」のようだ。Play Videoフロントガラスのブラインド驚いたのは運転席。ずいぶんと高い位置に座面があると思ったら、座ると席の下のバネが沈み込み、ちょうどよい高さになる。前方の見晴らしもいい。展示車のため運転はできなかったが、ディーゼルエンジンを積んだ前輪駆動でこれだけ大きな車体がどんなふうに走るのか？　ふわふわな運転席はどうなるのか？　興味が尽きない「夢」のクルマだった。（神沢和敬）身長１７１センチの記者が十分に足を伸ばせる＝千葉・幕張メッセ"
"「社会のため」問い続けて　パナソニックの模索続く","2018年2月11日06時58分","経済,産業・商品,国際,アジア・太平洋,環境・エネルギー,環境・世界の動き,有料記事","１０１年目のパナソニック暗がりで布を織る女性たちの手もとを、パナソニック製のソーラーランタンが明るく照らしていた。【特集】１０１年目のパナソニック作業の手を止めたユリアナ・ワダン・トビ（４４）は笑って言った。「夜も作業できるようになってうれしい」熱帯雨林に囲まれたインドネシア・フローレス島にあるリアンバリン村の人々にとって、伝統の織物「イカット」は貴重な収入源だ。以前は午後４時には作業を終えなければならなかったが、ランタンのおかげで生産量が増えた。ランタンは、パナソニックが２０１６年に贈った。村は電力供給が不安定なため、太陽光で充電できるランタンは、放課後に補講を行う寺子屋や、夜間の診療所でも活躍している。パナソニックの創業者、松下幸之助は、企業の社会的使命について、社員に繰り返し語っていた。「あらゆる物資を水道の水のごとく安く、豊富に供給し、この世から貧困を無くそう」。「水道哲学」と呼ばれた考えだ。豊かになった社会は、さらに製品を買うことで企業を潤す。「企業は社会の公器である」。幸之助がこう唱えたことはよく知られている。企業は社会から、人、カネ、土地、物を預かって事業を営む。だから本来的に社会全体のものだ――。企業に対する社会の期待は、時代とともに変化した。日本が、欧米の背中を追いかけた１９６０～７０年代、松下電器産業（現パナソニック）は、賃金を欧米企業並みに引き上げ、完全週休２日制もいち早く導入した。過疎問題が指摘されると、「１県１工場」を掲げ、北海道から九州まで工場を置いた。公害対策にも取り組んだ。幸之助は、社会が求めるものは、一企業で解決できるものばかりではないと考えたのだろう。晩年の７９年には私財７０億円を投じて「松下政経塾」を設けるなど、若手リーダーの育成に情熱を注いだ。政経塾１期生で前首相の野田佳彦（６０）は、幸之助について、「国家についても、経営者として、１００年という長い視野で捉えた。大きな理念を掲げ、どうしたら実現できるか、『ど真剣』に考え続けていた」と評する。だが創業者の思いとは裏腹に、「公器」であることを疑われることも増えた。松下電器が１万３千人の大規模なリストラに踏み切ったのは、０１年度のことだ。「幸之助の精神はどうなる」と、社内からも声が上がった。２９年、世界恐慌を受け、日本も不況に襲われた。幸之助は「従業員は解雇したらあかん」と指示した。工場を半日勤務としながら賃金は全額支払い、雇用も守った。この時社会から得た信頼は、その後の成長につながった。だが、創業以来最大の赤字に陥った０１年度は、違った対応を取った。当時人事担当の幹部だった福島伸一（６９）は、「配置転換などの策を打ったが、人余りはどうしようもなかった」と振り返る。バブル崩壊後の長い不況に、多くの日本企業が苦しんでいた時期だ。リストラで会社を立て直すことも、ある意味では社会に求められていた。今月８日、関西に拠点を置く企業の経営者たち約６００人が、京都市に集まっていた。年１回開かれている「関西財界セミナー」に出るためだ。議論は、経済環境や関西の盛り上げにとどまらなかった。「ＳＤＧｓ（エスディージーズ）に貢献する企業への投資が増えていく」「エネルギーや水問題にどう関わるかが重要だ」ＳＤＧｓは、国連が採択した「持続可能な開発目標」で、教育、気候変動、平和など１７テーマが並ぶ。経団連も達成に向けた協力を、企業に求めている。幸之助も、何度かセミナーの講師を務めた。だが当時と比べ、企業が社会から求められることは幅広く、複雑で、深い。パナソニックの社長である津賀一宏（６１）は「会社が大きくなったいま、より大きな意味で『公器』の意味が問われている」と言う。自社の利益だけを考えるな、という幸之助の教えは、今ほど求められている時代は無い。しかしパナソニックも、「公器」であり続けることは、簡単ではない。＝敬称略（新田哲史、金本有加）"
"仮想通貨「期待」が拡散　ゲーム感覚、若者つかむ仕組み","2018年2月11日05時01分","社会,その他・話題,経済,テック＆サイエンス,企業・サービス,有料会員限定記事","仮想通貨交換業者「コインチェック」の不正流出で注目される仮想通貨。若者がゲーム感覚で投資し、相場が急騰。代表的な仮想通貨ビットコインは昨年末、一時１コイン＝２００万円超と年初の２０倍に達した。そのブームの背景とは。（編集委員・須藤龍也、真海喬生、榊原謙）仮想通貨と日本円など法定通貨との大きな違いは、その価値の裏付けがあるかだ。日本円は国の信用や経済力をバックに価値が決まる。仮想通貨には具体的な価値の裏付けはない。あるのは、既存通貨より安く、速く送ることができ、利用が広がるかもしれないという、「期待」だけだ。仮想通貨はお札や硬貨のようなモノではなく、電子データだ。一見電子マネーと似ているが、電子マネーは日本円を便利に使うための道具だ。ＪＲ東日本のＳｕｉｃａ（スイカ）で利用者は日本円をチャージして使う。スイカのシステムを通じて日本円を使うだけで、スイカという通貨があるわけではない。仮想通貨は、日本円とコインを交換業者で交換し、コインで支払える店で使う。どれだけ買い物できるかは相場によって変わる。相場が「１コイン＝１００円」なら１００円相当、「１コイン＝５０円」に下がれば５０円相当しか買えない。価格変動が大きい外貨を持つようなものだ。仮想通貨の将来性への期待感が、仮想通貨自体の価値が今後上がる、という予想につながり、日本円など法定通貨に対する価値が徐々に上がってきた。その後は値上がり期待からビットコインは昨年１年間で２０倍、今回コインチェックから不正流出したＮＥＭ（ネム）は２００倍に急騰。バブル的な状況になったが最近は急落している。昨年初めまで、仮想通貨の取引量の多くは中国が占めていた。しかし中国当局は、人民元と仮想通貨を交換し、海外に資産を移す動きを警戒。規制を強化し、秋には交換所を禁止した。代わって対日本円の取引が増えた。大和総研によると、対円の仮想通貨の取引は昨年初めの数％から、最近は４割に迫るという。金融庁はこうした取引拡大に対応し、交換業者を登録制にするなどしてきた。しかし想定外の仮想通貨バブルの中、巨額流出が起きた。海外では仮想通貨が犯罪のマネーロンダリング（資金洗浄）に使われることへの懸念が強い。独仏は３月の主要２０カ国・地域（Ｇ２０）財務相・中央銀行総裁会議で仮想通貨の国際規制を提案する。大和総研の矢作大祐研究員は「抜け道をつくらせないためにも、規制づくりの国際協調は大切だ。中長期的な仮想通貨のリスク抑制につながる」と話す。価格変動が大きい投機商品と化した仮想通貨について、通貨としての将来性を疑問視する声が多い。しかし、その根幹の技術は注目されている。仮想通貨は暗号化によるデータ改ざんの難しさや、低コストの送金ができる点が特徴だ。大手銀行では、その技術を応用した決済システムの低コスト化が検討されている。「ご褒美」目当て、取引チェック仮想通貨の根幹にあるのは「ブロックチェーン」と呼ばれるデータのしくみだ。ビットコインでネットショッピングをすると仮定しよう。まずパソコンやスマートフォンで「ウォレット」という口座をつくり、仮想通貨交換業者で円と交換してコインを手に入れる。コインで買い物をする場合、お店のウォレットに代金のコインを送る。こうした取引データの蓄積などのシステム運営は、特定の組織が行っているわけではない。世界中でコンピューターの技術がある人々が、自主的に運営に参加している。取引データは運営参加者のコンピューターに送られ、大量にたまるとファイルのような束にまとまる。この束は送金などの順番通りに自動的に並べられる。運営参加者は、取引データが間違っていないかをチェックする。世界中の参加者に同じデータが送られ、彼らは速さを競う。取引データの正しさを速く正確にチェックした者には、自動プログラムで「コイン」がもらえるようになっている。そのため、営利目的でチェック作業に参加する者は、多額の費用をかけて高性能のコンピューターを用意する。一連のデータ処理の仕組みは、２００８年に「サトシ・ナカモト」と名乗る正体不明の人物がネットに投稿した論文がもとになっている。それに興味を示した世界中のネット愛好家が自主的にシステム運営に参加し、現在も続けられている。特定の管理者はいないシステムだ。コインという「ご褒美」が用意され、それを目当てに複数の目で取引をチェックさせ、正確性を維持する。そうしたシステムが仕込まれたプログラムがネット上で流布し、自主的に運営されるという構図だ。コインを送金する時に使うウォレットの名前は英数字の羅列で、匿名性が高い。データも暗号化され、偽造は難しいという特徴もある。ビットコインに類似した仮想通貨が次々に生まれ、今や１千種類以上の仮想通貨があるとされる。不正流出したＮＥＭもそうだ。若者に広まり、数百万人超仮想通貨は、いったいどんな人が取引しているのか。以前はＩＴに詳しい一部のマニアの楽しみ程度だったが、この１年で一般の人に広まった。仮想通貨の取引人数や金額の具体的な統計はない。交換業者幹部は「日本で取引する人は数百万人超ではないか。大学生から３０代の社会人の間で昨夏以降、ツイッターやフェイスブックで広まった」という。都内の男性会社員（３１）は昨夏、今回問題を起こしたコインチェックで仮想通貨の取引を始めた。約５０万円を投じてビットコインを買い、スマホで値動きをチェックした。その後、より値上がりしそうな通貨に買い替えた。今回流出したＮＥＭも含まれる。「ビットコインは登場して１０年近く経っていて、もうダサい。もっと新しい通貨の方が将来性がある。どんどん通貨は進化していますから」。注目するのは、値上がりするかどうかだ。保有通貨の相場価格は昨年末、元手の４倍の２００万円に膨らんだ。今はコインチェックから通貨を引き出せない。それでも「一獲千金を狙ったお金で、あまり落胆はない。業務再開の時はなにかキャンペーンをやるかも」。取引をやめる気はない。金融庁に登録している交換業者は審査中の「みなし業者」も含めて３２社。ネット証券や外国為替証拠金取引（ＦＸ）からの参入や、コインチェックのようなベンチャーもある。相場高騰で交換業者の取扱高は増え、手数料などの収入も増えた。コインチェックは不正流出で５８０億円分のＮＥＭを失ったが、業界では「相当もうけていたので顧客に補償する原資はあるのでは」との見方が根強い。同社はテレビで芸能人の派手なＣＭを流し、顧客を集めた。放送局関係者は「ＣＭ単価が非常に高く、そんなにもうかっているのか、と驚いた」という。◇岩下直行・京大教授（元日本銀行フィンテックセンター長）の話仮想通貨への投資は、相場が大きく上昇した昨秋以降急速に広まった。投資した人の多くは大学生や若い社会人だ。背景にはスマートフォンとＳＮＳの普及がある。スマホで気軽に口座を開き、ゲーム感覚で投資する。ツイッターやフェイスブック、ユーチューブで情報を集め、右肩上がりの相場を楽しんだ。最先端技術を使った、なんだかかっこいい投資というイメージもあった。ブームの根底には、日本をはじめ先進国の金融緩和で、世界的に低金利の状態になっていることがある。預金などの金利が低い中で、高い利益を求めるマネーが仮想通貨に行き着いた。もっと金利が高い世の中であれば、ここまでのブームにはならなかったはずだ。株式には１株当たり利益のような指標があるが、仮想通貨には何の裏付けもない。１ビットコインが２０ドルでも１万ドルでも、どちらもバブルだ。昨秋以降は、バブルの程度がより大きくなっただけだ。仮想通貨の相場は、昨年１２月をピークに下がり続けている。今回の問題をみんながある程度忘れるまで、しばらく価格が大きく上がることはないだろう。一種の知的なゲームとして広まった仮想通貨投資も、少し落ち着く局面だろう。（聞き手＝真海喬生）"
"ＮＹダウ、１０００ドル乱高下　終値は３３０ドル高","2018年2月10日08時21分","経済,市況・統計","９日のニューヨーク株式市場は、大企業でつくるダウ工業株平均が３日ぶりに反発し、前日比３３０・４４ドル（１・３８％）高い２万４１９０・９０ドルで引けた。前日に１０００ドル以上も急落した流れを受けて荒い値動きが続いており、この日の変動幅は１０００ドルを超えた。米長期金利上昇への警戒感がくすぶり、ダウ平均は一時、前日比５００ドル安に沈んだ。ただ、その後は買い戻しの動きも出て、５００ドル超まで上げる場面があった。投資家の先行き不安はぬぐい切れておらず、当面は不安定な値動きが続くとみられている。この日は原油価格の指標となる米国産ＷＴＩ原油の先物価格が続落し、前日比１・９５ドル安の１バレル＝５９・２０ドルと１カ月半ぶりに６０ドルを割り込んだ。エネルギー株が売られ、相場の重しになる場面が多かった。ハイテク株の多いナスダック市場の総合指数も上昇し、同９７・３３ポイント（１・４４％）高い６８７４・４９で引けた。（ニューヨーク＝江渕崇）"
"民泊、４９自治体が独自で規制へ　住宅地で完全禁止も","2018年2月10日08時08分","社会,経済","住宅の空き部屋などに有料で人を泊める「民泊」が６月から解禁されるのを受け、条例で独自の制限をすることが認められている１４４自治体の３割超、４９自治体が民泊を規制する方針であることが明らかになった。住宅地での民泊を完全禁止するなど厳しい方針の自治体もあり、観光庁は「法の趣旨からして適切ではない」としている。６月に住宅宿泊事業法（民泊新法）が施行され、原則禁止だった民泊は、届け出ればだれでも年１８０日まで営めるようになる。一方で都道府県、東京都２３区、中核市など１４４自治体は、「生活環境の悪化を防止するため必要があるとき」は条例によって営業可能な期間などを制限できる。条例案は２～３月の議会で審議される見通しだ。朝日新聞社が１４４自治体に条例制定の方針を聞いたところ、４７自治体（３２・６％）が「条例を制定して制限する方針」、２自治体（１・４％）が「すでに制定した」と答えた。１９自治体（１３・２％）は「検討中・未定」で、７６自治体（５２・８％）は「現時点では制定しない方針」「法施行後に問題が起きたら検討する」と回答した。厳しい対応を取るのは、違法なヤミ民泊が横行する都市部だ。東京都２３区では１９区が制定する方針で、「住居専用地域は全面禁止」（大田区）、「区全域で金曜正午～日曜正午のみ営業可能」（目黒区）などと大幅に規制する。観光庁は昨年１２月、自治体の規制について「実施そのものを制限するような制限は不適切」などとするガイドラインをまとめたが、強制力はない。同庁幹部は「不適切とみられる自治体には個別に説明を求めていく」としており、見直しを求めることも含め検討する。（森田岳穂、石山英明）"
