"title","date","tags","article"
"「チバニアン」斜面に見学用コンクリ階段　市は困惑","2018年2月12日15時49分","カルチャー,ひと・歴史,環境・エネルギー,千葉","地質学上の時代区分に「チバニアン」の名が刻まれる可能性があることで注目を浴びる千葉県市原市田淵の地層。その斜面に、地質学者らでつくる研究団体がコンクリートブロックの階段を整備した。見学者にとっては地層を間近に見ることができる便利な階段。だが、国の天然記念物指定を目指す市は「現状変更」に困惑している。地層は養老川沿いに露出し、約７７万年前に地球のＮ極とＳ極が逆転して今と同じ向きになったことが確認できる。国立極地研究所など日本の研究チームが昨年６月、地質時代の境界を代表する「国際標準模式地」として国際学会に申請。認められれば、マンモスやネアンデルタール人がいた約７７万～１２万６千年前の地質時代が、ラテン語で「千葉時代」を意味する「チバニアン」と呼ばれる。昨年１１月には、１次審査を通過して模式地の候補に残ったことが明らかに。すると「チバニアン」という言葉が注目され、地層にも見学者が殺到した。斜面を登る足場がぬかるむなどしたため、市は昨年１２月、安全面を理由に斜面への立ち入りを禁止。見学者は地層を間近に見ることができなくなった。市などによると、斜面にコンクリートブロックを積み重ねた階段がつくられたのは今年１月中旬。整備したのは地質学者らでつくる研究団体「古関東深海盆ジオパーク認証推進協議会」（香取市）で、地層について解説する看板もいくつか設置した。「チバニアン」を国際学会に申請した研究チームとは別の団体で、この地層について長年、研究活動を続けてきたという。協議会会長の楡井久・茨城大学名誉教授は朝日新聞の取材に「事故があっては大変。私たちはすべてボランティアでやっている」と話す。地層の一帯は公共用地と民有地が混在。楡井名誉教授は、階段を整備したところは民有地で、所有者の協力は得られていると説明している。一方、市の担当者は「天然記念物の指定後に、見学者への環境整備をしたいと考えている。だが、先行されてしまっては何もできない」と戸惑いを隠さない。市は１月末、地層を国の天然記念物に指定するよう求める意見具申書を県を通じて国に提出。指定により保存・保護と研究活用の両立を図りたい考えで、学識経験者らでつくる検討委員会でルールづくりを検討している。その矢先の「現状変更」に、別の担当者は「天然記念物の指定に向け、心証が悪くなるのではないか」と懸念する。国際学会は早ければ今年中に国際標準模式地として認めるかどうかを決定するとみられるが、市は、それより前に国の天然記念物に指定されることを目指している。（石平道典）"
"寒波重なりサンゴが白化　和歌山沖「黒潮大蛇行」も影響","2018年2月11日20時38分","社会,環境・エネルギー,環境・生態や自然,有料記事","たび重なる寒波に加え、暖かい黒潮が紀伊半島から遠ざかる「黒潮大蛇行」が昨秋ごろから発生し、和歌山県の海に異変が起きている。海水温が極端に下がってサンゴが白化したり、寒さに弱い魚が凍死したりしている。田辺市の沖約２・７キロにある「沖島」。９日、水温１４度の海に潜ると、サンゴの群落の中で、テーブル状の「クシハダミドリイシ」の一部が白くなっていた。サンゴの中で共生する植物プランクトンの「褐虫藻（かっちゅうそう）」が、低水温のストレスで抜け出し、緑や茶の色が白くなる「白化現象」だ。このままの状態が長引き、褐虫藻が戻らないと死滅してしまう。周辺では、クマノミやワカウツボなど寒さへの耐性がない魚も動かなくなったり、死んだりしていた。地元ダイビングガイドの李友喜（りともき）さん（４５）によると、例年、一帯の水温が１６度を下回ることはまれだが、今月上旬は１１度台まで下がった。暖かい黒潮が離れた上に、寒波も来襲し、サンゴが生息する海域の水温を下げた。現在、全体の３～４割が白化したり死滅したりしている。田辺市の南の白浜町でも、小規模だが白化が見られるという。串本海中公園水族館（串本町）の野村恵一館長（５９）は「サンゴは暖かい海に生息する特徴があり、１４度を下回る環境では白化し、死滅する。このまま海水温が低い状態が続くと、深刻な状態になる。ただ、海水温が上がると再び復活する可能性もある」と話している。（水野義則）◇黒潮大蛇行　太平洋側を流れる暖流「黒潮」が和歌山県沖で大きく南に離れ、蛇行する現象。正確な原因は分かっていないが、大蛇行が起きると魚の生息域が変わるなど生態系に影響がある。前回は２００４～０５年に発生し、１９６５年以降では６回目。"
"「社会のため」問い続けて　パナソニックの模索続く","2018年2月11日06時58分","経済,産業・商品,国際,アジア・太平洋,環境・エネルギー,環境・世界の動き,有料記事","１０１年目のパナソニック暗がりで布を織る女性たちの手もとを、パナソニック製のソーラーランタンが明るく照らしていた。【特集】１０１年目のパナソニック作業の手を止めたユリアナ・ワダン・トビ（４４）は笑って言った。「夜も作業できるようになってうれしい」熱帯雨林に囲まれたインドネシア・フローレス島にあるリアンバリン村の人々にとって、伝統の織物「イカット」は貴重な収入源だ。以前は午後４時には作業を終えなければならなかったが、ランタンのおかげで生産量が増えた。ランタンは、パナソニックが２０１６年に贈った。村は電力供給が不安定なため、太陽光で充電できるランタンは、放課後に補講を行う寺子屋や、夜間の診療所でも活躍している。パナソニックの創業者、松下幸之助は、企業の社会的使命について、社員に繰り返し語っていた。「あらゆる物資を水道の水のごとく安く、豊富に供給し、この世から貧困を無くそう」。「水道哲学」と呼ばれた考えだ。豊かになった社会は、さらに製品を買うことで企業を潤す。「企業は社会の公器である」。幸之助がこう唱えたことはよく知られている。企業は社会から、人、カネ、土地、物を預かって事業を営む。だから本来的に社会全体のものだ――。企業に対する社会の期待は、時代とともに変化した。日本が、欧米の背中を追いかけた１９６０～７０年代、松下電器産業（現パナソニック）は、賃金を欧米企業並みに引き上げ、完全週休２日制もいち早く導入した。過疎問題が指摘されると、「１県１工場」を掲げ、北海道から九州まで工場を置いた。公害対策にも取り組んだ。幸之助は、社会が求めるものは、一企業で解決できるものばかりではないと考えたのだろう。晩年の７９年には私財７０億円を投じて「松下政経塾」を設けるなど、若手リーダーの育成に情熱を注いだ。政経塾１期生で前首相の野田佳彦（６０）は、幸之助について、「国家についても、経営者として、１００年という長い視野で捉えた。大きな理念を掲げ、どうしたら実現できるか、『ど真剣』に考え続けていた」と評する。だが創業者の思いとは裏腹に、「公器」であることを疑われることも増えた。松下電器が１万３千人の大規模なリストラに踏み切ったのは、０１年度のことだ。「幸之助の精神はどうなる」と、社内からも声が上がった。２９年、世界恐慌を受け、日本も不況に襲われた。幸之助は「従業員は解雇したらあかん」と指示した。工場を半日勤務としながら賃金は全額支払い、雇用も守った。この時社会から得た信頼は、その後の成長につながった。だが、創業以来最大の赤字に陥った０１年度は、違った対応を取った。当時人事担当の幹部だった福島伸一（６９）は、「配置転換などの策を打ったが、人余りはどうしようもなかった」と振り返る。バブル崩壊後の長い不況に、多くの日本企業が苦しんでいた時期だ。リストラで会社を立て直すことも、ある意味では社会に求められていた。今月８日、関西に拠点を置く企業の経営者たち約６００人が、京都市に集まっていた。年１回開かれている「関西財界セミナー」に出るためだ。議論は、経済環境や関西の盛り上げにとどまらなかった。「ＳＤＧｓ（エスディージーズ）に貢献する企業への投資が増えていく」「エネルギーや水問題にどう関わるかが重要だ」ＳＤＧｓは、国連が採択した「持続可能な開発目標」で、教育、気候変動、平和など１７テーマが並ぶ。経団連も達成に向けた協力を、企業に求めている。幸之助も、何度かセミナーの講師を務めた。だが当時と比べ、企業が社会から求められることは幅広く、複雑で、深い。パナソニックの社長である津賀一宏（６１）は「会社が大きくなったいま、より大きな意味で『公器』の意味が問われている」と言う。自社の利益だけを考えるな、という幸之助の教えは、今ほど求められている時代は無い。しかしパナソニックも、「公器」であり続けることは、簡単ではない。＝敬称略（新田哲史、金本有加）"
"東通原発、断層回避した取水設備追加へ　再稼働に向け","2018年2月10日01時01分","","東北電力東通原発（青森県）の再稼働に向けた原子力規制委員会の審査で、東北電は９日、事故時に冷却用の海水を引き入れる非常用の取水設備を、断層が通っていない場所に追加する方針を明らかにした。現在の取水設備の直下に断層が確認されており、活断層でないと証明できなければ再稼働は認められない。東北電はその証明を断念し、取水設備を追加することで問題をクリアすることにした。規制委も大筋で認めた。新規制基準は１２万～１３万年前以降に動いた断層を活断層とみなし、重要施設の直下にある場合は再稼働を認めていない。東通原発の取水設備直下の断層については活断層かどうか判断できず、旧原子力安全・保安院の時代から議論になっていた。規制委の有識者会合も２０１５年、「データが少なく、活断層の可能性を否定できない」と評価。再稼働に向けた審査は事実上、止まっていた。東北電が新たな方針を示したことで断層問題に一定の決着がつき、審査が進むことになる。規制委によると、断層を避けるために原発の審査の過程で重要施設を変更する例は初めてという。（東山正宜）"
"厳寒なのに…山中湖、意外に薄氷　穴釣り、今年も期待薄","2018年2月9日08時44分","社会,その他・話題,トラベル,環境・エネルギー,環境・生態や自然,山梨","山梨県山中湖村の山中湖で湖面の一部が結氷して観光客の立ち入りが絶えず、村は転落事故に注意を呼びかけている。厳しい寒さが続き、冬の風物詩「ワカサギの穴釣り」が４年ぶりに楽しめるかもと期待されたが、意外にも氷は薄いという。結氷したのは水深が浅い北東部と北部の一部。村によると、氷の厚さは１０センチ以下。氷上に雪が凍った「雪ごおり」があり、一見厚く見えるが、「強度がないので極めて危険」と村の担当者は話す。立ち入り可能な氷の厚さは１５センチ以上で、氷の質や気象の週間予報も参考に判断するという。「山中湖交流プラザきらら」「平野ワンド」周辺の結氷した湖面は雪原のように見える。１月下旬以降、富士山を背景に幻想的な写真を撮ろうと立ち入る観光客が絶えない。村役場には目撃情報が連日寄せられ、そのたびに観光課職員が注意に駆けつけている。村や観光協会、警察、漁協などでつくる「村氷上安全対策協議会」は、湖畔に立ち入り禁止を訴える約３０枚の看板を立てた。中国語と英語も併記した。６日から朝夕、村の防災無線で氷に乗らないよう注意喚起も始めた。村によると、山中湖の湖面が完全に結氷したのは２００６年１月が最後。１３年と１４年の１月にはそれぞれ１週間ほど、北東部の一部で穴釣りができるほどの氷が張ったという。村の小林正宏観光課長は「温暖化で年々凍りづらくなっている。年末から厳しい寒さが継続しないと、人が氷上に立てるほどの厚さに育たない」と話す。富士五湖の中で最も小さいため凍りやすい精進湖も、富士河口湖町役場によると今冬は穴釣りはできない。全面結氷したが強度が足りないという。河口湖も全面結氷したのは０１年２月が最後。町役場によると、昭和３０年代までは毎年、スケートができるほど凍ったが、近年は河口湖大橋より南東の湖面に薄い氷が張る程度という。西湖と本栖湖は、過去一度も全面結氷したことがない。本栖湖漁協によると、広くて深く、わき水が多いためという。（河合博司）"
"福島第二原発、建屋のモーター焼ける","2018年2月8日12時25分","社会,福島","８日午前９時ごろ、東京電力福島第二原発（福島県楢葉町、富岡町）の構内にある１・２号廃棄物処理建屋で、空調のための冷気をつくる冷凍機室から煙が出ているのを作業員が見つけ、１１９番通報した。同９時４０分ごろ鎮火が確認された。消防は、送風機のモーターが焼けたとみている。けが人はいなかった。同建屋は第二原発１号機から約１００メートル離れ、原子炉建屋から出た放射性物質を含む水やゴミなどを処理する施設。東電は火災による外部への放射能の影響はなかったとしており、出火原因を調べている。（三浦英之）"
"身を寄せ合って寒さ耐え　リュウキュウアサギマダラ越冬","2018年2月8日00時24分","社会,その他・話題,環境・エネルギー,環境・生態や自然,どうぶつ新聞,鹿児島","鹿児島県・奄美大島で、チョウの一種、リュウキュウアサギマダラが集団で越冬している。海沿いの林の枝やつるに身を寄せ合うようにしがみつき、寒さに耐えている。特集：どうぶつ新聞奄美群島以南に生息し、気温が１５度を下回ると群れてじっとする習性がある。茶色に薄い水色模様の羽を広げると、１０センチほどの大きさになる。気温が高くなると、再び林間をヒラヒラと飛び交う。集団越冬は３月ごろまで。（外尾誠）"
"高浜１・２号の対テロ施設、新基準「適合」　規制委了承","2018年2月7日19時00分","社会","原子力規制委員会は７日、関西電力が高浜原発１、２号機（福井県）に設けるテロ対策施設が新規制基準に適合すると認める審査書案を了承した。今後、経済産業相らの意見を聴いたうえで正式決定する。関電によると建設費は約９７０億円。２０２１年までに完成させる方針という。テロ対策施設は、新基準で新たに設置が義務づけられた「特定重大事故等対処施設」。意図的な航空機衝突などで中央制御室が壊れても、遠隔操作で原子炉を停止したり、冷却したりできる機能を持つ。テロ対策施設の適合が認められるのは、高浜３、４号機と九州電力川内原発１、２号機（鹿児島県）、四国電力伊方原発３号機（愛媛県）に続き４例目。"
"流氷と一緒に大量の凍ったイワシ　「鮮度いいよ」　稚内","2018年2月7日18時57分","環境・エネルギー,環境・生態や自然,北海道,有料記事","猛吹雪で大しけが続いた北海道稚内市は６日、久々の好天に恵まれ、稚内地方気象台は、同施設から海上の流氷が目視できる「流氷初日」を観測したと発表した。北東の強風でオホーツク海の流氷が押し寄せたためで、平年より７日早く、昨年より１２日遅い。宗谷岬のオホーツク海沿岸には流氷がびっしりと沖まで接岸。ノシャップ岬東岸にもはぐれた流氷が漂着した。その海岸線に打ち上げられたのは数え切れないほどの大量のマイワシ。ほとんどが冷凍状態で、「鮮度はいいよ」とバケツを持って拾い歩く人も。凍っているため、カラスも手を焼くが、市では腐敗すると困るので７日から回収するという。今冬は全国的に寒波で海は大荒れで、先月末には青森県でも大量のイワシが打ち上げられた。稚内水産試験場の佐野稔主査（４５）は「イワシは低水温に弱く、この寒波や流氷で海水が急激に冷え、弱って打ち上げられたのではないか」と話している。（奈良山雅俊）"
"（ｅｃｏ活プラス）環境映像借りて意識向上　市民団体や自治体、各地で上映","2018年2月6日16時30分","環境・エネルギー,環境・市民や行政,有料記事","環境問題を題材にした映像作品の上映会が各地で行われている。上映会の主体は市民団体や自治体など様々で、映像祭に出品された優れた作品の貸し出しなども行われている。上映会を通して環境問題への理解が深まったり、環境意識の向上につながったりする。千葉県船橋市で１月中旬、東京電力福島第一原発事故の影響などについてミニ映像祭が開かれた。生協などが参加する「フクシマを考えるフォーラム実行委員会」が主催し、約２００人が集まった。この日上映された作品は「太陽が落ちた日」（ドメーニグ・アヤ監督）。広島への原爆投下後に被爆者の治療に入った医師を祖父に持つドメーニグ監督が、祖父がその体験を生涯語らなかった理由に迫り、それを通して福島第一原発事故後の課題まで見据えたドキュメンタリー作品だ。鑑賞した宮田みどりさんは「忘れかけていたものが、現代のものとして鮮やかによみがえった」と話した。この作品は、毎年３月に東京で開催される国際的な環境映像祭「グリーンイメージ国際環境映像祭」の実行委員会が貸し出したものだ。映像祭のウェブページの作品貸し出しの欄には、絶滅の危機に直面する渡り鳥クロツラヘラサギを国境を越えて守る人々を描いた「国境のない鳥」（ディーン・ジョンソン監督）や、都会から雪深い村に移り住み、古民家で生活する夫婦が地震に遭遇しても、そこで生活再建を図る「風の波紋」（小林茂監督）など、多数の作品が紹介されている。同実行委の宇津留理子さんは「最新の環境映像作品からは、地球温暖化対策の国際ルール『パリ協定』ができて以降、世界が気候変動を無視できずに、森林保護に動き、温室効果ガスを減らす方向に力強く歩んでいる傾向を感じる」と話す。ミニ映像祭を主催した平健三さんは「多くの作品のなかから、幅広い年代層が引き込まれるものを選べた」と話す。毎年夏に名古屋と大阪で環境映像の上映会を開催している三菱ＵＦＪ環境財団の田中洋一事務局長は「ダムの解体をとらえた米国の作品など、海外にも良作が多い。日本の先を行くものもある」と話す。優れた作品を個人で借りて、仲間を集めて上映会を開くこともできる。ただ、作品は多くの時間や費用をかけて撮影されたものだ。営利目的でない場合でも１本あたり１万～１０万円の費用がかかることもあるという。宇津さんは「商業的に成功する作品もあるが、そうでないものがほとんど。貸し出しで受け取った料金を制作者に支払うことで、新たな作品制作の支援になる」と話す。過去の映像であれば、無料で借りられるものもある。環境教育に使われた環境省の映像は、送料は必要だが貸し出しは無料だ。日本環境協会でも「ヤンバルの鳥たち」といった野生鳥類保護の記録などを取り上げた作品を貸し出している。ただ、古い作品はビデオテープなどが多く、再生機器が必要な場合があるという。（田中誠士）＜ｅｃｏ活の鍵＞環境映像作品の貸し出しは、「グリーンイメージ国際環境映像祭」（https://green-image.jp/）や日本環境協会（https://www.jeas.or.jp/）などが行っている。また、自治体や図書館などが貸し出していることもある。＊ｅｃｏ活（エコカツ）プラス"
