"title","date","tags","article"
"五輪開会式中継で「日本は韓国の模範」　米ＮＢＣが謝罪","2018年2月12日13時14分","国際,カルチャー,テレビ・芸能,平昌五輪","米ＮＢＣテレビは１１日までに、平昌五輪開会式の中継中に出演者が、植民地支配した日本が韓国の手本になったという発言をしたことについて、「これらの発言に韓国の人々が侮辱されたと理解し、謝罪する」との声明を番組内で読み上げた。ニューヨーク・タイムズ紙などが報じた。安倍晋三首相の開会式出席を伝える中で、出演者の一人が、日本を「１９１０年から４５年まで韓国を占領した国」と紹介した上で、「しかし、どの韓国人も、自らの変革にとって、日本は文化面でも技術面でも経済面でも重要な模範となってきたと言うでしょう」と述べた。これに韓国などから批判が起こり、「公式謝罪」を求めるネット上の請願運動に発展していた。１１日午後１０時で署名数は１万３千を超えている。（ニューヨーク＝金成隆一）"
"北朝鮮の女性応援団が「金日成仮面」？　韓国で波紋","2018年2月12日09時39分","国際,アジア・太平洋,スポーツ,ウインタースポーツ,平昌五輪,有料会員限定記事","五輪初の南北合同チーム、女子アイスホッケー「コリア」は１０日夜、平昌冬季五輪初戦のスイス戦で０―８と完敗した。韓国の文在寅（ムンジェイン）大統領と北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の妹の金与正（キムヨジョン）氏らが観戦し、「南北外交」の舞台にもなった試合会場で存在感を示したのが、北朝鮮の女性主体の応援団だ。一糸乱れぬ応援で選手を鼓舞するとともに、波紋も巻き起こした。南北合同チームが初試合　文大統領と金永南氏も観戦特集：平昌オリンピックSPIN THE DREAM 羽生結弦今月７日から江原道内のリゾートホテルに滞在中の応援団約２００人は、バスで氷上競技会場のある江陵（カンヌン）市に移動。韓国到着時は赤色のコートに黒い帽子という服装だったが、この日は赤いジャンパー姿だった。試合開始前からヒット曲「パンガップスムニダ（お目にかかれてうれしいです）」などを歌い、会場の雰囲気をリードした。画一的なイメージから「軍団」という呼称をつけて紹介されることもある北朝鮮の応援団だが、個性も垣間見えた。応援団の一人は記者の突然の質問に「（韓国に来て）同胞ということをあらためて感じました」と答えた。模範解答だろうが、質問に気さくに応じたことが意外だった。観客席を埋めた韓国市民やボランティアが写真を撮ると、笑顔を見せる団員もいた。ただ、応援が本格的に始まると個性は消えた。立ち上がったり、手を振ったりする動作、そして歌声に乱れはほとんどなかった。脱北者の証言からも、韓国に派遣される応援団は、特別に選抜され、相当な訓練を重ねるとされる。目を引いたのは、そろいの紙袋から次々と応援用の小道具を取り出したことだ。造花で飾ったタンバリン、小旗……。その一つ「若い男性の顔を描いた仮面」が論議を巻き起こした。韓国の一部メディアが「金日成（キムイルソン）の仮面」と報じ、一部の野党議員が「北に謝罪と再発防止を要求すべきだ」と主張したからだ。応援団は北朝鮮の歌謡を歌う際に、この仮面を取り出した。目の部分は空洞になっていた。確かに、眉が濃くりりしい顔は建国の父、金日成主席の青年時代の写真を想起させなくはない。記者は応援団の１人に「この仮面の意味は」と聞いたが、答えはなかった。これに対し、韓国政府は機敏に反応した。韓国統一省は「現場にいる北側の関係者に確認した結果、そのような意味は全くないと確認した」と発表。報道は「誤った推測」と指摘した。統一省関係者の見解は「美男の仮面」だ。確かに北朝鮮で崇拝される金日成主席の顔が応援道具に使われることは考えにくい。もう一つの波紋は、応援団がふった統一旗に、日韓が領有権を争う島根県の竹島（韓国名・独島（トクト））が描かれていたことだ。国際オリンピック委員会（ＩＯＣ）は、領土問題を持ち出すのは五輪の政治利用になるとして、公式行事では竹島が抜けている旗を使用するとしている。北朝鮮のウェブサイト「わが民族同士」は１０日、このＩＯＣの決定を「公正さを失った不当な行為だ」と批判する見解を出しており、竹島の入った統一旗の使用は、北朝鮮政府の立場を反映している可能性が高い。応援団は試合中、また試合終了後、繰り返し「私たちは一つ」「私たちだけでよくやった」とコールした。その応援団に向かって金与正氏は繰り返し拍手を送った。応援団の一挙手一投足が、核・ミサイル開発を堅持する正恩氏が仕掛けた「雪解け戦術」を反映していることは間違いない。（江陵＝武田肇）"
"トランプ政権、インフラ投資に２千億ドル支出へ","2018年2月12日09時21分","国際,北米","トランプ米大統領は１２日、今後１０年間で１・５兆ドル（約１６４兆円）を掲げるインフラ投資の詳細案を示す。連邦政府の支出分２千億ドル（約２２兆円）を、この日発表する２０１９会計年度（１８年１０月～１９年９月）の予算教書に盛り込む。トランプ政権は今秋の中間選挙に向け、インフラ投資を減税に続く「実績」にしたい考えだ。米政府高官によると、連邦政府の支出２千億ドルのうち１千億ドル（約１１兆円）は、地方政府や民間による投資を促すための補助金とする。また、州政府の判断で決められる地方インフラ整備のために５００億ドルを拠出するほか、インフラ計画の許認可にかかる期間を２年間に短縮する。米政府によると、米国の主要インフラに占める連邦政府の資金は１４％で、残りの８６％を地方政府と民間が出している。米政府のお金を「呼び水」として、残りを地方政府のお金でまかないたい考えだ。ただ、今後１０年間で１・５兆ドル規模の減税や予算の増額で、連邦政府の財政赤字は大幅に増えるとみられている。米政府の財政悪化懸念は、金利上昇など最近の市場の混乱の要因にもなっており、財源が問題となりそうだ。（ワシントン＝五十嵐大介）"
"「機体バラバラになって落ちた」ロシア機墜落、全員死亡","2018年2月12日08時55分","国際,ヨーロッパ","ロシア・モスクワ郊外で１１日午後に起きた同国国内線サラトフ航空機の墜落で、ロシア非常事態省は同日、乗客・乗員７１人全員が死亡したと発表した。航空当局は原因調査に乗り出した。モスクワ郊外で旅客機墜落　７１人搭乗、生存は絶望的か同航空は乗客６５人と乗員６人の名簿を公表。５歳の女の子を含む３人が未成年で、それぞれスイスとアゼルバイジャンの外国籍の乗客が２人いた。墜落現場では半径１キロほどの雪原に機体の残骸が散乱しており、遺体の収容と同時に、フライトレコーダーのうちまだ見つかっていないボイスレコーダーの捜索が続いている。インタファクス通信によると、墜落機は１月にエンジン・ユニットや翼の状況を調べる技術検査を受けたばかりだった。タス通信によると、２０１０年に就航し、他の航空会社を経て１年前からサラトフ航空で使われていたという。墜落したのは、ロシア製のアントノフ１４８型機。ウクライナのアントノフ社が開発し、中距離旅客機として０４年に製造を開始した機種だ。サラトフ航空によると、機長は総飛行時間５千時間で、うち２８００時間が同型機での飛行だったという。離陸直後、空港から約３５キロの地点で墜落した。機長は離陸後、管制官に機体の不調や緊急着陸の要請などの連絡をしておらず、大統領直属の捜査委員会報道官はロシア通信に「天候状況、人為的要素や機体の問題などあらゆる可能性を前提に捜査する」と語った。「機体はバラバラになって落ちてきた」との目撃証言もある。フライトレコーダーのうち、１０日夕までに操縦の記録をとどめたフライトデータレコーダーが墜落現場から回収された。同日夜、ドモジェドモ空港で記者会見したソコロフ運輸相は機長らの会話を記録したボイスレコーダーの回収を原因調査の課題に挙げた。ペスコフ大統領報道官は、プーチン大統領が事故対応の指揮に当たるため、１２日の南部ソチへの出張を取りやめたと語った。ソチで予定されていたパレスチナ自治政府のアッバス議長との会談はモスクワで行われるという。（モスクワ＝喜田尚）"
"平昌五輪、勝者なき日韓感情の応酬　ネットも政治も","2018年2月12日08時40分","国際,アジア・太平洋,スポーツ,平昌五輪,有料会員限定記事","大会序盤にして、日韓に横たわる問題があらわになっている。葛西紀明４５歳、なぜ伝説になったのかSPIN THE DREAM 羽生結弦特集：平昌オリンピック「あれは狂ってる。よくも韓国で」「すぐ追放しろ」「犬野郎」韓国のネットでこんな言葉が吹きすさぶ。国際オリンピック委員会（ＩＯＣ）の公式インスタグラムに、選手村で雑談するフリースタイルスキー・モーグル男子の西伸幸が映っていた。西がかぶっていたニット帽が、旧日本軍が旗としていた旭日（きょくじつ）旗に似ているという批判だ。色は赤と黒で、紅白の旭日旗とは違う。ただ、確かにデザインは旭日旗の日の出を連想させる。西は９日の予選終了後、「スイスで買った。悪いものという認識は無かったが、色々な方に迷惑をかけてしまい、申し訳ない」と話した。日本オリンピック委員会（ＪＯＣ）も、西に紛らわしい服装を控えるように注意した。旭日旗はこれまでもスポーツの場で問題になった。２０１３年のサッカー東アジア杯日韓戦で、日本サポーターが掲げた。昨年のサッカーのアジア・チャンピオンズリーグでも、韓国での試合で川崎のサポーターが掲げ、川崎が執行猶予付きの無観客試合などの処分を受けた。今回は、旭日旗がはっきりと示されたわけではない。それでも、五輪期間中に旭日旗を使った応援を発見した際に通報を呼びかけている誠信（ソンシン）女大の徐●（つちへんに同）徳（ソキョンドク）教授は、「日本の人々は旭日旗を単にデザインとしてみるかもしれない。でも、韓国だけでなく、アジア全体でよくない歴史を想起させる。ＪＯＣが事前に教育することが重要ではないか」と語る。他にも政治にからむ繊細な問題が起きている。１１日のフィギュア団体では、アイスダンスの韓国ペアが朝鮮半島民謡「アリラン」を演技の曲に使ったが、「独島（島根県・竹島）よ、ゆうべはよく眠れたか」という一節があり、領土問題につながりかねないことから、スポーツの政治利用を禁じるＩＯＣ側と相談し、この部分の歌詞を削除した。開会式では、韓国と北朝鮮が合同入場で掲げた「統一旗」も、竹島は描かれていなかった。だが、観客席で振られた統一旗には、竹島が描かれていた。グラウンドも観客席もスポーツの場として一体だとすれば、矛盾である。そして、韓国のネット上の言葉は前述のように汚い。逆に日本から浴びせる言葉も同じだ。スポーツを通じ、いつも互いが攻撃材料を探しては、挑発し合う。ネット上の「日韓戦」は、勝ち点１ずつを積み上げることのない、勝ち点０同士の引き分けにみえる。日本のサッカーの試合で、スタジアムやツイッターでの差別的言動を監視する活動をする反レイシズム情報センター代表の梁英聖（リャンヨンソン）さんは、「世論が感情の応酬にならないよう、アジア地域で何がＮＧなのか、何を禁止すべきなのか、アジア各国のオリンピック委員会などによるルール化の必要がある」と提唱している。（編集委員・中小路徹）"
"モスクワ郊外で旅客機墜落　７１人搭乗、生存は絶望的か","2018年2月11日22時39分","国際,ヨーロッパ","ロシア緊急事態省によると、１１日午後２時２０分（日本時間同８時２０分）ごろ、モスクワ南郊外のドモジェドボ空港を離陸したサラトフ航空機（アントノフ１４８型機）が直後に連絡を絶ち、墜落した。当局は、乗客６５人と乗員６人の生存は絶望的としている。「機体バラバラになって落ちた」ロシア機墜落、全員死亡同機はモスクワを発ち、カザフスタンに近いウラル山脈南部のオレンブルク州オルスクに向かっていた。だが、離陸して数分で、管制のレーダーから機影が消えたという。まだ上昇中だったとみられる。墜落現場はモスクワの中心部から東南約五十数キロの農村地帯。事故当時、雪が降っており、気温は零下４～５度。積雪で道路事情が悪く、現場に向かった救急隊員ら１５０人は車で到着できず、徒歩で向かったという。国営の２４時間ニュース放送「ロシア２４」は、雪に埋もれた野原に落ちた、機体の一部とみられる破片の映像を流した。事故直後、ソコロフ運輸相が現場に向かった。インタファクス通信は緊急事態当局幹部が「乗員、乗客が生存している可能性はない」と語ったと伝えた。航空当局が墜落原因の調査を始めたが、まだ分かっていない。タス通信によると、フライトレコーダーが見つかったという。ロシア大統領府報道官は、プーチン大統領が政府に対し、事故原因を解明する特別委員会を設置するよう指示したことを明らかにした。サラトフ航空は在モスクワ日本大使館の問い合わせに「乗客名簿に日本人の名前はない」と回答したという。一方、オレンブルク州の当局者はインタファクス通信に「乗客は全員、州の住民だ」と語った。地元報道によると、サラトフ航空機が到着予定だったオルスクの空港には１１日夕、乗客の家族や近親者が集まり、医師や非常事態省のカウンセラーらが対応しているという。（モスクワ＝喜田尚）"
"妹・与正氏「平壌で再びお目に…」　五輪外交終え帰国へ","2018年2月11日22時36分","国際,アジア・太平洋,平昌五輪","北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の実妹、金与正（キムヨジョン）氏らは１１日、韓国の李洛淵（イナギョン）首相らとソウルで面会した。金与正氏らは同夜、北朝鮮・三池淵（サムジヨン）管弦楽団のソウル公演を文在寅（ムンジェイン）韓国大統領と共に鑑賞した後、空路で北朝鮮に向けて出発した。指導者の妹「最高のカード」　訪朝要請、北朝鮮に焦りも文氏が金与正氏らと会ったのは３日連続。李首相は金与正氏らとの昼食会で、１０日の会談の際に正恩氏が文氏の訪朝を要請していると北朝鮮側が伝えたことに触れ、「条件を整え、南北首脳が会うことを期待する」と語った。金与正氏は１１日夜、大統領秘書室長主催の夕食会で「一つになる日を前倒しし、平壌で再びお目にかかりたい」と述べた。北朝鮮の労働新聞（電子版）は１１日付１面で、文氏と金与正氏らの会談と、五輪女子アイスホッケー南北合同チームの試合を、それぞれ写真付きで報じた。（ソウル＝牧野愛博）"
"凶器の男、買い物客ら襲う　北京　女性死亡、１２人けが","2018年2月11日21時42分","国際,アジア・太平洋,中国","１１日午後１時（日本時間同日午後２時）ごろ、北京市中心部のショッピングモールで、凶器を持った男が買い物客らを襲い、女性１人が死亡、１２人が負傷した。男は現場で警察に取り押さえられた。在北京日本大使館によると、日本人が巻き込まれた情報はない。警察当局によると、容疑者は河南省出身の男（３５）で、うっぷんを晴らすために襲ったと供述しているという。現場は天安門広場の約２キロ西の繁華街にあり、休日は多くの買い物客らでにぎわう。（北京＝冨名腰隆）"
"北朝鮮、応援団乗せた万景峰号の燃料要求　韓国側は難色","2018年2月11日19時53分","国際,アジア・太平洋,平昌五輪,有料記事","北朝鮮が、同国の楽団を乗せて韓国に入港した貨客船「万景峰（マンギョンボン）９２号」について、燃料５００トン（約３５００バレル）を韓国に要求していたことがわかった。南北関係筋が明らかにした。２００２年釜山アジア大会で同号が韓国に入港した際、北朝鮮が要求したのは燃料１００トン。今回はその５倍だ。韓国側は軍事転用の恐れがあると難色を示し、北朝鮮は９日に要求を取り下げたという。万景峰９２号が６日、三池淵（サムジヨン）管弦楽団を乗せて江原道（カンウォンド）・墨湖（ムゴ）港に入港後、北朝鮮は「帰途に使う」として燃料の提供を韓国側に要請。軽油やガソリンなど石油精製品の北朝鮮への年間輸出量を５０万バレルに制限した国連安全保障理事会の制裁決議の例外にするよう求めたという。韓国政府は当初、０２年釜山アジア大会の際、万景峰９２号が北朝鮮応援団を運んで釜山港に寄港した時と同じ対応をする方針だった。だが、墨湖は釜山より同号が母港とする元山に近いのにもかかわらず、北朝鮮は０２年の５倍の燃料を要求。韓国は米国と対応を協議し、「軍事転用するつもりでは」と危惧する声があがったという。北朝鮮は９日、要求を撤回。万景峰９２号は１０日、三池淵管弦楽団が下船後、北朝鮮に向けて出航した。北朝鮮と韓国は金剛山地区で２月６日に開催予定だった南北合同文化行事を巡っても、韓国が発電に使う軽油など計３万リットル（約１９０バレル）の提供を計画。国連安保理制裁決議の例外とするよう米国と調整していたが難航し、北朝鮮が突然、行事の開催中止を通告したことがある。（ソウル＝牧野愛博）"
"台湾「連続して大地震」うわさ信じないで　気象局が注意","2018年2月11日18時17分","国際,アジア・太平洋","６日に強い地震に見舞われた台湾東部・花蓮県の行政トップは１１日、不明者の捜索を打ち切ると発表した。これまでに１６人の死亡を確認し、１人が行方不明だが、生存の可能性はないとみている。死亡者・不明者計１７人のうち９人が中国からの旅行者だった。台湾当局は、これ以上のビル崩壊現場の捜索は危険なため、重機を使ったビルの解体作業を先に進める。不明者の家族からも同意を得たという。花蓮県では、６日深夜に花蓮沿岸を震源とするマグニチュード６・０の地震が起きて以降、１１日午前までに約３００回の大小の揺れが断続的に続いている。６日の地震以降、「連続して大地震が起きる」と語る民間の「地震予測家」や占師の発言がメディアで紹介され、人々にうわさが広がっている。これに対し、台湾の中央気象局は「科学的根拠はない。信じないで」とする見解を発表し、冷静な対応を求めている。（台北＝西本秀）"
