"title","date","tags","article"
"羽田空港内で強盗、４００万円奪い逃走　第２ターミナル","2018年2月13日12時25分","社会,事件・事故・裁判","東京都大田区の羽田空港第２旅客ターミナルビル内で１２日午後９時ごろ、夜間金庫に売上金を預けようとしていた土産物店のアルバイト店員の女性（３４）に男が刃物を突きつけて脅し、約４００万円を奪って逃走した。警視庁が強盗事件として男の行方を追っている。女性にけがはなかった。東京空港署によると、男は女性の背後から近づき、包丁のような刃物を突きつけて「おい」と声をかけた。驚いた女性が売上金約４００万円が入ったかばんを床に落とすと、男はかばんを拾って逃走したという。男は３０代くらいで、身長１７０センチ程度。灰色のニット帽にズボン、黒のジャンパー姿だったという。"
"菅長官「圧力かけ続け、政策を変えさせる」　対北朝鮮","2018年2月13日12時23分","社会,政治,国際,アジア・太平洋","ペンス米副大統領が米紙ワシントン・ポストのインタビューで、米朝対話の可能性を示唆したことを受け、菅義偉官房長官は１３日午前の記者会見で、「圧力をかけ続け、北朝鮮に政策を変えさせることに全力で取り組んでいく。この基本姿勢はまったく変えるつもりはない」と述べた。菅氏は、北朝鮮が６者協議の共同声明に盛り込まれた核放棄を実行しなかったことなどにも触れ、「北朝鮮との対話を主張する向きもあるが、対話のための対話ではまったく意味がない」と強調した。"
"半蔵門、青山…東京の地名、愛知・岡崎と縁　家康の故郷","2018年2月13日12時23分","社会,その他・話題,カルチャー,ひと・歴史","愛知県岡崎市には「江戸のふるさと岡崎」というフレーズがある。岡崎生まれの徳川家康が関東に移り、江戸幕府を開いたからだ。実は、岡崎は家康以外にも江戸（東京）とのつながりがある。（大野晴香）家康家臣の三河武士たち約２６０年続いた江戸幕府を開いた家康は１５４２（天文１１）年、岡崎城で生まれた。幼少期と、桶狭間の戦いをきっかけに今川家の人質から解放された後の１０代後半から２０代の青年時代を、ここで過ごした。その後、浜松や駿府に居城を移したが、三河（愛知県）を治め続けた。９０（天正１８）年に関東に移ると、江戸の街づくりに力を入れた。新宿、半蔵門、青山――。東京２３区に今も残る地名や呼称が、岡崎と深い関わりがある。桜の名所で知られ、首相主催の「桜を見る会」が開かれる新宿御苑。所在地の住所は東京都新宿区内藤町だ。「内藤」という地名が戦国時代、岡崎に住んでいた内藤清成という三河武士に由来している。家康は関東に移る際、三河から家臣たちを連れて行った。その１人の清成は、家康に仕え、岡崎では岡崎城のすぐ北側の大林寺（岡崎市魚町）の近くに屋敷を構えていたとされる。清成を巡っては、今も「駿馬（しゅんめ）伝説」が残る。江戸を本拠地にした家康は、清成が馬で駆けた範囲を領地で与えたとされ、広さは新宿一帯の２０万坪に及んだという。この領地には甲州街道ができた。新たな宿場町が作られ、「内藤新宿」と呼ばれるように。その町が、今の新宿の始まりだ。後の皇居となる江戸城の西側に置かれた「半蔵門」。甲州街道（現・国道２０号）につながっており、有事の際には将軍を甲州（山梨県）へ逃がすことを想定した。ここで将軍の安全を守る役割を担ったのが服部半蔵正成だ。正成は８２（天正１０）年の本能寺の変の際、堺にいた家康が伊賀（三重県）を通って三河に逃げた「伊賀越え」で護衛を務め、地元の伊賀者と交渉し助けを得た。正成も岡崎の生まれとされ、岡崎城がある今の岡崎市康生町のあたりに屋敷を構えていたとされる。意外性「興味持って」家康とともに関東に入った岡崎出身の三河武士をもう１人。青山忠成という人物がいた。岡崎市北部の百々（どうど）という地域の出身で、家康が幼少の頃から小姓として仕えた。関東では町奉行だった。与えられた屋敷地は現在の原宿、赤坂、渋谷のあたりまであったといい、高級ブランド店やブティックが並ぶ青山の地名の由来になっている。青山家が岡崎にあった名残があると、おかざき塾歴史教室主宰の市橋章男さん（６３）が史跡に案内してくれた。同市百々町。七所神社のほか、民家が並ぶ住宅街だ。その一角の丘に、亀の甲羅に大きな墓石を乗せたような形をした碑が建っていた。「青山府君碑」と刻まれている。ここには青山家が守っていた百々城があった。「主君がその土地を離れると、家臣たちは親族も含め、皆がその土地を出てついていくのがルールでした」岡崎商工会議所などは２００４年から、「江戸のふるさと岡崎」のキャッチフレーズで、岡崎市をＰＲしている。大都会・東京の土台を、岡崎ゆかりの武士たちが築いたという自負が、市民にはある。「こうした意外性で、もっと岡崎や三河武士に興味を持ってほしいですね」と、市橋さんは話す。"
"日韓合意「私にも厳しい批判」　安倍首相、文氏に伝える","2018年2月13日12時08分","社会,国際,アジア・太平洋","安倍晋三首相は１３日の衆院予算委員会で、韓国平昌で文在寅（ムンジェイン）大統領と会談した際、慰安婦問題に関する日韓合意について、「文大統領には、あの決断の際にも私に対して様々な厳しい批判があったことを伝えた」と明らかにした。首相は文氏に対し、合意に関する韓国内の批判を乗り越えるよう求めた形だ。慰安婦合意の履行は平行線　日韓首脳会談、弱い手応え【速報中】衆院予算委集中審議タイムライン自民党の柴山昌彦筆頭副幹事長の質問に答えた。首相は文氏に対し、「リーダーがある程度批判されることを含めて決断しなければ、未来志向の関係は築けないと申し上げた」と述べた。安倍首相の今回の訪韓に対しては、日本国内に反対論があった。首相はこれを念頭に「韓国及び北朝鮮に対し、我が国の立場を直接伝える観点からも、平昌五輪の盛り上がりを東京大会の成功につなげていく観点からも、大変有意義であった」と強調した。また、首相は平昌冬季五輪の歓迎レセプションで北朝鮮の金永南（キムヨンナム）・最高人民会議常任委員長と同席した際、拉致問題、核・ミサイル問題に関する日本側の考えを伝えた説明。「特にすべての拉致被害者の帰国を含め、拉致問題の解決を強く求めた」と述べた。１３日の衆院予算委は経済問題などに関する集中審議として行われた。１４日は外交・安全保障などをテーマにした集中審議がある。"
"さっぽろ雪まつり、来場１０万人減　インフルや五輪影響","2018年2月13日12時07分","社会,その他・話題,トラベル,まつり＆花火,北海道","冬の札幌名物「第６９回さっぽろ雪まつり」が１２日閉幕し、１３日から雪像の解体作業が始まった。実行委員会によると、開催が例年より１日延びたのに、来場者数は過去最多だった前回を約１０万人下回る２５４万３千人。インフルエンザの流行や平昌五輪の中継と重なったためとしている。大通公園では１３日朝、高さ１０メートルを超える大雪像が次々に崩され始めた。大型トラック約７００台分の雪を使い、２８日間かけて制作された人気ゲーム「ファイナルファンタジー」の大雪像もショベルカー２台であっというまに崩された。青森市から親子で訪れた星野拓真くん（４）は「ずっと見ていたかったから壊すのはもったいない」と話した。解体作業は見学ツアーも組まれるほどの人気。大勢の見物客らが見入った。（今泉奏）"
"大雪続く北陸、福井北部で休校相次ぐ　ＪＲ特急も運休","2018年2月13日12時03分","社会,災害・交通情報","１３日も日本海側を中心に大雪となり、学校の休校や鉄道の運休が相次いだ。１４日は冬型の気圧配置が緩み、雪は弱まる見通しだ。福井県北部では６日から休校していた小中学校、高校の多くが１３日から再開予定だったが、前夜から激しい雪が降り続き、休校が続出した。県教育委員会によると、１３日午前９時時点で小学校８８校、中学校３０校、県立高校２３校が休校した。福井市の積雪は午前９時現在で１０９センチになる。ＪＲ西日本によると、特急「サンダーバード」（大阪―金沢）と特急「しらさぎ」（名古屋・米原―金沢）が１３日は終日運休する。在来線は北陸線の敦賀―福井間で始発から運休し、福井―金沢間でも一部列車で運転を取りやめている。空の便も、小松空港を発着する一部の便で欠航が出ている。"
"久屋大通公園、三井不動産代表のグループが再開発　愛知","2018年2月13日11時56分","社会,その他・話題,経済,産業・商品,政治,地方政治","名古屋市は１３日、名古屋テレビ塔を含む久屋大通公園（中区）北地区の再開発を担う事業者について、三井不動産を代表とする企業グループに決めたと発表した。五つの広場計１万平方メートルとテラスを設け、飲食店が入る施設を建てる。２０１９年１月にも工事を始め、２０年に完成する予定。【特集】名古屋駅、変わりゆく街企業側の提案によると、テレビ塔近くにステージを設置。トイレや駐輪場を増やし、電子看板も置く。市は都市公園法改正による規制緩和を受け、同公園の整備や運営を一括して任せる企業を公募していた。２７年のリニア中央新幹線開業を見据え、同公園を含む栄地区の魅力向上を図る。"
"財務省公表の森友新文書「面会記録ではない」　麻生氏","2018年2月13日11時47分","社会,事件・事故・裁判,政治","学校法人「森友学園」（大阪市）への国有地売却問題で、学園側との交渉経過が含まれる２０件約３００ページ分の文書を財務省が９日に公表したことについて、麻生太郎財務相は１３日の衆院予算委員会で「（学園側との）面会記録ではない」とし、交渉の記録を「廃棄した」と説明してきた佐川宣寿・前理財局長（現・国税庁長官）の答弁に問題はないとの認識を示した。文書の内容はこちら【速報中】衆院予算委集中審議タイムライン新たに公開した文書は、学園が土地を買う前に賃貸の交渉をしていた２０１３年８月～１５年４月に、近畿財務局内部で契約の法的な課題を検討した際の記録。交渉の経緯として、学園側に貸付料の概算額を伝えたとする記載や、学園側から再三の値引き要求があったことを示す内容も含まれていた。立憲民主党の長妻昭氏は予算委で、文書が学園側との交渉記録にあたると指摘。国会で交渉記録の提出を求められた際に「面会等の記録は廃棄した」と説明してきた財務省の佐川氏の答弁を問題視した。麻生氏は「（文書に）必要な情報として相手方の主張や当方の考え方が含まれている」としつつ、「具体的に相手方とのやりとりを記録した面会記録ではない」と述べた。財務省から今後新たな文書が出てくる可能性を問われると、「今後も（開示の）要請があり、仮に該当する資料があれば、提出に向けて努力する」と答えた。また麻生氏は、佐川氏を国税庁長官にあてた人事について、「多種多様な課題の解決にあたってきた人物で、適任だ」と改めて説明。記者会見が開かれていないことも「前職（理財局長）のことについて国税庁長官として答える立場ではない」とした。"
"通りすがりの女性に抱きついた疑い、小学校教諭を逮捕","2018年2月13日11時45分","社会,事件・事故・裁判,教育・子育て,教育問題","愛知県警は１３日、通りすがりの女性に抱きつき体を触るなどしたとして、同県江南市立古知野南小学校教諭、滝翔太朗容疑者（２５）＝同市高屋町大門＝を強制わいせつの疑いで逮捕し発表した。「間違いない」と容疑を認めているという。江南署によると、滝容疑者は昨年１１月２９日午後８時４５分ごろ、市内の路上で通りすがりの女性（当時１８）の背後から抱きつき、体を触るなどのわいせつな行為をした疑いがある。同署管内では昨年中に同様の事件が複数件発生しており、署が関連を調べている。"
"無登録の仮想通貨交換業者に警告　改正資金決済法で初","2018年2月13日11時37分","社会,経済","金融庁は１３日、無登録で仮想通貨売買を勧誘するなどしたとして、「ブロックチェーンラボラトリー」（本社・マカオ）に対し、改正資金決済法に基づく警告を、昨春の同法施行後初めて出した。無登録なのに企業の仮想通貨による資金調達（ＩＣＯ）への勧誘や受け付けをネット上で行い、法令違反と認定した。即時の業務停止を求め、従わなければ刑事事件になる可能性もある。仮想通貨交換業者は登録制で、売買の媒介をする業者も登録が必要になる。国内の交換業者は登録された１６社と登録審査中の「みなし業者」１６社の計３２社。ただ、海外の業者がネット上で営業するケースがあり、金融庁はラボラトリー社も含めて１５社に照会状を出していた。"
