"title","date","tags","article"
"立憲・枝野氏「ＪＲ北海道や過疎地のバス路線は不可欠」","2018年2月12日16時31分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）ＪＲ北海道の（経営）問題は大変深刻な問題だ。国鉄改革は（ＪＲに民営化した）あの時点にさかのぼって「間違っていた」とは言えないが、もう一度見つめ直す時期になっているのではないか。北海道の場合はＪＲだが、全国各地では私鉄の鉄道・バスも人口減少、高齢化の時代の中で、３０年、４０年前と比べ、飛躍的に公共交通の持つ役割が大きくなっている。新しいスキームを作ることを含めて、しっかりと今後も成り立っていくための知恵を出していきたい。（安倍政権が財政投融資で３兆円を投入する）リニア（中央新幹線）がなくても東海道新幹線はある。しかし、ＪＲ北海道の多くの鉄軌道や過疎地域の民間バス路線などは、それがないと地域が成り立たないという不可欠なインフラだ。優先順位は誰が考えてもはっきりしている。（１２日、北海道帯広市内の会合と終了後の取材で）"
"安倍首相の発言は「王様みたい」　希望・玉木氏","2018年2月12日14時28分","政治,国政,発言録","玉木雄一郎・希望の党代表（発言録）（安倍晋三首相の「国民投票で否決されても自衛隊は合憲だ」との発言について）国民（投票）にかけて、国民がおかしいと言っていることを、私が言っているから正しいんだというのは王様みたいなもの。権力者に王様のようなふるまいを許さないためにつくられているのが憲法で、そうした考え方が立憲主義。そのことを平気でふみにじるようなことを言っている安倍総理の改憲案は、極めて危険だ。党内でもし９条は変えないということで合意を得られるのであれば、それも一つの大きな柱にして、これから論戦あるいは国民に、しっかり訴えていけばと思っている。（１２日、岡山県倉敷市の会合で）"
"火葬場が足りない　冬場は「１週間待ち」の自治体も","2018年2月12日10時51分","社会,政治,地方政治,神奈川,有料記事","少子高齢化が進むなか亡くなる人の数が年々増加し、火葬場の「待ち日数」が長くなっている。横浜市が火葬場の新設を決めるなど、各自治体が対策に動き出した。一方、待ち日数を利用した新サービスも生まれている。横浜市の推計では、増え続けてきた市の人口は２０１９年をピークに緩やかな減少に転じ、今後は急激な高齢化が進む。これにより、死亡者数も大幅に増える。市内の死亡者数は１６年に３万１８３３人だったが、３５年には約４割増の４万５千人に達する見通しだ。火葬件数はすでに増加傾向だ。市内にある市営４斎場と民営１斎場の火葬件数は、０８年度に２万５５８３件だったが、１６年度には約２４％増の３万１６８１件にのぼった。火葬の待ち日数も伸びている。１４年度は平均３・７１日だったが、１６年度には４・０１日。お昼前後の火葬を希望する人が多く、昼に限れば待ち日数はもっと長い。死者数が多い冬季は待ち日数が長くなるという。横浜市は１９９８年度から、「葬儀を行うのを忌む日」とされる「友引」の日にも１斎場を、２０１６年度には３斎場を開き、火葬増加に対応してきた。だが、今後も増加が続き、対応しきれなくなると判断。鶴見区大黒町の埋め立て地に新たな斎場を建設する方針を決め、新年度予算案に計画費など２千万円を盛り込んだ。新斎場の予定地は現在はスポーツ広場として使われており、周辺は倉庫や工場が立ち並ぶ。広い面積が確保できる敷地として選ばれた。１６基の火葬炉を作り、最短で２５年度の完成を見込む。市環境施設課の担当者は「新しい斎場ができれば安定的に火葬ができるようになり、待ち日数も減っていく」と話す。相模原市営斎場も、１～３月の正午前後は火葬が５～６日待ちの状態。徐々に長くなっているという。同斎場では、火葬できるのは年間７７００件程度。亡くなる人が増え、約１０年後には火葬能力が足りなくなる見込みだという。市は緑区青山に新たな市営斎場を作る方針を打ち出したが、住民の反発もあり、見通しは立っていない。川崎市には市営の２斎場があるが、０６年度に計８３６１件だった火葬件数は１６年度に１万３５３件。１０年で約２４％増えた。冬場は１週間ほど火葬を待つこともあるという。市は今後も予想される需要の増加に対応するため、かわさき北部斎苑（高津区）を改修中だ。小田原市でも、現在の斎場の老朽化や今後の需要増を見込んで施設を更新中で、１９年度中に一部供用を開始する。各地で待ち日数が長くなるなか、この時間を利用した新たなサービスも生まれている。川崎市中原区の葬儀社「花葬（はなそう）」は１月、火葬待ちの数日の間に故人を家族らと一緒に車に乗せ、故人ゆかりの地などをめぐるサービスを始めた。「寝台車」と呼ぶ黒や銀色のワゴン車に乗せる。家族などが２人まで同乗できる。たとえば、遠い故郷を離れて川崎で暮らしていた故人を乗せて、火葬前に故郷をめぐり、川崎に戻るといった使い方を想定している。車で行ける場所なら全国どこでも対応可能で、川崎から大阪に行って戻ると約１５万円。高速料金が別にかかる。同社の大屋徹朗社長（３３）は「火葬まで日数がかかり、その間に何かできないかと思っていた。故人の思い出の地をまわって、火葬までの時間を有意義に使える」と話す。（飯塚直人）"
"立憲・枝野氏「自衛隊書いても何も変わらないは大うそ」","2018年2月12日04時03分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）（安倍晋三首相が目指す憲法への自衛隊明記について）おかしな方向に動き出した時には止められるが、ある程度動いてしまうと、何百倍、何千倍のエネルギーがかかる。物事はできるだけ早いうちに芽を摘んだ方がいい。特に安倍さんが言っている「自衛隊を（憲法に）書いても何も変わらない」という大うそをどれだけ多くの人たちに伝えられることができるのかが勝負だ。（１１日、北海道帯広市の集会で）"
"山陰新幹線「総裁選の公約に」実現する会の自民・西田氏","2018年2月11日19時15分","政治,国政,発言録","山陰新幹線を実現する国会議員の会・西田昌司事務局次長（自民党参院議員）（発言録）みなさんにちょっと提案したい。石破茂（議員の会）会長が来られています。そして細田博之先生は安倍晋三さんの（出身派閥の）清和研（細田派）の会長。そして竹下亘先生は、平成研（額賀派）の会長予定者です。（議員の会の）最高顧問は安倍さん。石破先生にもぜひ、総裁選に立候補していただいて、山陰新幹線の実現をぜひ、公約に掲げていただきたい。石破先生がやったら、当然、安倍総裁も（公約に）書かざるを得ないんですよ。そして竹下先生にも平成研の政策にぜひ取り上げていただく。そうしますと、実現できる。（松江市であった山陰新幹線の早期実現を求める大会で）"
"首相動静―２月１１日","2018年2月11日18時18分","政治,国政,首相動静","終日、東京・富ケ谷の自宅で過ごす。"
"国民投票「『恐れがある』議論起こると…」自民・細田氏","2018年2月11日17時10分","政治,国政,発言録","細田博之・自民党憲法改正推進本部長（発言録）（参院選の県境をまたぐ「合区」について）今の制度は大きな矛盾があるから、党憲法改正推進本部として（改憲原案の）案文をつくる。まもなく条文化をする。（９条改正については）自衛隊（の存在）をきちっと書く案を今、考えているところだ。もう少し経って、（党内の）議論を収束させたい。憲法改正案は、できるだけ早く整理して、みなさんの納得が得られる案に充実させる。そして国会で審議し、最終的には国民投票にかける。あんまり、「国民投票のときにこういう恐れがある」「ああいう恐れがある」という議論が起こると、反対論が多くなる。そうならないように誘導していくことが必要だ。（松江市内の会合で）"
"ヘリ墜落、直撃の２軒のほか７件で被害　陸自が確認","2018年2月11日11時54分","社会,事件・事故・裁判,政治,国政","佐賀県神埼市で陸上自衛隊のＡＨ６４Ｄ戦闘ヘリコプターが墜落した事故で、陸自は１１日、同日午前８時までに、墜落したヘリが直撃した民家２軒のほかに、現場から約２００メートルの範囲で７件の被害が出ているのを確認したことを明らかにした。ヘリの部品が屋根を貫通したり、倉庫の壁に穴があいたりしているという。防衛相、佐賀県知事に謝罪　陸自ヘリ墜落事故小野寺五典防衛相が同日、墜落事故の謝罪のため、佐賀県の山口祥義知事と会談した際に提出した資料で示した。陸自は、１０日から約１千人態勢で、ヘリの飛行経路にあたる約８キロで、落下物や被害がないか調査している。"
"改憲巡り石破氏「石破のほうが好戦的、は正しくない」","2018年2月11日11時10分","政治,国政,発言録","石破茂・自民党元幹事長（発言録）（憲法改正について）党の総裁選の争点になるのは実に望ましい。野党の３年余りの間に改正草案をまとめ、党議決定し、それを掲げて政権を奪還したはず。３年余りの議論をなかったことにするのはやっちゃいけない。「野党の時に決めたもの」という人もいるが、与党になったら違うといったら、野党の時に自民党が何を議論しても誰も信用しない。（９条２項を残す改憲には）反対だ。改正草案はそうなっていない。（安倍晋三首相の９条２項を変えれば、フルスペックの集団的自衛権の行使を認めることも可能との発言について）集団的自衛権は憲法上制約があるわけではなく、自民党で党議決定した安全保障基本法で、こういう場合でなければ使ってはいけないと明記し、集団的自衛権行使に歯止めをかけるということだ。自分のほうが平和的で、石破のほうが好戦的というのは、考え方としてあんまり正しいとは思えない。（改憲での公明党への姿勢を問われ）自民党の考え方を確定しないで、公明党にこれなら妥協をしてもらえるかなどを考えるのは、政党のあり方として正しくない。自民党の考え方を確定し、ハードルを下げていくことはあるかもしれないが、最初から落としどころを決めるのは、自民党議員が突き詰めて理想を考えることを放棄することになる。（ラジオ日本の番組で）"
"防衛相、佐賀県知事に謝罪　陸自ヘリ墜落事故","2018年2月11日10時57分","社会,事件・事故・裁判,政治,国政","佐賀県神埼市で陸上自衛隊のＡＨ６４Ｄ戦闘ヘリコプターが住宅に墜落した事故で、小野寺五典防衛相は１１日午前、佐賀県庁で山口祥義知事と会談した。小野寺氏は「防衛省自衛隊として改めておわび申し上げる」と謝罪。山口知事は「最近、部隊関係の事故が多いように感じる。民間人を巻き込んではならないことを肝に銘じて欲しい」と応じた。ヘリ墜落、直撃の２軒のほか７軒で被害　陸自が確認防衛相、被害家族らに謝罪　ヘリ墜落事故後初の現地入り会談で知事は「今回の事故が起きたのは、小学校や幼稚園が立地する住宅地だ。大変憂慮している」と指摘。防衛相に対し、①原因究明②再発防止策の徹底③被害家族や住民への丁寧な対応の３点を要請した。これに対し、小野寺氏は原因究明について「（検証に）学識者も入って早急に結果を出して報告する」と強調。被害者への補償も「防衛省を挙げて誠心誠意対応する」と述べた。（相原亮）"
"韓国の対北朝鮮策に日本懸念　「文氏訪朝、ありえない」","2018年2月11日00時33分","政治,国政,国際,アジア・太平洋","日本政府は懸念と不満を強めている。小野寺五典防衛相は１０日、視察先の佐賀県で記者団に「過去、日本も韓国も北朝鮮の融和的な政策に乗ってしまい、結果として北朝鮮が核・ミサイル開発を継続した」と指摘。「その反省は韓国も十分認識し、しっかり対応されると思う」と話した。北朝鮮、文大統領に訪朝要請　「条件整え実現を」と返答外務省幹部は「北朝鮮は非核化への具体的な行動を一切示していないのに文氏が訪朝するなどありえない」と語る。そもそも安倍晋三首相の訪韓は、ペンス氏とともに文氏に圧力強化に向けた日米韓の結束を念押しするのが大きな目的だった。だが、必ずしも成果は出ておらず、日米両国には焦りもにじむ。日米関係筋によると、９日の日韓首脳会談直後、米国側の要請で安倍首相とペンス氏が急きょ会談。さらにペンス氏は自身の車に首相を招き入れ、文氏主催のレセプション会場までの車中でも今後の対応を協議したという。日本政府関係者はこう強調する。「韓国がこれ以上北朝鮮に傾斜しないよう、日米で連携してクギを刺し続ける必要がある」（平昌＝松井望美）"
"首相動静―２月１０日","2018年2月10日22時42分","政治,国政,首相動静","（現地時間１０日）午前、韓国・平昌にある平昌冬季五輪の選手村で日本選手団を激励。午後、平昌のジャパンハウスで日本オリンピック委員会など主催のレセプションに出席。江陵のジャパンハウスを視察。江陵の選手村で日本選手団を激励。アイスホッケー競技会場でアイスホッケー女子の日本対スウェーデン戦を観戦。政府専用機で襄陽国際空港発。【１０日午後】９時４０分、平昌冬季五輪開会式出席など韓国訪問を終え、政府専用機で羽田空港着。１０時１９分、東京・富ケ谷の自宅。"
"「会見しない佐川氏、違和感ある」　自民・石破元幹事長","2018年2月10日19時34分","政治,国政,発言録","石破茂・自民党元幹事長（発言録）（学校法人「森友学園」への国有地売却問題で昨年の国会答弁の妥当性が疑問視されている佐川宣寿・現国税庁長官について）国会で証人喚問や参考人に出てきてくれとは言わないが、記者会見にも応じないのは、正直言ってすごく違和感がある。適材適所で立派な方なのだから、なんらやましいところもないならば、きちんと説明する責任はあると思う。もやもやといつまでも引きずっていると、かえってよくない。どんな質問をされようと、きちんと正当性を主張することが、行政に対する信頼につながると思う。「きちんと行政が正当になされたのだ、なぜならば」、ということを説明していただきたい。与党の一員としてそう思う。（ＴＢＳの番組収録で）"
