"title","date","tags","article"
"仮想通貨「期待」が拡散　ゲーム感覚、若者つかむ仕組み","2018年2月11日05時01分","社会,その他・話題,経済,テック＆サイエンス,企業・サービス,有料会員限定記事","仮想通貨交換業者「コインチェック」の不正流出で注目される仮想通貨。若者がゲーム感覚で投資し、相場が急騰。代表的な仮想通貨ビットコインは昨年末、一時１コイン＝２００万円超と年初の２０倍に達した。そのブームの背景とは。（編集委員・須藤龍也、真海喬生、榊原謙）仮想通貨と日本円など法定通貨との大きな違いは、その価値の裏付けがあるかだ。日本円は国の信用や経済力をバックに価値が決まる。仮想通貨には具体的な価値の裏付けはない。あるのは、既存通貨より安く、速く送ることができ、利用が広がるかもしれないという、「期待」だけだ。仮想通貨はお札や硬貨のようなモノではなく、電子データだ。一見電子マネーと似ているが、電子マネーは日本円を便利に使うための道具だ。ＪＲ東日本のＳｕｉｃａ（スイカ）で利用者は日本円をチャージして使う。スイカのシステムを通じて日本円を使うだけで、スイカという通貨があるわけではない。仮想通貨は、日本円とコインを交換業者で交換し、コインで支払える店で使う。どれだけ買い物できるかは相場によって変わる。相場が「１コイン＝１００円」なら１００円相当、「１コイン＝５０円」に下がれば５０円相当しか買えない。価格変動が大きい外貨を持つようなものだ。仮想通貨の将来性への期待感が、仮想通貨自体の価値が今後上がる、という予想につながり、日本円など法定通貨に対する価値が徐々に上がってきた。その後は値上がり期待からビットコインは昨年１年間で２０倍、今回コインチェックから不正流出したＮＥＭ（ネム）は２００倍に急騰。バブル的な状況になったが最近は急落している。昨年初めまで、仮想通貨の取引量の多くは中国が占めていた。しかし中国当局は、人民元と仮想通貨を交換し、海外に資産を移す動きを警戒。規制を強化し、秋には交換所を禁止した。代わって対日本円の取引が増えた。大和総研によると、対円の仮想通貨の取引は昨年初めの数％から、最近は４割に迫るという。金融庁はこうした取引拡大に対応し、交換業者を登録制にするなどしてきた。しかし想定外の仮想通貨バブルの中、巨額流出が起きた。海外では仮想通貨が犯罪のマネーロンダリング（資金洗浄）に使われることへの懸念が強い。独仏は３月の主要２０カ国・地域（Ｇ２０）財務相・中央銀行総裁会議で仮想通貨の国際規制を提案する。大和総研の矢作大祐研究員は「抜け道をつくらせないためにも、規制づくりの国際協調は大切だ。中長期的な仮想通貨のリスク抑制につながる」と話す。価格変動が大きい投機商品と化した仮想通貨について、通貨としての将来性を疑問視する声が多い。しかし、その根幹の技術は注目されている。仮想通貨は暗号化によるデータ改ざんの難しさや、低コストの送金ができる点が特徴だ。大手銀行では、その技術を応用した決済システムの低コスト化が検討されている。「ご褒美」目当て、取引チェック仮想通貨の根幹にあるのは「ブロックチェーン」と呼ばれるデータのしくみだ。ビットコインでネットショッピングをすると仮定しよう。まずパソコンやスマートフォンで「ウォレット」という口座をつくり、仮想通貨交換業者で円と交換してコインを手に入れる。コインで買い物をする場合、お店のウォレットに代金のコインを送る。こうした取引データの蓄積などのシステム運営は、特定の組織が行っているわけではない。世界中でコンピューターの技術がある人々が、自主的に運営に参加している。取引データは運営参加者のコンピューターに送られ、大量にたまるとファイルのような束にまとまる。この束は送金などの順番通りに自動的に並べられる。運営参加者は、取引データが間違っていないかをチェックする。世界中の参加者に同じデータが送られ、彼らは速さを競う。取引データの正しさを速く正確にチェックした者には、自動プログラムで「コイン」がもらえるようになっている。そのため、営利目的でチェック作業に参加する者は、多額の費用をかけて高性能のコンピューターを用意する。一連のデータ処理の仕組みは、２００８年に「サトシ・ナカモト」と名乗る正体不明の人物がネットに投稿した論文がもとになっている。それに興味を示した世界中のネット愛好家が自主的にシステム運営に参加し、現在も続けられている。特定の管理者はいないシステムだ。コインという「ご褒美」が用意され、それを目当てに複数の目で取引をチェックさせ、正確性を維持する。そうしたシステムが仕込まれたプログラムがネット上で流布し、自主的に運営されるという構図だ。コインを送金する時に使うウォレットの名前は英数字の羅列で、匿名性が高い。データも暗号化され、偽造は難しいという特徴もある。ビットコインに類似した仮想通貨が次々に生まれ、今や１千種類以上の仮想通貨があるとされる。不正流出したＮＥＭもそうだ。若者に広まり、数百万人超仮想通貨は、いったいどんな人が取引しているのか。以前はＩＴに詳しい一部のマニアの楽しみ程度だったが、この１年で一般の人に広まった。仮想通貨の取引人数や金額の具体的な統計はない。交換業者幹部は「日本で取引する人は数百万人超ではないか。大学生から３０代の社会人の間で昨夏以降、ツイッターやフェイスブックで広まった」という。都内の男性会社員（３１）は昨夏、今回問題を起こしたコインチェックで仮想通貨の取引を始めた。約５０万円を投じてビットコインを買い、スマホで値動きをチェックした。その後、より値上がりしそうな通貨に買い替えた。今回流出したＮＥＭも含まれる。「ビットコインは登場して１０年近く経っていて、もうダサい。もっと新しい通貨の方が将来性がある。どんどん通貨は進化していますから」。注目するのは、値上がりするかどうかだ。保有通貨の相場価格は昨年末、元手の４倍の２００万円に膨らんだ。今はコインチェックから通貨を引き出せない。それでも「一獲千金を狙ったお金で、あまり落胆はない。業務再開の時はなにかキャンペーンをやるかも」。取引をやめる気はない。金融庁に登録している交換業者は審査中の「みなし業者」も含めて３２社。ネット証券や外国為替証拠金取引（ＦＸ）からの参入や、コインチェックのようなベンチャーもある。相場高騰で交換業者の取扱高は増え、手数料などの収入も増えた。コインチェックは不正流出で５８０億円分のＮＥＭを失ったが、業界では「相当もうけていたので顧客に補償する原資はあるのでは」との見方が根強い。同社はテレビで芸能人の派手なＣＭを流し、顧客を集めた。放送局関係者は「ＣＭ単価が非常に高く、そんなにもうかっているのか、と驚いた」という。◇岩下直行・京大教授（元日本銀行フィンテックセンター長）の話仮想通貨への投資は、相場が大きく上昇した昨秋以降急速に広まった。投資した人の多くは大学生や若い社会人だ。背景にはスマートフォンとＳＮＳの普及がある。スマホで気軽に口座を開き、ゲーム感覚で投資する。ツイッターやフェイスブック、ユーチューブで情報を集め、右肩上がりの相場を楽しんだ。最先端技術を使った、なんだかかっこいい投資というイメージもあった。ブームの根底には、日本をはじめ先進国の金融緩和で、世界的に低金利の状態になっていることがある。預金などの金利が低い中で、高い利益を求めるマネーが仮想通貨に行き着いた。もっと金利が高い世の中であれば、ここまでのブームにはならなかったはずだ。株式には１株当たり利益のような指標があるが、仮想通貨には何の裏付けもない。１ビットコインが２０ドルでも１万ドルでも、どちらもバブルだ。昨秋以降は、バブルの程度がより大きくなっただけだ。仮想通貨の相場は、昨年１２月をピークに下がり続けている。今回の問題をみんながある程度忘れるまで、しばらく価格が大きく上がることはないだろう。一種の知的なゲームとして広まった仮想通貨投資も、少し落ち着く局面だろう。（聞き手＝真海喬生）"
"ＳＮＳで架空請求、コンビニ払い狙う　収納代行悪用急増","2018年2月10日23時06分","社会,事件・事故・裁判,テック＆サイエンス","「収納代行」を悪用した新たな架空請求詐欺の手口が急増している。警察庁によると、昨年の被害は９２４件（被害総額８億３千万円）に上る。収納代行は、コンビニで十数桁の番号を店員に伝えたり、店内の端末に入力したりしてネット通販などの代金を収納代行業者を通じて支払うことができるサービス。番号は商品の注文時に「コンビニ払い」を選べば利用者に通知される仕組みだ。警察庁によると、犯人側は電子マネーのギフト券などをネット通販で注文して収納代行に必要な番号を入手。一方で「有料サイト利用料が未納」などとする虚偽の内容のショートメールを、不特定多数に送りつける。反応があった人に収納代行に使う番号を伝え、コンビニで支払わせる。被害者は有料サイトの利用料を支払ったつもりが、犯人側の買い物代を支払わされてしまう形だ。架空請求詐欺ではここ数年、被害者にコンビニでプリペイド式電子マネーを買わせて、記載された番号を聞き出し、犯人側が電子マネーを使う手口が目立っていた。ただ１枚の利用額の上限があり、多額の電子マネーを詐取するには被害者に大量に購入させる必要があり、店員に不審に思われるリスクがあった。このため、一度に１０万円以上の支払いもできる収納代行が狙われていると警察庁はみている。警察はコンビニなどと連携し、店内の端末に注意喚起表示をするなどの対策を進めている。（浦野直樹）"
"（挑む！）関西のＡＩ熱　盛り上げたい","2018年2月10日15時07分","テック＆サイエンス,企業・サービス,カルチャー,ひと・歴史,有料記事","人工知能の研究者：浅谷学嗣（あさたにさとし）さん（２７）双腕ロボットが指でタオルの端をつまむ。ふんわりとたたむと、手の甲で上からポンと押さえて平らに。サラダも器用に盛り付ける。芸が細かい。バックナンバーはこちらこのロボットの制御プログラムを作った。ルールと目標を与えると、自分で動きを学習する。「多用途」が特徴だ。製造現場での活用をめざしている。「自分の技術が社会に出て行く。やりがいを感じます」「関西ならおもろい体験ができそう」と広島から阪大に進み、人工知能（ＡＩ）を専攻した。だが、専門を生かせる就職先は関西になかった。周囲の仲間はみな、職探しに上京していく。「なんなんだ、東京ばっか盛り上がって」。関西のＡＩ熱に火をつけようと、２年ほど前に阪大の知人と「人工知能研究会」を立ち上げた。中小企業などの関心が高く、会員は１５００人超に。参加者の一人から声がかかり、ベンチャー設立に加わった。発起人は京大出身の元ＤｅＮＡ会長、春田真さん。モットーは「阪大と京大の若手研究者を集めてＡＩに革命を起こす」。医療や福祉へのＡＩの応用が研究者としての目標だ。「自分が中学生のときから脳出血でずっと身体が不自由な母を手助けできればいい」。タオルをたたむ双腕が母をやさしく介助する日は、そう遠くないに違いない。◇〈略歴〉　大阪大大学院修士課程修了。２０１６年、「エクサインテリジェンス」社最高技術責任者。合併を経て社名は「エクサウィザーズ」に。現在、同社執行役員。記者から人工知能研究会の活動は今も継続中。東京を超えて、関西の熱気を世界に伝えてほしい。（文・写真　嘉幡久敬）"
"ネット通販でイオン・ヤフー・ＳＢ提携　アマゾンに対抗","2018年2月10日03時01分","経済,産業・商品,テック＆サイエンス,企業・サービス,ショッピング,有料記事","小売り最大手のイオンが、インターネット通販事業でソフトバンクグループやその傘下のヤフーと提携する。イオンの品ぞろえや物流網に、ソフトバンクやヤフーのＩＴを組み合わせて米アマゾンに対抗する。提携の背景には、ネット通販でアマゾンに押され気味のイオンとヤフーの焦りがありそうだ。イオンとヤフーは複数のネット通販サイトを手がけるが、それとは別に、アマゾンのような出店型のネット通販サイトを共同でつくる方向だ。ヤフーはネット通販で培ったＩＴノウハウを新サイトにも持ち込む。経済産業省によると、ネット通販市場は年々拡大し、２０１６年は物販で８兆円を超えた。食品や飲料をネット経由で買う比率は全体の２％程度、衣類は約１０％とまだ低いが、その分成長余地は大きい。アマゾンは昨春に生鮮品を配送する「アマゾンフレッシュ」を始め、最近はファッションのネット通販にも力を入れる。ネット通販業界では、日本でも存在感を増すアマゾンに対抗して、小売り企業とＩＴ企業が連携する動きが相次ぐ。セブン＆アイ・ホールディングスは昨年１１月、ネット通販大手のアスクルと提携して生鮮品宅配の「ＩＹフレッシュ」を開始。楽天は米ウォルマート・ストアーズと提携し、同社傘下の西友と今夏にもネットスーパーを始める。イオンは昨年１２月、ＩＴや物流の改革に３年間で５千億円を投資してネット通販を強化する計画を発表。岡田元也社長は記者会見で「我々は相当出遅れた。アマゾンに追いつかないといけない」と述べていた。今回の提携は、この計画の延長線上にある。ヤフーにとっても、アマゾンに対抗する陣容を整えるのは急務だ。日本貿易振興機構（ジェトロ）によると、ネット通販の国内シェアはアマゾンと楽天が約２０％ずつで分け合い、「ヤフーショッピング」は９％弱にとどまる。フリーマーケットアプリのメルカリ、衣料品通販サイトのゾゾタウンなども台頭し、競争は激しさを増している。ヤフーが２日発表した１７年４～１２月期のネット通販事業の営業利益は前年同期比５・４％減の６１９億円。利用者を囲い込もうと、実質的な値引きとなるポイントを大盤振る舞いしたのが重荷になっている。ヤフーの次期社長に６月に就く予定の川辺健太郎副社長は、現状を「気鋭のベンチャーから突き上げられ、グローバル企業には離されている」とみる。イオンと組んで新たに通販サイトを立ち上げることで、ネット広告事業を底上げする狙いもありそうだ。（上地兼太郎、久保智）"
"コインチェック、日本円の出金１３日に再開へ","2018年2月9日23時14分","経済,金融・財政,テック＆サイエンス,有料記事","仮想通貨交換業者「コインチェック」から５８０億円分の仮想通貨ＮＥＭ（ネム）が不正流出した問題で、同社は９日、顧客から預かっていた日本円の出金を１３日に再開すると発表した。ただ、仮想通貨の出金はできない。不正流出したＮＥＭの所有者への日本円での返金時期もまだ未定だ。特集：仮想通貨流出問題とは関係者によると、顧客からは日本円で少なくとも３００億円の出金依頼が来ている。顧客本人かを確認する手間がかかるため、実際にお金が届くまで時間がかかる可能性もある。出金できるようになるのは、顧客が仮想通貨と交換するために預けたお金や、仮想通貨を売って得たお金。１月２６日の問題発覚後、コインチェックからはすべての仮想通貨や日本円の出金ができなくなっていた。同社は外部の専門家に安全性をチェックしてもらい、金融庁に日本円の出金については了解を得た。同社は同庁から業務改善命令を受けており、１３日に改善計画を提出する。同社は１月３０日、出金の見通しを「数日中にも」示すとしていたが、これまで具体的な発表がなく、顧客からネット上で批判が出ていた。（榊原謙）"
"系列店半減、ＩＯＴでニーズ探る　パナソニックの挑戦","2018年2月9日21時08分","経済,産業・商品,テック＆サイエンス,企業・サービス,ショッピング,有料記事","１０１年目のパナソニック１月中旬。京都府宇治市にある井上二三男（７０）の自宅を、青いジャンパーをまとったパナソニックショップ、「マキノデンキ」の店員が訪れた。井上は笑顔でドアを開け客間に上げると、テレビやエアコンの調子を相談した。【特集】１０１年目のパナソニック「なじみの電器屋さんやから、家のなかも見せられるし相談もできる」マキノデンキは１９７６年、京都市内にあった義父の電器店を手伝っていた牧野伸彦（７１）が創業した。「ナショナルショップ」と呼ばれていた時代から、系列店としてパナソニック（当時は松下電器産業）製品を扱っている。近所に住む井上とも３０年来の付き合いだ。牧野は「密接な関係を築くことで、得られる情報がたくさんある。商売にもつながる」と話す。家族構成や間取りを知っていれば、欲しい物も分かる。実際に井上の自宅の家電の多くは「パナソニック」だ。系列店が得た情報はかつて、メーカーに集められた。牧野も、苦情を聞けば、すぐにメーカーの営業社員に伝えた。苦情は新製品に生かされた。洗濯機、冷蔵庫、白黒テレビの「三種の神器」が普及し始めた１９５０年代、主に家電を売るのは商店街や住宅街にある、「まちの電器店」だった。メーカーごとに系列店網が整備され、販売を競った。中でもナショナルショップは、ほかを圧倒した。松下幸之助が掲げた販売店との「共存共栄」に、共感する店主が多かったためだ。８０年代前半のピーク時には、全国に２万７千店にのぼった。しかし、マイカーが普及し、買い物客は商店街から郊外の量販店に移っていった。家電も例外ではない。「おたくは嫌いだ。リベート（奨励金）が少ないからね」。００年ごろ家電流通担当だった松下電器の元役員は家電量販店を訪問した時、こう言われたのを覚えている。量販店はリベートを使って、系列店よりはるかに安い価格を設定し、消費者に支持されていった。９０年代後半にはメーカーからの出荷額の約半分が、量販店向けになった。メーカーは、系列店を支えきれず、パナソニックショップも今は、１万５千店ほどに減った。買い物のスタイルは、さらに大きく変化している。大阪市でコンサルタントを営む男性（３５）は、ほとんど店で買い物をしない。日用品からコメなど食料品も、アマゾンや楽天などのネット通販を使う。冷蔵庫や洗濯機などの家電もネットで買った。「店より２割ぐらい安いから」。量販店に行くこともあるが、それはネットで調べた実物を目で確認するためだけだ。量販店の販売シェアは、徐々にネット通販に奪われている。量販店からネットへのシフト自体は、メーカーにとっては対岸の火事だ。国内家電営業を担当するパナソニック常務の中島幸男は、「量販店、ネット通販、それぞれに売って欲しい商品がある」という。一方で、ネット時代は、量販店に奪われた消費者との接点を、メーカーが取り戻すチャンスでもある。昨夏、パナソニックが開いた家電の発表会。執行役員の河野明は、新商品が「お客さまとのつながりを強化できる」と説明した。この場で紹介した最新商品の多くは、いわゆる「ＩｏＴ」家電。インターネットを通じ、ネット上の人工知能（ＡＩ）につながる。例えば、洗濯機。洗い終わる時刻をスマートフォンの専用アプリから、遠隔操作で設定できる。あとは衣類の量をはかり、洗剤や柔軟剤を投入するタイミングまで、機械にお任せだ。ネットを通じた情報は、ユーザーから家電への流れだけではない。家電が得た情報をメーカーが直接取り寄せることも、技術的には可能だ。この情報を商品開発に役立てることをメーカーは視野に入れている。パナソニックで最高技術責任者（ＣＴＯ）を務める宮部義幸は言う。「（系列店網を通じて）我々がもともと持っていた、顧客のニーズを分析し、モノを買おうというときに背中を押す機能を、取り戻せるかもしれない」＝敬称略（神山純一、辻森尚仁）"
"血管つくる幹細胞を発見　大阪大、マウス実験で再生確認","2018年2月9日15時15分","社会,その他・話題,サイエンス,医療・健康・福祉（アピタル）,教育・子育て,大学","マウスの体内で血管をつくる源となる「幹細胞」をみつけたと、大阪大学微生物病研究所のチームが９日、米科学誌セル・ステムセルで発表した。この細胞を血流が滞ったマウスの足に注射すると、血管が新しくつくられたという。血管には、栄養素や老廃物を受け渡す場所の役割のほか血管を新しくつくる時にも働く「血管内皮細胞」や、周りを囲む「壁細胞」がある。血管が作られるとき、どのように内皮細胞が次々と生まれてくるかは詳しく分かっていなかった。チームは、マウスの血管内皮細胞の中にごく少量含まれる、特有の分子を発現する細胞を分離。この細胞を一つだけマウスの肝臓に移植すると、１年後にはその細胞から新たに血管が作り出されていく様子が観察できた。分裂しても元の細胞と同じ能力を保つことも確認でき、内皮細胞を生み出し続けることができる「血管内皮幹細胞」だと結論づけた。また、片足の血流が滞ったマウスにこの幹細胞を移植すると、新たに血管ができて血流が回復することを確認。血管内皮細胞が分泌する物質がつくれない「血友病Ａ」のマウスの治療実験にも成功した。高倉伸幸教授は「ヒトの細胞でも解析している。将来的には心筋梗塞（こうそく）の治療にも応用できるだろう」と話している。（合田禄）"
"ツイッター、初の黒字に　日本の売り上げ３４％増","2018年2月9日14時01分","経済,国際,北米,テック＆サイエンス","米ツイッターは８日、２０１７年１０～１２月期決算を発表し、純利益が約９１００万ドル（約９８億２３００万円）と、１３年の上場以来、初めての黒字になった。前年同期は約１億６７００万ドルの赤字だった。研究開発費がかさんで赤字が続いたがコスト削減が奏功した。売上高は２％増の７億３２０万ドル（約７９０億５６００万円）。多くの人がツイートしている内容を通知するなど、利用者をツイッターに呼び込む工夫などによって、毎日使う利用者の数は同１２％と順調に伸びた。地域別の売り上げは、日本が３４％増と伸び、ツイッターの売り上げ全体の１５％を占めた。月に１度以上利用した人は４％増の約３億３千万人にとどまった。偽アカウントを減らしたことなども影響したという。ジャック・ドーシー最高経営責任者は電話会見で「信頼性の高いツイートを表示し、自動投稿するアカウントなどをはじき出すことで、情報の質を上げている」と話した。（マイアミ＝宮地ゆう）"
"盗んだ仮想通貨、ＮＺで入出金　他の通貨との交換狙う？","2018年2月9日05時07分","社会,事件・事故・裁判,テック＆サイエンス,有料会員限定記事","仮想通貨交換所「コインチェック」から約５８０億円分の仮想通貨ＮＥＭ（ネム）が流出した問題で、ＮＥＭの流出先の口座とニュージーランドの仮想通貨交換所との間で、頻繁に入出金が繰り返されていることがわかった。他の仮想通貨との交換を狙った可能性もある。一方、交換所の口座を通じて、アクセス元やハッカーの身元特定につながる有力な情報が得られる可能性があり、警視庁もこうした経緯を把握して捜査している。特集：仮想通貨流出問題とは朝日新聞が流出先の口座の取引記録を解析したところ、ハッカーは不正アクセスによって流出させたＮＥＭを、８日未明の段階で計４５口座に分散して保管している。監視の目を逃れるためとみられる。この口座から、米国やチェコなど九つの仮想通貨交換所などに送金した形跡があった。いずれも直近の相場で１回の送金額は６０円から９０万円分だった。この中で、送金だけでなく入金もあったのがニュージーランドに運営会社がある交換所「クリプトピア」。２月１～８日未明の間に計２１回、ＮＥＭの流出先の口座からクリプトピアの口座に、直近の価格で約計４０万円分のＮＥＭの送金が繰り返されていた。逆に１月３１日午前１時４１分、直近の相場で約６０円分のＮＥＭが、クリプトピア側から流出先の口座に入金。翌２月１日午前３時１６分にも、別の流出先口座に約２万円分の入金があった。ＮＥＭの普及啓発団体の関係者が流出先の口座を監視対象に加えたのは１日午前１１時ごろ、それ以前は流出先の口座は外部には知られていなかった。クリプトピアの口座に送金されたＮＥＭは他の仮想通貨に交換された可能性もあるが、交換所内の動きを外部から確認することはできない。朝日新聞はクリプトピアの運営会社に計６回、メールで質問状を送っているが、回答はない。仮想通貨の仕組みに詳しいセキュリティー専門家の杉浦隆幸さんは、ハッカーが以前からクリプトピアに口座を開設し、他の仮想通貨との交換を狙ったとの見方を示す。開設時に登録した名前やメールアドレス、多額の送金手続きに必要な本人確認書類、接続したＩＰアドレス（ネット上の住所）などが存在する可能性を挙げ「ハッカーの身元特定につながる有力な情報が得られるかもしれない」という。（編集委員・須藤龍也、荒ちひろ）"
"欧米のサーバーから不正接続、ＮＥＭ流出の２～３日前","2018年2月8日21時01分","社会,事件・事故・裁判,経済,金融・財政,テック＆サイエンス","仮想通貨交換業者「コインチェック」から顧客資産の仮想通貨ＮＥＭ（ネム）約５８０億円分が不正流出した問題で、流出の２～３日前、同社の社内ネットワークに欧米のサーバーから不正な接続が相次いでいたことが、捜査関係者への取材でわかった。警視庁は、海外の捜査当局などへの捜査協力依頼を始めており、発信元の特定を進める。捜査関係者によると、不正接続は、警視庁が同社から提供を受けた社内ネットワークへの通信記録の解析で判明した。不正接続はＮＥＭが流出した３日前の１月２３日ごろに始まり、２４日まで断続的に続いた。これまでの解析で、少なくとも欧米の１カ国のサーバーが発信元だったことが確認されたという。警視庁は、不正接続した何者かがＮＥＭの口座を操作するために必要な「暗号鍵」の情報を盗んだ疑いがあるとみている。警視庁は、海外のサーバー運営会社などに発信元のＩＰアドレスや接続記録などの情報を照会しているが、これまでの不正アクセス事件では、発信元の特定を困難にするために複数の国のサーバーを経由させる技術が悪用されているケースが多い。今回も実際の発信元は別の国の可能性もあるとみて、さらに詳しい解析を進める。"
