"title","date","tags","article"
"個人の自己破産、前年比６.４％増　カードローン影響か","2018年2月13日07時23分","社会,経済,金融・財政","最高裁がまとめた２０１７年の個人の自己破産申立件数（速報値）は、前年比６・４％増の６万８７９１件で、２年連続で増えた。伸び率は１６年（１・２％増）から大幅に拡大した。自己破産は１６年から前年比増加に転じ、ペースが上がっている。ここ数年で貸し出しが急増した銀行カードローンの影響もあるとみられる。自己破産件数は０３年の約２４万件をピークに減り続けていたが、増加傾向がより鮮明になった。以前の自己破産減少は、消費者金融への規制強化の影響が大きかった。多重債務が社会問題となり、０６年に改正貸金業法が成立。１０年に完全施行された。利息制限法の上限（２０％）を超える「グレーゾーン金利」が撤廃され、年収の３分の１超の貸し出しが禁止された。その一方で、消費者金融と同じ業態なのに、規制対象外の銀行カードローンの貸出残高が急増した。１３年春からの４年間で１・６倍に膨らみ、消費者金融の残高も抜いた。日銀の統計では、１７年末の銀行カードローンの貸出残高は前年比５・７％増の５兆７４６０億円。年収を上回るお金を貸すケースもあり、自己破産が増える原因となっていると指摘されている。批判を受け、全国銀行協会は昨春、過剰融資の防止策を講じるよう会員銀行に求めた。昨秋には金融庁が大手行などに、カードローン業務に関する検査を行った。多くの銀行は貸出額を年収の２分の１以下に抑え、ＣＭは自主規制し始めている。（藤田知也）"
"日銀総裁、黒田氏続投の方向　５年の任期超えは異例","2018年2月10日00時38分","経済,金融・財政,政治,国政,経済政策,有料記事","安倍政権は、日本銀行の黒田東彦（はるひこ）総裁（７３）を４月８日の任期満了後も続投させる方向で最終調整に入った。安倍晋三首相の経済政策「アベノミクス」の中核の異次元緩和を推進した実績に加え、現在の金融政策を熟知し、経済情勢の変化に対応できる能力を評価。緩和路線を続けて景気拡大を維持するには適任と判断した。総裁が５年の任期を超えて続投するのは異例。特集：日銀・黒田緩和政権は今後副総裁２人の人事で詰めの調整を行い、近く国会に正副総裁の人事案を提示する。衆参両院での同意を経て正式決定する。任期は２０２３年までの５年間。総裁を５年以上務めるのは１９５６～６４年に務めた山際正道氏以来、約６０年ぶりとなる。政権は黒田氏を続投させ、大規模緩和路線の継続の意思を内外に示す。１９年１０月に予定される消費増税などを控え、好調な景気をできるだけ持続させる。最近は米国発の株価急落で景気への不安感も出ていることもあり、早期に金融政策の司令塔を固め、景気対応を万全にする狙いもあるとみられる。黒田氏は財務省財務官、アジア開発銀行（ＡＤＢ）総裁を経て１３年３月、前年末政権交代を果たした安倍首相のもとで総裁に任命された。途中退任した白川方明（まさあき）前総裁の残り任期を引き継ぎ、同４月に再任された。同４月に異次元緩和を開始し、かつてない規模で市場にお金を流し込んだ。「物価上昇率２％を２年程度で実現する」と公約。円安と株高が進んで物価上昇率は１４年春に１％台半ばに達したがその後低迷し、「２％」の達成時期は６度も先送りした。マイナス金利は年金や保険の運用悪化を招き、１６年秋には、市場に流すお金の「量」から「金利操作」に政策の軸足を移した。物価目標は達成できていないが景気は堅調で、安倍首相は最近も黒田氏の「手腕を信頼している」と明言。麻生太郎財務相や菅義偉官房長官らも黒田氏続投を支持していた。金融市場でも安定感がある黒田氏支持の声が多く、続投につながった。最近の景気改善は、米国など海外での景気拡大の効果が大きい。国内では将来不安で消費の勢いはまだ鈍く、低金利で銀行の収益が悪化し、貸し出し減につながりかねない。緩和で国債や上場投資信託（ＥＴＦ）を大量に買い、市場機能が低下することへの懸念も強い。米欧の中央銀行はすでに緩和縮小に向かっており、黒田氏が次の任期で異次元緩和をどのように修正するかが今後の焦点となる。"
"コインチェック、日本円の出金１３日に再開へ","2018年2月9日23時14分","経済,金融・財政,テック＆サイエンス,有料記事","仮想通貨交換業者「コインチェック」から５８０億円分の仮想通貨ＮＥＭ（ネム）が不正流出した問題で、同社は９日、顧客から預かっていた日本円の出金を１３日に再開すると発表した。ただ、仮想通貨の出金はできない。不正流出したＮＥＭの所有者への日本円での返金時期もまだ未定だ。特集：仮想通貨流出問題とは関係者によると、顧客からは日本円で少なくとも３００億円の出金依頼が来ている。顧客本人かを確認する手間がかかるため、実際にお金が届くまで時間がかかる可能性もある。出金できるようになるのは、顧客が仮想通貨と交換するために預けたお金や、仮想通貨を売って得たお金。１月２６日の問題発覚後、コインチェックからはすべての仮想通貨や日本円の出金ができなくなっていた。同社は外部の専門家に安全性をチェックしてもらい、金融庁に日本円の出金については了解を得た。同社は同庁から業務改善命令を受けており、１３日に改善計画を提出する。同社は１月３０日、出金の見通しを「数日中にも」示すとしていたが、これまで具体的な発表がなく、顧客からネット上で批判が出ていた。（榊原謙）"
"法人市民税の減税、１９年度廃止へ　名古屋市","2018年2月9日14時33分","社会,経済,金融・財政,政治,地方政治","名古屋市の河村たかし市長は９日、看板政策「市民税５％減税」のうち、法人市民税分を２０１９年度に廃止すると発表した。国の法人実効税率引き下げを理由に挙げ、「減税を先導する役割は果たせた」と説明している。個人市民税の減税は続ける。市は減税の条例改正案を１９日開会の２月市議会に提案する。名古屋市の市民税収は１８年度当初予算案で２７９２億円。主に企業が納める法人市民税は２割強の６４７億円、個人市民税は８割弱の２１４６億円を見込む。市が法人市民税の減税をやめるのは、国が法人実効税率を段階的に引き下げているのが理由だ。市が５％減税を始める前年の１１年度は３９・５４％だったが、１８年度は２９・７４％に下がる。河村氏は会見で「国が圧倒的に下げたので、企業には理解いただきたい」と話した。法人税減税の廃止で生まれる財源は約３４億円。その半分を子ども支援などの重点政策に配分し、残りを新設する「企業寄付促進特例税制」に割り当てる。この税制は１９、２０年度の２年間限りで、ＮＰＯや社会福祉法人などに年間５千円以上寄付をした法人の市民税を減額する。減額幅は寄付額の６９％。河村氏は「努力しているＮＰＯにあったかいお金がいくよう、協力をお願いしたい」と寄付を呼びかけた。河村氏は０９年の市長選で市民税１０％減税を公約して初当選。１０％減税は議会の反対で１０年度限りになったが、その後の市議選で、河村氏が代表の地域政党・減税日本が第１会派に躍進。１２年度から５％減税が続いている。（諸星晃一）"
"欧米のサーバーから不正接続、ＮＥＭ流出の２～３日前","2018年2月8日21時01分","社会,事件・事故・裁判,経済,金融・財政,テック＆サイエンス","仮想通貨交換業者「コインチェック」から顧客資産の仮想通貨ＮＥＭ（ネム）約５８０億円分が不正流出した問題で、流出の２～３日前、同社の社内ネットワークに欧米のサーバーから不正な接続が相次いでいたことが、捜査関係者への取材でわかった。警視庁は、海外の捜査当局などへの捜査協力依頼を始めており、発信元の特定を進める。捜査関係者によると、不正接続は、警視庁が同社から提供を受けた社内ネットワークへの通信記録の解析で判明した。不正接続はＮＥＭが流出した３日前の１月２３日ごろに始まり、２４日まで断続的に続いた。これまでの解析で、少なくとも欧米の１カ国のサーバーが発信元だったことが確認されたという。警視庁は、不正接続した何者かがＮＥＭの口座を操作するために必要な「暗号鍵」の情報を盗んだ疑いがあるとみている。警視庁は、海外のサーバー運営会社などに発信元のＩＰアドレスや接続記録などの情報を照会しているが、これまでの不正アクセス事件では、発信元の特定を困難にするために複数の国のサーバーを経由させる技術が悪用されているケースが多い。今回も実際の発信元は別の国の可能性もあるとみて、さらに詳しい解析を進める。"
"コインチェック以外の仮想通貨業者も立ち入りへ　金融庁","2018年2月8日06時58分","経済,金融・財政","仮想通貨交換業者「コインチェック」で顧客資産の仮想通貨ＮＥＭ（ネム）約５８０億円分が不正流出した問題で、金融庁は同社以外の複数の交換業者に対しても、近く改正資金決済法に基づく立ち入り検査に入る。一部業者に検査を予告した。コインチェックでは顧客資産の安全管理が不十分だった。他の業者への緊急調査でも問題が判明し、立ち入り検査が必要と判断した。特集：コインチェックの仮想通貨流出問題検査に入る業者には、昨年の登録制導入後、一定の要件を満たして登録された業者も含まれている。登録審査中のみなし業者の一部には安全管理以外の問題があり、やはり検査に入る。コインチェックでの不正流出は１月２６日に発覚。金融庁は同社に業務改善命令を出し、立ち入り検査に入った。同社以外の３１業者にも管理態勢などについて２日までの報告を求め、問題がある業者に検査に入ることを決めた。（榊原謙）"
"仮想通貨「非常にリスクある資産」欧州中央銀行が調査","2018年2月7日23時52分","経済,金融・財政,国際,ヨーロッパ,テック＆サイエンス","欧州中央銀行（ＥＣＢ）のドラギ総裁は５日、欧州議会に出席し、ビットコインなどの仮想通貨について「非常にリスクのある資産とみなすべきだ」と警告した。そのうえで、欧州の銀行が仮想通貨を保有することで、金融システムに与えるリスクの大きさを調べていることを明らかにした。ドラギ氏は議員からの質問に答える中で、仮想通貨について「（価格が）非常に変動しやすく、投機的だ」と指摘。銀行に対して保有する仮想通貨のリスクをしっかりと把握する必要性を呼びかけた。今のところ、ＥＣＢが監督する欧州の銀行については「仮想通貨への関心は限られている」としたが、米大手商品取引所でビットコインの先物取引が始まり、銀行が仮想通貨への投資を増やす可能性もあるとして、金融システムに与える影響を注視していく考えを示した。（ロンドン＝寺西和男）"
"ＮＥＭ流出、送金前に外部から接続か　警視庁が記録解析","2018年2月6日23時53分","社会,事件・事故・裁判,経済,金融・財政,テック＆サイエンス,有料記事","仮想通貨取引所「コインチェック」（東京都渋谷区）から顧客資産の仮想通貨ＮＥＭ（ネム）５８０億円分が不正に流出した問題で、同社の社内ネットワークに外部からの接続をうかがわせる形跡が見つかっていたことが、捜査関係者への取材でわかった。捜査関係者によると、警視庁が先月末に同社から提供を受けた通信記録を解析し、見つかったという。警視庁は５日、同社からサーバーデータの一部についても提供を受けており、不正アクセス禁止法違反容疑などにあたる可能性があるとみて発信元の特定を進める。返還もとめ提訴仮想通貨取引所「コインチェック」（東京都渋谷区）から５８０億円分の仮想通貨ＮＥＭ（ネム）が不正流出した問題に絡み、都内の３０代の会社員男性が現金６０万円の返還を求める訴えを東京簡裁に起こしたことが６日、わかった。提訴は１月３１日付。訴状などによると、男性は昨年１２月に同社に約８５万円を入金して仮想通貨リップルを購入し、同社に管理させていた。１月２６日に仮想通貨の流出が発覚して以降、顧客に予告がないまま出金サービスが停止。男性は仮想通貨などを引き出すことができない状況になっているという。男性は「ずさんな管理態勢で顧客の資産を外部に流出させた」などと主張している。不正流出を巡っては、被害対策弁護団が１月３０日に発足。２月中旬には、原告十数人が同社に対して仮想通貨の引き渡しや損害賠償などを求めて集団提訴する予定という。弁護団長の北周士（かねひと）弁護士は「被害者らから８００通以上のメール相談があり、原告が増えれば順次追加提訴も想定している」と話している。提訴を受け、コインチェックは「訴訟に関する問い合わせにはお答えしていません」とコメントした。"
"仮想通貨市場も急落　ビットコイン２０万円値下がり","2018年2月6日19時17分","経済,金融・財政,市況・統計","仮想通貨の価格が急落している。大手取引所ビットフライヤーによると、ビットコインの１コインあたりの価格は６日に前日より２０万円ほど値下がりし、約６５万円と３カ月ぶりの安値をつけた。昨年１２月につけた約２２０万円の３分の１以下の水準だ。米国発の株安を受け、投資家のリスクを避ける動きが仮想通貨にも広がっている。「イーサリアム」や「リップル」など他の仮想通貨も軒並み前日より２～３割下落した。情報サイト「コインマーケットキャップ」によると、仮想通貨全体の時価総額は約３３兆円で、９０兆円を超えた年初の３分の１ほどに縮んだ。各国の政府や企業が仮想通貨への規制や取り扱い制限を強めていることに加え、仮想通貨を扱う会社の幹部は「株安で仮想通貨に向かっていたお金が一気に引いている」と説明する。（真海喬生）"
"ＮＥＭ、海外取引所へも送金　監視くぐり抜け換金図る？","2018年2月3日20時35分","社会,経済,金融・財政,有料記事","仮想通貨取引所「コインチェック」（東京都渋谷区）から約５８０億円分の仮想通貨ＮＥＭ（ネム）が不正流出した問題で、流出先のハッカーの口座から、海外の取引所の口座へＮＥＭが送金されたことがわかった。ハッカーの口座はネットで監視されており、その目をくぐり抜けて取引所で換金しようとした可能性がある。コインチェックの仮想通貨流出問題コインチェック、円の出金「再開準備中」　時期は不透明コインチェック利用者が「被害者団体」　訴訟も視野不正流出は１月２６日未明に発生し、ハッカーは同日中に関係する計１０口座にＮＥＭを分散させた。さらに３０日以降、無関係とみられる口座に少額を断続的に送金している。その中で１日以降、新たに海外の仮想通貨取引所などに送金し始めたことがわかった。４カ所に計５２万円分のＮＥＭが送られた。米取引所「ポロニエックス」には日本時間１日午前２時５７分、約６万円分のＮＥＭが送られた。取引所では他の仮想通貨や現金との交換ができ、そのために持ち込まれた可能性がある。同取引所は「非合法な資金は受け入れない」（広報担当）とコメントした。ＮＥＭの普及を推進する「ＮＥＭ財団」（本部・シンガポール）は他の取引所１カ所への送金も確認したといい、「監視の仕組みを見る目的で仕掛けた犯人の駆け引きではないか」（朝山貴生理事）とみている。米国のほか、東欧の取引所などに送金した可能性がある。ＮＥＭの取引履歴は電子データで確認でき、送金の動きはわかる。財団とコインチェックは流出したＮＥＭの動きを追っている。ただ口座名は英数字の羅列で、誰のものか識別できない。仮想通貨は匿名性が高く、不正の全容解明には時間がかかる可能性がある。（編集委員・須藤龍也）"
