"title","date","tags","article"
"仕事の「相棒」、ノート進化中　社会人向け、続々登場","2018年2月13日13時11分","経済,産業・商品,ショッピング","予定や会議内容を書きとめたり、アイデアをふくらませたりと、仕事上の「相棒」とも言えるノート。学生向けに交じり、社会人が使いやすいような商品が次々と売り出されています。きりとりトレンド　話題の商品を紹介梅田ロフト（大阪市）は、ノート売り場の目立つ場所に「実用ノート」のコーナーを設けている。書き心地がいい紙質、立ちながらでも書きやすい厚めの表紙、色を抑えたデザイン……。社会人向けに開発されたノートの種類は増えるばかりだ。ロフトの水口雄太マネージャーは「書類を入れられるカバー付きや枚数が多いものも人気です」。パソコンやタブレット端末の普及でデジタル化が進むなか、矢野経済研究所の調査では、２０１６年度のノート市場は前年度からほぼ横ばいの２３６億円だった。封筒などは低迷するが、ノートや手帳が市場を下支えしている格好だ。リーマン・ショック後、経営環境の悪化で企業が備品を減らした。ノートメーカーにも厳しい時期だったが、逆に「自費で買ってもいいと思えるような付加価値の高い商品を」（最大手のコクヨ）と、大人が仕事でも使える個性的なノートが相次いで登場した。コクヨはその名の通り「大人キャンパス」を１５年に発売。落ち着いた表紙のデザインなどが人気を呼んだ。ナカバヤシも高級感ある表紙の「ロジカル・プライムノート」を１６年に売り出した。学習用ノートは横書きの罫線（けいせん）が主流だが、社会人向けは方眼や無地モノが支持を集める。文字だけでなく、図やイラストが描きやすいノートも目立ち、１ページに無地と罫線が半分ずつあるものも。仕事で近年、発想力や企画力が重視されてきたことの影響がありそうだ。（新宅あゆみ）丈夫な紙に金色ロゴ入りナカバヤシの「ロジカル・プライムノート」は、丈夫なクラフトボール紙に金色のロゴを入れた表紙が特徴だ。７ｍｍ間隔で横線が引かれたＡ罫（けい）、６ｍｍ間隔のＢ罫、方眼罫、等間隔に点が振られたタイプの計４種類がある。人気がある「セミＢ５サイズ・糸綴（と）じ製本仕様・ロジカルＢ罫」は２２０円。点つなげばページ分割マルマンの「ニーモシネ」の「Ａ５ノート　特殊メモリ入７ミリ罫」は、横書きの罫線に工夫が加えられている。最上部と最下部の線にそれぞれ三つの点が等間隔で振られていて、上下の点をつなげればページを分割できる。日付やタイトルの記入欄も広めだ。Ａ５サイズは８０枚入りで４５０円。左は無地　右は横書き罫線アピカの「フィグラーレ　ｉｎｔｅｌｌｅｃｔ（インテレクト）　コンセプトフローノート　アイデア」は、ページの左側が無地のスペースで、右側は横書きの罫線をつけた独特のデザインだ。左に図表を描いて、右に説明文やメモをつけやすいようにした。Ａ５サイズは７０枚入りで４００円。薄い罫線　図描きやすいコクヨの「大人キャンパス」は、横書きの罫線が両端まで引かれている。線の色自体が薄く、図などを描く際も気になりにくい。罫線に点を等間隔で振ったタイプ、方眼罫、無地の計３種類。表紙は黒や紺、グレーの落ち着いた３色がある。売れ筋の「セミＢ５・５ミリ方眼罫」は２００円。◇各メーカーのおすすめ商品から選びました。価格は税抜き社会人向けノートの人気ランキング①ＭＤノート　Ａ５・無罫　８００円②エディターズシリーズ３６５デイズノート　Ａ５　１８００円③大人キャンパス　セミＢ５・５ミリ方眼罫・８０枚　３９０円④ソフトリングノート　セミＢ５・ドット入り罫線・８０枚　５５０円⑤プレミアムＣ．Ｄ．ノートブック　Ａ５・７ミリ罫　９００円※梅田ロフトの１月の販売実績から。税抜き価格（きりとりトレンド）"
"久屋大通公園、三井不動産代表のグループが再開発　愛知","2018年2月13日11時56分","社会,その他・話題,経済,産業・商品,政治,地方政治","名古屋市は１３日、名古屋テレビ塔を含む久屋大通公園（中区）北地区の再開発を担う事業者について、三井不動産を代表とする企業グループに決めたと発表した。五つの広場計１万平方メートルとテラスを設け、飲食店が入る施設を建てる。２０１９年１月にも工事を始め、２０年に完成する予定。【特集】名古屋駅、変わりゆく街企業側の提案によると、テレビ塔近くにステージを設置。トイレや駐輪場を増やし、電子看板も置く。市は都市公園法改正による規制緩和を受け、同公園の整備や運営を一括して任せる企業を公募していた。２７年のリニア中央新幹線開業を見据え、同公園を含む栄地区の魅力向上を図る。"
"ＮＴＴ、各地の電話局をシェアオフィスに　保育園も併設","2018年2月13日09時28分","経済,産業・商品,教育・子育て,子育て","ＮＴＴグループは、各地の駅前や繁華街にある電話局などを改修し、働く人が必要なときに使える「シェアオフィス」にする。４月から東京・大手町と秋葉原の自社ビルの一部で始め、段階的に各地の局舎を活用する。「リフォーク」のブランド名で展開する。大手町と秋葉原の施設には机や会議室のほか、保育園やキッチンもあり、個人でも法人でも会員登録すれば使える。各地にある電話局は、かつて窓口業務をしていたフロアが空いている例が多く、交換機などの小型化も進んでいるため、置き場を集約すればシェアオフィスに使える空間を生み出せるという。都心まで通勤せず自宅近くの施設を使うことで、子どもと過ごす時間を増やすといった効果が見込める。政府は働き方改革の一環で、出社せず自宅や近所のシェアオフィスで働く「テレワーク」を推進しており、ソフトバンクなどもシェアオフィスに参入している。（上栗崇）"
"マツダ労組、ベア３千円要求へ　春闘、前年と同額","2018年2月13日07時24分","社会,その他・話題,経済,産業・商品","マツダ労働組合（組合員約２万人）は１２日、今春闘で月３千円のベースアップ（賃金の底上げ）を求めることを決めた。ベア要求は５年連続で、前年も３千円を求め、１１００円の回答を得た。一時金（ボーナス）も前年と同じ年５・４カ月分（回答は５・３カ月分）を求める。６０歳以上の再雇用者や期間社員についても、正社員に連動したベアと一時金を要求する。１４日に会社側に要求書を提出し、労使交渉に入る。内匠雅也執行委員長は、働き方改革は労使での論議が必要だとしたうえで、「改革で生産性を上げ、賃上げにつなげたい」と話した。"
"いまどきの仏壇、洋室にぴったり　タンス風、小型が続々","2018年2月12日17時11分","経済,産業・商品,ショッピング","洋風の生活スタイルが広がり、マンションなど和室のない家が増えました。それに合わせ仏壇も、コンパクトでスタイリッシュなものが次々に登場。大きくおごそか、というイメージが変わってきています。きりとりトレンド　話題の商品を紹介仏壇メーカー「八木研」（大阪市）のＪＲ大阪駅近くのショールーム。常時１００本ほど展示する仏壇は、扉を閉めると洋風の戸棚やタンスにしか見えないものばかりだ。「お客さんの６割はリビングや洋室に置かれます。実家の仏壇は大きすぎて引き継げないと、買い替える人も多いです」。広報の西田理亜さんが説明してくれた。ほかの家具の上に置くタイプや壁掛けタイプなど省スペース商品の人気が高く、売れ筋の価格帯は３０万円前後。キリスト教の十字架を飾ったり、無宗教で遺影だけ置いたりしても、とくに違和感がない。同社は、こうした家具調の仏壇を１９８４年につくり始めた草分けだ。当初は「こんなものは仏壇じゃない」と批判も受けたが、都会のマンション住民などに支持されて徐々に普及してきた。メーカーの数も増え、仏壇店の紹介サイト「いい仏壇」を運営する鎌倉新書（東京都）の調査では、今はこうした家具調や小型の仏壇を買う人が６～７割。伝統的な唐木仏壇や金仏壇のシェアは２割に満たない。大手のはせがわ（福岡県）も、家具大手の「カリモク家具」（愛知県）と共同開発した仏壇を１５年から販売。仏壇メーカーの発想を変え、現代の住まいに合うインテリアとして開発した。今や売り上げの大きな割合を占めるようになっているという。国の商業統計によると、仏壇を含む「宗教用具小売業」の１４年の販売額は０２年に比べて約４割減。はせがわの担当者は、「ライフスタイルや価値観の多様化に対応しないといけない」と話す。（清井聡）重さ４キロ　壁に掛けられる八木研の「ピウマ」は、壁に掛けられる。縦横が４０ｃｍ×２７ｃｍ、奥行きが２０ｃｍと小さく、重さも４ｋｇ程度。ナチュラルで淡い色調の北欧家具を思わせるデザインで、リビングにも合う。専用台にセットすれば、家具の上に置くこともできる。１２万円。本棚に収まるＡ４サイズいのりオーケストラの「Ａ４仏壇」は、縦横の長さを２１ｃｍ、２９．７ｃｍにしたＡ４用紙サイズ。雑誌やファイルと同じ大きさで、本棚やキャビネットに収まる。木製パーツの組み合わせで、何十通りもの飾り方ができる。価格は５万円。カリモク家具とのコラボはせがわの「ＳＯＬＩＤ　ＢＯＡＲＤ　ＪＵＳＴ」は、高級家具で知られるカリモク家具とのコラボ商品。大きめの位牌（いはい）も入るよう内部を広くとりつつ、奥行きは約３０ｃｍに抑えた。部屋の色調にあわせて５色から選べる。価格は仏壇が２３万～２５万円、下台が１２万～１３万円。中は伝統　外は現代的浜屋の「今昔」は、一見すると現代的だが、扉を開けると伝統的な荘厳さが残るデザイン。代表的な家具材のウォールナットを使い、和室、洋室のどちらでもあうように仕上げた。花立てや香炉など基本的な仏具つきで、４７万９８００円。◇主なメーカーのおすすめ商品から選びました。価格は税抜きで仏具の値段は原則、含まれません。（きりとりトレンド）"
"ミリ単位で勝負、メダリスト導くインソール　群馬の会社","2018年2月12日07時27分","経済,産業・商品,医療・健康・福祉（アピタル）,平昌五輪,群馬,有料記事","群馬県北部の小さな町に、平昌（ピョンチャン）五輪に出場する選手らが通うインソール（中敷き）メーカーがある。ミリ単位以下の微妙な調整で、選手たちの足元を支えている。特集：平昌五輪新潟県に接する群馬県みなかみ町の山間部。社員１６人の会社「ＢＭＺ」はインソールの製作や、スキーやスノーボードのブーツの加工を手がける。ソチ五輪のフリースタイルスキー女子ハーフパイプの銅メダリストで平昌五輪に出場する小野塚彩那選手（２９）や、ノルディックスキー複合の渡部暁斗選手（２９）、スノーボードアルペンの竹内智香選手（３４）らが訪れる。同社が重視するのは、小指とかかとを結んだ線上にある「立方骨」。アーチ形の足を支える役割がある。アーチ形が崩れると、衝撃の吸収やバランスをとる安定性、地面を蹴る推進力などに影響が出るという。０・２５ミリ単位でインソールの厚さを合わせ、硬さも調節する。ブーツも、足の甲や足首、ふくらはぎなどの太さや形に合わせ、０・５度単位で角度を加工する。社長の高橋毅さん（６１）は「スキーやスノーボードの選手にとって、力を過不足なく板に伝えるためにブーツの調整は欠かせない」。同社製のインソールを利用し、ブーツの調整を依頼する小野塚選手は「お願いするようになってから成績が上がるようになった」と信頼を寄せる。高橋さんは高校のサッカー部時代、プロを目指していたが足首をねんざし、ひざまで痛めた。「原因は新調したスパイクだと思いました。少しの違いでも足に合っていないとダメなんだと」スポーツ用品店で２０年以上働き、２００１年に独立。生まれ育ったみなかみ町に会社を置いた。会社の核となる研究や測定をする施設は、もともと幼稚園だった建物を改修して作った。「一昔前までは『インソール＝中敷き』だった。そのイメージを変えたい」。クッションや防臭ではなく、足裏から能力を最大限に発揮できるようにするのがインソールの役割だと考えている。会社を訪れる選手たちが間もなく五輪の舞台に臨む。「最高のパフォーマンスをしてほしい。足回りの専門家として知識や経験、技術を使ってサポートしていきたい」（角詠之）"
"東芝会長に車谷・元三井住友銀副頭取　原発事業てこ入れ","2018年2月11日20時45分","経済,産業・商品","東芝は、元三井住友銀行副頭取の車谷暢昭（のぶあき）氏（６０）を会長に充てる人事を固めた。４月にも就任する見通し。債務超過を解消した後の成長戦略づくりと原発事業のてこ入れのため、社外から経営陣に迎え入れる。同行は東芝の主力取引銀行の一つで、車谷氏は東芝と関係が深かった旧三井銀行の出身。福島第一原発事故後に東京電力を支援する枠組みの策定などを手がけ、原発事業に通じている。昨年５月に英国の大手投資ファンド、ＣＶＣキャピタル・パートナーズの日本法人会長に転じていた。米国の原発事業で巨額の損失を出し、経営に深刻な影響を与えた責任を明確にするため、原発事業を統括していた志賀重範会長が昨年２月に引責辞任。会長職は空席となっており、東芝は社外から民間人を迎える検討を進めていた。東芝は昨年１２月に実施した約６千億円の増資などで債務超過の解消と上場廃止の回避が確実視されているが、稼ぎ頭の半導体子会社「東芝メモリ」の売却を控え、新たな収益源づくりが課題になっている。売却後の柱に据えたいインフラ事業の急成長は期待できず、原発事業で収益を確保できないと経営は苦しくなる。"
"キャンピングカー　自分に合った１台探す　入門編は……","2018年2月11日12時25分","経済,産業・商品,クルマ","キャンプは好きだが、キャンピングカーを活用したことはない。今月初めに千葉・幕張メッセであった国内最大級の見本市「ジャパンキャンビングカーショー」で、自分にあった１台を探してみた。上下するベッドに椅子　「夢」のキャンピングカーに潜入室内の広さだけを考えると、バスのように大きな車両をベースにした豪華版が最適だ。ただ、車そのものの価格が高くて取り回しにも気を使う。キャンピングカーを専用で持つのは難しいので、普段使いもできる車がよさそう。自然と小型車や軽自動車に目がいく。欲しい機能はオプションで追加していく。追加すれば、価格も高くなる。自分がどんな機能を必要としているのか、よく考えるのが大切だ。伸び伸びと寝られるベッドはぜひ欲しい。あとは、水や発電、電子レンジに冷蔵庫――。どこまで手を広げるか。トイレは小型車では難しそうなので、他の方法を確保しておく必要がありそう。軽自動車をベースにキャンピングカーを製造、販売する「クルーズカンパニー」（神奈川県藤沢市）の青木秀之社長は、ベッドに加え、電源用のバッテリーと水が使えるようにすることを入門編として勧める。確かに、電気が使えれば家電も使える。水が使えれば洗い物も出来るし、電子レンジがあれば温かい物が食べられる。情報源であるスマホの充電ができることも魅力だ。重要だと感じたのは、屋根に載せたソーラーパネル。通常、エンジンをかけて車を走らせれば勝手にバッテリーは充電される仕組みだが、ガソリンの減り方が心配になる。４０ワットの出力のもので天気のよい日ならバッテリーはほぼ充電される。８０ワットのものを付ければさらに安心だ。車内には２人分の睡眠スペースしかないが、オプションで天井裏にも寝られるようになる。装備はどれも小ぶりなので、普段使いのクルマとしても活用できそう。同社ブースでは、スズキの軽バン「エブリイ」をベースにした様々な仕様のキャンピングカーが並んでいた。後部座席を倒して２人が寝られるようにしたミニマムな仕様で、かつベース車両を最廉価グレードにして価格を抑えると、税抜き１５４万円。給水タンクや１００ボルトの電源の装着には、２０万～３０万円が追加で必要になるという。最近は災害時を意識して購入する人が増えているという。受注生産をしている同社の納期は、以前は３カ月だったが現在は６カ月ほどに延びている。（神沢和敬）"
"上下するベッドに椅子　「夢」のキャンピングカーに潜入","2018年2月11日12時25分","経済,産業・商品,クルマ","伊フィアット「デュカト」をベースにしたキャンピングカー＝千葉・幕張メッセ国内最大級のキャンピングカー見本市「ジャパンキャンビングカーショー」が、２月２～４日、千葉・幕張メッセで開かれた。気の向くままに、西へ東へ。そんな生活を夢想させてくれるキャンピングカー。その究極の姿はどんなカタチなのか？　様々な趣向の展示車両３６０台超の中で、最も高い値札が付いた一台を見せてもらった。ガスコンロが付いたキッチン。走行中に開かないよう、キッチン下の棚は、エンジンを掛けると自動でロックされる＝千葉・幕張メッセ「東和モータース販売」（東京都杉並区）のブースに並んだ車両は、税抜き２２００万円。全長８７１センチ、車幅２３３センチ、車高３０４センチ。バスのように大きいが乗車定員は５人で、普通免許があれば運転できる。ベース車両は伊フィアットの大型バン「デュカト」。日本国内ではなじみが薄いが、欧州ではキャンピングカーの定番だという。キャンピングカー　自分に合った１台探す　入門編は……天井は高く、頭上に余裕がある＝千葉・幕張メッセ室内は、身長１７１センチの記者が立っても頭上に十分すぎる余裕がある高さ。シートも本革張りで、高級感が漂う。狭い車内空間を効率的に使うため、シャワーとトイレは一緒のケースが多いが、この大きな車両はそれぞれ独立させることが可能だ。Play Video運転席の上のベッド蛇口からはお湯も出るし、キッチンにはガスコンロが３口ある。もちろん冷蔵庫も備える。キッチン下の収納は、エンジンがかかると自動でロックされ、走行中に扉が開いて収納品が散乱するのを防いでくれる。車内の後端には、２人が寝られるベッドがある。運転席の上にも、電動で下りてくるベッドが隠れている。まるで「動くホテル」のようだ。Play Videoフロントガラスのブラインド驚いたのは運転席。ずいぶんと高い位置に座面があると思ったら、座ると席の下のバネが沈み込み、ちょうどよい高さになる。前方の見晴らしもいい。展示車のため運転はできなかったが、ディーゼルエンジンを積んだ前輪駆動でこれだけ大きな車体がどんなふうに走るのか？　ふわふわな運転席はどうなるのか？　興味が尽きない「夢」のクルマだった。（神沢和敬）身長１７１センチの記者が十分に足を伸ばせる＝千葉・幕張メッセ"
"「社会のため」問い続けて　パナソニックの模索続く","2018年2月11日06時58分","経済,産業・商品,国際,アジア・太平洋,環境・エネルギー,環境・世界の動き,有料記事","１０１年目のパナソニック暗がりで布を織る女性たちの手もとを、パナソニック製のソーラーランタンが明るく照らしていた。【特集】１０１年目のパナソニック作業の手を止めたユリアナ・ワダン・トビ（４４）は笑って言った。「夜も作業できるようになってうれしい」熱帯雨林に囲まれたインドネシア・フローレス島にあるリアンバリン村の人々にとって、伝統の織物「イカット」は貴重な収入源だ。以前は午後４時には作業を終えなければならなかったが、ランタンのおかげで生産量が増えた。ランタンは、パナソニックが２０１６年に贈った。村は電力供給が不安定なため、太陽光で充電できるランタンは、放課後に補講を行う寺子屋や、夜間の診療所でも活躍している。パナソニックの創業者、松下幸之助は、企業の社会的使命について、社員に繰り返し語っていた。「あらゆる物資を水道の水のごとく安く、豊富に供給し、この世から貧困を無くそう」。「水道哲学」と呼ばれた考えだ。豊かになった社会は、さらに製品を買うことで企業を潤す。「企業は社会の公器である」。幸之助がこう唱えたことはよく知られている。企業は社会から、人、カネ、土地、物を預かって事業を営む。だから本来的に社会全体のものだ――。企業に対する社会の期待は、時代とともに変化した。日本が、欧米の背中を追いかけた１９６０～７０年代、松下電器産業（現パナソニック）は、賃金を欧米企業並みに引き上げ、完全週休２日制もいち早く導入した。過疎問題が指摘されると、「１県１工場」を掲げ、北海道から九州まで工場を置いた。公害対策にも取り組んだ。幸之助は、社会が求めるものは、一企業で解決できるものばかりではないと考えたのだろう。晩年の７９年には私財７０億円を投じて「松下政経塾」を設けるなど、若手リーダーの育成に情熱を注いだ。政経塾１期生で前首相の野田佳彦（６０）は、幸之助について、「国家についても、経営者として、１００年という長い視野で捉えた。大きな理念を掲げ、どうしたら実現できるか、『ど真剣』に考え続けていた」と評する。だが創業者の思いとは裏腹に、「公器」であることを疑われることも増えた。松下電器が１万３千人の大規模なリストラに踏み切ったのは、０１年度のことだ。「幸之助の精神はどうなる」と、社内からも声が上がった。２９年、世界恐慌を受け、日本も不況に襲われた。幸之助は「従業員は解雇したらあかん」と指示した。工場を半日勤務としながら賃金は全額支払い、雇用も守った。この時社会から得た信頼は、その後の成長につながった。だが、創業以来最大の赤字に陥った０１年度は、違った対応を取った。当時人事担当の幹部だった福島伸一（６９）は、「配置転換などの策を打ったが、人余りはどうしようもなかった」と振り返る。バブル崩壊後の長い不況に、多くの日本企業が苦しんでいた時期だ。リストラで会社を立て直すことも、ある意味では社会に求められていた。今月８日、関西に拠点を置く企業の経営者たち約６００人が、京都市に集まっていた。年１回開かれている「関西財界セミナー」に出るためだ。議論は、経済環境や関西の盛り上げにとどまらなかった。「ＳＤＧｓ（エスディージーズ）に貢献する企業への投資が増えていく」「エネルギーや水問題にどう関わるかが重要だ」ＳＤＧｓは、国連が採択した「持続可能な開発目標」で、教育、気候変動、平和など１７テーマが並ぶ。経団連も達成に向けた協力を、企業に求めている。幸之助も、何度かセミナーの講師を務めた。だが当時と比べ、企業が社会から求められることは幅広く、複雑で、深い。パナソニックの社長である津賀一宏（６１）は「会社が大きくなったいま、より大きな意味で『公器』の意味が問われている」と言う。自社の利益だけを考えるな、という幸之助の教えは、今ほど求められている時代は無い。しかしパナソニックも、「公器」であり続けることは、簡単ではない。＝敬称略（新田哲史、金本有加）"
