"title","date","tags","article"
"ＮＹダウ、続伸で取引開始　上げ幅一時３７０ドル近くに","2018年2月13日02時01分","経済,市況・統計","１２日のニューヨーク株式市場は、アジアや欧州市場で株価が上昇した流れを受け、大企業でつくるダウ工業株平均が大幅に続伸して始まった。前週末の終値（２万４１９０・９０ドル）からの上げ幅は一時３７０ドル近くに達した。ダウ平均は前週に歴史的な急落となり、その反動で割安感が出た銘柄を買い戻す動きが広がっている。トランプ政権が１２日発表する予算教書で盛り込まれる巨額のインフラ投資への期待や、先週末に１バレル＝６０ドルを割り込んだ原油先物価格の持ち直しも買い材料になっている模様だ。（ニューヨーク＝江渕崇）"
"ＮＹダウ、１０００ドル乱高下　終値は３３０ドル高","2018年2月10日08時21分","経済,市況・統計","９日のニューヨーク株式市場は、大企業でつくるダウ工業株平均が３日ぶりに反発し、前日比３３０・４４ドル（１・３８％）高い２万４１９０・９０ドルで引けた。前日に１０００ドル以上も急落した流れを受けて荒い値動きが続いており、この日の変動幅は１０００ドルを超えた。米長期金利上昇への警戒感がくすぶり、ダウ平均は一時、前日比５００ドル安に沈んだ。ただ、その後は買い戻しの動きも出て、５００ドル超まで上げる場面があった。投資家の先行き不安はぬぐい切れておらず、当面は不安定な値動きが続くとみられている。この日は原油価格の指標となる米国産ＷＴＩ原油の先物価格が続落し、前日比１・９５ドル安の１バレル＝５９・２０ドルと１カ月半ぶりに６０ドルを割り込んだ。エネルギー株が売られ、相場の重しになる場面が多かった。ハイテク株の多いナスダック市場の総合指数も上昇し、同９７・３３ポイント（１・４４％）高い６８７４・４９で引けた。（ニューヨーク＝江渕崇）"
"日経平均、３営業日ぶり下落　５０８円安で今年最安値","2018年2月9日15時28分","経済,市況・統計","９日の東京株式市場は、前日の米国市場での株価急落を受け、日経平均株価が３営業日ぶりに大幅下落した。下げ幅は一時７００円を超えた。終値は前日より５０８円２４銭（２・３２％）安い２万１３８２円６２銭。１０００円以上下げた６日の終値を下回り、終値として今年の最安値となった。東京証券取引所第１部全体の値動きを示すＴＯＰＩＸ（東証株価指数）は同３３・７２ポイント（１・９１％）低い１７３１・９７。こちらも終値として今年の最安値を更新した。出来高は２１億３千万株。８日のダウ工業株平均が１０００ドル以上急落した影響で、日経平均は３８０円超値下がりして取引が始まり、ほぼ全面安の展開になった。下げ幅は、午前１１時過ぎに７７１円８５銭まで広がったが、午後はやや縮小した。市場では「米国金利の動向が定まるまで、米国株、日本株とも荒い値動きが続く」（大手証券）との声が出ている。"
"日経平均、一時７００円超安　米国の急落受け","2018年2月9日09時25分","経済,市況・統計","９日の東京株式市場では、前日の米国市場での株価急落を受け、日経平均株価は大幅安で始まった。日経平均は前日より３８３円１２銭安の２万１５０７円７４銭で取引を開始し、その後下げ幅が拡大、一時７００円超の下落となった。東証１部上場の全業種の株価が下落している。"
"日経平均終値、２４５円高の２万１８９０円","2018年2月8日15時54分","経済,市況・統計","８日の東京株式市場で、日経平均株価は２営業日連続で値上がりした。終値は前日より２４５円４９銭（１・１３％）高い２万１８９０円８６銭。東京証券取引所第１部全体の値動きを示すＴＯＰＩＸ（東証株価指数）は同１５・７８ポイント（０・９０％）高い１７６５・６９。出来高は１８億２千万株。日経平均は、値下がりした株に個人投資家らの買い注文が入り、自動車や化学など幅広い銘柄で上昇。一時３００円超の上昇となり、東証１部全体では７割が値上がりした。市場では「発表が相次いでいる１７年４～１２月期決算の好業績も理由に、波乱だった相場が少し落ち着きを取り戻している」（大手証券）との見方が出ている。"
"ＮＹダウ、乱高下の末に小幅反落　終値１９．４２ドル安","2018年2月8日09時52分","経済,市況・統計,国際,北米","７日のニューヨーク株式市場は、大企業でつくるダウ工業株平均が約５００ドル幅で乱高下した末、小幅に反落して引けた。終値は前日より１９・４２ドル（０・０８％）安い２万４８９３・３５ドルだった。世界的な株安の連鎖が収まるかどうか注目されるなか、ダウ平均は取引開始直後に１２０ドル超下落した。その後は買い戻しが入り、一時は３８０ドル高まで上昇するなど荒い値動きとなった。午後に入って米長期金利が上昇したことなどから、ダウ平均は取引終了にかけて再び下落に転じた。ハイテク株が多いナスダック市場の総合指数も下落。同６３・９０ポイント（０・９０％）低い７０５１・９８で取引を終えた。（ニューヨーク＝江渕崇）"
"１７年の経常黒字、過去２番目の高水準　２１兆８千億円","2018年2月8日09時21分","経済,市況・統計","財務省が８日発表した２０１７年の国際収支（速報）によると、貿易や投資による国内外のお金の出入りを示す「経常収支」は前年比７・５％（１兆５３２１億円）増の２１兆８７４２億円の黒字だった。海外の投資先からの収入や訪日外国人が増えたことで、黒字幅は０７年に次ぐ過去２番目の高水準となった。全体を大きく押し上げたのは、海外でのもうけを示す「第１次所得収支」で、黒字額は同９・１％（１兆６３８６億円）増の１９兆７３９７億円と、過去２番目の大きさになった。世界的な好景気を受け、日本企業の海外子会社からの配当金などが増えたためだ。また、訪日外国人数が過去最多を更新し、旅行に関するもうけを示す「旅行収支」の黒字が同３２・９％（４３６０億円）増の１兆７６２６億円と、過去最大となった。この結果、旅行を含むサービス関連のお金の出入りを示す「サービス収支」全体では、赤字額が７０６１億円と過去最少に縮小した。一方、ものの出入りを示す「貿易収支」の黒字は同１０・８％減の４兆９３０８億円に減少した。輸出は半導体関連などが伸び、１１・９％増の７７兆１９５５億円と好調だった。しかし、輸入は原油高でエネルギー関連が増え、同１３・９％増の７２兆２６４７億円に膨らみ、輸出の伸びを上回った。企業の海外移転が進み、貿易よりも海外で稼ぐ流れが強まっており、１７年の海外への直接投資額も、同０・５％増の１８兆４９０５億円に上った。（栗林史子）"
"日経平均、４営業日ぶり反発　上げ幅は急速に縮まる","2018年2月8日00時20分","経済,市況・統計","米国発の世界的な株価急落は７日、いったん止まった。東京株式市場では日経平均株価が前日の１０７１円の急落から４営業日ぶりに反発し、終値は３５円１３銭（０・１６％）高の２万１６４５円３７銭。前日に米ダウ工業平均株価が５６０ドル超の上昇となった流れを受けた。７日のニューヨーク市場は下落で始まり、その後上昇するなど荒い値動きとなった。７日のダウ平均の下げ幅は一時１２０ドル超となり、その後は上げ幅が２５０ドルを超える場面もあった。７日の東京市場では、日経平均は一時７００円超も値上がりしたが、終値は小幅な上昇で反発力は弱い。東京証券取引所第１部の値動きを示す東証株価指数（ＴＯＰＩＸ）は前日比６・５０ポイント（０・３７％）高い１７４９・９１。アジア市場も株価は弱含みで、香港やシンガポールでは小幅に下落。欧州市場では英独で小幅に上昇した。野村証券の山口正章氏は「６日の米国株は反発したが投資家は警戒感を緩めていない。新興国への投資を手控え、リスク回避の動きを取っている」と話す。（座小田英史、ニューヨーク＝江渕崇）"
"１２月の景気動向指数、３カ月連続上昇　過去最高水準","2018年2月7日21時37分","経済,市況・統計","内閣府が７日発表した昨年１２月の景気動向指数（２０１０年＝１００、速報値）は、景気の現状を示す指数が前月より２・８ポイント上昇し、１２０・７だった。３カ月連続の上昇で、現行方式の調査を始めた１９８５年１月以来、最も高い水準になった。建設用機械や乗用車、スマートフォン用電子部品の出荷などが好調だった。基調判断は１年３カ月連続で「改善を示している」とした。これまでの指数の最高は９０年１０月に記録した１２０・６。内閣府は「バブル期より経済規模が大きくなっており、指数だけで景気の良しあしを単純比較することはできない」と説明している。"
"１７年の実質賃金、２年ぶりマイナス　物価上昇が影響","2018年2月7日14時16分","社会,経済,市況・統計","厚生労働省が７日発表した２０１７年の毎月勤労統計調査（速報）によると、物価変動の影響を除いた賃金の動きを示す実質賃金指数が前年を０・２％下回り、２年ぶりに低下した。名目賃金は上昇したが、物価の上昇に追いついておらず、実質的な購買力を示す実質賃金は減少した。名目賃金にあたる労働者１人当たり平均の月額の現金給与総額（パートを含む）は前年比０・４％増の３１万６９０７円で、４年連続で増えた。このうち基本給などの「きまって支給する給与」は同０・４％増の２６万７９３円、賞与などの「特別に支払われた給与」は同０・４％増の５万６１１４円だった。一方、実質賃金の算出に用いる消費者物価指数は、電気料金やガソリン価格が上がった影響で前年より０・６％上昇。このため、実質賃金指数は前年より０・２％低下した。現金給与総額を雇用形態別にみると、フルタイム労働者は前年比０・４％増の４１万４００１円、パート労働者は０・７％増の９万８３５３円だった。パートの時給は上昇が続いており、１７年は前年比２・４％増の１１１０円で、調査を始めた１９９３年以降の最高値を７年連続で更新。一方、０９年から増加が続くパート労働者比率は、１７年は前年比０・０６ポイント増の３０・７７％と微増にとどまった。１７年１２月の実質賃金指数は、前年同月比０・５％減。労働者１人当たり平均の現金給与総額（パートを含む）は同０・７％増の５５万１２２２円だった。"
