"title","date","tags","article"
"「社会のため」問い続けて　パナソニックの模索続く","2018年2月11日06時58分","経済,産業・商品,国際,アジア・太平洋,環境・エネルギー,環境・世界の動き,有料記事","１０１年目のパナソニック　岐路に立つ：４暗がりで布を織る女性たちの手もとを、パナソニック製のソーラーランタンが明るく照らしていた。【特集】１０１年目のパナソニック作業の手を止めたユリアナ・ワダン・トビ（４４）は笑って言った。「夜も作業できるようになってうれしい」熱帯雨林に囲まれたインドネシア・フローレス島にあるリアンバリン村の人々にとって、伝統の織物「イカット」は貴重な収入源だ。以前は午後４時には作業を終えなければならなかったが、ランタンのおかげで生産量が増えた。ランタンは、パナソニックが２０１６年に贈った。村は電力供給が不安定なため、太陽光で充電できるランタンは、放課後に補講を行う寺子屋や、夜間の診療所でも活躍している。パナソニックの創業者、松下幸之助は、企業の社会的使命について、社員に繰り返し語っていた。「あらゆる物資を水道の水のごとく安く、豊富に供給し、この世から貧困を無くそう」。「水道哲学」と呼ばれた考えだ。豊かになった社会は、さらに製品を買うことで企業を潤す。「企業は社会の公器である」。幸之助がこう唱えたことはよく知られている。企業は社会から、人、カネ、土地、物を預かって事業を営む。だから本来的に社会全体のものだ――。企業に対する社会の期待は、時代とともに変化した。日本が、欧米の背中を追いかけた１９６０～７０年代、松下電器産業（現パナソニック）は、賃金を欧米企業並みに引き上げ、完全週休２日制もいち早く導入した。過疎問題が指摘されると、「１県１工場」を掲げ、北海道から九州まで工場を置いた。公害対策にも取り組んだ。幸之助は、社会が求めるものは、一企業で解決できるものばかりではないと考えたのだろう。晩年の７９年には私財７０億円を投じて「松下政経塾」を設けるなど、若手リーダーの育成に情熱を注いだ。政経塾１期生で前首相の野田佳彦（６０）は、幸之助について、「国家についても、経営者として、１００年という長い視野で捉えた。大きな理念を掲げ、どうしたら実現できるか、『ど真剣』に考え続けていた」と評する。だが創業者の思いとは裏腹に、「公器」であることを疑われることも増えた。松下電器が１万３千人の大規模なリストラに踏み切ったのは、０１年度のことだ。「幸之助の精神はどうなる」と、社内からも声が上がった。２９年、世界恐慌を受け、日本も不況に襲われた。幸之助は「従業員は解雇したらあかん」と指示した。工場を半日勤務としながら賃金は全額支払い、雇用も守った。この時社会から得た信頼は、その後の成長につながった。だが、創業以来最大の赤字に陥った０１年度は、違った対応を取った。当時人事担当の幹部だった福島伸一（６９）は、「配置転換などの策を打ったが、人余りはどうしようもなかった」と振り返る。バブル崩壊後の長い不況に、多くの日本企業が苦しんでいた時期だ。リストラで会社を立て直すことも、ある意味では社会に求められていた。今月８日、関西に拠点を置く企業の経営者たち約６００人が、京都市に集まっていた。年１回開かれている「関西財界セミナー」に出るためだ。議論は、経済環境や関西の盛り上げにとどまらなかった。「ＳＤＧｓ（エスディージーズ）に貢献する企業への投資が増えていく」「エネルギーや水問題にどう関わるかが重要だ」ＳＤＧｓは、国連が採択した「持続可能な開発目標」で、教育、気候変動、平和など１７テーマが並ぶ。経団連も達成に向けた協力を、企業に求めている。幸之助も、何度かセミナーの講師を務めた。だが当時と比べ、企業が社会から求められることは幅広く、複雑で、深い。パナソニックの社長である津賀一宏（６１）は「会社が大きくなったいま、より大きな意味で『公器』の意味が問われている」と言う。自社の利益だけを考えるな、という幸之助の教えは、今ほど求められている時代は無い。しかしパナソニックも、「公器」であり続けることは、簡単ではない。＝敬称略（新田哲史、金本有加）"
"ホッキョクグマ「激やせ」　温暖化影響、筋肉量まで減少","2018年2月2日05時00分","環境・エネルギー,環境・世界の動き,環境・生態や自然,有料記事","地球温暖化の影響でホッキョクグマが昔よりやせやすくなっていることが、米地質調査所などのチームの調査でわかった。２日、米科学誌サイエンスに論文を発表した。チームは温暖化がさらに進むと、生存が厳しくなると警告している。特集：どうぶつ新聞ホッキョクグマは海氷に空いた穴から出てくるアザラシや、海氷上のアザラシの赤ちゃんを主なえさにしている。氷の上を歩き回ったり、別の氷まで海を泳いだりして、狩りをするのに良い場所を見つける。チームは２０１４年から１６年にかけて、狩りに最適な春にアラスカ北部沖の海氷上にいるメスのホッキョクグマ９匹の体重を量ったり、血液を採ったりした。ＧＰＳ付きの首輪で移動距離を調べた。９匹中４匹は、平均で１日約２キロ体重が減り、８～１１日後には体重が１割減っていた。空腹なうえに、えさを見つけられずに歩いたり泳いだりしてエネルギーを消費したとみられる。１匹は脂肪だけでなく筋肉量まで減っていた。１９９０年代の研究による推測値と比べたところ、今回のホッキョクグマは代謝が約１・６倍速かった。メス１頭で１０～１２日に大人のアザラシなら１頭、赤ちゃんのアザラシなら１９頭を食べないとエネルギーが不足することも判明。海氷が解けて小さくなり、エサを得るには昔より長い距離を移動する必要があったためとみられる。地球温暖化で海氷が解ける速度が速まっている。チームは「温暖化が進めばエサを求めてさらに長い距離を移動しなければならず、ホッキョクグマが生存する環境はより厳しくなる」と指摘している。（小坪遊）"
"パリ協定「戻るチャンスは常にある」　トランプ氏が言及","2018年1月29日10時07分","国際,北米,環境・エネルギー,環境・世界の動き","トランプ米大統領は、英国で２８日夜に放送された民放ＩＴＶのインタビューで、離脱を表明している地球温暖化対策の国際ルール「パリ協定」について「よい取引になるなら戻るチャンスは常にある」と語り、米国にとって有利な合意になる場合は復帰を検討する考えを改めて示した。トランプ大統領、ＴＰＰ残留示唆「いい協定得られれば」トランプ氏は昨年６月、パリ協定からの離脱を表明。協定を推進する欧州諸国などは、再交渉は認めない立場を取っている。インタビューでトランプ氏は、パリ協定について「米国にとってひどい取引だった。不公平だった」と繰り返し批判したうえで「もしパリ協定に戻ってこいと言うなら、完全に違う取引でなければならない」「戻る気があるかって？　そうしたいが、米国にとってよい取引でないと」と語った。（ロンドン＝下司佳代子）"
"地球滅亡まで、残り２分…米科学者ら「終末時計」公表","2018年1月26日10時26分","社会,国際,環境・エネルギー,環境・世界の動き","米国の科学者らが毎年公表している地球滅亡までの時間を表す「終末時計」が、昨年より３０秒進められ残り２分になった。米ソによる水爆開発が本格化した１９５３年以来で、最も滅亡に近づいたことになる。北朝鮮の核開発などの脅威に加え、トランプ米大統領の「予測不能」な言動などで「第２次世界大戦以来、最も危機的」としている。２５日、米科学誌「ブレティン・オブ・ジ・アトミック・サイエンティスツ」（「核科学者紀要」の意味）が発表した。危機が高まっている理由として▽北朝鮮の核開発と米国の挑発▽米ロ関係の緊張と中距離核戦力（ＩＮＦ）全廃条約の危機▽南シナ海問題▽米によるイラン核合意の見直し要求▽地球温暖化などを挙げた。特に国際社会での指導的立場から身を引きつつある米国の態度が現状を悪化させているとしている。この日、ワシントンで会見したロバート・ロズナー・シカゴ大教授（宇宙物理学）は「米国外交が弱体化し、一貫した政策を発信して他国とともに作り上げることができていない。同盟国も敵対国も、矛盾した言動につきあわされている」と批判した。終末時計は滅亡の日を深夜０時に見立てて核戦争などの危機が高まると針を進め、遠のくと戻す。４７年の開始当時は残り７分だったが、５３年には２分前に。冷戦の終結を受けた９１年に１７分前に戻したものの、近年は核の危機に加え、地球温暖化の懸念も高くなっていた。トランプ氏の当選以降、時計の針は１分進んでいる。（香取啓介）"
"上海沖で油流出２００平方キロ　タンカーと貨物船が衝突","2018年1月20日01時16分","国際,アジア・太平洋,中国,環境・エネルギー,環境・世界の動き","中国の上海沖でタンカーと貨物船が衝突し、漂流後に沈没した事故で、中国交通運輸省などは１９日、北京で記者会見を開き、タンカーから流出した油は１８日までに２００平方キロメートル以上の範囲に広がっていることを明らかにした。事故原因については「調査の結論を出すのは時期尚早」として、明らかにしなかった。タンカーのブラックボックスを回収しており、今後、関係当事国などと共同で航行データなどを調べる方針という。当局は環境や生物への影響を調べるため、飛行機や船で２万平方キロメートルの範囲にわたって監視を続けている。記者会見では、黒煙を上げて炎上するタンカーに海難救助隊員らが乗り込み、作業する動画も公開した。（北京＝延与光貞）"
"世界の平均気温、過去３年が最も高く　温暖化傾向続く","2018年1月20日00時16分","社会,環境・エネルギー,環境・世界の動き","世界気象機関（ＷＭＯ）は１８日、世界の平均気温が観測史上最も高い上位３位を昨年までの３年が占めたと発表した。温暖化傾向が止まっていないことを裏付けた。ＷＭＯは米航空宇宙局（ＮＡＳＡ）のデータや日本の気象庁の分析を使った。過去最高だったのは２０１６年で、１９世紀の産業革命前と比べて１・２度高かった。太平洋東部の赤道付近の海面水温が上がり、気温が高めになるエルニーニョ現象の影響が強かった。昨年は１・１度高く、１５年と同等で、エルニーニョ現象が無かった年としては過去最高となった。地球温暖化の国際ルール「パリ協定」では、気温上昇を２度より十分低く抑える目標を掲げている。（ワシントン＝香取啓介）"
"世界遺産の専門家集団、トップの日本人は異色の法律家","2018年1月18日00時32分","社会,その他・話題,カルチャー,ひと・歴史,環境・エネルギー,環境・世界の動き,有料記事","日本人で初めて国際記念物遺跡会議（イコモス）の会長に就任した九州大大学院の河野俊行教授（５９）。世界文化遺産候補を調べ、登録可否の勧告を出す考古学者らの専門家集団にあって、異色の法律家としてトップにたった。「想像だにしなかった」というキャリアを歩むが、世界各地の文化財を後世に残す仕事に、情熱を燃やす。――大阪市出身。東成区の今里出身で、府立高津高から京都大法学部に進みました。高校時代から趣味は寺社巡りでした。若い頃から、じじくさい趣味でした（笑）。――法律と文化財、一般的には関係性が薄いようにも思えます。元々の専門は国際私法。文化財関係の仕事を始めたのは、九州大に就職後のドイツ留学がきっかけです。１９８６年か８７年、現地のハイデルベルク大が主催する文化財の違法取引問題についてのシンポジウムに呼ばれ、「文化財と法律って、こういう接点があるんだ」と気づいたのです。帰国後、文化財の違法取引をコントロールする仕組みの現状などについて論文を書き、日本の学会でも報告しました。日本が１９７０年条約（文化財不法輸出入等禁止条約）に批准する前に外務省からコンタクトがあり、「事前に各国の状況調査をしてほしい」と依頼されてギリシャ、ドイツなどを訪れて調べました。――ユネスコ（国連教育科学文化機関）との接点は？無形文化遺産の制度ができる前、外務省を通じユネスコから「専門家で草案を作る会合に出てほしい」と依頼があったのです。草案を作るミーティングでたたき台を作成しました。その後、日本政府からも無形文化遺産の政府間交渉にも出てほしいと言われました。――イコモスとの関係はいつからですか？９６年です。ドイツ留学から帰国後に書いた論文を読んだ当時の日本委員長から「国際イコモスに法律の委員会ができる。日本イコモスには法律の専門家がいない。ぜひ入会して出席してほしい」と誘われました。「文化財と法律」というキーワードで行き当たったようです。――当時、その分野の研究者は少なかった？現在でもほとんどいません。委員長から誘われたとき、私は再度ドイツに在外研究に出る予定で「ドイツに行くんですが……」と断るつもりで言ったら、「ちょうど１回目の会議がドイツである」と言われて断れませんでした。――会長として、改革したい点は？イコモスの存在感を示せるプロジェクトを立ち上げたい。そして大きな問題は財政基盤の強化。主な収入の柱は二つしかなく、一つは会費収入。もう一つはユネスコからの世界遺産関係の収入。後者はユネスコ自体が財政的に厳しい状態になっていて、しわ寄せがイコモスにもきています。――「存在感」という点では、世界遺産の認定に関する調査と勧告に勝るものはないのでは？　ただ、近年はイコモスが登録延期と勧告しても世界遺産委員会が登録とするケースが出てきています。委員会がイコモスの勧告を覆す形で登録する傾向は数年前からです。ただ、１４―１５年のサイクルから、イコモスは調査後に推薦国と情報のやりとりをするようになりました。以前ならネガティブな結果になっていたケースを救済し、いい結果に向けることが可能になりました。具体的に言えば、１１月に調査結果をふまえた対話を始め、問題点や疑問点を明確にします。以前は疑問があってもそれをただすすべがありませんから、基本的には最後の勧告まで内容は変わりませんでした。しかし今は対話によって、勧告内容がポジティブな方向に変わるようになりました。その結果、ここ２年ぐらいの委員会での報告は、推薦国からイコモスに対する謝辞が増えています。もう一つは、たとえば明治日本の産業遺産の登録に際しての「インフォメーションセンターを作る」などの提案について世界遺産委員会は、ほぼ１００％受け入れています。勧告から登録の結論だけを見ると差があるように見えますが、かなり貢献しているのです。欲を言えば、推薦国とやりとりをする期間が約２カ月間と非常に短いので、せめて半年まで延ばしてほしいですね。そうすれば推薦国もユネスコも、イコモスを更に有効活用できるのではないかと考えています。――ユネスコとの関係はどうありたいですか？もちろん、イコモスとユネスコとの間には緊張感があります。その緊張感を保ちながらもＷＩＮ・ＷＩＮの形にしたい。米国はユネスコを脱退しましたが、それ以前にパレスチナが正式加盟した段階から分担金を払っていませんでした。財政状況の厳しさは数年続いていて、それがイコモスの財政にも響いています。ユネスコは人員削減をしていると聞いていますが、イコモスの専門家とも協業して頂きたいと考えています。――ご自身のイコモスでの実績は？執行委員と副会長を歴任しながら、戦争で破壊された文化遺産の再建問題のプロジェクトを立ち上げました。従来は「再建されたものは文化遺産ではない」と考えられてきましたが、そう簡単には片付けられない状況がたくさん出てきました。たとえばシリアのアレッポもアフガニスタンのバーミヤンも、世界遺産のステータスをなくすのは非現実的です。実際、ワルシャワの旧市街は以前破壊されて建て直し、それで世界遺産になっています。そういう前例があるのです。――ブータンの文化財保護法整備も携わった。法律を作り、施行規則も作りました。今後は文化遺産を教育に反映させたい。そのためには教師の意識改革が必要で、今月はブータン全国から４０人の教師を集めてワークショップを開催しました。――法律の専門家として現在のようなキャリア形成を築くことは、若い頃に予想されていましたか？全く想像だにしなかったですが、文化財は人々の幸福を高める効用があると信じています。より多くの人に実感してもらえるよう、全力を尽くしたいです。（聞き手・後藤洋平）"
"ソウル市営の鉄道やバス、通勤時はタダに　大気汚染対策","2018年1月15日17時06分","国際,アジア・太平洋,環境・エネルギー,環境・世界の動き","ソウル市は１５日、有害物質を含む微小粒子状物質（ＰＭ２・５）による大気汚染が深刻な状態になっているとして、市内の交通量や工場稼働率を引き下げる特別措置に踏み切った。ソウル市がこの措置を発動するのは、昨年７月の制度導入以来初めて。ソウル市によれば、１４日のＰＭ２・５の平均濃度は１立方メートルあたり５７マイクログラムで、特別措置の発令基準の５０マイクログラムを上回った。１５日も１４日と同水準に陥る可能性があるとの予報を受けて、特別措置に踏み切った。ソウル市の数値は、北京市の２０１７年の平均濃度だった同５８マイクログラムに匹敵し、朴元淳（パクウォンスン）ソウル市長は不必要な外出は控えるよう市民に呼びかけた。ソウル市は、市営の鉄道やバスを始発から午前９時までと、午後６時から９時までの通勤、帰宅時間帯を無料にし、市関連団体が運営する駐車場３６０カ所も閉鎖。汚染の原因になっているとみられる工事現場や工場など約１９０カ所に操業時間の短縮を命じた。韓国では、深刻な大気汚染に悩む中国からの流入もあり、数年前からＰＭ２・５による大気汚染が社会問題になっている。（ソウル＝牧野愛博）"
"日本アリ、米国で在来種追いやる　船で１９世紀に侵入","2018年1月4日12時13分","サイエンス,環境・エネルギー,環境・世界の動き,環境・生態や自然","日本に広く生息するアリが船で米国に渡り、日本にいた時と違うえさを食べて在来種を追いやっているとする調査結果を、琉球大学など日米の研究チームが英科学誌に発表した。「外来種は予測できない大きな影響を侵入地の生態系に与えうる」と警告している。このアリは日本などアジアに広く生息する、体長約５ミリのオオハリアリ。森の朽ち木などにいてほとんどシロアリだけを食べる。ふだん目にすることは少ないが、昨年日本国内で初確認されたヒアリのように毒針を持つ。米国には日本などの船から１９世紀に侵入、生息域を広げたと考えられている。チームは米国では何を食べているのかを調べた。野外調査に加え、日米にいるオオハリアリの体内の放射性物質の量を調べた。えさとなる昆虫から検出される放射性物質からオオハリアリの食性がわかる。調査から、米国のオオハリアリはシロアリだけでなく、ほかの昆虫や節足動物を食べていた。さらに米国では在来種のアリが減っていた。食べるえさをほかの虫に広げたことで生存競争に勝ち、在来種を追いやっているという。チームの辻和希・琉球大教授は「生物は新しい環境で急速に性質を変化させることがある。必要なく外来生物を野に放つのは控えるべきだ」という。（小堀龍之）"
"入国わずか３時間、中国船員の手に象牙　密輸温床の日本","2017年12月24日08時51分","社会,国際,国連・その他,環境・エネルギー,環境・世界の動き,有料会員限定記事","象牙を日本国内から密輸出しようとしたとして中国籍の男が先月、警視庁に逮捕された。象牙の国際取引は約３０年前にワシントン条約で禁止され、国内市場の閉鎖に踏み切る国が相次ぐが、日本は文化的背景などを理由に市場を維持し続けている。国際ＮＧＯなどからは改善を求める声が上がっている。１１月２８日午後１１時４５分。東京港に停泊していたコンテナ船に戻ろうとする中国人の男が茶色の紙袋を携えているのに、東京税関の職員が気づいた。３時間ほど前の入国時には持っていなかったものだ。調べると、紙袋と男が背負っていたリュックに淡い色の小さな角材が大量に入っていた。「友だちにもらったアイボリー（象牙）です。スタンプに使います」。素直に認めたという。「象牙を密輸出しようとしている」と警視庁に連絡。専門家の鑑定結果も踏まえて警視庁生活環境課が３０日、男を逮捕。今月１９日に起訴された。男はコンテナ船員の陳天彪（ちんてんぴょう）被告（３１）。約１センチ四方で長さ約１０センチにカットされた象牙の印材６０５本（重さ約７キロ、約３１万円相当）を許可なく、江東区青海３丁目の埠頭（ふとう）に停泊中のコンテナ船に持ち込み、密輸出しようとしたとされる。印材は「８ミリ　角棒　３５本」などサイズごとに紙に包まれていた。警視庁によると象牙の印材は、中国では日本の３～４倍の値がつくという。陳被告は逮捕時には「自分の荷物から象牙が出てくることはない。誰かが勝手に入れたものだ」と否認に転じ「微信（中国版ＬＩＮＥ）で知り合った中国人と食事をした。別れ際に紙袋を渡された」などと話したという。コンテナ船は２８日午後７時半ごろ東京港に着いた。警視庁は、陳被告が入国後のわずかの間に何者かから象牙を受け取ったとみている。市場維持の日本「密猟助長の違法取引ない」日本で未然に摘発される例は多くないが、日本から中国への象牙の密輸出は横行しているとみられる。国際ＮＧＯ「トラフィック」は２０日、日本の象牙の管理状況を調べた報告書を発表。２０１１～１６年に日本から中国への密輸が１１３件（約２・３トン）あり、１０６件は中国で当局が押収した、とした。絶滅のおそれがある野生動植物の国際取引を規制するワシントン条約は、象牙の国際取引を原則禁止している。密猟がテロリストの資金源になるとの指摘もあり、米国や最大の象牙密輸国とされた中国など多くの国は国内取引も禁止を決めた。１６年の同条約締約国会議では「密猟や違法取引を助長するような市場の閉鎖」が勧告された。一方、日本は、箸や印鑑などに利用されてきた歴史的・文化的背景や、合法的な取引で得られる収益が生態系の保全や原産国の発展に役立っているといった考えなどから、国内市場を維持している。日本政府は「国内に密猟を助長するような違法取引の事実はない」との立場だ。日本国内で現在取引されている象牙は、条約で禁止される以前に輸入されたものや、条約のもとで９９年と０９年に、生息状況が安定している南部アフリカ４カ国から例外的に輸入されたもの。牙そのものの状態で取引するには１本ずつ環境相への登録が必要で、昨年は１６８７本（約１６トン）が登録された。印材など細かくカットされたものや加工品の登録制度はないが、商売として取引する個人や業者は届け出が必要だ。禁止以前に入手し所持していただけの全形牙は登録の義務がないが、より厳しく管理しようと、環境省は今夏、登録を促す「象牙在庫把握キャンペーン」を始めた。トラフィックが東京や京都の観光地や骨董（こっとう）市などの３３業者に聞き取りをしたところ、７割以上が象牙製品の海外への持ち出しが可能だと答えた。値札に中国語や韓国語の表記がある業者もいたという。１５年１０月には日本から中国に輸出された約８００キロが中国当局に押収された。１６年１月、記者がこの象牙の発送伝票に記載された長崎県内の住所を訪ねると、民家と公営アパートで、いずれの住人も「一切知らない」と話した。佐賀県内の１カ所は更地だった。野生生物の密輸問題に詳しいＮＰＯ法人「トラ・ゾウ保護基金」事務局長の坂元雅行弁護士は「中国への密輸出目的でネットオークションなどで入手した象牙を、いったん受け取るカムフラージュとして使われたのではないか」と話す。ＮＧＯなどは、日本から中国への密輸が続けば、中国の闇市場を支え、密猟象牙への需要を維持させる恐れがあるとして、日本の国内市場の閉鎖を求めている。トラフィックの西野亮子・プログラムオフィサーは「政府は現状にきちんと向き合う必要がある」と指摘する。（荒ちひろ、遠藤雄司、小坪遊）"
"日中の立場、完全逆転　中国がＣＯ２排出量取引市場設立","2017年12月20日05時02分","国際,アジア・太平洋,中国,環境・エネルギー,環境・世界の動き,有料会員限定記事","中国政府が地球温暖化対策を効率的に進めるため、二酸化炭素（ＣＯ２）排出量取引の全国市場を設立したと発表した。中国がＣＯ２排出量取引市場を設立　ＥＵ上回り世界最大「ＣＯ２排出の少ない発展の実現と供給側（サプライサイド）改革の深化、企業の構造転換の推進を一挙に進められる」中国経済の司令塔・中国国家発展改革委員会の張勇副主任は１９日の会見で、全国市場設立の意義をそう述べた。世界最大のＣＯ２市場の誕生は、ビジネス界で進む「脱炭素革命」をさらに加速させると見られている。ＣＯ２の排出量取引制度は、０５年に欧州連合（ＥＵ）が導入した。世界銀行によると、同制度など排出に費用を課して削減を促す仕組みをこれまでに導入しているのは４２カ国、２５地域に広がっている。対象は世界の温室効果ガス排出の約１５％を占め、昨年は２２０億ドルを生み出したという。今月１２日にパリで開かれた気候変動サミットでメキシコのペニャニエト大統領は、米国やカナダの一部の州による排出量取引市場に、メキシコ、チリ、ペルーなどが参加し統一市場をつくることを明らかにした。排出量取引市場は将来の世界統一市場を視野に拡大を続けている。（北京＝福田直之、ワシントン＝香取啓介）日本、唯一の非導入国に欧州連合（ＥＵ）が１２年前に排出量取引制度を始めた後、日本の産業界や経済産業省は「あれは失敗だ」と言い続けた。だが、世界各地で導入が進み、日本は東アジアの日中韓３カ国で、唯一の非導入国になった。日本もＣＯ２排出に費用を課す炭素税を１２年に導入したが、１トン当たり２８９円と国際的に最低水準で、削減にはほぼ意味がない。石油メジャーを含む数多くの世界的企業は、ビジネスチャンスにつながるとして、排出量取引制度の導入を支持している。中国が国全体の導入に乗り出すのも、７省市での試行で削減や経済に有効だと判断したからだ。経産省や産業界は「競争力を奪われた企業が規制の緩やかな国に移転し、地球全体のＣＯ２排出が増える」として、排出量取引制度の導入に反対してきた。いま中国では「ＣＯ２排出に責任を負わない国からの製品輸入については、炭素関税を徴収してはどうか」という議論が起きている。残念なことだが、両国の立場は完全に逆転した。（編集委員・石井徹）"
"中国がＣＯ２排出量取引市場を設立　ＥＵ上回り世界最大","2017年12月19日20時02分","国際,アジア・太平洋,中国,環境・エネルギー,環境・世界の動き,有料会員限定記事","中国政府は１９日、地球温暖化対策を効率的に進めるため、二酸化炭素（ＣＯ２）排出量取引の全国市場を設立したと発表した。国家発展改革委員会によると、まずは電力業界１７００社超が対象で、排出量は３０億トンを超える。欧州連合（ＥＵ）の規模を上回り、世界最大の排出量取引市場が誕生した。排出量取引は企業や業界に排出量の枠を定め、達成できなかった所に、超過達成した所から枠を買わせて温室効果ガスの削減を進める制度。中国は２０１１年以降、北京市など７省市で排出量取引の制度整備をし、１３年からは実際に取引を始めて経験を積んだ。全国市場でより多く、効率的に排出量を減らせるようにする。新興国の中国に世界最大の市場ができたことで、先進国以外でも気候変動への対策が加速しそうだ。習近平（シーチンピン）国家主席は１５年９月、米中首脳会談で１７年に全国市場をつくると表明していた。米国が離脱を表明した地球温暖化対策のパリ協定を履行する姿勢を国際社会に印象づけ、環境分野での世界のリーダー役を担う姿勢を示す効果も見込んでいると見られる。当初は石油化学と化学、建材、鉄鋼、非鉄金属、製紙の各業界も対象とする計画だったが、設立時は電力業界のみという慎重な滑り出しだ。石炭火力発電など排出量が比較的多く、排出量データの把握も進んでいた電力業界を突破口として実績を積む狙いがある。成否の鍵は、排出量を設定するための情報を政府が正確に把握できるかだ。今回対象から外れた鉄鋼業などは国有・民営企業が入り乱れ、過去の排出実績を集めるのも簡単ではなさそうだ。成長が鈍る中国経済に与える影響も課題だ。今後、拡大が検討される各業種には生産能力が余ってリストラが進む所があり、排出量削減のコストが追い打ちをかける可能性もある。"
