"title","date","tags","article"
"寒波重なりサンゴが白化　和歌山沖「黒潮大蛇行」も影響","2018年2月11日20時38分","社会,環境・エネルギー,環境・生態や自然,有料記事","たび重なる寒波に加え、暖かい黒潮が紀伊半島から遠ざかる「黒潮大蛇行」が昨秋ごろから発生し、和歌山県の海に異変が起きている。海水温が極端に下がってサンゴが白化したり、寒さに弱い魚が凍死したりしている。田辺市の沖約２・７キロにある「沖島」。９日、水温１４度の海に潜ると、サンゴの群落の中で、テーブル状の「クシハダミドリイシ」の一部が白くなっていた。サンゴの中で共生する植物プランクトンの「褐虫藻（かっちゅうそう）」が、低水温のストレスで抜け出し、緑や茶の色が白くなる「白化現象」だ。このままの状態が長引き、褐虫藻が戻らないと死滅してしまう。周辺では、クマノミやワカウツボなど寒さへの耐性がない魚も動かなくなったり、死んだりしていた。地元ダイビングガイドの李友喜（りともき）さん（４５）によると、例年、一帯の水温が１６度を下回ることはまれだが、今月上旬は１１度台まで下がった。暖かい黒潮が離れた上に、寒波も来襲し、サンゴが生息する海域の水温を下げた。現在、全体の３～４割が白化したり死滅したりしている。田辺市の南の白浜町でも、小規模だが白化が見られるという。串本海中公園水族館（串本町）の野村恵一館長（５９）は「サンゴは暖かい海に生息する特徴があり、１４度を下回る環境では白化し、死滅する。このまま海水温が低い状態が続くと、深刻な状態になる。ただ、海水温が上がると再び復活する可能性もある」と話している。（水野義則）◇黒潮大蛇行　太平洋側を流れる暖流「黒潮」が和歌山県沖で大きく南に離れ、蛇行する現象。正確な原因は分かっていないが、大蛇行が起きると魚の生息域が変わるなど生態系に影響がある。前回は２００４～０５年に発生し、１９６５年以降では６回目。"
"厳寒なのに…山中湖、意外に薄氷　穴釣り、今年も期待薄","2018年2月9日08時44分","社会,その他・話題,トラベル,環境・エネルギー,環境・生態や自然,山梨","山梨県山中湖村の山中湖で湖面の一部が結氷して観光客の立ち入りが絶えず、村は転落事故に注意を呼びかけている。厳しい寒さが続き、冬の風物詩「ワカサギの穴釣り」が４年ぶりに楽しめるかもと期待されたが、意外にも氷は薄いという。結氷したのは水深が浅い北東部と北部の一部。村によると、氷の厚さは１０センチ以下。氷上に雪が凍った「雪ごおり」があり、一見厚く見えるが、「強度がないので極めて危険」と村の担当者は話す。立ち入り可能な氷の厚さは１５センチ以上で、氷の質や気象の週間予報も参考に判断するという。「山中湖交流プラザきらら」「平野ワンド」周辺の結氷した湖面は雪原のように見える。１月下旬以降、富士山を背景に幻想的な写真を撮ろうと立ち入る観光客が絶えない。村役場には目撃情報が連日寄せられ、そのたびに観光課職員が注意に駆けつけている。村や観光協会、警察、漁協などでつくる「村氷上安全対策協議会」は、湖畔に立ち入り禁止を訴える約３０枚の看板を立てた。中国語と英語も併記した。６日から朝夕、村の防災無線で氷に乗らないよう注意喚起も始めた。村によると、山中湖の湖面が完全に結氷したのは２００６年１月が最後。１３年と１４年の１月にはそれぞれ１週間ほど、北東部の一部で穴釣りができるほどの氷が張ったという。村の小林正宏観光課長は「温暖化で年々凍りづらくなっている。年末から厳しい寒さが継続しないと、人が氷上に立てるほどの厚さに育たない」と話す。富士五湖の中で最も小さいため凍りやすい精進湖も、富士河口湖町役場によると今冬は穴釣りはできない。全面結氷したが強度が足りないという。河口湖も全面結氷したのは０１年２月が最後。町役場によると、昭和３０年代までは毎年、スケートができるほど凍ったが、近年は河口湖大橋より南東の湖面に薄い氷が張る程度という。西湖と本栖湖は、過去一度も全面結氷したことがない。本栖湖漁協によると、広くて深く、わき水が多いためという。（河合博司）"
"身を寄せ合って寒さ耐え　リュウキュウアサギマダラ越冬","2018年2月8日00時24分","社会,その他・話題,環境・エネルギー,環境・生態や自然,どうぶつ新聞,鹿児島","鹿児島県・奄美大島で、チョウの一種、リュウキュウアサギマダラが集団で越冬している。海沿いの林の枝やつるに身を寄せ合うようにしがみつき、寒さに耐えている。特集：どうぶつ新聞奄美群島以南に生息し、気温が１５度を下回ると群れてじっとする習性がある。茶色に薄い水色模様の羽を広げると、１０センチほどの大きさになる。気温が高くなると、再び林間をヒラヒラと飛び交う。集団越冬は３月ごろまで。（外尾誠）"
"流氷と一緒に大量の凍ったイワシ　「鮮度いいよ」　稚内","2018年2月7日18時57分","環境・エネルギー,環境・生態や自然,北海道,有料記事","猛吹雪で大しけが続いた北海道稚内市は６日、久々の好天に恵まれ、稚内地方気象台は、同施設から海上の流氷が目視できる「流氷初日」を観測したと発表した。北東の強風でオホーツク海の流氷が押し寄せたためで、平年より７日早く、昨年より１２日遅い。宗谷岬のオホーツク海沿岸には流氷がびっしりと沖まで接岸。ノシャップ岬東岸にもはぐれた流氷が漂着した。その海岸線に打ち上げられたのは数え切れないほどの大量のマイワシ。ほとんどが冷凍状態で、「鮮度はいいよ」とバケツを持って拾い歩く人も。凍っているため、カラスも手を焼くが、市では腐敗すると困るので７日から回収するという。今冬は全国的に寒波で海は大荒れで、先月末には青森県でも大量のイワシが打ち上げられた。稚内水産試験場の佐野稔主査（４５）は「イワシは低水温に弱く、この寒波や流氷で海水が急激に冷え、弱って打ち上げられたのではないか」と話している。（奈良山雅俊）"
"東山動植物園、バードホール観覧再開　環境省の対応受け","2018年2月6日12時12分","社会,環境・エネルギー,環境・生態や自然","東山動植物園（名古屋市）は６日、クジャクやインコがいる「バードホール」の観覧を再開するなど、高病原性鳥インフルエンザの予防対策の一部を解除した。環境省が５日に対応レベルを「３」から「２」に引き下げたため。鳥類舎やその周辺の消毒をやめ、来園者との距離を保つために鳥類舎の周りに設けていた柵も撤去する。対応レベル引き上げを受け、１月１８日から対策を追加していた。一方、昨年１１月から実施している「小鳥とリスの森」の閉鎖は続ける。入園者らの靴底や、園に入る車のタイヤの消毒も続ける。"
"１日１トンの糞を掃除　「糞虫」の美しさに魅せられた男","2018年2月4日09時25分","社会,環境・エネルギー,環境・生態や自然,奈良","奈良公園（奈良市）には約１２００頭の鹿がいる。毎日合計１トンほどの糞（ふん）をするが、園内が糞まみれになることはない。掃除して自然界に戻す虫「糞虫（ふんちゅう）」がいるからだ。中学生の頃、その美しさや生態に魅せられた中村圭一さん（５３）＝奈良市高畑町＝が奈良公園の近くで、糞虫と「糞虫の聖地」を紹介する施設の開館準備を進めている。「この辺りが鹿の通り道です」。中村さんに案内され、春日大社境内に続く奈良公園の林に踏み入った。落ち葉の中に鹿の糞があった。周囲に糞の粉。糞虫が入り込んだ証拠だ。枯れ枝で糞を割ると羽の一部が黄色い３ミリほどの虫が数匹いた。「ネグロマグソコガネです。春秋は種類が多いですが、今は地味な４、５種類しかいないんですよ」糞虫は食糞性コガネムシのこと。数ミリから数センチの大きさで、動物が消化できない成分を食べて分解する。食べかすは微生物も作用して芝生の養分となり、その芝を鹿が食べる。糞虫のおかげで糞の分解は格段に早まり、ハエの繁殖を抑える効果もある。鹿の糞が多い奈良公園は糞虫にとって絶好の生息環境だ。中村さんによると、国内１５０種余りのうち、約６０種が確認されている。糞虫愛好家の間では「聖地」と呼ばれている。中村さんは小学３年の時、大阪府内から奈良公園の南の高畑町に転居。自宅近くの奈良女子大学文学部付属中学校・高校（現奈良女子大学付属中等教育学校）に通った。中学時代、友だちに糞虫の存在を教わり、奈良公園でルリセンチコガネを見た。木漏れ日を受けて輝く姿に魅せられ、昆虫同好会を設立。高校２年の時、同好会の糞虫研究が中学・高校生の公募コンクール「日本学生科学賞」の地方審査で県知事賞を受賞した。京都大学に進学し、卒業後、農林中央金庫に勤務した。事業再生や震災復興などに携わる一方、糞虫観察のため、中国・新疆ウイグル自治区、カンボジアなどに出かけた。２年前、東京都内の本店で管理職になり、事務仕事が増えた。「この先、仕事でわくわくするようなことは起きそうにない。新しい何かに挑戦したい」。冗談まじりで口にしていた「奈良に糞虫館をつくる」という夢を実現しようと思い、早期退職。奈良に戻り、「ならまち糞虫館」の設立準備を始めた。奈良公園西側の南城戸町で今年７月の開館を目指し、改修工事などを進めている。標本の展示はただ並べるのではなく、宝飾店のようにおしゃれにする。「糞」のマイナスイメージと、意外な美しさの落差を感じてもらうためだ。宿泊施設と連携した自然観察ツアーなども計画している。中村さんは「奈良といえば鹿だが、その生態系が保たれているのは糞虫がいてこそ。目に見えない存在の魅力を感じてほしいです」と意気込んでいる。（古沢範英）"
"白い恋人、求愛の舞　北海道・鶴居村　タンチョウ飛来","2018年2月3日13時20分","社会,その他・話題,環境・エネルギー,環境・生態や自然,どうぶつ新聞","北海道鶴居（つるい）村にタンチョウが飛来している。日の出とともにねぐらの雪裡（せつり）川を飛び立ち、給餌（きゅうじ）場では羽を広げて鳴き合う様子が見られる。川を望む音羽橋には、幻想的な営みを撮影しようと海外からも多くの写真愛好家が訪れている。特集：どうぶつ新聞給餌場の一つで日本野鳥の会が運営する「鶴居・伊藤タンチョウサンクチュアリ」によると、１月末の飛来数は一日に約２００羽。２月に入って求愛ダンスもいっそう活発になるという。頭や片脚を羽毛の中にしまい込んで厳しい寒さをしのぐ姿も観察できる。（白井伸洋）"
"雪山ハイキング、霧氷も　奈良・三重県境の三峰山が人気","2018年2月2日20時27分","社会,トラベル,環境・エネルギー,環境・生態や自然,パノラマ","関西で雪山ハイキングを楽しめる場所として人気がある三峰（みうね）山（１２３５メートル）が、登山客でにぎわっている。奈良県御杖（みつえ）村と三重県にまたがる山で、山頂付近はひざ丈まで雪が積もり、一面の銀世界が広がっている。条件が整えば、霧氷を見ることもできる。【パノラマ動画】関西で雪山ハイキングが楽しめる場所として人気の奈良・三重県境にある三峰山＝矢木隆晴撮影２５日までの土日祝日は御杖村観光協会が「三峰山霧氷まつり」を開催。鹿肉のハムやしぐれ煮などの特産品の販売やもちつき大会（１１日のみ）なども開かれる。問い合わせは観光協会（０７４５・９５・２０７０）へ。（伊藤進之介）"
"沖縄深海のバクテリア、生命誕生の鍵？　研究チーム発見","2018年2月2日12時11分","社会,その他・話題,サイエンス,環境・エネルギー,環境・生態や自然,沖縄はいま,有料記事","沖縄の深海で見つかったバクテリアが、複数の方法で生命活動を維持していることを海洋研究開発機構などの研究チームが発見した。地球で最初に生命がどのようにして生まれたかを解明する手がかりになるという。２日付の米科学誌サイエンス電子版に研究成果を発表した。チームは２００３年、バクテリアのなかでも原始的な新種の好熱性水素酸化硫黄還元細菌を沖縄・与那国島近くの水深約１３７０メートルの熱水が噴き出る海底の泥の中で見つけた。体長は約１～２マイクロメートル。今回このバクテリアを調べたところ、水素をエネルギーにして有機物をもとに生命活動に必須のアミノ酸などの栄養素を作り出していた。また、有機物がなくても、効率は落ちるものの二酸化炭素から有機物などを作っていた。地球に生命がどうやって誕生したかについては論争が続いている。栄養のもととなる有機物が豊富な場所で生まれたという説では、周りの有機物を使い続けて不足したときに生命維持に必要な分をどう確保したかがわからない。一方、周囲からエネルギーを得て自分で栄養を作ったという説では生命維持に必要な分をどうやって作り続けたのかが説明できない。同機構の布浦拓郎さんは「一方の説だけでは生命維持は難しい。地球に生命が誕生した初期の生物は、今回見つかったバクテリアのように両方の仕組みを柔軟に使い分けていたのではないか」と話す。（杉本崇）"
"天津の「孤狼」名乗る男、容疑者に指示か　象牙密輸未遂","2018年2月2日08時22分","社会,事件・事故・裁判,環境・エネルギー,環境・生態や自然,有料記事","国際取引が禁じられている象牙を密輸出しようとしたとして、象牙卸売会社「全日本象牙卸売センター」（東京都台東区）取締役の土屋雅右容疑者（４７）が関税法違反の疑いで逮捕された事件で、同社に対して密輸の指示役側からとみられる複数回の入金が確認されていたことが、捜査関係者への取材でわかった。警視庁は、日本から中国への組織的な密輸ルートがあるとみて調べている。生活環境課によると、土屋容疑者は国内市場の適切な管理や保護に取り組む日本象牙美術工芸組合連合会の青年部長。昨年１１月２８日、中国籍の男２人＝同罪で起訴＝らと共謀し、東京港から象牙の印材６０５本（重さ約７キロ、約３１万円相当）を許可なく密輸出しようとした疑いがある。「密輸に関わった自覚も意識もない」と容疑を否認している。捜査関係者によると、押収資料などから、印材３００本で１００万円など、同社に対して密輸の指示役側からとみられる複数回の入金があったという。共謀したとされる中国籍の２人は調べに、中国版ＬＩＮＥといわれる「微信」で知り合った「中国・天津市在住の『孤狼』と名乗る男」から象牙の調達や運搬を指示されたと説明。このうち運搬役の男は、「孤狼」から象牙調達の指示を受け、土屋容疑者に対して「６００本準備できるか？」と打診し「なんとか出来ると思う」などのやりとりをした、と話しているという。男の供述によると、受け取りの際に代金の授受はなかったといい、警視庁は「孤狼」側から同社に対して後日、複数回入金されていたとみている。全日本象牙卸売センターは同連合会の中心メンバーで、連合会は象牙の適正な取引や管理を議論する国や関係団体の協議会の事務局も務める。連合会幹部は「もし海外に行くと知りながら販売していたら背信行為としか言いようがない」と憤る。環境省幹部は「容疑が事実なら、非常に残念としか言いようがない。信頼を裏切られた思いだ」と話す。（荒ちひろ）国内業者に危機感「背信行為」国内の業者が逮捕されたことに、関係者は危機感を募らせる。象牙は、ワシントン条約で国際取引が禁じられている。貿易はもちろん、観光のお土産でも海外に持ち出すことはできない。だが、中国では日本から輸入されたとみられる象牙の摘発が相次いだ。２０１６年以降は、ＮＧＯが日本国内で象牙取扱業者や古物商などに覆面調査をするなどして「日本から中国などに象牙製品が密輸出されている」と指摘。１６年に南アフリカで開かれたワシントン条約締約国会議で「密輸や違法取引を助長する市場の閉鎖」も勧告された。これに対し、国は「大規模な密輸入は確認されていない」「違法輸出の温床となっている認識はない」などと主張、日本の市場は勧告の対象外だとしてきた。今回逮捕された容疑者が役員を務める全日本象牙卸売センターは、日本象牙美術工芸組合連合会の中心メンバー。同連合会は、象牙の適正な取引や管理を議論する国や関係団体の協議会の事務局も務める。連合会幹部は「もし海外に行くと知りながら販売していたら、背信行為としか言いようがない」と憤る。環境省幹部は言う。「容疑が事実なら、非常に残念としか言いようがない。信頼を裏切られた思いだ」（小坪遊）"
