"title","date","tags","article"
"（ｅｃｏ活プラス）環境映像借りて意識向上　市民団体や自治体、各地で上映","2018年2月6日16時30分","環境・エネルギー,環境・市民や行政,有料記事","環境問題を題材にした映像作品の上映会が各地で行われている。上映会の主体は市民団体や自治体など様々で、映像祭に出品された優れた作品の貸し出しなども行われている。上映会を通して環境問題への理解が深まったり、環境意識の向上につながったりする。千葉県船橋市で１月中旬、東京電力福島第一原発事故の影響などについてミニ映像祭が開かれた。生協などが参加する「フクシマを考えるフォーラム実行委員会」が主催し、約２００人が集まった。この日上映された作品は「太陽が落ちた日」（ドメーニグ・アヤ監督）。広島への原爆投下後に被爆者の治療に入った医師を祖父に持つドメーニグ監督が、祖父がその体験を生涯語らなかった理由に迫り、それを通して福島第一原発事故後の課題まで見据えたドキュメンタリー作品だ。鑑賞した宮田みどりさんは「忘れかけていたものが、現代のものとして鮮やかによみがえった」と話した。この作品は、毎年３月に東京で開催される国際的な環境映像祭「グリーンイメージ国際環境映像祭」の実行委員会が貸し出したものだ。映像祭のウェブページの作品貸し出しの欄には、絶滅の危機に直面する渡り鳥クロツラヘラサギを国境を越えて守る人々を描いた「国境のない鳥」（ディーン・ジョンソン監督）や、都会から雪深い村に移り住み、古民家で生活する夫婦が地震に遭遇しても、そこで生活再建を図る「風の波紋」（小林茂監督）など、多数の作品が紹介されている。同実行委の宇津留理子さんは「最新の環境映像作品からは、地球温暖化対策の国際ルール『パリ協定』ができて以降、世界が気候変動を無視できずに、森林保護に動き、温室効果ガスを減らす方向に力強く歩んでいる傾向を感じる」と話す。ミニ映像祭を主催した平健三さんは「多くの作品のなかから、幅広い年代層が引き込まれるものを選べた」と話す。毎年夏に名古屋と大阪で環境映像の上映会を開催している三菱ＵＦＪ環境財団の田中洋一事務局長は「ダムの解体をとらえた米国の作品など、海外にも良作が多い。日本の先を行くものもある」と話す。優れた作品を個人で借りて、仲間を集めて上映会を開くこともできる。ただ、作品は多くの時間や費用をかけて撮影されたものだ。営利目的でない場合でも１本あたり１万～１０万円の費用がかかることもあるという。宇津さんは「商業的に成功する作品もあるが、そうでないものがほとんど。貸し出しで受け取った料金を制作者に支払うことで、新たな作品制作の支援になる」と話す。過去の映像であれば、無料で借りられるものもある。環境教育に使われた環境省の映像は、送料は必要だが貸し出しは無料だ。日本環境協会でも「ヤンバルの鳥たち」といった野生鳥類保護の記録などを取り上げた作品を貸し出している。ただ、古い作品はビデオテープなどが多く、再生機器が必要な場合があるという。（田中誠士）＜ｅｃｏ活の鍵＞環境映像作品の貸し出しは、「グリーンイメージ国際環境映像祭」（https://green-image.jp/）や日本環境協会（https://www.jeas.or.jp/）などが行っている。また、自治体や図書館などが貸し出していることもある。＊ｅｃｏ活（エコカツ）プラス"
"（ｅｃｏ活プラス）落ち葉で自家製腐葉土　定期的に切り返し、活性剤で促進","2018年1月30日16時30分","環境・エネルギー,環境・市民や行政,有料記事","庭や公園の落ち葉。ごみとして捨てるなんて、もったいない。簡単な工夫で腐葉土をつくり、肥料として再利用できる。腐葉土とは、細菌などの働きによって落ち葉が分解され、土のような状態に変わったもの。植物の生育に欠かせない窒素やリン酸、カリウムなどの栄養分を豊富に含んでいる。落ち葉がしっかり分解されると黒色に変わり、不快なにおいもない。昨年公開された映画「人生フルーツ」では、庭の落ち葉をいとおしむように集め、作物を育てつづける老夫婦の暮らしが描かれ、話題になった。「風が吹けば、枯葉が落ちる。枯葉が落ちれば、土が肥える。土が肥えれば、果実が実る」。その営みを人生に重ねる樹木希林さんの印象的なナレーション。つくり方を知りたくなった。東京都西東京市の「西東京花の会」は１４年前から、市内の公園で集めた落ち葉を使って、腐葉土づくりに励んでいる。ベニヤ板で約２メートル四方の囲いをつくり、発酵槽にしている。「分解が均一に進むように、定期的に『切り返し』を続けることが、よい腐葉土をつくるコツ」と、リーダー役の佐々木奎五（けいご）さん（７６）。力強くスコップなどを操り、積み重なった落ち葉の層を上下で入れ替える。発酵槽は３カ所あり、分解が進むにつれて隣に移していく。落ち葉を分解する細菌はもともと付着しているので、自然の山林でも積もった落ち葉はひとりでに腐葉土になるが、時間がかかる。寒い季節も分解が早く進むように、米ぬかなどが活性剤として利用される。「昨年までは油かすを使っていたが、今年は納豆とヨーグルトを混ぜて試している」と、理事長の小山田勇治さん（７４）。落ち葉は毎年、３００袋も集められ、半年かけて腐葉土にしていく。つくり方を変えた今年もうまくいくか楽しみだ。昨年１２月に作業を始め、いまのところ順調だ。３月３日には一般の参加者を交えて、「腐葉土と土づくり体験教室」を開く。腐葉土を使った花づくりなども学べる。納豆とヨーグルトを混ぜる方法は、愛媛県産業技術研究所長を務めた曽我部義明さん（７２）が開発した。マイエンザとも呼ばれる。ドライイーストと砂糖も加え、１週間かけて発酵培養させた後、水で薄めながら使う。畑や花壇にまいて土壌改良剤にもするそうだ。「自治体などが手順をウェブサイトで公開しているのでだれでもつくれますが、市販の活性剤もあります」と曽我部さん。北海道旭川市の坂井律子さん（７３）は７年前から、この方法で腐葉土をつくってきた。自宅の落ち葉を積み上げ、最初の１カ月は１０日おきに切り返す。その後は月１回程度で続け、５月ごろには腐葉土になるそうだ。「台所の生ごみも混ぜて、リサイクルしています」（伊藤隆太郎）＜ｅｃｏ活の鍵＞腐葉土の基本的なつくり方は次の通り。（１）土の上を板材で囲い、落ち葉を積み上げる（２）水をまいて湿らせ、米ぬかや油かすを加えて踏み固める（３）２～３週間に１度、上下を切り返して入れ替える（４）量が半分程度に減り、黒色になれば完成園芸関係の専門書に、より詳しい説明がある。手順を教えてくれる園芸店もある。＊ｅｃｏ活（エコカツ）プラス"
"（教えて）石炭火力発電所、新しく造っちゃダメなの？","2018年1月30日16時30分","環境・エネルギー,環境・市民や行政,環境・企業や技術,有料記事","■ＣＯ２排出量が多く、効率も悪い。せめて天然ガス火力にしないと。石炭火力発電を考えるＱ　石炭火力発電所の建設計画に、環境相が厳しい意見を言ったね。Ａ　石炭火力の新増設は、国内で約４０基が計画されている。これまでも厳しい意見を言ってきたけれど、中川雅治環境相は今月、中国電力の新設計画に、地球温暖化対策がない限りは「（建設は）容認されるべきではない」という意見書を、世耕弘成経済産業相に出した。Ｑ　どうしてそういう意見を出したの？Ａ　発電の燃料に石炭を使うと、二酸化炭素（ＣＯ２）がたくさん出る。地球温暖化の主な原因はＣＯ２の排出が増えたことだから、石炭から脱却することは世界的な流れだ。Ｑ　石炭とほかの燃料で、発電所から出るＣＯ２はどう違うの？Ａ　燃料の種類別に、一定量のエネルギーをつくる際にどれだけ炭素を排出するかを示す「排出係数」という指標がある。火力発電所で主に使われる石炭（一般炭）と液化天然ガスで比較すると、液化天然ガスは石炭の５５％程度だ。太陽光や風力、水力発電などの再生可能エネルギーと原子力発電は、発電時には化石燃料を使わず、ＣＯ２が出ない。原子力発電は安全面に課題があるけれど、再生エネの推進は地球温暖化対策として効果が高いんだ。Ｑ　ずいぶん違うね。Ａ　環境ＮＧＯの気候ネットワークの分析によると、２０１４年度に火力発電所から排出されたＣＯ２のうち、石炭火力が４９％を占め、天然ガス火力は３７％だった。だが、発電量は石炭火力が３５％、天然ガス火力が５３％。分析を担当した桃井貴子さんは「化石燃料全体を減らして、再生エネを中心にした脱炭素社会へ持っていかないといけない。需給バランスを調整するために当面火力発電は必要なので、火力発電は天然ガスを中心に使うという方向性がこれからは必要」と話す。Ｑ　家庭でも電気を買う会社を選べるよね。Ａ　同じ燃料でも発電所によって効率が違うし、石炭も産地などで効率が違う。燃料種別の排出係数を元に効率などが加味された、会社ごとの「電気事業者別排出係数」を国が毎年１２月に公表していて、インターネットで見ることができるよ。（神田明美）"
"（自然旅）「日本一の星空」を楽しむ　長野・阿智村　標高８００メートル、肉眼で５等星","2018年1月23日16時30分","サイエンス,宇宙・天文,トラベル,環境・エネルギー,環境・市民や行政,有料記事","澄み切った冬の夜空では、星々がとりわけ美しく輝く。今月初め、「日本一の星空」があるという長野県阿智村で、都会では見ることができない満天の星を楽しむツアーに参加した。狙った夜空に人工流れ星黒い夜空を横切るように、天の川が白くたなびく。やがてのぼってきた満月が薄雲を照らすと、まぶしく感じる。すばる（プレアデス星団）やオリオン座大星雲など、ふだんは目に入らない星々が肉眼で確かめられた。長野県南端部にある阿智村は、日本アルプスの山々に囲まれ、都市部の光が届きにくい。２００６年に全国４３９地域で実施された環境省の調査で、夜空の暗さが星の観察に「最も適している」と認められた。人口７千人弱の村を活性化しようと、「天空の楽園　日本一の星空ナイトツアー」を始めたのは１２年。昨年は、近くにある「昼神温泉」の宿泊客ら１６万人が訪れた。営業は午後７時～１０時。スキー場に近い標高８００メートルの会場を自由に歩いて、レーザーポインターで夜空を指しながらの解説を聞けるほか、置いてある望遠鏡でくわしい観察もできる。プラネタリウムやカフェもある。零下での星空観察で体が冷えたら、会場にある「足湯」に入って暖まることもできる。この夜の参加者は、多くがカップルや子連れの家族。名古屋市の会社員佐野笙子さん（２７）は、すばるに望遠鏡を向けて「星がたくさんある！」と驚いた。石川県から来た大学生の女性は「オリオン座の近くに、知らない星があんなにあるなんて」と感激した。ツアーを運営するジェイ・マウンテンズ・セントラルの谷沢信さんは「都会で見えるのは１等星くらいまでだが、ここでは４、５等星まで空一面に見える。当初は中京圏からの客が中心だったが、関東や関西からも来てもらえるようになった」と話す。（小宮山亮磨）＊高校生以上２２００円、小中学生１千円。冬季のツアーは３月末まで。問い合わせはヘブンスそのはら（０２６５・４４・２３１１）。"
"染まる地下水　ドローンで見えた産廃の傷痕　香川・豊島","2018年1月23日03時35分","社会,その他・話題,環境・エネルギー,環境・市民や行政","瀬戸内海にある白砂青松の小島に、クレーターのような「異質」な大地が広がる。島は「国立公園」だ。特集：ドローンズアイ１９８０年代に国内最悪とされる産業廃棄物の不法投棄事件があった香川県・豊島（てしま）（土庄〈とのしょう〉町）の処分地をドローン（無人航空機）で撮影した。産廃が投棄されていた７ヘクタールの敷地にはいたるところに穴が残り、産廃の影響で地下水や雨水が様々な色に染まっていた。投棄された産廃は昨年までに島外へ搬出された。その量は約９０万トンに上る。県は汚染された地下水や土壌の調査や除染対策を進めており、３月末までに穴を埋めてなだらかにする予定だ。住民は本来の姿に戻すよう訴え、活動を続けている。地下水からはベンゼンなどの有害物質が今も基準値の１０倍以上検出されている。住民運動の代表を務める安岐正三さん（６６）は「『見えないゴミ』がある。事件はまだ終わっていない。次の世代に元の島の姿で返すのが私たちの最低限の務めです」。（池田良）"
"（ｅひと）作品に込めるメッセージ　廃材アーティスト・富田菜摘さん　３１歳","2018年1月16日16時30分","カルチャー,アート・文芸,環境・エネルギー,環境・市民や行政,有料記事","東京都練馬区の富田菜摘さん（３１）は、金属などの廃材や古い新聞紙を使って、動物や人物の作品を手がける現代芸術家だ。例えば、自転車のかごや扇風機の羽根のカバーを組み合わせてラクダの胴体にしたり、ビール瓶の王冠をつないでカメの甲羅にしたりしている。「使わなくなったものに、新しい命を」。創作活動にはそんな思いを込めている。昨年１１月、東京都豊島区で展覧会「ふたつの豊島（ゆたかなしま）から未来へのメッセージ」があった。１９８０年代、大量の産業廃棄物が香川県の豊島（てしま）に持ち込まれる国内最大規模の不法投棄事件があった。昨年３月、不法投棄された約９１万トンの産廃はようやく島から運び出された。こうした豊島の歴史や消費社会のあり方などについて考えてもらおうと、不法投棄の写真やパネルの展示とともに、富田さんの作品も並んだ。「より多くの人に関心をもってもらえるように声をかけてもらったんだと思います」と富田さん。小さいころからものをつくるのが好きだった。美術大学を目指していた高校３年のとき、通っていた予備校で「何をつくってもいい」という行事があった。当時、自然が豊かなガラパゴス諸島に興味を持っていた。「自然の象徴のような島の生きものを、対極にある都会の廃材で表現したら面白いのでは」と考えた。街を歩いて廃材を拾い集めた。「時代が刻まれていて味わいがある」と、さびはそのまま残し、バケツや自転車の部品などをつなぎ合わせて３メートルほどのウミイグアナをつくった。「不法投棄や環境問題について考えるきっかけになればと、素材自体にメッセージを込めた」美大は絵画学科に進んだが、在学中から、自転車やキッチン用品、家電など、様々な廃材を組み合わせた立体作品づくりにのめり込んだ。手がけた作品は１千点を超える。廃材を集めていると、街にはいろんなものが捨てられていて、拾った空き缶の中にたばこの吸い殻が入っていたこともあった。富田さんは言う。「私が廃材を使って作品をつくったとしても世界からごみが減るわけではないが、ものの大切さとか面白さとか、何か見落としているものに気付いてもらえれば」（戸田政考）◆新聞や雑誌の切り抜きを使った人物作品の個展「中吊（なかづ）りの日々」が２月１３日～３月３日、東京都中央区のギャルリー東京ユマニテ（０３・３５６２・１３０５）である。日曜休み。無料。"
"日光の杉並木、７割が衰えや枯死　特別天然記念物","2018年1月14日13時34分","社会,その他・話題,環境・エネルギー,環境・市民や行政,栃木,有料記事","国の特別史跡と特別天然記念物に二重指定されている日光杉並木街道の緊急調査で、７割の木が「衰退・やや衰退」「ほぼ枯死」と判定され老朽化が進んでいることが１２日、わかった。倒木につながる「特に注意すべき」「重度」の要因があるとされた木も３割近くに達した。保存管理計画を約半世紀ぶりに見直すための栃木県教委の策定委員会（委員長＝谷本丈夫・宇都宮大名誉教授）が１２日、宇都宮市で開かれ、日光、例幣使、会津西の３街道の並木杉計１万２１５２本を１５～１７年度に調べた結果の概要が示された。樹勢の衰退度の調査では、「やや衰退」が７０８８本と全体の５８・３％を占め、「やや良好」３６８０本、「衰退」１１２２本、「ほぼ枯死」２０４本と続いた。００～０１年度に今回より５３８本多い１万２６９０本を調べた際は「やや良好」「やや衰退」が４５％前後で並んでおり、衰退の進行を裏付けた。初めて調査した倒木の危険度は、根元の傷や空洞、木の傾きなどから判定。倒木につながる「特に注意すべき要因がある」が３３６６本（２７・７％）でトップ。「重度の要因がある」は１８４本だった。家屋などに被害の恐れがある木は対策が取られた。１９９６年度以降は様々な根の保護対策が進められ、平成元（８９）年を挟んだ前後約３０年を比較すると、平成以降は木が減少するペースが４割ほどに落ち、対策の効果が出ていることも報告された。後継木として苗木を植える「補植」をすることも確認された。県教委は最初の史跡としての指定から１００年の２２年や、松平正綱の植樹から４００年の２５年に植樹する案のほか、「現存の杉のＤＮＡを持つ杉」、「花粉の出ない杉」を植えるという案も示した。委員からは「調査結果をさらに詳しく分析し、木が長生きできる環境を考えるべきだ」「（車を杉並木から遠ざける）バイパスなど生育環境の整備ももっと計画に書き込んでほしい」といった意見が出された。新たな計画は、観光資源としての活用なども重視するため「保存活用計画」と名称を変更。６月にも開かれる次回委員会で素案が示される予定だ。（坂田達郎）"
"来年のＩＰＣＣ総会、京都市に誘致へ　地球温暖化を議論","2018年1月12日14時56分","社会,カルチャー,京都　よむ・みる・あるく,環境・エネルギー,環境・市民や行政","環境省は１２日、地球温暖化の影響や予測などを科学的に評価する国連の「気候変動に関する政府間パネル（ＩＰＣＣ）」が２０１９年５月に開く総会を京都市に誘致する、と発表した。国内で開かれれば１４年の横浜市以来２回目。現在のところ、ほかに誘致を表明している国はないという。全国の自治体に、誘致に関心があるか非公式に尋ねた上、国内の専門家から意見を聴いた。交通の便や、先進的な温暖化対策の取り組み、京都議定書が採択された歴史といった観点から、京都市を推薦することを決めたという。会場には、同市左京区の国立京都国際会館を想定。温暖化対策の国際的枠組み「パリ協定」に重要な、各国の温室効果ガス排出量の算定方法の改良などが主な議題になる予定という。（小坪遊）"
"（ｅｃｏ活プラス）廃油利用の輪、咲いた４０年　集めて育てて…身近な取り組み","2018年1月9日16時30分","環境・エネルギー,環境・市民や行政,有料会員限定記事","家庭で使った後の天ぷら油を集めて、せっけんや車の燃料をつくったり、油の原料になるナタネを育てたり……。「菜の花プロジェクト」と呼ばれるこうした取り組みが、全国で続いている。地球温暖化の防止や資源循環などが目的。個人が様々な形で関わることができる身近なエコ活動だ。川崎市麻生区の畑の一角。昨年１２月に訪ねると、数センチほどのナタネが植えられていた。案内してくれた「かわさきかえるプロジェクト」の戸高仁子代表が「６月中旬ごろには収穫です」と教えてくれた。大型プールほどの広さの畑で約４５キロのナタネを収穫、約１５キロの油を取って、かすは肥料として畑に戻すという。雑草取りや収穫などの作業は、同プロジェクトに協力するボランティアが手伝う。散歩で通りかかった人や、油を使った料理教室で興味を持った人らが参加している。次に、ナタネからとれた油を扱う同区内のパン店「カンガルー」に足を運んだ。店頭にプラスチック製の廃油回収ボトルが置いてある。利用客らが、家から廃油を持って来て入れる回収場所の一つだ。中坪雅樹オーナーは「仕事で油を使うから、何か協力もしたかった」と話す。同区内にはこうした回収場所が３６カ所ある。そのうち３０カ所が一般家庭だ。集められた油は、同市川崎区にあるＮＰＯ法人「川崎市民石けんプラント」の工場へ。ここで、学校給食で揚げ物などに使った油や、市民から寄せられた廃油、未使用だが使用期限の切れた油などから、せっけんやバイオディーゼル燃料（ＢＤＦ）をつくっている。２０１６年には約７万リットルの油を回収した。ＢＤＦはプラントの回収車の燃料として、プロジェクト内で活用。せっけんは販売している。「ナタネを育てる。油の回収で協力する。製品を使う。自分に出来る形で関われるのが、この活動のいいところです」と戸高さん。「菜の花プロジェクト」が始まったのは１９７０年代後半のことだ。滋賀県の琵琶湖の水質悪化を受け、生活排水を改善するために合成洗剤からせっけんに切り替える運動としてスタートした。７８年には、家庭の廃油を集めてせっけんに再生利用する運動も開始。連動して全国に広がった。油をせっけんにすることで、限りある資源を大事に使う持続可能な社会につながる。化石燃料を使う代わりにＢＤＦを用いれば、地球温暖化の原因となる二酸化炭素は削減できる。さらに、ナタネを育てて事業化することで、地域振興や農地の活用もできる。菜の花プロジェクトネットワーク（滋賀県）の藤井絢子代表は「４０年前に地域発で始めた取り組みに、時代が追いついてきた感がある」と成果を誇る。同ネットワークによると、現在も全国で１００以上の取り組みが展開中だ。（小坪遊）＜ｅｃｏ活の鍵＞菜の花プロジェクトネットワークは、新たに取り組みを始める団体なども募集している。活動の基本的な考え方などはホームページ（http://www.nanohana.gr.jp）でみることができる。また、全国で活動している団体の一覧も掲載されており、それぞれの団体の詳しい活動内容や、連絡先なども確認できる。＊ｅｃｏ活（エコカツ）プラス"
"（ｅｃｏ活プラス）風呂敷ラッピングで贈答　便利で華やか、何でも何度でも","2017年12月26日16時30分","環境・エネルギー,環境・市民や行政,有料会員限定記事","１枚の布がバッグにできたり、贈答品の包みに使えたりと、便利でおしゃれなアイテムとして風呂敷が見直されている。外国人にも人気だという。繰り返し使えるため、使い捨ての包装紙やポリ袋の削減にもつながるエコなアイテムでもある。年末年始のごあいさつで手土産を持って行くのに、風呂敷を利用してみてはどうでしょうか。（そばに置きたい）進化形風呂敷１２月上旬、日本風呂敷協会東京支部が開催する風呂敷の包み方教室に参加した。まず、基本の「真結び」。風呂敷の中央に物を置き、両端を交差させて一度結んだ後、結び目がちょうネクタイのように真横になるように二度目を結ぶ。きつく結ぶとほどけにくいが、ほどくときにはスルッと抜ける。最初はなかなか難しいが、講師の大工原智子（だいくはらさとこ）さん（３８）に「包装紙で包もうと思うと一発勝負だが、風呂敷は失敗しても何回でも挑戦できます」と励まされた。大工原さんが「年末年始に紅白のワインを持っていくときに良い」と勧める結び方が「合わせ包み」だ。同じ形の２本の瓶を一緒に包めて便利だ。まず、２本のボトルの底を合わせるように中央に置き、のり巻きのように風呂敷でくるんだ後、瓶を立てて瓶の口元で真結びをする。ほかにもケーキ箱や重箱を２枚の風呂敷で結び目を花形に包む「大輪の花包み」や、３カ所を結ぶだけでレジ袋代わりになる「シンプルバッグ」もある。大工原さんは「ラッピングに風呂敷を使うと華やかに見えるだけでなく、その後に差し上げた人も使える。環境に優しい」と話す。大工原さんによると、風呂敷は正方形のやわらかい布と定義される。生地が丈夫なことが条件で、主に絹や綿、化学繊維ではポリエステルやレーヨンが使われている。サイズは大小約１０種類があり、「二幅（ふたはば）」と呼ばれる一般的なサイズは６８センチ四方で、贈答品の包みに用いられることが多い。大工原さんは「迷ったときは少し大きめを選ぶと良い」と言う。この日参加した体験型観光会社員の菊地くに子さんは「１枚の布でこれほどバラエティーがある結び方ができるのに驚いた。風呂敷はデザインも多彩で、海外の人に紹介したい」。同協会が毎年実施する「ふろしきデザインコンペ」でも、今年はインドネシアの学生らが最優秀賞を受賞。講座の参加者も外国人が増えているという。環境省によると、容器包装廃棄物は家庭ごみの５４・７％（容積比）を占め、高い傾向にある。風呂敷を使えば、廃棄物の量を減らせる可能性がある。環境省は過去にも「もったいないふろしき」を制作するなど普及に努め、「マイ風呂敷」の活用を勧めている。バッグに１枚入れておくのもいいかもしれない。（小川裕介）＜ｅｃｏ活の鍵＞日本風呂敷協会のウェブサイト（http://www.japan-furoshiki.jp/index.html）には、関東や関西、中部の各地である有料の包み方教室の案内も掲載されている。また、風呂敷などを販売する「宮井」（京都市）のウェブサイト（http://www.miyai-net.co.jp/index.html）では、いろいろな風呂敷の包み方が紹介されている。＊ｅｃｏ活（エコカツ）プラス"
