"title","date","tags","article"
"ヒュー・マセケラさんが死去　南アフリカのジャズ奏者","2018年1月23日22時45分","国際,アフリカ,カルチャー,音楽,おくやみ","ＡＦＰ通信によると、ヒュー・マセケラさん（南アフリカのジャズ奏者）が２３日、ヨハネスブルクで前立腺がんのため死去、７８歳。１０代でトランペットを始め、６０年にアパルトヘイト（人種隔離）政策下の南アフリカを逃れて、米国などで活動。反アパルトヘイト闘争の指導者で、獄中にあったネルソン・マンデラ氏の釈放を求める楽曲「ブリング・ヒム・バック・ホーム」は闘争の象徴的な歌となった。"
"元ミラン選手のウェア氏、リベリア大統領に　課題は山積","2018年1月22日18時50分","国際,アフリカ,有料記事","西アフリカ・リベリアの大統領選で勝利した元プロサッカー選手のジョージ・ウェア氏（５１）の就任式が２２日、首都モンロビア郊外の国立競技場で開かれた。「国民の英雄」として期待を一身に背負うが、エボラ出血熱後に低迷した経済の立て直しや保健医療対策など、課題は山積みだ。（モンロビア＝石原孝）就任式の会場となった３万５千人収容の国立競技場には、早朝から大勢の人が詰めかけた。ウェア氏は「より良い国家にするため、全力を注ぐ」などと演説した。会場には、ウェア氏が青春時代を過ごしたスラム街の人々もいた。トタンでできた家が立ち並ぶモンロビア近郊のジブラルタル地区。電気や水道も十分に行き渡っていないこの一画に、サッカー少年だったウェア氏は２０歳ごろまで暮らした。自営業のベロニカ・ドゥーさん（４６）は幼少の頃、ウェア氏と同じサッカーチームでプレー。ウェア氏は当初、ストライカーではなくゴールキーパーをやっていたという。時間があればサッカーやキックベースをして遊んだといい、「昔から誰よりもうまかった」と振り返る。ウェア氏は地元のチームでプレーした後、１９９０年代にＡＣミランやパリ・サンジェルマンなど、欧州の名門サッカークラブで活躍。「リベリアの怪人」と称され、９５年には国際サッカー連盟（ＦＩＦＡ）の世界最優秀選手に選ばれた。ジブラルタル地区の家には、親族１７人が今も住み続けている。ウェア氏のめい、エマ・サコーさん（２５）らは「政治家による汚職は減らず、雇用も道路も足りないまま。新大統領として、海外からの投資を呼び込んで経済を成長させ、貧困に苦しむ私たちを救って欲しい」と訴えた。人口の４割が貧困層だが、国の現状は厳しい。１日１・９ドル未満で暮らす貧困層は人口の約４割に上る。昨年度の経済成長率はマイナス１・２％だった。２０１４年に流行したエボラ出血熱では医療態勢が貧弱で約４８００人が死亡した。両親や妹ら家族６人をエボラ出血熱で亡くした会計士のリージナルド・カルワさん（３２）は「家族の感染が発覚すると、近隣住民との間に（精神的な）壁ができ、非難もされた。国の態勢がもっと整っていれば、死なずに済んだかもしれない」とこぼす。カルワさんは自ら資金を出して、１６年に患者が２４時間通える医療施設を建設。偏見の目で見られやすいエボラ出血熱の元患者らを受け入れているという。リベリア政治に詳しいリベリア大学のデービッド・ファハット教授は「新政権にとって、教育、医療、雇用対策などどれを見ても優先順位の高い課題だ」と指摘。欧米や中国、日本など海外からの投資を呼び込む政策も重要だと強調する。「新大統領への期待が非常に高い分、短期間で成果をあげなければ、支持が急速に減ってしまう可能性もある」と話した。"
"「便所のような」発言、批判避ける国も　米を気づかう？","2018年1月20日00時31分","国際,北米,アフリカ","トランプ米大統領が、ハイチや中米、アフリカ諸国を「屋外便所（ｓｈｉｔｈｏｌｅ）のような国」と呼んだことについて、アフリカ諸国で「直接には言及されていない」として批判を避ける国が出てきた。主要な援助国である米国に気をつかっているようだ。トランプ氏「便所のような国」　中米カリブやアフリカに「便所のような国」発言、批判続々　トランプ氏は否定親米国として知られるケニアのキライテ政府報道官は１８日の記者会見で、「（トランプ氏の）発言は政府同士の公式のやりとりではない。我々は心からの友好関係を享受している。発言がなされた文脈を検討し、注目に値するかみている」と述べ、表だった批判を避けた。南スーダン政府の報道官もＡＰ通信の取材に「直接言及されたものでない限り、何も言うことはない」とだけ述べた。ただ、トランプ氏の発言が報じられた翌１２日、アフリカ諸国の国連大使らは、「撤回と謝罪」を求める共同声明を発表。ボツワナや南アフリカ、ガーナ、ナイジェリア政府などは、米国大使らを呼んで、発言の確認や謝罪、撤回を要請していた。米ＵＳＡＩＤ（米国際開発局）と国務省は２０１５会計年度に、アフリカの４７カ国に治安や医療分野などの名目で、８０億ドル（約８８００億円）以上を援助している。小国にとって貴重な資金源のため、ケニアのメディアでは「トランプ氏を批判して関係が悪化し、援助を減らされるのを避けようとしているではないか」との見方が出ている。（ヨハネスブルク＝石原孝）"
"「最もかっこいい猿」Ｈ＆Ｍ広告に批判　南アで店舗襲撃","2018年1月15日10時29分","国際,アフリカ,有料記事","スウェーデンの衣料品チェーン「Ｈ＆Ｍ」が黒人への差別的な表現を使ったパーカの広告を掲載したとして、南アフリカ国内で抗議行動が先鋭化、複数の店舗が襲撃に遭った。問題となったパーカには「ＣＯＯＬＥＳＴ　ＭＯＮＫＥＹ　ＩＮ　ＴＨＥ　ＪＵＮＧＬＥ（ジャングルの中で最もかっこいい猿）」と記され、黒人の少年に着せた写真をカタログに掲載した。同社は９日までに謝罪したが、「人種差別だ」と批判が相次いでいた。黒人の権利擁護を訴える野党「経済的解放の闘士」（ＥＦＦ）が支持者に抗議行動を呼びかけ、１３日に南アフリカ国内にある１７店舗のうち、６店舗が襲撃された。洋服が床に散乱したり、マネキンが壊されたりするなどの被害が出たほか、一部店舗ではデモ隊が店舗に侵入して商品を略奪した。警察がゴム弾を使用したが、けが人はいないという。同社は、スタッフの安全確保などを理由に国内全店舗の一時閉店を決定。ホームページには「人種差別や偏見は、いかなる形であっても、意識的かそうでないかにせよ、故意か偶然かに関わらず許容できず、社会から根絶される必要がある。今回の事例において、私たちはこの課題への感覚が十分ではなかった」と記した。ＥＦＦのマレマ党首は１３日の集会で、「抗議行動の参加者は、黒人に屈辱を与えた際に何が起きるかをＨ＆Ｍに示した。誰であっても、人々に屈辱を与えるために肌の色を用いることは許されない」などと述べ、抗議行動を正当化した。同党の広報担当者もツイッターに「人種差別に対する謝罪の時代はもう終わりだ。黒人への人種差別に対しては結果が必要だ」と投稿した。（ヨハネスブルク＝石原孝）"
"トルコ機が着陸失敗、海に落ちる寸前止まる　けが人なし","2018年1月14日22時20分","国際,ヨーロッパ,アフリカ","トルコ北東部トラブゾン空港で１３日夜、同国の格安航空会社「ペガサス航空」のアンカラ発トラブゾン行きボーイング７３７型機が着陸に失敗した。ロイター通信などが報じた。機体は高台にある滑走路から外れ、黒海に落ちる寸前に、急斜面で止まった。乗客１６２人と乗員６人にけがはなかった。"
"アフリカ人口爆発、２０５０年に倍増　記者が見たのは…","2018年1月10日05時00分","国際,アフリカ,環境・エネルギー,有料会員限定記事","アフリカ大陸の人口が急増している。全５４カ国の人口約１２億５６００万人は、国連の推計で２０５０年には倍増して約２５億人となり、世界全体の４人に１人を占める見通しだ。６割を若年層が占め、世界各国の企業は経済成長と市場拡大を期待する。一方、貧困の撲滅や食料の確保など、一人ひとりの暮らしの問題の解決も待ったなしだ。（ラゴス＝石原孝）約１億９千万人と大陸最大の人口を誇るナイジェリア。昨年１１月、最大都市ラゴス中心部の市場を訪れると、大勢の人々でごった返し、熱気があふれていた。洋服や干物を売る商売人の声が飛び交い、車のクラクションが鳴り響く。牛が通行人の女性に頭突きをするなど混沌（こんとん）とした雰囲気だ。装飾品店で働くケシーさん（３０）は「商売繁盛。もっと売り上げを伸ばしたい」。布屋を経営するケートさん（５０）は「今より景気の良かった数年前は歩くのも難しかったよ」と笑う。地元誌の記者は「毎日１００万人以上がこの市場を行き交う」と評した。ナイジェリアの人口は２０５０年までに４億人に増えて米国を抜き、中国、インドに次いで世界で３番目に人口が多い国になるとみられている。２１００年には８億人近くに増えるとも推測されている。２１世紀に入って大きく経済成長したこの国の人口増に、世界各国の企業が熱い視線を送る。昨年１１月にラゴスで開かれた国際見本市には、大手の自動車メーカーや食品関連企業がこぞって出展。日本企業も２０社以上がブースを構えた。バイクの新モデルを披露したホンダ現地法人社長の室岡克博さん（５３）は「ナイジェリアでは中国やインドのメーカーとの競争が激しい。ただ、人口増で巨大マーケットに成長することを考えれば、ここに来るしかない」と断言する。サントリー食品インターナショナルの現地法人社長のチネドン・オケレケさんは「経済が石油に依存する構造になっているなど不安要素もあるが、さらに発展する可能性を持っているのは間違いない」とみる。国際見本市を主催したラゴス商工会議所のショラ・オイエタヨ副会頭は「ナイジェリアは資源も豊富で、何より優秀な若い人が大勢いる。この国の未来は明るい」と太鼓判を押した。「４０人以上子どもを…」アフリカ諸国では、人口増に伴う経済成長への期待の一方で、貧困や飢餓の解決や、教育や雇用の確保などが急務だ。１０～１５年の合計特殊出生率の平均が５・９１人のアフリカ東部ウガンダ。「４０人以上の子どもを生んだ女性がいる」と聞き、首都カンパラの北東約４５キロにあるカビンビリ近郊を訪ねた。道の両側にバナナ畑やトウモロコシ畑が広がる未舗装の道路を車で走り、トタン屋根とコンクリートブロックでできた一軒家の前に着くと、１歳から２０代前半の男女約２０人が出迎えてくれた。全員がマリアム・ナバタンジさんの子どもや孫だという。ナバタンジさんは１９８０年前後に生まれ、本人も誕生日が分からない。幼い時に母親を亡くした。学校には通えず、１２歳ごろに２０歳以上年上の男性と結婚するよう父親に命令された。「とても嫌だったけれど、私には選択肢がなかった」数年後に最初の子どもが生まれた。四つ子や三つ子もおり、「４０人以上生んだ。亡くなった子もおり、生きているのは３８人」という。夫は多重婚で、ナバタンジさんの元を訪れることは少なくなった。安定した収入を得られる職は見つからず、農作業などをしてしのいでいる。収入は多い時でも１日約１万シリング（約３００円）。ほとんどは食費で消える。子どもたちの学費は払えない。子どもたちは学校に行かず、洗濯や料理、薪拾いをして家族を支えている。サツマイモの皮をナイフでむいていたワルシンビ君（８）は「本当は学校に行って弁護士か医者になりたいんだ」とうつむいた。貧困永続化の恐れも世界銀行によると、アフリカ諸国ではナイジェリアを含む少なくとも１２カ国で、１日１・９ドル未満で暮らす貧困層の割合が人口の半数を超える。人口の３割を超える国だと約３０カ国になる。栄養不足人口の割合や、５歳以下の乳幼児死亡率が高いと国連が認定した「後発開発途上国」も、全４７カ国中３３カ国（１７年６月時点）がアフリカ諸国だ。コンゴ民主共和国や南スーダンなど紛争が続く国も少なくない。国連は１５年９月、持続可能な開発目標（ＳＤＧｓ）を採択。「貧困をなくす」や「質の高い教育をみんなに」など、３０年までに達成すべき１７の目標を設定した。アフリカの人口問題を専門とするナイロビ大学のアルフレッド・オティエノ准教授は「出生率が高い国では、教育機会や雇用、食料、水の確保が喫緊の問題だ。これらを解決できなければ、高い出生率は貧困を永続化させる恐れがある」と指摘する。「国際社会はアフリカ諸国で教育機会の拡大や女性の地位向上、避妊薬の普及を今以上に支援すべきだ。地道に思えても、こうした政策こそが急激な人口増加の抑制につながる」"
"希望は失ったが…難民キャンプ、取材される瞬間「幸せ」","2018年1月8日21時24分","国際,アフリカ,有料会員限定記事","「もう希望は失った」。２０１１年に独立したアフリカ東部の南スーダン。紛争を逃れた人々が避難する首都ジュバのキャンプで先月、ニャルアク・ボル・ニャクさん（３５）は、力なく答えた。会社勤めの夫、４人の子どもとジュバ近郊で暮らしていた。政府軍と反政府勢力の衝突で内戦に陥ったのは、約４年前の１３年１２月１５日。翌日、最低限の家財道具を手に取り、国連が設けたキャンプに避難した。最初は１～２週間で家に戻れると思っていた。だが、戦闘は全土に広がり、状況は悪化の一途をたどった。キャンプにはテント式住居がひしめき合い、３万８千人以上が暮らす。電気は通っていない。水も不足気味。ソルガムという穀物などの食料配給が国連から定期的にあるが、「１日１食しか食べられない時もある。肉や魚はここに来てから食べていない」。１歳から１５歳の子どもたちは、ぼろぼろのマットや地面の上で眠る。学校に通わすこともできていない。長男はキャンプ内でトラックの荷下ろしの仕事をし、家計を支える。だが、「ここ（キャンプ）にいれば、殺されることも、誘拐されることもない」。命があり、家族が一緒にいられるのが幸せだという。「取材されているこの瞬間も幸せ。私たちの暮らしや声を日本や世界の人に知って欲しい。平和を、希望を取り戻したい」。記者の目をじっと見つめた。「キャンプの外に出れば殺されるかもしれない。毎日、不安で仕方がない」と話すのはステファン・ロルさん（５７）。上ナイル州に妻と９人の子どもたちと暮らしていた。だが内戦発生時にジュバに出張で来ていて、約５００キロ離れた地元に戻れなくなったという。家族は隣国スーダンや米国に逃れたと聞いた。一番下の子は、元気なら４歳だ。「一日も早く、家族に会いたい」南スーダン内戦の正確な死者数は分かっていない。数万とも数十万とも見積もられる。昨年１１月の国連人道問題調整事務所（ＯＣＨＡ）の報告書によると、人口約１２００万人の３分の１が家を失い、約２００万人が国外に避難。現在も約７００万人が人道支援を必要としている。国連人権理事会の南スーダン調査団の議長を務めるヤスミン・スーカ氏は、内戦から４年がたった先月１５日、ジュバで記者会見し、「略奪行為や放火、家畜への襲撃、誘拐のほか、家族の目の前でレイプ被害に遭った女性もいる。食料不足と治安悪化は破滅的な状況だ」と警鐘を鳴らした。ジュバのキャンプで暮らす子どものうち、半分近くは学校に通っていないという。家事を手伝う子や、親が子どもの教育に関心がないケースも少なくない。国連児童基金（ユニセフ）によると、内戦のため、南スーダン全体で２３００人以上の子どもが死傷。約２００万人が学校に通えておらず、１万９千人以上が武装勢力などに徴用、徴兵されたという。そんな厳しい状況でも、学校に通える子どもたちにとって、学校での暮らしは大切なひとときだ。女子生徒ニェチャン・ボル・デニさん（１７）は「学校で友達とたわいもない会話をしたり、大好きなバレーボールをしたりしている時が何よりの幸せ」と笑みをこぼした。内戦で兄を亡くし、１４年５月に上ナイル州から避難。日々の食事も、薬も、勉強道具も足りないが、「学校でも家でも、暇があれば勉強している」。夢は医師になることだ。「病気で困っている人を救いたい。学校に通えて、勉強できることは幸せ。誰に強制されているわけでもなく、自分の意思です」。翌日の試験に備え、足早に去った。デニさんの担当教員オトン・コアンさん（３８）も妻子と生き別れ、キャンプで暮らす。「彼女のように困難な中でも意欲がある子どもたちは、この国の希望です。教師として教えられることを全力で教えていきたい」（ジュバ＝石原孝）"
"デモ隊と治安当局が衝突、７人死亡　コンゴ民主共和国","2018年1月1日14時42分","国際,アフリカ","アフリカ中部のコンゴ民主共和国（旧ザイール）で１２月３１日、任期が切れた後も大統領職にとどまるカビラ氏（４６）の退陣を求めた集会の参加者と治安当局が衝突し、少なくとも市民７人が死亡、約１２０人が逮捕された。ロイター通信などによると、デモは教会などが呼びかけ、首都キンシャサなどで実施された。治安当局はデモの実施を認めず、インターネット回線を遮断。一部地区で参加者に発砲したという。カビラ氏は２００１年、父親の前大統領が暗殺されたことを受け、暫定的に大統領に就任。０６年と１１年の大統領選に勝利した。憲法は３選を禁じており、カビラ氏は任期満了を迎える１６年１２月までに退陣する予定だったが、「有権者名簿を更新できない」などの理由で選挙の実施を先送りしている。今年１２月に選挙を実施するとみられている。（石原孝）"
"エジプトで銃撃、１０人死亡　コプト教会近く","2017年12月30日03時41分","国際,アフリカ","エジプトの首都カイロ近郊ヘルワンにあるキリスト教の一派、コプト教会の付近で２９日、銃撃があった。国営中東通信は、保健省の情報として１０人が死亡、５人が負傷したとしている。実行犯は２人組で、同通信は１人が逮捕されたと報じた。１人は殺害されたとの情報がある。現場近くにいたトゥクトゥク（三輪タクシー）運転手ムハンマドさん（２０）によると、軍服のような姿の２人組がバイクで乗り付け、警備していた警官や市民に向けて銃を撃ち始めた。２人組のうち１人は住民らに取り押さえられ、殴られた。逃走した１人を警察が追跡したという。エジプトでは昨年１２月にカイロ、今年４月に北部タンタとアレクサンドリアでコプト教会が狙われ、計約７０人が死亡。いずれも過激派組織「イスラム国」（ＩＳ）が犯行声明を出した。国家非常事態が発令されたが、５月には中部ミニヤ県でコプト教徒を乗せたバスが襲撃され、２９人が死亡した。（カイロ＝翁長忠雄）"
"ＡＣミランで活躍のウェア氏、リベリア大統領に当選確実","2017年12月29日03時45分","国際,アフリカ","西アフリカのリベリアの大統領選（任期６年）で、元プロサッカー選手のジョージ・ウェア氏（５１）が当選を確実にした。選挙管理員会の２８日の発表によると、開票率約９８％時点でウェア氏は６０％超を獲得し、現職の副大統領ジョセフ・ボアカイ氏（７３）との決選投票を制した。大統領選はノーベル平和賞受賞者のエレン・サーリーフ大統領（７９）の任期満了によるもの。１０月の１回目の投票では約２０人が立候補。ウェア氏が得票率でトップだったが過半数に届かず、決選投票が今月２６日に実施された。ウェア氏は１９９０年代にＡＣミランやパリ・サンジェルマンなど欧州の名門チームで活躍し、「リベリアの怪人」と称された。引退後の２００５年にも大統領選に立候補したが決選投票で敗れ、今回が２度目の挑戦だった。（ヨハネスブルク＝石原孝）"
