"title","date","tags","article"
"ペンス氏、米朝対話の可能性示唆　「北朝鮮が望めば」","2018年2月13日13時09分","国際,アジア・太平洋,北米","１２日付の米紙ワシントン・ポストによると、ペンス副大統領が同紙のインタビューに対して「北朝鮮が望むのならば、我々は対話する」と述べた。南北対話の進展によっては、非核化が進まない場合でも北朝鮮と直接対話する可能性を示唆したという。韓国、五輪で米朝対話に失敗　ペンス・与正氏ともに拒否平昌冬季五輪の開会式出席のために訪れた韓国からの帰路の機中で同紙に語った。ただ、ペンス氏は北朝鮮が核・ミサイル放棄をするための「最大限の圧力」をかける政策は続けていくことを強調。対話の前提として核・ミサイル実験などの挑発行為の停止を条件としているトランプ政権の方針の転換につながるかどうかは不透明だ。ペンス氏は８日に韓国の文在寅（ムンジェイン）大統領と会談した際、北朝鮮側に安易な融和政策をとらないように要求。文氏も核放棄に向けた進展がない限り制裁解除などに応じない考えを示したという。また、文氏は北朝鮮側に「米国と話をすべきだ」と訴えたという。一方、ティラーソン米国務長官は１２日、訪問先のカイロで会見し、ペンス氏が対話の可能性を示唆したことについて「判断するのは時期尚早」と指摘。あくまで「北朝鮮が誠実な姿勢で我々と関わる用意ができているかどうかだ」とも語り、北朝鮮側による出方を見守る考えを示した。（ワシントン＝峯村健司）"
"菅長官「圧力かけ続け、政策を変えさせる」　対北朝鮮","2018年2月13日12時23分","社会,政治,国際,アジア・太平洋","ペンス米副大統領が米紙ワシントン・ポストのインタビューで、米朝対話の可能性を示唆したことを受け、菅義偉官房長官は１３日午前の記者会見で、「圧力をかけ続け、北朝鮮に政策を変えさせることに全力で取り組んでいく。この基本姿勢はまったく変えるつもりはない」と述べた。菅氏は、北朝鮮が６者協議の共同声明に盛り込まれた核放棄を実行しなかったことなどにも触れ、「北朝鮮との対話を主張する向きもあるが、対話のための対話ではまったく意味がない」と強調した。"
"日韓合意「私にも厳しい批判」　安倍首相、文氏に伝える","2018年2月13日12時08分","社会,国際,アジア・太平洋","安倍晋三首相は１３日の衆院予算委員会で、韓国平昌で文在寅（ムンジェイン）大統領と会談した際、慰安婦問題に関する日韓合意について、「文大統領には、あの決断の際にも私に対して様々な厳しい批判があったことを伝えた」と明らかにした。首相は文氏に対し、合意に関する韓国内の批判を乗り越えるよう求めた形だ。慰安婦合意の履行は平行線　日韓首脳会談、弱い手応え【速報中】衆院予算委集中審議タイムライン自民党の柴山昌彦筆頭副幹事長の質問に答えた。首相は文氏に対し、「リーダーがある程度批判されることを含めて決断しなければ、未来志向の関係は築けないと申し上げた」と述べた。安倍首相の今回の訪韓に対しては、日本国内に反対論があった。首相はこれを念頭に「韓国及び北朝鮮に対し、我が国の立場を直接伝える観点からも、平昌五輪の盛り上がりを東京大会の成功につなげていく観点からも、大変有意義であった」と強調した。また、首相は平昌冬季五輪の歓迎レセプションで北朝鮮の金永南（キムヨンナム）・最高人民会議常任委員長と同席した際、拉致問題、核・ミサイル問題に関する日本側の考えを伝えた説明。「特にすべての拉致被害者の帰国を含め、拉致問題の解決を強く求めた」と述べた。１３日の衆院予算委は経済問題などに関する集中審議として行われた。１４日は外交・安全保障などをテーマにした集中審議がある。"
"正恩氏「南側が誠意を尽くした」　実妹の訪韓成果に満足","2018年2月13日09時55分","社会,国際,アジア・太平洋,平昌五輪","北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長は１２日、平昌冬季五輪の開会式に出席した実妹の金与正（キムヨジョン）氏らから訪韓の報告を受けた。朝鮮中央通信が１３日、伝えた。正恩氏は満足し、南北関係改善の具体的な方向を示したうえで、実務的な対策を立てるよう関係機関に指示した。指導者の妹「最高のカード」　訪朝要請、北朝鮮に焦りも北朝鮮、文大統領に訪朝要請　「条件整え実現を」と返答正恩氏は「和解と対話の良い雰囲気を更に発展させて立派な結果を積み上げることが重要だ」と指摘。訪韓した北朝鮮代表団の受け入れについて「南側が誠意を尽くして努力する姿が印象的だった」と語った。金与正氏は文在寅（ムンジェイン）韓国大統領らとの会談結果や訪韓中に把握した韓国側の意向、米国の動向などを詳細に報告。金永南（キムヨンナム）最高人民会議常任委員長が五輪開会式への参加などについて説明したという。また、正恩氏は韓国で公演した三池淵（サムジヨン）管弦楽団のメンバーと記念写真を撮った。正恩氏は「文大統領夫妻ら南側の同胞が公演に満足してくれてうれしい」と語ったという。（ソウル＝牧野愛博）"
"韓国、五輪で米朝対話に失敗　ペンス・与正氏ともに拒否","2018年2月13日07時24分","国際,アジア・太平洋,北米,有料記事","韓国政府が平昌（ピョンチャン）冬季五輪を機に訪韓したペンス米副大統領と、北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の実妹、金与正（キムヨジョン）氏との会談を模索していた。複数のソウルの情報関係筋が明らかにした。だが、米朝ともに拒み、「南北対話を米朝対話に結びつける」とした韓国の戦略は不発に終わった。関係筋によれば、韓国はペンス、金与正両氏がソウルに滞在する機会を利用。１０日午後にも両氏が会談できるよう調整に乗り出した。文在寅（ムンジェイン）大統領は８日のペンス氏との会談で「北朝鮮は米国との対話を望んでいる」と主張。１０日昼の与正氏らとの会談では「米国との対話をより積極的に進めてほしい」と訴えた。韓国大統領府は当初、江原道江陵（カンウォンドカンヌン）で１０日夜にあった女子アイスホッケー南北合同チームの試合について、「金与正氏は行かない。ソウルに滞在中の三池淵（サムジヨン）管弦楽団を激励する」と説明していた。このタイミングを利用して米朝対話を模索したとみられる。だが、北朝鮮は、与正氏とペンス氏との会談に関心を示さなかった。労働新聞（電子版）は１０日、「我々が南朝鮮に高位級代表団を派遣したのは、人間の価値もない米国の人物と会って朝米対話の線をつなぐためではない」と強調。与正氏らが本国と対米関係について調整する時間もなかったとみられる。米側も北朝鮮との接触を望まなかった。ペンス氏は９日の五輪開会式前のレセプションでも北朝鮮の金永南（キムヨンナム）最高人民会議常任委員長と同席することを拒否。開会式でも与正氏らと同じ列に着席することを拒んだ。北朝鮮は８日、平壌で実施した軍事パレードで、米本土を攻撃できる大陸間弾道ミサイル（ＩＣＢＭ）「火星（ファソン）１５」（射程１万３千キロ以上）を披露。米国は、北朝鮮に核・ミサイル開発を放棄する具体的な動きがみられないとし、このタイミングでの米朝対話は不適切と判断していたという。韓国が北朝鮮の五輪参加を巡り、国連制裁決議や米国独自制裁の例外扱いをたびたび求めたことについても、米側には不満の声が上がっていた。与正氏は結局、１０日午後、金永南氏らとともにソウルから江原道に移動。五輪女子アイスホッケーの試合を観戦し、米朝対話は実現せずに終わった。（ソウル＝牧野愛博）"
"平均ウエスト１ｍ超、悩むトンガ　対策へ政府もコミット","2018年2月12日18時54分","国際,アジア・太平洋,トラベル,医療・健康・福祉（アピタル）,有料会員限定記事","南太平洋に浮かぶ人口１０万人あまりの王国トンガ。かっぷくがよく、ふくよかな人たちがゆったりと行き交う。そんな光景が映し出すのは、ラグビーが盛んなお国柄というより、成人の多くが肥満という現実だ。人々が生活習慣病を患うリスクを減らそうと、様々な対策が動き始めている。（ヌクアロファ＝小暮哲夫）首都ヌクアロファ郊外のカラウ地区のコミュニティーセンターに昨年１１月、地元の女性約２０人が集まった。たいていの家の庭に木があるという果物ブレッドフルーツ（パンノミ）を使った料理教室が開かれていた。日本の国際協力機構（ＪＩＣＡ）の援助を受けて東京農業大が行っている。「今日は、クリスマス用のレシピを考えてきました」。事業の責任者、東農大の杉原たまえ教授が包丁を握ってお手本を示した。ブレッドフルーツは炭水化物が豊富で水分も多く、腹持ちがよい。タロイモなどと並ぶ伝統的な主食の一つ。トンガはかつて海外との交易の手段が限られ、主食と野菜や果物、魚を中心とした食生活だった。地域や親族間のさまざまな行事ではいつも、たっぷり食事を振る舞って楽しんでもらう慣習もある。そんな大食の人たちの暮らしにこの数十年、バターやジャムをたっぷり塗ったパン食やファストフード、脂肪分、塩分の高い加工食品が広がったことが肥満が増えた要因とされる。ブレッドフルーツも以前ほど食べられなくなり、最近は、７割ほどが捨てられていた。料理教室はそんな伝統的な食材を奨励し、昔ながらの健康的な食生活を取り戻すきっかけにしてもらう狙いがある。女性たちは、ブレッドフルーツも具に加えたロールキャベツや、ブレッドフルーツをパテにしたバーガーなどを作った。バーガーにかぶりついた参加者の一人、アティベニアナ・ポマナさん（６３）は「おいしい。さっそく家でも作ってみたい」。ふくよかな体形で、２年前に教師を退職するまではファストフードをよく食べ、「コーラが大好きだった」。最近は糖尿病になって薬を飲む生活だっただけに「ヘルシーな料理は大歓迎」と話した。この事業では、５年かけてブレッドフルーツの粉や伝統菓子の商品開発も進める。トンガ政府と世界保健機関（ＷＨＯ）が２０１４年に発表した調査によると、２５～６４歳の９０・７％が、体重を身長の２乗で割った体格指数（ＢＭＩ）が２５以上の「過体重」で、６７・６％がＢＭＩが３０以上の「肥満」だった。ウエストのサイズの平均は、男性が１０３・３センチ、女性が１０６・７センチ。１日に野菜や果物を４種類までしかとらない人が、７３・１％を占めた。その結果、５７・１％の人に糖尿病や高血圧、心疾患、がんなどの生活習慣病のリスクが高いとされた。肥満は太平洋の島国に共通する課題だ。ＷＨＯの調査では、１８歳以上の肥満率はパラオやナウル、サモアなどでも４割超に達した。「肥満対策税」を導入ヌクアロファにある国内最大の国立バイオラ病院では、１５０人前後の入院患者の６割が生活習慣病を患う。リシアテ・キリペニ院長は「私たちは危機の中にある」と対策の必要性を強調する。「最初の１千日」。政府は昨年初めから、こんな名前の施策に乗り出した。妊娠３カ月以内のすべての女性を対象に糖尿病の可能性などを検査。出産後から２年ほど継続して、個別に必要な治療や健康的な食事の指導などをしていく。女性は男性に比べて肥満率が高いうえ、妊婦が糖尿病の場合、生まれる子どもの健康に悪影響を与えるリスクが高まるためだ。女性に焦点を当てることで、「家族の健康のための材料を母親に提供する機会にもなる」と保健省の担当者、オファ・トゥキアさんが説明する。さらに、昨年７月にソフトドリンクや菓子などの加工食品、脂肪分の多い羊肉にかける「肥満対策税」を導入。ソフトドリンクなら最大で１リットルあたり１・５～４パアンガ（約７５～２０１円）、羊肉なら１キロあたり１・１５パアンガ（約５８円）の税金が小売価格に上乗せされている。肥満が増えるのは１０代後半からただ、人々の食生活を変えるのは容易ではない。首都中心部の精肉店「トゥイ・インターナショナルミート」では、脂肪のたっぷりついたニュージーランド産の羊のあばらの骨付き肉が１キロ１６パアンガ（約８０５円）で売られていた。「税金で値段が上がっても、一番の人気。週に１００キロは売れる」とマリア・トンガ店長。そこで、政府は子どもの頃から健康的な食習慣を身につけさせようとしている。肥満が増えるのは、１０代後半からが多いからだ。首都の職業訓練校の調理室で１１月中旬、小学生の料理コンテストが開かれた。「マエイニマ（１日５種類）」という５種類以上の野菜や果物を毎日取るように小学校で教える事業の一環。今年はまず、首都のあるトンガタプ島の１０校を対象に、菜園を設けたほか、健康的な食生活や体を動かす大切さを教えてきた。この日は今年の活動の締めくくりとして、各校の６年生４人が学校代表で参加。色とりどりな食材の多くは、学校菜園で収穫した。９０分間で冷菜と温菜の料理を作って競った。野菜とタコの甘酢煮を作ったナタレ・アモネさん（１１）とルテ・フィナウさん（１１）は「毎日、果物を２種類、野菜を３種類取るといい、と教わってきました。料理は楽しい」と笑顔を見せた。保健省のレイノルド・オファノア首席医務官は「大人になって考え方を変えるのは難しいので、長い目で見て子どもたちに注力している。結果が出るのは、次の世代かもしれないが、少しずつ進展があるはずだ」と話している。"
"北朝鮮の女性応援団が「金日成仮面」？　韓国で波紋","2018年2月12日09時39分","国際,アジア・太平洋,スポーツ,ウインタースポーツ,平昌五輪,有料会員限定記事","五輪初の南北合同チーム、女子アイスホッケー「コリア」は１０日夜、平昌冬季五輪初戦のスイス戦で０―８と完敗した。韓国の文在寅（ムンジェイン）大統領と北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の妹の金与正（キムヨジョン）氏らが観戦し、「南北外交」の舞台にもなった試合会場で存在感を示したのが、北朝鮮の女性主体の応援団だ。一糸乱れぬ応援で選手を鼓舞するとともに、波紋も巻き起こした。南北合同チームが初試合　文大統領と金永南氏も観戦特集：平昌オリンピックSPIN THE DREAM 羽生結弦今月７日から江原道内のリゾートホテルに滞在中の応援団約２００人は、バスで氷上競技会場のある江陵（カンヌン）市に移動。韓国到着時は赤色のコートに黒い帽子という服装だったが、この日は赤いジャンパー姿だった。試合開始前からヒット曲「パンガップスムニダ（お目にかかれてうれしいです）」などを歌い、会場の雰囲気をリードした。画一的なイメージから「軍団」という呼称をつけて紹介されることもある北朝鮮の応援団だが、個性も垣間見えた。応援団の一人は記者の突然の質問に「（韓国に来て）同胞ということをあらためて感じました」と答えた。模範解答だろうが、質問に気さくに応じたことが意外だった。観客席を埋めた韓国市民やボランティアが写真を撮ると、笑顔を見せる団員もいた。ただ、応援が本格的に始まると個性は消えた。立ち上がったり、手を振ったりする動作、そして歌声に乱れはほとんどなかった。脱北者の証言からも、韓国に派遣される応援団は、特別に選抜され、相当な訓練を重ねるとされる。目を引いたのは、そろいの紙袋から次々と応援用の小道具を取り出したことだ。造花で飾ったタンバリン、小旗……。その一つ「若い男性の顔を描いた仮面」が論議を巻き起こした。韓国の一部メディアが「金日成（キムイルソン）の仮面」と報じ、一部の野党議員が「北に謝罪と再発防止を要求すべきだ」と主張したからだ。応援団は北朝鮮の歌謡を歌う際に、この仮面を取り出した。目の部分は空洞になっていた。確かに、眉が濃くりりしい顔は建国の父、金日成主席の青年時代の写真を想起させなくはない。記者は応援団の１人に「この仮面の意味は」と聞いたが、答えはなかった。これに対し、韓国政府は機敏に反応した。韓国統一省は「現場にいる北側の関係者に確認した結果、そのような意味は全くないと確認した」と発表。報道は「誤った推測」と指摘した。統一省関係者の見解は「美男の仮面」だ。確かに北朝鮮で崇拝される金日成主席の顔が応援道具に使われることは考えにくい。もう一つの波紋は、応援団がふった統一旗に、日韓が領有権を争う島根県の竹島（韓国名・独島（トクト））が描かれていたことだ。国際オリンピック委員会（ＩＯＣ）は、領土問題を持ち出すのは五輪の政治利用になるとして、公式行事では竹島が抜けている旗を使用するとしている。北朝鮮のウェブサイト「わが民族同士」は１０日、このＩＯＣの決定を「公正さを失った不当な行為だ」と批判する見解を出しており、竹島の入った統一旗の使用は、北朝鮮政府の立場を反映している可能性が高い。応援団は試合中、また試合終了後、繰り返し「私たちは一つ」「私たちだけでよくやった」とコールした。その応援団に向かって金与正氏は繰り返し拍手を送った。応援団の一挙手一投足が、核・ミサイル開発を堅持する正恩氏が仕掛けた「雪解け戦術」を反映していることは間違いない。（江陵＝武田肇）"
"平昌五輪、勝者なき日韓感情の応酬　ネットも政治も","2018年2月12日08時40分","国際,アジア・太平洋,スポーツ,平昌五輪,有料会員限定記事","大会序盤にして、日韓に横たわる問題があらわになっている。葛西紀明４５歳、なぜ伝説になったのかSPIN THE DREAM 羽生結弦特集：平昌オリンピック「あれは狂ってる。よくも韓国で」「すぐ追放しろ」「犬野郎」韓国のネットでこんな言葉が吹きすさぶ。国際オリンピック委員会（ＩＯＣ）の公式インスタグラムに、選手村で雑談するフリースタイルスキー・モーグル男子の西伸幸が映っていた。西がかぶっていたニット帽が、旧日本軍が旗としていた旭日（きょくじつ）旗に似ているという批判だ。色は赤と黒で、紅白の旭日旗とは違う。ただ、確かにデザインは旭日旗の日の出を連想させる。西は９日の予選終了後、「スイスで買った。悪いものという認識は無かったが、色々な方に迷惑をかけてしまい、申し訳ない」と話した。日本オリンピック委員会（ＪＯＣ）も、西に紛らわしい服装を控えるように注意した。旭日旗はこれまでもスポーツの場で問題になった。２０１３年のサッカー東アジア杯日韓戦で、日本サポーターが掲げた。昨年のサッカーのアジア・チャンピオンズリーグでも、韓国での試合で川崎のサポーターが掲げ、川崎が執行猶予付きの無観客試合などの処分を受けた。今回は、旭日旗がはっきりと示されたわけではない。それでも、五輪期間中に旭日旗を使った応援を発見した際に通報を呼びかけている誠信（ソンシン）女大の徐●（つちへんに同）徳（ソキョンドク）教授は、「日本の人々は旭日旗を単にデザインとしてみるかもしれない。でも、韓国だけでなく、アジア全体でよくない歴史を想起させる。ＪＯＣが事前に教育することが重要ではないか」と語る。他にも政治にからむ繊細な問題が起きている。１１日のフィギュア団体では、アイスダンスの韓国ペアが朝鮮半島民謡「アリラン」を演技の曲に使ったが、「独島（島根県・竹島）よ、ゆうべはよく眠れたか」という一節があり、領土問題につながりかねないことから、スポーツの政治利用を禁じるＩＯＣ側と相談し、この部分の歌詞を削除した。開会式では、韓国と北朝鮮が合同入場で掲げた「統一旗」も、竹島は描かれていなかった。だが、観客席で振られた統一旗には、竹島が描かれていた。グラウンドも観客席もスポーツの場として一体だとすれば、矛盾である。そして、韓国のネット上の言葉は前述のように汚い。逆に日本から浴びせる言葉も同じだ。スポーツを通じ、いつも互いが攻撃材料を探しては、挑発し合う。ネット上の「日韓戦」は、勝ち点１ずつを積み上げることのない、勝ち点０同士の引き分けにみえる。日本のサッカーの試合で、スタジアムやツイッターでの差別的言動を監視する活動をする反レイシズム情報センター代表の梁英聖（リャンヨンソン）さんは、「世論が感情の応酬にならないよう、アジア地域で何がＮＧなのか、何を禁止すべきなのか、アジア各国のオリンピック委員会などによるルール化の必要がある」と提唱している。（編集委員・中小路徹）"
"妹・与正氏「平壌で再びお目に…」　五輪外交終え帰国へ","2018年2月11日22時36分","国際,アジア・太平洋,平昌五輪","北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の実妹、金与正（キムヨジョン）氏らは１１日、韓国の李洛淵（イナギョン）首相らとソウルで面会した。金与正氏らは同夜、北朝鮮・三池淵（サムジヨン）管弦楽団のソウル公演を文在寅（ムンジェイン）韓国大統領と共に鑑賞した後、空路で北朝鮮に向けて出発した。指導者の妹「最高のカード」　訪朝要請、北朝鮮に焦りも文氏が金与正氏らと会ったのは３日連続。李首相は金与正氏らとの昼食会で、１０日の会談の際に正恩氏が文氏の訪朝を要請していると北朝鮮側が伝えたことに触れ、「条件を整え、南北首脳が会うことを期待する」と語った。金与正氏は１１日夜、大統領秘書室長主催の夕食会で「一つになる日を前倒しし、平壌で再びお目にかかりたい」と述べた。北朝鮮の労働新聞（電子版）は１１日付１面で、文氏と金与正氏らの会談と、五輪女子アイスホッケー南北合同チームの試合を、それぞれ写真付きで報じた。（ソウル＝牧野愛博）"
"凶器の男、買い物客ら襲う　北京　女性死亡、１２人けが","2018年2月11日21時42分","国際,アジア・太平洋,中国","１１日午後１時（日本時間同日午後２時）ごろ、北京市中心部のショッピングモールで、凶器を持った男が買い物客らを襲い、女性１人が死亡、１２人が負傷した。男は現場で警察に取り押さえられた。在北京日本大使館によると、日本人が巻き込まれた情報はない。警察当局によると、容疑者は河南省出身の男（３５）で、うっぷんを晴らすために襲ったと供述しているという。現場は天安門広場の約２キロ西の繁華街にあり、休日は多くの買い物客らでにぎわう。（北京＝冨名腰隆）"
