"title","date","tags","article"
"国際ＮＧＯの職員に児童買春疑惑　ハイチで支援活動中に","2018年2月13日09時54分","国際,国連・その他,有料記事","貧困問題などに取り組む英国の国際ＮＧＯ「オックスファム」の複数の男性職員が、２０１０年の巨大地震で被害を受けた中米ハイチで支援活動中に児童買春した疑惑が浮上し、１２日に副責任者が責任をとって辞任した。英政府は助成金の打ち切りも検討している。英紙タイムズが９日に報じた。それによると、オックスファムの指導役の職員らは１１年、ハイチで活動中に１０代を含む女性を宿舎に呼び継続的に買春していた疑いがある。オックスファムは同年、内部告発を受けて事実を確認したが公にせず、彼らの責任を追及せずに離職させた。同紙は「罪のある男性たちの処罰や、巻き込まれた少女や女性たちへの正義よりも、ブランドを守ることを重視した」と批判している。英メディアは、指導役の男性らはそれ以前の支援先のチャドでも買春していたと指摘。モーダント国際開発相は１１日のＢＢＣの番組で「幹部が道徳的なリーダーシップを示せないならばパートナーにはなれない」と語り、オックスファムに対して全容を解明し報告しなければ助成金は打ち切る可能性があると警告。オックスファムは昨年、約３２００万ポンド（約４８億円）の助成金を受けている。オックスファムは１９４２年、英オックスフォードで設立された。日本を含む約２０カ国・地域に組織があり、９０カ国以上で活動している。（ロンドン＝下司佳代子）"
"北朝鮮の渡航禁止、韓国「１人例外にして」　五輪代表団","2018年2月8日11時22分","国際,アジア・太平洋,国連・その他,平昌五輪","韓国政府は７日、国連安全保障理事会の決議で渡航禁止などの制裁対象に指定されている北朝鮮当局者が平昌冬季五輪に合わせて訪韓できるよう、安保理の北朝鮮制裁委員会に「例外扱い」を要請した。安保理関係者が明らかにした。この当局者は、国家体育指導委員会の崔輝（チェフィ）委員長。五輪を契機に９～１１日に訪韓する北朝鮮の高位級代表団に名を連ねている。代表団の団長は金永南（キムヨンナム）最高人民会議常任委員長で、金正恩（キムジョンウン）朝鮮労働党委員長の実妹、金与正（キムヨジョン）氏も加わる。関係者によると、韓国の「例外扱い」の要請について、安保理制裁委の１５理事国が検討中で、８日午後に結論が出る見通し。北朝鮮への圧力路線の維持を訴える米国などの判断が注目される。（ニューヨーク＝金成隆一）"
"ＩＣＪ裁判官の小和田氏、退任の意向示す　雅子さまの父","2018年2月6日19時38分","社会,皇室,国際,国連・その他","オランダ・ハーグの国際司法裁判所（ＩＣＪ）の小和田恒裁判官（８５）が辞任の意向を固め、近く辞表を提出することがわかった。日本政府関係者が６日、明らかにした。元外務事務次官の小和田氏は、皇太子妃雅子さまの父親。２００３年、国家間の紛争を裁くための国連の主要な司法機関であるＩＣＪの裁判官となり、０９～１２年には日本人初のＩＣＪ所長を務めた。１１年のＩＣＪ裁判官選挙で再選。任期は２１年までだが、政府関係者によると、高齢を理由に退任の意向を示しているという。辞表提出後、後任を選ぶ選挙が行われる。政府は、後任候補に、アジア開発銀行行政裁判所裁判官などの経験がある岩沢雄司・東大教授（国際法）を推す方針だ。"
"グテーレス国連事務総長ら訪韓へ　平昌賓客名簿を発表","2018年1月29日10時50分","国際,アジア・太平洋,国連・その他,スポーツ,ウインタースポーツ,平昌五輪","韓国大統領府は２９日、平昌（ピョンチャン）冬季五輪を契機に訪韓する外国の主な賓客２１人の名簿を発表した。安倍晋三首相やペンス米副大統領、グテーレス国連事務総長らのほか、北欧の４カ国など冬季五輪に大勢の選手団を派遣する国が多くを占めた。特集：平昌オリンピック文在寅（ムンジェイン）韓国大統領が９日の五輪開幕式に先立って主催するレセプションには１４カ国・機関の賓客が出席する。韓国大統領府によれば、平昌五輪には２９日現在、計９２カ国から２９４３人の選手が参加する。一方、北朝鮮も五輪に当局者を含む代表団を派遣するが、韓国大統領府が２９日に発表した名簿には含まれていない。（ソウル＝牧野愛博）"
"シリアで化学兵器？追及方法めぐり米ロ対立　国連安保理","2018年1月25日16時08分","国際,中東,国連・その他,有料記事","内戦が続くシリアの首都ダマスカス近郊で化学兵器が使われたとみられる攻撃があったことを受け、国連安全保障理事会は２３日午後、緊急会合を開いた。アサド政権を批判する米国と同政権を擁護するロシアが激しく対立した。シリアにおける化学兵器の使用責任の追及方法をめぐる、安保理の対立は深まるばかりだ。会合の開催を求めたロシアのネベンジャ国連大使は「米英は、調査は言うまでもなく、証拠を示す前からシリア政府を責め立てている」と訴えた上で、化学兵器を使った実行者などを特定する新しい調査機関を創設する決議案を理事国に配布した。しかし、国連と化学兵器禁止機関（ＯＰＣＷ）による従来の合同調査チームの活動期間を延長する安保理決議案が昨年１１月に採決に掛けられた際、拒否権を使って廃案にしたのはロシアだった。そのため、米国のヘイリー国連大使は「ロシアが化学兵器使用の阻止方法について安保理（メンバー国）に講義するとは大胆なものだ」と猛反発。「ロシアが拒否権を３度も使って（従来の）調査チームを殺したのだ」と演説した。また、ロシアの提案が、欧米や中東など２０カ国以上がパリで２３日に国際会議を開き、化学兵器の使用責任を追及する方針を確認した直後だったこともあり、ヘイリー氏は「フランスの新たな取り組みへの国際社会の関心をそらす試みだ」と設置案にも反対した。英国のアレン次席大使も、ロシア案は国際社会の注意をアサド政権の責任から「そらそうという新たな企てだ」と警戒感をあらわにした。一方、中国の代表者はロシア案を「歓迎する」と演説。他の理事国からも「歓迎」（ボリビア、カザフスタン）や「熟考の価値あり」（赤道ギニア）と評価する発言が相次いだ。安保理の対立が更に深まるのは確実な情勢だ。今回、新たに化学兵器を使ったとみられる攻撃があったのは、アサド政権軍が包囲している東グータ地区内のドゥーマで、今月２２日早朝にミサイルが撃ち込まれた後、少なくとも２１人の市民らが呼吸困難などの症状に陥ったとされている。被害者には子どもと女性も含まれている。（ニューヨーク＝金成隆一）"
"北朝鮮船の積み替え問題、国連制裁委に通報　石油製品か","2018年1月24日20時15分","国際,アジア・太平洋,国連・その他","国連安全保障理事会の制裁対象となっている北朝鮮籍のタンカーと、ドミニカ籍のタンカーが中国・上海沖で積み荷を移し替えていた問題について、日本政府は２４日までに、国連安全保障理事会の北朝鮮制裁委員会に通報し、発表した。北朝鮮船、他国船籍船に積み替え　制裁逃れか　海自確認外務、防衛両省の発表によると、海上自衛隊のＰ３Ｃ哨戒機が２０日未明、東シナ海の公海上で、北朝鮮籍のタンカーと、ドミニカ籍のタンカーが横付けしているのを発見。停船した状態で積み荷を移し替えていた疑いが強く、安保理決議で禁止された「瀬取り」行為にあたるとして、制裁違反の通報に踏み切った。政府は米国や韓国など関係国とも情報共有した。積み荷について外務省幹部は「石油製品の可能性もあり、ドミニカ籍タンカーが中国企業とつながっている可能性がある」と指摘。政府は今回、ドミニカ籍のタンカーに関係する国への「関心表明」も行っており、この関係国にはドミニカ国のほか、中国が含まれているとみられる。制裁決議の徹底した履行のため、海自の艦艇などは昨年末から公海上での警戒監視を強めている。「瀬取り」行為が制裁の「抜け穴」になっているとして、１６日にカナダで開かれた北朝鮮に関する外相会合で船舶検査の強化で各国が合意していた。（小野甲太郎）"
"北朝鮮問題、制裁強化で一致　２０カ国外相会合","2018年1月17日21時27分","国際,アジア・太平洋,国連・その他,有料記事","北朝鮮の核・ミサイル問題に関する初の多国間外相会合が１６日（日本時間１７日）、カナダ・バンクーバーで開かれ、北朝鮮に対する制裁を厳しく強化していく方針で一致した。北朝鮮による密輸を防ぐため、船舶の貨物検査を強化することでも合意した。会合を共催した米国とカナダの両外相が明らかにした。会合は朝鮮戦争の国連軍に部隊を派遣した１６カ国に日本、韓国、インド、スウェーデンを加えた２０カ国の外相らが参加した。会合後の記者会見で、カナダのフリーランド外相は、韓国と北朝鮮で始まった対話を「良いこと」と評価しつつ、「北朝鮮の非核化の目標が達成されるまで、国際社会は引き続き核武装を阻止するために必要な措置を取る」と指摘。米国のティラーソン国務長官は「もし北朝鮮が交渉や話し合いに至る道筋を選ばなければ、『選択肢』のトリガーを引くことになるだろう」と軍事的手段の行使に含みを持たせた。ティラーソン氏は会合の冒頭で、北朝鮮への「最大限の圧力」を強調。「我々の最終目標は、北朝鮮による違法な核・ミサイル開発の資金源を断つことだ」と語り、参加国に国連安全保障理事会の制裁の完全な履行を求めた。北朝鮮との対話の目的は「完全かつ検証可能で、後戻りできない非核化のためでなければならない」とも指摘。北朝鮮が公海上で別の外国船籍の船舶に積み荷を移し替えることが「国連安保理の制裁を弱体化させている」と危機感を示したうえで、北朝鮮の船舶への立ち入り検査を進め、密輸の取り締まりをする必要性を訴えた。日本の河野太郎外相もティラーソン氏の演説に同調。南北対話を「歓迎」する一方、「北朝鮮は核・ミサイル計画を継続するための時間稼ぎをしたいのだと思う」と指摘。「この会合の最中にも、北朝鮮が核・ミサイル計画を進め続けている。北朝鮮の『微笑外交』に目を奪われるべきではない。今は圧力を緩和するときでも、北朝鮮に報いるときでもない」と述べ、対話路線にクギを刺した。韓国の康京和（カンギョンファ）外相も、非核化の努力なしに南北関係の持続的な進展はありえないと断じ、「北が核開発の道に固執する限り、制裁は維持されるべきだ」と圧力路線を支持した。一方で、９日の南北閣僚級協議を成果として紹介し、「数年間硬直していた南北関係は重要な一歩を踏み出した」と評価。北朝鮮との「対話の第一歩」を土台に、核問題の平和的解決に向けた環境を整えていくとの考えも示し、制裁の履行と対話を通じた解決の重要性を訴えた。フリーランド氏は会合後の会見で、「我々は北朝鮮の体制転換や崩壊を求めているわけではない」とも指摘。南北会談について「当面は控えめな評価をする必要があるが、対話は良いことだ」と述べた。（バンクーバー＝園田耕司、峯村健司、武田肇）"
"パレスチナ支援、米が拠出金を半分凍結　圧力は否定","2018年1月17日10時38分","国際,北米,国連・その他","米国務省は１６日、国連パレスチナ難民救済事業機関（ＵＮＲＷＡ）に対して１月上旬に支払う予定だった拠出金１億２５００万ドル（約１３８億円）のうち６５００万ドルを凍結すると発表した。ＵＮＲＷＡの組織改革の必要性などを理由にし、中東和平に向けたパレスチナへの圧力との見方を否定した。国務省のナウアート報道官は「（凍結は）誰かを罰することを狙ったものではない」と説明し、「ＵＮＲＷＡの資金が最善の使い方をされているか確認する必要がある」と強調した。ただ必要な改革の詳細は述べなかった。また「他国や他国民の面倒を見るのは米国だけの責任ではない」とし、他の国連加盟国の拠出拡大を求めた。トランプ氏は今月２日、中東和平が進展しないことに関してツイッターでパレスチナ側を批判。「米国はパレスチナに毎年何億ドルも支払っているが、感謝も尊敬もされていない」と援助の打ち切りを示唆していた。国連のグテーレス事務総長は１６日の記者会見で、拠出凍結に「深く懸念」を示し、米国が拠出規模を維持するよう「強く希望する」と強調した。同氏は同機関が難民に「不可欠な支援」を提供しているだけでなく、地域を安定化する重要な役割も担っていると指摘した。（ワシントン＝杉山正）"
"「ＳＤＧｓ五輪」めざす東京、食材・木材に調達基準","2018年1月13日06時39分","社会,国際,国連・その他,2020東京五輪,環境・エネルギー,有料会員限定記事","スポーツの祭典を通じて、環境や人権を大切にする流れを広げよう――。２０２０年の東京五輪・パラリンピックで、こうした取り組みが動き始めた。めざすのは、環境の保護や貧困の撲滅など１７分野の目標をかかげる国連の「持続可能な開発目標（ＳＤＧｓ（エスディージーズ））」を進めることだ。国際オリンピック委員会（ＩＯＣ）はＳＤＧｓに沿った大会運営を求め、大会組織委員会も「史上最高に持続可能な大会」をかかげる。国連が１５年に採択して以降、夏季五輪として初めて準備段階から進める本格的なＳＤＧｓ五輪をめざす。組織委がとくに取り組むのが、建設資材や食材だ。建設業者、選手村の食堂や競技施設のフードコートで食事を提供する業者らに対し、重要な６分野で調達基準づくりを進めている。すでに「木材」「農産物」「畜産物」「水産物」では基準をつくった。食品やせっけんなどに使われる「パーム油」と「紙」は３月末までにつくる。基準では、環境と、生産地で働く人や先住民の人権を守ることを重視する。木材は、伐採で生態系を崩さないことや地域住民らの権利に配慮することを義務づけた。農産物は環境や生態系との調和、水産物では小さい魚までとるのを減らす取り組みなどだ。第三者機関がこれらを審査して認証したものを推奨している。組織委は調達基準のほか、「持続可能性に配慮した運営計画」の第２版を６月までにつくる。自然エネルギーを増やしたり排出量取引制度を使ったりして、二酸化炭素（ＣＯ２）の排出を実質ゼロにする「脱炭素五輪」をめざす。再利用やリサイクルの推進、長時間労働の禁止や人権保護なども盛りこむ方針だ。緩さ指摘する声もただ、早くも課題が浮上している。木材の基準では、コンクリートの型枠に使う合板について、熱帯林乱伐が起きている地域のものを排除していない。新国立競技場の土台の工事では、この型枠にマレーシア・サラワク州の熱帯林乱伐で先住民と紛争が起きている企業のものが使われ、環境ＮＧＯがインターネット上で改善を求める署名運動を起こしている。水産物、農産物、畜産物は、日本では資源保護や生態系への配慮を審査する第三者機関による認証が欧米に比べて普及していない。そのため、調達基準は、認証を受けたもの以外も幅広く使えるようになった。専門家からは、今のままだとＳＤＧｓ五輪が実現できるか、疑問視する声もある。組織委で調達基準などを話し合う会合では、ＮＧＯや学者らから「過去の大会より緩い部分もある」との指摘がある。組織委の幹部は「何か一つでも良いので、２０年以降の社会を変えるきっかけになるものを残したい」と話す。五輪は自然破壊が問題となり、１９９４年に五輪憲章で「環境保全」を明記した。２０１２年のロンドン大会や１６年のリオデジャネイロ大会では、幅広く社会の「持続可能性」が重視された。東京大会はこの流れをさらに発展させられるかが問われている。（前田大輔、神田明美）◇《ＳＤＧｓ（エスディージーズ）》　２０１５年に国連で全会一致で採択された「持続可能な開発目標」（Ｓｕｓｔａｉｎａｂｌｅ　Ｄｅｖｅｌｏｐｍｅｎｔ　Ｇｏａｌｓ）。貧困の撲滅や格差の解消、環境保護など１７分野の目標があり、３０年が達成期限となっている。日本はジェンダーの平等（目標５）、気候変動への対応（目標１３）、陸の生態系の保全（目標１５）などの分野で課題が多いと指摘されている。"
"海自の艦艇、黄海で「密輸」監視　北朝鮮の制裁逃れ警戒","2018年1月13日01時30分","国際,アジア・太平洋,中国,国連・その他","北朝鮮の核・ミサイル開発を受けた国連安全保障理事会の制裁決議を履行するため、海上自衛隊の艦艇が昨年末から朝鮮半島西側の黄海や日本海の公海上で警戒監視に当たっていることが分かった。半島の両側で監視を強め、海上で外国船舶から北朝鮮船舶に石油精製品を移し替える形での「密輸」を防ぐ狙いがある。国連決議の実効性を高めるための国際協力に自衛隊が関与するのは初めて。複数の政府関係者が明らかにした。海自の艦艇が黄海に入ることについては中国の反発も強いが、日本政府として黄海にまで範囲を広げて警戒監視にあたる必要があると判断した。日本海では日米で警戒範囲を分担。いずれの海でも、海自が写真を撮るなどして確認した船舶情報を米軍に伝えているという。政府関係者によると、活動根拠は「周辺海域の船舶の動向を把握するための警戒監視」の位置づけ。外国船舶を強制的に調べる権限はない。通常、海自の艦艇が東シナ海で実施している警戒監視の範囲を北方へ広げて黄海の中にまで入っているほか、日本海でも艦艇や哨戒機が警戒監視にあたっている。海上保安庁による海上での警察活動を補完する意味合いがある。国連安保理は昨年９月の決議で、北朝鮮への石油輸出を制限したほか、船舶から船舶への積み荷の受け渡しを禁じた。昨年末には、北朝鮮への石油精製品の輸出を９割削減すると決議。海運制裁も強化され、加盟国に対し、禁止品目を運んでいる合理的な疑いのある船舶について、自国の港で押収や検査などを義務づけている。（土居貴輝）"
