"title","date","tags","article"
"「機体バラバラになって落ちた」ロシア機墜落、全員死亡","2018年2月12日08時55分","国際,ヨーロッパ","ロシア・モスクワ郊外で１１日午後に起きた同国国内線サラトフ航空機の墜落で、ロシア非常事態省は同日、乗客・乗員７１人全員が死亡したと発表した。航空当局は原因調査に乗り出した。モスクワ郊外で旅客機墜落　７１人搭乗、生存は絶望的か同航空は乗客６５人と乗員６人の名簿を公表。５歳の女の子を含む３人が未成年で、それぞれスイスとアゼルバイジャンの外国籍の乗客が２人いた。墜落現場では半径１キロほどの雪原に機体の残骸が散乱しており、遺体の収容と同時に、フライトレコーダーのうちまだ見つかっていないボイスレコーダーの捜索が続いている。インタファクス通信によると、墜落機は１月にエンジン・ユニットや翼の状況を調べる技術検査を受けたばかりだった。タス通信によると、２０１０年に就航し、他の航空会社を経て１年前からサラトフ航空で使われていたという。墜落したのは、ロシア製のアントノフ１４８型機。ウクライナのアントノフ社が開発し、中距離旅客機として０４年に製造を開始した機種だ。サラトフ航空によると、機長は総飛行時間５千時間で、うち２８００時間が同型機での飛行だったという。離陸直後、空港から約３５キロの地点で墜落した。機長は離陸後、管制官に機体の不調や緊急着陸の要請などの連絡をしておらず、大統領直属の捜査委員会報道官はロシア通信に「天候状況、人為的要素や機体の問題などあらゆる可能性を前提に捜査する」と語った。「機体はバラバラになって落ちてきた」との目撃証言もある。フライトレコーダーのうち、１０日夕までに操縦の記録をとどめたフライトデータレコーダーが墜落現場から回収された。同日夜、ドモジェドモ空港で記者会見したソコロフ運輸相は機長らの会話を記録したボイスレコーダーの回収を原因調査の課題に挙げた。ペスコフ大統領報道官は、プーチン大統領が事故対応の指揮に当たるため、１２日の南部ソチへの出張を取りやめたと語った。ソチで予定されていたパレスチナ自治政府のアッバス議長との会談はモスクワで行われるという。（モスクワ＝喜田尚）"
"モスクワ郊外で旅客機墜落　７１人搭乗、生存は絶望的か","2018年2月11日22時39分","国際,ヨーロッパ","ロシア緊急事態省によると、１１日午後２時２０分（日本時間同８時２０分）ごろ、モスクワ南郊外のドモジェドボ空港を離陸したサラトフ航空機（アントノフ１４８型機）が直後に連絡を絶ち、墜落した。当局は、乗客６５人と乗員６人の生存は絶望的としている。「機体バラバラになって落ちた」ロシア機墜落、全員死亡同機はモスクワを発ち、カザフスタンに近いウラル山脈南部のオレンブルク州オルスクに向かっていた。だが、離陸して数分で、管制のレーダーから機影が消えたという。まだ上昇中だったとみられる。墜落現場はモスクワの中心部から東南約五十数キロの農村地帯。事故当時、雪が降っており、気温は零下４～５度。積雪で道路事情が悪く、現場に向かった救急隊員ら１５０人は車で到着できず、徒歩で向かったという。国営の２４時間ニュース放送「ロシア２４」は、雪に埋もれた野原に落ちた、機体の一部とみられる破片の映像を流した。事故直後、ソコロフ運輸相が現場に向かった。インタファクス通信は緊急事態当局幹部が「乗員、乗客が生存している可能性はない」と語ったと伝えた。航空当局が墜落原因の調査を始めたが、まだ分かっていない。タス通信によると、フライトレコーダーが見つかったという。ロシア大統領府報道官は、プーチン大統領が政府に対し、事故原因を解明する特別委員会を設置するよう指示したことを明らかにした。サラトフ航空は在モスクワ日本大使館の問い合わせに「乗客名簿に日本人の名前はない」と回答したという。一方、オレンブルク州の当局者はインタファクス通信に「乗客は全員、州の住民だ」と語った。地元報道によると、サラトフ航空機が到着予定だったオルスクの空港には１１日夕、乗客の家族や近親者が集まり、医師や非常事態省のカウンセラーらが対応しているという。（モスクワ＝喜田尚）"
"フランス「徴兵制」復活案　拡大望む左派、反対した右派","2018年2月11日15時13分","国際,ヨーロッパ,有料会員限定記事","大野博人（編集委員）フランスは「徴兵制」に何を期待しているのだろう。マクロン大統領は先月、実施に向けて作業グループを立ち上げたと発表した。４月に結論をまとめさせるという。同国では兵役義務は２００１年に廃止されており、その復活に見える。昨年の大統領選挙ですでに公約として掲げていた方針である。男でも女でも１８歳から２１歳までの間に一度必ず防衛、治安を担う場所で任務に就かせるという構想だった。パリなどでテロが続き、治安に不安を感じる人は少なくない。こうした発想が出てくる背景はたしかにある。ただ当時、不思議に感じたことがいくつかあった。ひとつは提案している兵役期間だ。たった１カ月。初心者が入れ代わり立ち代わり頻繁に任務を交代してどれほど治安の強化につながるのか。選挙期間中、主要な争点になっていなかったことも意外だった。ほかの候補も似た考えを打ち出していたのだ。右翼のルペン氏だけでない。グローバル化や欧州統合に批判的で若者の支持も高い左派のメランション氏は、１カ月どころか９カ月の防衛や環境保全などの任務を課すと訴えていた。廃止のときは、大革命期以来の歴史的な転換といわれた。それをまたひっくり返そうというのに異論が目立たない。◇とはいえ大統領選で接戦を演じた４候補の中に１人だけ反対した人がいた。それもまたちょっと不思議なことだった。なぜなら、その人が元首相のフィヨン氏だったからだ。保守の主流、共和党の候補でタカ派といわれていた。振り返ってみれば廃止を決めたのもやはり保守の大統領だったシラク氏だ。軍をプロフェッショナル化する必要がある、という理由だった。その流れからすると驚くに当たらないのかもしれない。高度に専門化が進んだ現代の軍に素人の出る幕はないというわけだ。そのフィヨン氏が昨年、仏メディアの取材で徴兵制復活を批判したときの言葉遣いがおもしろかった。「軍は野外の託児施設ではない」実はマクロン氏の考えには国防や治安の枠に収まらない狙いも込められていた。生まれ育った環境が異なる若者に同じ仕事をさせ、国民という共通した帰属意識を育む機会に、という狙いだ。仏社会は分断に苦しんでいる。テロが強めるイスラム系市民への偏見。経済的不平等への不満。人々をエリートと非エリートに分断する教育への失望感……。フィヨン氏の物言いには、そんな問題の解決は軍ではなく国民教育省などの仕事だろうといういらだちがにじむ。加えて軍関係者や専門家からは、経費がバカにならないとの懸念も出ていた。それを意識したようだ。大統領は最近「（廃止した）徴兵制をあらためて持ち出すわけではない」と強調している。むしろ「すべての国民の義務」という抽象的な呼び方を使い、「社会や環境、文化の領域での守るべき原則と取り組むべき闘いをフランスの若者に与える」のが目的で、それこそが「揺るぎない国民的連帯の土台となる」という。軍だけではなくほかの省庁も動員する構えで、「目的外使用」される徴兵制といったイメージ払拭（ふっしょく）に懸命だ。◇ばらばらになりそうな社会を再び統合する手段としての徴兵制。それはあながち「目的外使用」とも言い切れない。近代的な国民国家は、広い領土に暮らし、貧富や宗教、言語がちがう人々に同じ国民という意識を持たせなければならなかった。その役割を公教育などとともに徴兵制による軍隊も担ってきた。またその力を借りたいのだろう。大統領選後の世論調査で６割の人がマクロン氏の提案を支持した。治安への懸念だけでなく連帯感を失う社会への不安の表れでもあったのではないか。けれど、国民軍が専門家集団へと変貌（へんぼう）したのは時代の要請だった。そこへ再び往時の姿を重ねる期待のまなざし。「すべての国民の義務」がどんな形で実現するにしろ、託される課題は重い。"
"入港拒否の万景峰号「国連制裁に抵触疑い」　ロシア","2018年2月9日18時48分","国際,アジア・太平洋,ヨーロッパ","ロシア極東のウラジオストク港沖で、旧式の北朝鮮の貨客船・万景峰（マンギョンボン）号が入港できずにいる問題で、ロシア連邦保安局は９日、「荷物が国連の制裁決議に違反する疑いがある」として、ロシア領海からの退去を求める手続きを始めたことを明らかにした。タス通信が伝えた。運営会社は「荷物は飼料だ」と主張している。万景峰号は３日、燃料切れで遭難信号を発信した。食料品などは補給されたという。（モスクワ＝中川仁樹）万景峰号、燃料切れで遭難信号　ロシアの港が接岸認めず"
"「閉会式は国旗掲げたい」　ロシアからの選手団が到着","2018年2月8日17時36分","国際,ヨーロッパ,スポーツ,ウインタースポーツ,平昌五輪","組織ぐるみのドーピング違反のため、個人資格の「ロシアからの五輪選手」（ＯＡＲ）で出場するチームのポズニヤコフ選手団長が８日、メインプレスセンターで記者会見した。１６８選手の調整は順調で、「準備はできている。そのためにこの場所にいる」。ただし、ロシアの代表としてどう戦うかとの問いには「ロシアについての質問には答えないよう国際オリンピック委員会（ＩＯＣ）に言われている」とやんわり断った。特集：平昌オリンピックSPIN THE DREAM 羽生結弦ＩＯＣから招待を受けなかったスピードスケート・ショートトラックで通算６個の金メダルを持つ韓国出身のビクトル・アンらメダル候補がスポーツ仲裁裁判所（ＣＡＳ）に平昌大会出場を求めている件については「多くの仲間が加わるのを願っている」と期待を寄せた。選手団にはＩＯＣからのガイドラインに沿って行動するよう伝えているという。閉会式にはロシア・オリンピック委員会の資格停止が解除となり、「ロシアの旗で行進できるよう願っている」と答えた。ロシア国旗ではなく、五輪旗の下で入場する９日の開会式の旗手はボランティアが務める。（稲垣康介）"
"ロシア選手、開会式出席へ　ボイコット報道打ち消し","2018年2月8日12時48分","国際,ヨーロッパ,平昌五輪","ロシア・オリンピック委員会（ＲＯＣ）は７日までに、７０人以上のロシア人選手が平昌冬季五輪の開会式に出席する予定だと明らかにした。タス通信などが伝えた。ロシアはドーピング問題のため国としての参加が認められず、一部選手が開会式をボイコットするとの報道が出ていた。特集：平昌オリンピックＲＯＣによると、アイスホッケーやフィギュアスケートなどに個人資格で参加する１６９選手のうち、開会式に出席するのは半分以下になる見通しだ。ただ、ボイコット報道については「明らかなうそだ」と批判。開会式直後に競技があったり、平昌到着が遅れたりするためだとしている。ロシアは昨年１２月、国際オリンピック委員会（ＩＯＣ）に代表選手団の派遣を禁止された。ロシア国内には国旗と国歌が使えないことへの不満が根強く、「冬季五輪をボイコットすべきだ」という声も出ていた。一方、ロシアメディアによると韓国の空港では、市民がロシアの国旗を振り、国歌を歌って出迎える光景が見られたという。報道の中には「韓国のおもてなしはＩＯＣも止められない」と皮肉るものもあった。（モスクワ＝中川仁樹）"
"ロシア、北朝鮮労働者の送還を開始　安保理決議に対応","2018年2月8日02時14分","国際,ヨーロッパ","ロシアのマツェゴラ駐北朝鮮大使は６日、ロシア国内で働く北朝鮮労働者の送還が始まったことを明らかにした。「２年以内の原則送還」を盛り込んだ昨年１２月の国連安保理決議に対応するため、同大使は「我々は決議を無条件で履行している」と強調した。訪問先のニューヨークでインタファクス通信などロシアの記者団に語った。多くの北朝鮮労働者が働く極東地域の州知事らが、決議順守のため「（送還を）前倒しで実施している」とした。北朝鮮労働者をめぐっては、昨年９月の安保理決議で新規受け入れが禁止され、期間満了後の契約更新ができなくなった。１２月の決議ではさらに送還が義務づけられたが、当初案で「１年以内」とされていた期間がロシアの反対で２年以内になった経緯がある。マツェゴラ大使によるとロシアは毎年、建設現場や工場などで働く１万２千～１万３千人の北朝鮮労働者に短期の労働ビザを発給。最も多い時で３万７千人が国内にいたという。（モスクワ＝喜田尚）"
"仮想通貨「非常にリスクある資産」欧州中央銀行が調査","2018年2月7日23時52分","経済,金融・財政,国際,ヨーロッパ,テック＆サイエンス","欧州中央銀行（ＥＣＢ）のドラギ総裁は５日、欧州議会に出席し、ビットコインなどの仮想通貨について「非常にリスクのある資産とみなすべきだ」と警告した。そのうえで、欧州の銀行が仮想通貨を保有することで、金融システムに与えるリスクの大きさを調べていることを明らかにした。ドラギ氏は議員からの質問に答える中で、仮想通貨について「（価格が）非常に変動しやすく、投機的だ」と指摘。銀行に対して保有する仮想通貨のリスクをしっかりと把握する必要性を呼びかけた。今のところ、ＥＣＢが監督する欧州の銀行については「仮想通貨への関心は限られている」としたが、米大手商品取引所でビットコインの先物取引が始まり、銀行が仮想通貨への投資を増やす可能性もあるとして、金融システムに与える影響を注視していく考えを示した。（ロンドン＝寺西和男）"
"ドイツ２大政党、連立で合意　３月にも新政権","2018年2月7日19時22分","国際,ヨーロッパ,有料記事","難航していたドイツの連立協議は７日、メルケル首相率いるキリスト教民主・社会同盟（同盟）と社会民主党（ＳＰＤ）の２大政党が、再び連立を組むことで合意した。ＳＰＤの全党員による投票で賛同が得られれば、３月にもメルケル氏の４期目の政権が発足する。合意を受けた会見で、メルケル氏は「われわれは安定した政権を作る。難しい交渉に値するものだった」と振り返った。ＳＰＤが財務相、外相など主要閣僚ポストを得ることで両党は一致。外相にはシュルツＳＰＤ党首が就任する見通しだ。焦点となっていた難民の受け入れ問題は、年２２万人を事実上の「上限」とする一方、家族の呼び寄せの制限についてはＳＰＤの要求に沿う形で１月の基本合意よりも緩和された。同党が要求していた有期雇用契約の制限や医療保険制度の見直しなどでも、一定の合意に達した。また欧州連合（ＥＵ）への拠出金を増やすなど「親欧州」政策を進めることで一致。フランスのマクロン大統領が提唱するユーロ圏予算の発足にも理解を示した。ＳＰＤの全党員（約４６万人）による投票は２月中にも郵送で実施される。直近の世論調査では連立を評価する意見が半数を上回っており、大連立が実現する可能性は高いとみられる。昨年９月の総選挙では、それまで連立を組んでいた両党が、ともに大きく得票率を落とした。ＳＰＤが下野を表明したため、同盟は二つの小政党との連立交渉に入ったが、難民政策などを巡って折り合えず、昨年１１月に頓挫。シュタインマイヤー大統領の説得を受ける形で、ＳＰＤが再度の大連立に向けた交渉に入っていた。欧州最大の経済大国ドイツで「政治空白」が続けば、英国のＥＵ離脱交渉やＥＵ改革の行方に影響を及ぼしかねず、懸念が広がっていた。（ベルリン＝高野弦）"
"ロシア軍が北方領土で演習開始　軍事拠点化の姿勢強める","2018年2月7日00時07分","政治,領土,国際,ヨーロッパ,有料記事","ロシア軍の東部軍管区は６日、北方領土の国後（くなしり）島とその周辺地域で、軍事演習を始めたことを明らかにした。クリル諸島（北方領土と千島列島のロシア側呼称）に武装勢力が上陸したとの想定で、国後島では敵の破壊工作活動を捜索、阻止する訓練をする。同管区によると、演習はクリル諸島の複数の島で実施し、全体で２千人以上が参加。攻撃ヘリコプターの着陸など、困難な気候や自然環境の下で、部隊が上陸する訓練を１週間続ける予定だという。ロシア軍は２０１７年８月にもクリル諸島で３５００人以上が参加する軍事演習をしたが、北方領土が含まれるかどうかは明らかにしなかった。北方領土では、国後島と択捉（えとろふ）島に１６年１１月、地対艦ミサイル「バル」「バスチオン」が配備された。ロシア政府は今月、１４年に新たに建設された択捉島の空港を軍民共用にして基地化する方針を明らかにし、北方領土の軍事拠点化を進める姿勢を鮮明にしている。北方四島を実効支配するロシアの本音は、６日に東京都内であった日ロ外務次官級協議でも垣間見えた。北方四島の日ロ共同経済活動の早期実現に向けた昨年８月以来となる事務レベル協議で、ロシアのモルグロフ外務次官は協議の冒頭、「交渉のプロセスを政治的な影響から守ることができるのであれば、成果を達成できる」と強調した。島の軍事拠点化などは問題にするべきではないという趣旨だとみられる。日本外務省によると、共同経済活動の早期実現に向けた今後の具体的な協議日程については「建設的に作業していくことは一致した」にとどまった。一方、日本側は協議で、択捉島にある空港の軍民共用化について「日本の立場とは相いれない」とロシア側に申し入れた。日本政府関係者からは「ロシアはいまは、領土交渉する準備が整っていない」との見方ももれる。（喜田尚＝モスクワ、板橋洋佳）"
