"title","date","tags","article"
"禁じられた芸術、命がけで守った　元ＩＳ支配地に響く歌","2018年2月13日00時42分","国際,中東,カルチャー,有料記事","イスラム教の教えを独自に極端に解釈し、あらゆる芸術活動を禁じた過激派組織「イスラム国」（ＩＳ）。３年にわたりＩＳに最重要拠点として支配され、昨夏解放されたイラク北部モスルに、歌声や楽器の音色が戻ってきた。暴力と恐怖が蔓延（まんえん）したＩＳの支配下でも、住民はひそかに楽器の練習やデッサンに励み、抵抗を続けていた。（モスル＝其山史晃、翁長忠雄）ギターと電子ピアノ、ドラムが奏でるシンプルで、ゆっくり歩みを進めるようなメロディーに合わせて、学生たちが歌い始めた。♪イラク人　イラクへの愛ゆえのイラク人　血を流したゆえのイラク人　ユーフラテス川のイラク人　我々の（イスラム教）スンニ派　我々のシーア派　我々のキリスト教徒　我々はイラク人♪１月中旬、モスル東部の男子芸術学校を訪ねると、音楽科の学生１０人が歌曲「イラク人」を披露してくれた。ドラムが刻むビートに、復興の槌音（つちおと）が重なる。作詞作曲したのは音楽科教員のハリド・ファーデルさん（６１）。ＩＳの支配下、一切の芸術活動を禁じられ、楽譜や楽器を使わず、頭の中でつくった。「自らと異なる思想を認めないＩＳに、イラクは破壊し尽くされた。『イラク人』には、過激主義をなくし、多様な民族、宗派が共存できるイラク再生への願いを込めました」ギターを弾いた教員のセイフ・ムニールさん（３２）は、ジョン・レノンの「イマジン」も歌ってくれた。昨年１月、イラク軍などの掃討作戦を受けてＩＳはモスル東部から撤退。その後、同校に戻ったムニールさんが「人類の平和を願う曲」として、同僚と歌うようになった特別な曲だ。見つかれば「処罰」の恐怖２０１４年６月、モスルを武力制圧し、「カリフ（預言者ムハンマドの後継者）制国家」の樹立を宣言したＩＳは、モスルの文化・芸術活動の中心だった男子芸術学校を、自分たちの活動拠点の一つにした。校舎内には崩れ落ちた壁のコンクリート片が転がり、ＩＳが破壊したピアノの部品や楽譜が散らばる。ファラ・アブド・アルニダウィ校長（４９）によると、ＩＳは楽器や書籍、教材、絵画作品を集めて、燃やしたという。同校教師らは学校にあった絵画や音楽ＣＤを自宅に隠し、抵抗した。アルニダウィ校長は「ＩＳはイスラム教の文化や知識を理解せず、知っていたのは殺人だけだった」と憤る。ＩＳは男子芸術学校のそばにあった女子芸術学校も閉鎖し、活動拠点にした。女子の音楽科の学生ナマア・アブドラさん（２１）は、携帯電話にピアノの鍵盤アプリをダウンロードしていた。ＩＳがモスルを支配し、学校に行けなくなった間、自宅で隠れて、携帯電話の小さな画面でピアノの練習を続けた。ＩＳに見つかれば「処罰」されるが、やめなかった。「いつかＩＳは追い出され、国は元通りになるという希望を、私は捨てなかった」女子の演劇学科の学生ウマム・ナディルさん（１９）も、自宅でささやくような声で歌の練習を続けた。自分で描いたスケッチや芸術関連の書籍は、旅行用カバンなどに隠した。「芸術は私の人生そのもの。自由になった今、もっと勉強して演劇の経験を積みたい。そしていつか、舞台で活躍できるようになりたい」「美求める心は止められぬ」イスラム教を独自に極端に解釈するＩＳは、イスラム教成立前の遺跡は「偶像崇拝者のためのもの」として破壊する対象にした。イラクでは、紀元前に栄えたアッシリア帝国の首都があったニムルド遺跡や、世界遺産のハトラ遺跡で破壊行為をしたと宣言。１５年２月には、ＩＳの戦闘員がハトラ遺跡の石像を倒したり、ハンマーで壊したりする様子の動画がネット上で流された。音楽をめぐっては、エジプトにあるイスラム教スンニ派の最高権威機関「アズハル」は１９８０年、「イスラムは音楽を禁じていない」とするファトワ（宗教見解）を出している。ＩＳはスンニ派の過激派組織だが、支配地域で音楽を禁じた。音楽ＣＤを持っている住民を見つけると、むち打ち１００回の「刑」にした。映画館と劇場は禁止し、閉鎖させた。また、預言者ムハンマドの言行録に生き物の絵を禁じる内容があるとして、人の顔を描いた広告や看板は消した。住民に美を求めることは許さなかった。モスルで花屋を営むアフマド・セイフさん（４１）によると、ＩＳはブーケを芸術品と解釈して禁じたため、花は１本ずつしか売れなくなった。セイフさんは結婚式のＤＪもしていたが、ＩＳは披露宴を禁止し、ＤＪ用の機器はすべて破壊した。セイフさんはＩＳに見つかれば殺されるのを承知の上で、ベッド下に電子キーボードを隠し続けた。「キーボードの代償が私の命でもよかった。ＩＳはどんなに暴力をふるっても、美しいものを求める人の心を止めることはできなかった」ＩＳがモスル住民に強制した規則・飲酒と喫煙の禁止・音楽、絵画、映画の禁止・カメラと携帯電話の所持・使用の禁止・女性はニカブ（目だけを出すベール）着用・華美な服の展示の禁止、美容院の閉鎖・外出する女性には近親者の男性が同伴・結婚披露宴と葬儀の禁止・学校は男女別・同性愛の禁止＊モスル住民への取材から"
"シリア政権軍空爆「４日間で死者２２９人」　ＮＧＯ発表","2018年2月9日19時51分","国際,中東","内戦が続くシリアの首都ダマスカス近郊にある反体制派の拠点、東グータ地区で８日、アサド政権軍側による空爆で７６人が死亡した。同地区に対しては集中的な空爆が続いており、８日までの４日間で計２２９人が死亡した。反体制派の在英ＮＧＯ「シリア人権監視団」が発表した。監視団によると、死者２２９人のうち、１８歳以下の子どもが５８人、女性が４３人を占める。負傷者は約７００人にのぼる。２０１３年秋から政権軍による包囲が続く同地区では、医薬品不足が深刻で、医療体制は崩壊している。負傷者に十分な治療ができないため、監視団は今後も死者数が増えると予測している。国連児童基金のヘンリエッタ・フォア事務局長は８日、「包囲されて身動きがとれず、容赦ない激しい暴力にさられる子どもにとって、生きることは悪夢だ」との声明を発表。すぐに戦闘を停止し、子どもの保護を最優先にするよう求めた。（イスタンブール＝其山史晃）"
"半裸女性遺体踏みつけ映像流出「道徳的に退廃」　シリア","2018年2月4日09時44分","国際,中東","シリア北西部で、反体制派戦闘員とみられる人物らが、敵対するクルド人戦闘員の女性の半裸状態の遺体を踏みつける映像がソーシャルメディア上に流出した。クルド人勢力側は行為を非難する声明を出し、反体制派側も調査に乗り出す事態になっている。流出した映像には、半裸状態の女性の遺体の周囲を反体制派の戦闘員とみられる人物らが取り囲み、踏みつける様子が記録されている。遺体は激しく損傷している。クルド人勢力が３日に出した声明によると、女性はクルド人部隊に所属し、北西部アフリン地域での戦闘で死亡した。この地域には、シリアのクルド人勢力を敵視するトルコが１月２０日に「テロリストを掃討する」として軍事侵攻した。この作戦には、トルコが支援するシリア反体制派の武装組織も参加している。クルド人勢力は「トルコ軍とその連携勢力が道徳的に退廃していることを示している」と声明で非難した。一方、反体制派側も調査委員会を立ち上げるとし、「関与した者にはすみやかに責任を取らせる」との声明を出した。（イスタンブール＝其山史晃）"
"「サリン使用の可能性懸念」　米国防長官、シリア政権に","2018年2月3日09時25分","国際,北米,中東","マティス米国防長官は２日、内戦が続くシリアのアサド政権が「（猛毒の）サリンを使用した可能性を懸念している」と国防総省で記者団に語った。また、政権軍が塩素ガスを使った攻撃を繰り返しているとの認識を示した。現地で活動するＮＧＯなどからサリン使用の情報が得られたとし、「今のところ証拠を持ち合わせていないが、探しているところだ」と話した。首都ダマスカス近郊の東グータ地区では１月２２日、政権軍によるとみられるミサイル攻撃の後、市民２１人が呼吸困難に陥った。現場の医療関係者などの話から、塩素ガスの使用が疑われている。アサド政権は２０１３年の国連安全保障理事会決議に基づいて化学兵器の全廃を受け入れたが、その後もたびたび化学兵器の使用疑惑が浮上している。昨年４月には北西部イドリブ県で、サリンを使ったとみられる空爆により住民８０人以上が死亡した。トランプ政権は「虐殺を止める」として政権軍基地へのミサイル攻撃に踏み切った。（イスタンブール＝其山史晃）"
"「世界から色眼鏡、ごめんだ」　イラン反政府デモ１カ月","2018年2月2日21時44分","国際,中東,有料記事","イラン全土で２５人が死亡した反政府デモの発生から１カ月あまりが過ぎた。当局が収束を宣言した先月３日以降、大規模な抗議行動は起きていない。だが、地方都市の住民は「体制を変えなければ未来はない。またデモがあれば行く」と語った。国民の不満はくすぶり続けている。「イラン人というだけで、世界から色眼鏡で見られる。もうごめんだ」首都テヘランから南に約５００キロ離れたフゼスタン州イゼに住む無職エフサンさん（２８）は１月末、こう話した。外国の友人と電話で話すと、いつも「宗教指導者が支配して国際社会と問題を起こしている国だ」と言われるのが我慢できず、デモで体制打倒を訴えたという。政府の経済政策や物価高に抗議するデモは昨年末、北東部マシュハドから全土に波及。イゼでは１２月３０日から３日間続いた。タブー視されていた最高指導者ハメネイ師を批判するスローガンが多く叫ばれたという。デモ隊は銀行などを襲撃。治安当局との衝突で２人が死亡したとされる。エフサンさんは「不満をぶちまける機会をずっと待っていた。失うものはない。宗教中心の体制は時代遅れだ。デモが終わって１カ月近く経つが、何も変化はない。またデモがあれば必ず参加する」と語気を強めた。デモで車のタイヤを燃やしたナバッドさん（２０）は、「外国と同じように女の子と街中でデートしたり、ロック音楽を聴いたりしたい。そんな自由を封じる体制を変えたかった」と話した。イランはシリア内戦に介入するほか、過激派組織「イスラム国」（ＩＳ）の掃討目的でイラクなどを支援している。ただ、１５～２９歳の若者の失業率は２５％超で高止まりしている。地方の若者を中心に「テヘランの政治家や宗教指導者が、地方や若者をないがしろにして外国を助けている」との不満も根強い。高校を卒業後、無職が続くバハブさん（２３）もその一人。「イラン国民の税金が、イラクやシリアなどを助けるために使われる。どこにそんな余裕があるのか。アラブは潤っているのに、私たちには仕事もお金もない。なぜなんだ」と憤る。政府、火消しに躍起イラン内務省は一連のデモについて、米国などの外国勢力が関与したとの見解だ。一方で、「国民からの要求に政府などが応えられなかった」とする報告書をまとめた。失業率を改善できないロハニ政権への不満や、約３０％という金利で預金を集めて破綻（はたん）した金融機関などへの批判が、引き金になったとの見立てだ。国際通貨基金（ＩＭＦ）によると、イランの２０１６年の実質国内総生産（ＧＤＰ）の成長率は１２・５％。欧米などと結んだ核合意で１６年１月に経済制裁が解除されても、多くの系列企業を持つ革命防衛隊などの既得権層が潤う一方で、一般市民が経済的な利益を享受できていないとの見方が強い。昨年１２月にはロハニ政権が、低所得層への補助金停止など痛みを強いる次年度予算案を提出することが判明。一方で、保守強硬派の宗教指導者が運営する宗教団体や、革命防衛隊への予算が増額されるなどの優遇ぶりが明らかになり、一般市民の怒りに火をつけたとみられている。政府は火消しに躍起だ。ロハニ大統領は先月３１日、「過去のイランの王制は、国民からの批判に耳を傾けなかったため革命で崩壊した。為政者は人々の要求を注意深く聞くべきだ」と強調。ハメネイ師も先月９日、「国全体で人々の求めに応じていくべきで、私にもその責任がある」と述べた。◇〈イランの政治体制〉　１９７９年のイスラム革命以降、イスラム法学を修めた宗教指導者による統治という理念の下、イスラム法学者が最高指導者として高位に立つ。現在はハメネイ師で、国政の重要事項で最終的な意思決定権を握る。国軍とは別に組織され、体制護持を目的とする革命防衛隊なども最高指導者の影響下にある。イスラム教に厳格な社会が目指され、結婚していない男女の交際は「御法度」。指導部は欧米文化がイスラム的価値観を損なうとの考えから、欧米の音楽や映画などの流入を規制している。"
"リビア沖で難民らのボート転覆　１０遺体発見、不明多数","2018年2月2日20時18分","国際,中東","スイス・ジュネーブにある国際移住機関（ＩＯＭ）は２日、同日未明にリビア沖で難民ら推定約９０人を乗せたボートが転覆し、海に投げ出されたと発表した。これまでに１０人の遺体が沿岸に打ち上げられた。生存者３人は岸に泳ぎ着いたり、地元の漁民に救助されたりしたという。残りは行方不明。多くがパキスタン人とみられるという。ＩＯＭによると、地中海を渡って欧州に到着した難民らは今年すでに６６２４人で、うち４２５６人は、リビアなどから地中海中央部を渡ってイタリアに向かうルートだった。今年の死者・行方不明者２４６人のうち、このルートでの犠牲は２１８人を占める。先週末には同じルートで、１３０～１３５人の難民らを乗せたボートから、９６人が救助された事案もあったという。（ジュネーブ＝松尾一郎）"
"シリア反体制派、憲法草案委に参加意向　和平協議進展も","2018年2月2日11時50分","国際,中東,有料記事","内戦が続くシリアの主要反体制派は１日、ロシア主導の「シリア国民対話会議」が設立を決めた、憲法草案を作成する委員会に参加する意向を表明した。主要反体制派は、アサド政権を支援するロシアの動きを警戒し、対話会議に参加していなかった。政権側と反体制派の直接対話につながれば、停滞する和平協議が進展する可能性もある。主要反体制派でつくる交渉団トップのナスル・ハリリ氏が１日、トルコ・イスタンブールでの記者会見で「憲法委員会が国連主導の和平協議の場で、国連決議を実行するために設立されるのであれば、我々は参加できる」と話した。ロシア南部ソチで開かれた対話会議には、政権側と政権に譲歩を示す一部の反体制派が参加。１月３０日に採択された共同声明で、内戦後の憲法草案をつくる憲法委員会の設立に合意したと発表した。会議に参加した国連のデミストゥラ・シリア担当特使は、憲法委が政権側と反体制派側の４５～５０人規模で構成され、国連主導のジュネーブ協議の場で運営されることを確認。不参加の勢力も憲法委のメンバーに含まれるとした。ジュネーブ協議はアサド政権の退陣を主張する主要反体制派と、反発する政権側の折り合いがつかず、いまだに直接対話にいたっていない。今後、憲法委のメンバーの内訳や権限、運営手続きをめぐって、激しい対立も予想される。（イスタンブール＝其山史晃）"
"政府、パレスチナ支援に４４億円　追加も検討","2018年2月1日17時56分","政治,国際,ヨーロッパ,中東","日本政府は１月３１日、欧州連合（ＥＵ）がブリュッセルで開いたパレスチナ支援の国際会議で、約４千万ドル（約４４億円）の支援を実施する方針を明らかにした。この中には、国連パレスチナ難民救済事業機関（ＵＮＲＷＡ）への支援も含まれるという。ＵＮＲＷＡをめぐっては米国が１月中旬に拠出金を一部凍結すると発表しており、日本政府はさらなる支援も検討している。ＥＵも同日、４２５０万ユーロ（約５８億円）の新規支援を発表した。貧困対策や若者の教育支援などを目的としている。トランプ米大統領は昨年１２月、パレスチナ、イスラエル双方が首都と主張するエルサレムをイスラエルの首都と宣言。その後、パレスチナに対する圧力を強めている。日本政府は中東地域の安定のため、パレスチナ支援を続ける考えを示している。（ブリュッセル＝津阪直樹）"
"ヒッタイト帝国時代の神殿破壊　トルコのシリア空爆で","2018年2月1日00時54分","国際,中東,カルチャー,ひと・歴史","トルコが軍事侵攻しているシリア北西部のクルド人支配地域で、約３千年前に建造された神殿が破壊された。シリア文化省と在英ＮＧＯ「シリア人権監視団」が確認した。トルコの空爆で破壊されたとしている。破壊されたのは、鉄の帝国として知られるヒッタイト帝国時代のアインダラの神殿。北西部アフリン近郊にあり、建造は紀元前１３００年ごろにさかのぼる。シリア人権監視団によると、２６日のトルコ軍の空爆で破壊された。シリア文化省は声明で「国際機関はトルコにアフリンの遺跡を攻撃しないように圧力をかけてほしい」と呼びかけた。トルコは「テロリストを掃討する」として、２０日からクルド人勢力の支配地域で爆撃と地上軍による侵攻作戦を展開している。（ソチ＝其山史晃）"
"サウジ財務相、王族の汚職摘発「おおかた終わった」","2018年1月30日18時17分","国際,中東","世界最大級の産油国サウジアラビアのムハンマド・ジャダーン財務相は２５日、スイス・ダボスで朝日新聞のインタビューに応じた。「脱石油依存」を目指す社会・経済改革について「非常に成功している」と述べ、改革が順調に進んでいると強調した。また、サウジで昨年１１月から続いている汚職容疑などでの王族らの摘発については、一段落したとの見方を示した。サウジでは原油安を受けて、２０３０年に向けた国内経済の改革方針「ビジョン２０３０」を１６年に策定し、サルマン国王とムハンマド皇太子が主導して改革を進めている。ジャダーン氏は、たばこなど嗜好（しこう）品への新税の導入などで昨年の石油収入以外の税収は３年前の２・５倍に増えたと強調。「サウジ経済は多様化する」と述べ、鉱業や観光業、娯楽業、技術関連の新産業の育成に力を入れる方針を示した。また、国営石油会社「サウジアラムコ」の株式の一部を年内に上場予定で、株式売却で集めたお金は新産業の育成にあてるという。上場先は「中核市場はサウジ国内になる」と説明。海外ではロンドンやニューヨーク、香港を検討しているとした。選定には投資環境だけでなく「国家間の戦略的関係」も重視しているといい、候補先として手を挙げている東京証券取引所の可能性も否定しなかった。昨年１１月から汚職容疑などで王族らの摘発を続けていることについては、「初期段階（の摘発）はおおかた終わった」と述べた。一時は投資家から懸念する声が上がっていたが、「今は以前より多くの海外投資が入ってきている」と説明した。（ダボス＝寺西和男）"
