"title","date","tags","article"
"ペンス氏、米朝対話の可能性示唆　「北朝鮮が望めば」","2018年2月13日13時09分","国際,アジア・太平洋,北米","１２日付の米紙ワシントン・ポストによると、ペンス副大統領が同紙のインタビューに対して「北朝鮮が望むのならば、我々は対話する」と述べた。南北対話の進展によっては、非核化が進まない場合でも北朝鮮と直接対話する可能性を示唆したという。韓国、五輪で米朝対話に失敗　ペンス・与正氏ともに拒否平昌冬季五輪の開会式出席のために訪れた韓国からの帰路の機中で同紙に語った。ただ、ペンス氏は北朝鮮が核・ミサイル放棄をするための「最大限の圧力」をかける政策は続けていくことを強調。対話の前提として核・ミサイル実験などの挑発行為の停止を条件としているトランプ政権の方針の転換につながるかどうかは不透明だ。ペンス氏は８日に韓国の文在寅（ムンジェイン）大統領と会談した際、北朝鮮側に安易な融和政策をとらないように要求。文氏も核放棄に向けた進展がない限り制裁解除などに応じない考えを示したという。また、文氏は北朝鮮側に「米国と話をすべきだ」と訴えたという。一方、ティラーソン米国務長官は１２日、訪問先のカイロで会見し、ペンス氏が対話の可能性を示唆したことについて「判断するのは時期尚早」と指摘。あくまで「北朝鮮が誠実な姿勢で我々と関わる用意ができているかどうかだ」とも語り、北朝鮮側による出方を見守る考えを示した。（ワシントン＝峯村健司）"
"米の財政赤字、９８４０億ドルに悪化　予算教書を発表","2018年2月13日12時23分","国際,北米,有料記事","米トランプ政権は１２日、２０１９会計年度（１８年１０月～１９年９月）の予算教書を発表した。連邦政府の財政赤字は、減税や国防費の増加などで９８４０億ドル（約１０７兆円）と、昨年の想定の２倍近くに拡大。国内総生産（ＧＤＰ）比で７年ぶりの高水準に悪化する見通しだ。急激な財政拡張で国債が増発されて金利が上がり、株安など金融市場の波乱要因になるおそれがある。「効率的、効果的、責任ある米国の予算」と名づけた教書では、前年同様、年率３％の経済成長を想定。１９年度の予算総額は４・４兆ドル（約４８０兆円）と、前年度から５・６％増えるが、税収は２・４％増にとどまる見通し。今後１０年間で１・５兆ドル（約１６４兆円）を掲げるインフラ投資は、連邦政府の支出を１０年間で２千億ドル（約２２兆円）とする。防衛費では、国防総省の予算として１７年度比１３％増の６８６０億ドル（約７５兆円）を提案。１８年度からの２年間で１８０億ドル（約２兆円）を見込むメキシコ国境の壁建設費用は、１９年度は１６億ドルを盛り込んだ。「医療保険制度改革（オバマケア）」の撤廃や、メディケア（高齢者向け公的医療制度）など社会保障費は大幅に削減する。目指してきた１０年後の財政赤字解消は、今回の見通しでは断念。今後１０年間の財政赤字の総額は、７・１兆ドル（約７７０兆円）にのぼる。前提の「年３％成長」の見通しは甘いとの見方が多く、赤字がさらに膨らむおそれもある。連邦政府の予算は議会が作り、大統領には予算法案を作る権限がない。予算教書は大統領の「提案」という位置づけで、今後の議会での審議で大幅に変わる可能性がある。トランプ政権と議会与野党は先週、今後２年間の連邦政府の歳出上限を約３千億ドル（約３３兆円）引き上げることで合意。昨年実現した減税と合わせ、財政赤字を大幅に増やすとみられている。（ワシントン＝五十嵐大介）"
"ＩＳＳ予算、２０２５年に打ち切りへ　米、月探査に重点","2018年2月13日10時40分","国際,北米,サイエンス,宇宙・天文","米トランプ政権は１２日、日米ロ、欧州、カナダが参加する国際宇宙ステーション（ＩＳＳ）への政府予算支出を２０２５年に打ち切る方針を明らかにした。この日発表した２０１９会計年度の予算教書に盛り込んだ。政権が掲げた月探査に重点を置くため、地球近くのＩＳＳの運営は民間に移行させたい考えだ。米航空宇宙局（ＮＡＳＡ）は、毎年ＩＳＳの運営に３０億～４０億ドル（約３２００億～４３００億円）を使っている。予算教書は「政府計画を段階的に廃止し、商業化または官民での運営に移行することでコストを削減する」として、２５年でＩＳＳへの直接予算の打ち切りを明記。運営を民間に移行するため、１９年度から毎年１億５千万ドル（約１６３億円）を企業支援に充て、ＮＡＳＡも使えるような民間ステーションの建設も促すとしている。一方で、ＮＡＳＡは月近くに新たな宇宙ステーション「月軌道プラットホーム・ゲートウェー」を建設するため２２年に電源・推進装置を打ち上げ、２３年に有人飛行を行うとしている。ＩＳＳの使用期限は２４年までで参加各国が合意している。技術的には２８年までの使用は可能とされているが、再延長するかは決まっていない。米議会や産業界からは、政府予算打ち切りに反対する声が大きい。日本を含む参加国の対応も注目される。３月に東京で政府レベルの会合、第２回国際宇宙探査フォーラム（ＩＳＥＦ２）が開かれる。月探査の枠組み作りや、米が予算を打ち切った後のＩＳＳのあり方が議論されるとみられる。（ワシントン＝香取啓介）◇《国際宇宙ステーション（ＩＳＳ）》　１９８４年にレーガン米大統領が提唱したのがきっかけ。日米ロ、欧州、カナダの１５カ国が参加し、９８年に建設開始。２０００年から宇宙飛行士が長期滞在している。投資額は１千億ドル（約１１兆円）程度とされ、日本は約１兆円を負担した。サッカー場程度の大きさで、地球の約４００キロ上空を１周約９０分で回っている。地上からも肉眼で見ることができる。"
"トランプ氏の長男宅に白い粉　いたずら？　３人が病院へ","2018年2月13日09時29分","国際,北米,有料記事","トランプ米大統領の長男ドナルド・トランプ・ジュニア氏に白い粉が入った封書が届き、１２日朝に開封した妻バネッサさんら３人が吐き気などを理由にニューヨーク市内の病院で診察を受けた。粉は有害物質ではないことが後に判明。悪質ないたずらの可能性が高い。米メディアが伝えた。ＡＰ通信によると、封書はジュニア氏宛て。バネッサさんらはせきが出て、吐き気を催した。市警やシークレットサービス（大統領警護隊）が送り主などを捜査している。ジュニア氏は「何者かが反対意見をこのような不穏な行動で示すことに本当にうんざりしている」とツイッターで発信した。大統領選の真っ最中だった２０１６年３月にもトランプ一家宛ての封書から白い粉が出てくる騒ぎがあり、この時も有害物質ではなかった。米国では０１年にテレビ局や上院議員宛てに炭疽（たんそ）菌などが入った封筒が送りつけられ、５人が死亡する事件があったこともあり、この日も米メディアは速報で伝えた。（ニューヨーク＝金成隆一）"
"韓国、五輪で米朝対話に失敗　ペンス・与正氏ともに拒否","2018年2月13日07時24分","国際,アジア・太平洋,北米,有料記事","韓国政府が平昌（ピョンチャン）冬季五輪を機に訪韓したペンス米副大統領と、北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長の実妹、金与正（キムヨジョン）氏との会談を模索していた。複数のソウルの情報関係筋が明らかにした。だが、米朝ともに拒み、「南北対話を米朝対話に結びつける」とした韓国の戦略は不発に終わった。関係筋によれば、韓国はペンス、金与正両氏がソウルに滞在する機会を利用。１０日午後にも両氏が会談できるよう調整に乗り出した。文在寅（ムンジェイン）大統領は８日のペンス氏との会談で「北朝鮮は米国との対話を望んでいる」と主張。１０日昼の与正氏らとの会談では「米国との対話をより積極的に進めてほしい」と訴えた。韓国大統領府は当初、江原道江陵（カンウォンドカンヌン）で１０日夜にあった女子アイスホッケー南北合同チームの試合について、「金与正氏は行かない。ソウルに滞在中の三池淵（サムジヨン）管弦楽団を激励する」と説明していた。このタイミングを利用して米朝対話を模索したとみられる。だが、北朝鮮は、与正氏とペンス氏との会談に関心を示さなかった。労働新聞（電子版）は１０日、「我々が南朝鮮に高位級代表団を派遣したのは、人間の価値もない米国の人物と会って朝米対話の線をつなぐためではない」と強調。与正氏らが本国と対米関係について調整する時間もなかったとみられる。米側も北朝鮮との接触を望まなかった。ペンス氏は９日の五輪開会式前のレセプションでも北朝鮮の金永南（キムヨンナム）最高人民会議常任委員長と同席することを拒否。開会式でも与正氏らと同じ列に着席することを拒んだ。北朝鮮は８日、平壌で実施した軍事パレードで、米本土を攻撃できる大陸間弾道ミサイル（ＩＣＢＭ）「火星（ファソン）１５」（射程１万３千キロ以上）を披露。米国は、北朝鮮に核・ミサイル開発を放棄する具体的な動きがみられないとし、このタイミングでの米朝対話は不適切と判断していたという。韓国が北朝鮮の五輪参加を巡り、国連制裁決議や米国独自制裁の例外扱いをたびたび求めたことについても、米側には不満の声が上がっていた。与正氏は結局、１０日午後、金永南氏らとともにソウルから江原道に移動。五輪女子アイスホッケーの試合を観戦し、米朝対話は実現せずに終わった。（ソウル＝牧野愛博）"
"トランプ政権、インフラ投資に２千億ドル支出へ","2018年2月12日09時21分","国際,北米","トランプ米大統領は１２日、今後１０年間で１・５兆ドル（約１６４兆円）を掲げるインフラ投資の詳細案を示す。連邦政府の支出分２千億ドル（約２２兆円）を、この日発表する２０１９会計年度（１８年１０月～１９年９月）の予算教書に盛り込む。トランプ政権は今秋の中間選挙に向け、インフラ投資を減税に続く「実績」にしたい考えだ。米政府高官によると、連邦政府の支出２千億ドルのうち１千億ドル（約１１兆円）は、地方政府や民間による投資を促すための補助金とする。また、州政府の判断で決められる地方インフラ整備のために５００億ドルを拠出するほか、インフラ計画の許認可にかかる期間を２年間に短縮する。米政府によると、米国の主要インフラに占める連邦政府の資金は１４％で、残りの８６％を地方政府と民間が出している。米政府のお金を「呼び水」として、残りを地方政府のお金でまかないたい考えだ。ただ、今後１０年間で１・５兆ドル規模の減税や予算の増額で、連邦政府の財政赤字は大幅に増えるとみられている。米政府の財政悪化懸念は、金利上昇など最近の市場の混乱の要因にもなっており、財源が問題となりそうだ。（ワシントン＝五十嵐大介）"
"トランプ政権の高官２人、元妻へのＤＶ疑惑で相次ぎ辞任","2018年2月11日15時16分","国際,北米","トランプ米政権の高官２人が、元妻への家庭内暴力（ＤＶ）疑惑で相次いで辞任した。米紙ニューヨーク・タイムズは９日、この混乱を巡って、ホワイトハウスを支える要のケリー大統領首席補佐官までも周囲に辞意を漏らしたと報じた。米メディアによると、２人の元妻からＤＶ被害を訴えられていたホワイトハウスのポーター秘書官が７日に辞任を表明。さらに、同様に元妻からＤＶ被害を訴えられた大統領のスピーチライターのソレンセン氏も９日、辞任した。ポーター氏の疑惑を巡って、元米海兵隊大将で政権内に軍隊式の秩序をもたらそうとするケリー氏は当初、「誠実で信頼できる」と擁護。しかし、米メディアは、ケリー氏がポーター氏のＤＶ疑惑を昨年から把握していたのに、適切に対応しなかったと批判した。ケリー氏は周囲に、トランプ大統領が責任を取るよう求めるなら、喜んで辞任する用意があると漏らしたという。ただ、関係者によると、ケリー氏の辞任は差し迫ったものではなく、辞表も出ていない。トランプ氏は９日、記者団に対し、辞任したポーター氏の疑惑を「知ったのは最近」と主張。その上で「ポーター氏は勤勉で、ホワイトハウスでとても良い仕事をした。今後の活躍を祈る」と述べた。（ワシントン＝土佐茂生）"
"トランプ氏、ロシア疑惑の民主党側メモは公開せず","2018年2月10日19時39分","国際,北米,有料記事","ロシア疑惑を巡る米連邦捜査局（ＦＢＩ）の機密文書を巡り、トランプ大統領は９日、捜査手法を擁護する民主党作成の極秘メモの公開を承認しないことを決めた。同じ文書に基づき、共和党が作ったＦＢＩ批判の極秘メモは積極的に公開を承認している。恣意（しい）的な判断に民主党からは批判の声が高まっている。ロシア疑惑の極秘メモ公開　トランプ氏、ＦＢＩに対抗ホワイトハウスは、マクガーン法律顧問が下院情報委員会に宛てた書簡を公表。その中で「トランプ大統領は公開したいと思っているが、メモは多くの機密情報を含み、大統領は公開を承認できない」とした。民主党が作ったメモは、ＦＢＩの捜査手法を擁護するものだとされる。トランプ氏は、ロシア疑惑の捜査が公平でないことを印象付けようとする動きを強めており、民主党側からの異議を封印した形だ。民主党下院トップのペロシ院内総務は声明で「公開拒否はロシア疑惑に関し、驚くべき真実の隠蔽（いんぺい）だ」と批判した。一方でトランプ氏は、自身に近い共和党のニューネス下院情報委員長が作った極秘メモの公開については、２日に承認。メモは２０１６年の大統領選で、司法省とＦＢＩがトランプ陣営幹部への通信傍受に際し、令状の取得方法が不適正だったと主張している。司法省とＦＢＩは公開に猛反対。ＦＢＩは内容が不正確だとして「重大な懸念がある」と異例の声明も出した。しかし、トランプ氏は反対を押し切って公開を承認。「多くの人間が恥を知るべきだ」と断じた。（ワシントン＝杉山正）"
"トランプ氏と金正恩氏そっくりさんが…五輪開会式混乱","2018年2月10日11時55分","国際,アジア・太平洋,北米,スポーツ,ウインタースポーツ,平昌五輪","９日にあった平昌（ピョンチャン）冬季五輪の開会式で、アメリカ選手団の入場行進中にハプニングが起きた。ドナルド・トランプ米大統領と、北朝鮮の金正恩（キム・ジョンウン）朝鮮労働党委員長の「そっくりさん」が報道関係者席に突然現れ、スマートフォンをかざす人々が集まるなどして混乱した。写真特集：平昌オリンピック開会式特集：平昌オリンピック偽者のトランプ氏は、「ＵＳＡ」と記された赤い帽子に、赤いネクタイのスーツ姿。偽者の金正恩氏は、独特のヘアスタイルに眼鏡姿で登場。「本物」の２人は式に来ておらず、米側はペンス副大統領が出席。北朝鮮側は金正恩氏の実妹、金与正（キム・ヨジョン）氏が出席していた。大会運営本部によると、２人は関係者席に入るためのＩＤカードを持っていなかったため、警備中のスタッフに会場外へ連れ出されたという。２人が何者なのかについては「現時点では分からない」としつつ、「有名なコメディアンではないようだ」としている。（藤田太郎）"
"トランプ氏、豪大使に太平洋軍司令官指名　対中強硬派","2018年2月10日10時38分","国際,北米","トランプ米大統領は９日、在日米軍を統制下におく米太平洋軍トップのハリー・ハリス司令官（海軍大将）をオーストラリア大使に指名する人事を発表した。軍の最高幹部を重要な同盟国の大使に据えることで、政権がアジア太平洋地域を重視している姿勢を示す狙いがあるとみられる。ホワイトハウスが９日に出した声明文では、ハリス氏について「絶大な知識と指導力をもち、インド洋・太平洋地域の地政学にも精通した海軍士官」と評価した。就任には上院の承認が必要となる。ハリス氏は対中強硬派として知られる。２０１６年１月の講演で、中国が領有権を主張する尖閣諸島（沖縄県）について「尖閣諸島が中国から攻撃されれば、米軍は疑いもなく尖閣諸島を防衛する」と明言。米国は尖閣諸島が日米安全保障条約の適用対象になるとの立場をとっていたが、ハリス氏は中国を名指しして牽制（けんせい）した。また、中国が人工島を造った南シナ海でも、人工島の近くを米艦船が横切る「航行の自由作戦」を積極的に実施した。ハリス氏は、横須賀生まれの日系人。１９７８年に米海軍兵学校を卒業し、イラク戦争などにも参加。オバマ前政権時の２０１５年、太平洋軍司令官に任命された。アジア系米国人では米海軍で最高位の階級にあった。（ワシントン＝土佐茂生）"
