"title","date","tags","article"
"リオのカーニバル最高潮　危機乗り越え、名門がパレード","2018年2月12日19時12分","国際,中南米","華やかな踊りで知られるブラジル・リオデジャネイロのカーニバルは１１日夜、レベルが最も高い名門チームによる恒例のパレードが始まった。今年は深刻な不況の影響などで市の補助金が半減。民間企業の協賛金を得て、何とか例年通りの開催にこぎ着けた。地元メディアは「危機の中のカーニバル」と報じている。昨年就任したクリベラ市長は、不況の影響や教育予算のためとして、各名門チームへの補助金を、昨年の年間計２００万レアル（約６６００万円）から年間計１００万レアルに削減した。一時は、一部のチームが参加を見送りかねなかった。高い入場料が必要なパレード会場に外国人観光客が集まる一方、市民の間では「ブロッコ」と呼ばれる路上パーティーの人気が高まっている。昨年は計約６００万人が参加。１１日も市内各地で仮装した市民らが踊ったりビールを飲んだりして楽しむ姿が見られた。（リオデジャネイロ＝田村剛）"
"ブラジル元大統領、禁錮１２年１カ月の二審判決","2018年1月25日11時36分","国際,中南米","ブラジルで２０１０年までの２期８年にわたり大統領を務め、収賄と資金洗浄の罪に問われたルイス・イナシオ・ルラ・ダシルバ被告（７２）に対する控訴審判決が２４日、同国の連邦控訴裁判所であった。裁判所は禁錮９年６カ月とした一審判決を変更し、禁錮１２年１カ月の判決を言い渡した。ルラ元大統領には異議申し立てが認められており、異議に対する最終決定が出た時点で身柄を拘束される見通しだ。ルラ元大統領はかつて国を高度成長に導き、８割以上の支持率を誇ったカリスマ的指導者。今年１０月の大統領選への出馬を表明し、世論調査では支持率で首位を走っているが、二審での有罪判決を受け、法の規定により出馬の道が閉ざされる可能性が濃厚になった。判決によると、ルラ元大統領はブラジルの建設大手ＯＡＳ社から０６～１２年、国営石油会社との契約を世話する見返りに、サンパウロ近郊の海沿いにある豪華マンションやその改修費など計２２０万レアル（約７６００万円）相当の賄賂を受け取った。同国南部ポルトアレグレの裁判所で言い渡された判決は、３人の裁判官全員一致の意見。裁判官らは量刑を重くした理由について、大統領でありながら汚職の主導的立場にあったとして「責任は極めて重い」と指弾した。ルラ元大統領の汚職疑惑は、１４年に発覚した政財界の大規模な汚職事件の捜査の中で司法取引に応じたＯＡＳ元社長が供述。ルラ元大統領は「利益供与は受けていない」と一貫して否認してきた。ルラ元大統領は他にも、収賄や捜査妨害などの罪で６回にわたって起訴されており、今後、裁判が本格化する。ルラ被告は０３年、中道左派の労働党政権の初代大統領に就任。１４年のサッカー・ワールドカップや１６年のリオデジャネイロ五輪の招致を成功させた。貧困を削減し、国を高成長に導いたとして世界的に高い評価を得たが、１６年に発覚した同氏を巡る汚職疑惑で国民の批判が高まり、後継者のルセフ元大統領を罷免（ひめん）する弾劾（だんがい）裁判を加速させた。（サンパウロ＝田村剛）"
"「倹約」公約の大統領、公費でシャンプー・ビタミン剤…","2018年1月23日14時35分","国際,中南米","「汚職撲滅」や「倹約」を訴えて喜劇俳優から転身した中米グアテマラのジミー・モラレス大統領が、日用品や個人的なプレゼントを公費で買っていたことが明らかになり、国内に批判が広がっている。２０１７年には４万ドル（約４４０万円）以上を計上していた。グアテマラは国民の約６割が貧困状態にあるとされ、教育や格差是正に使うべきだとの声が出ている。報道によると、モラレス氏はスポーツウェアやマッサージ、シャンプー、ビタミン剤、クリーニングなどの費用を経費に計上。ウイスキーや花、絵画など贈答品の費用も含まれていた。同氏の月給は約２万ドル（約２２０万円）で、中南米の首脳で最高額という。「個人的な支出に公費を使うべきではない」との批判に対し、政府は「それぞれに領収書があり、違法性はない」と説明している。グアテマラでは５９・３％の国民が貧困状態にあり、２３・４％は極貧状態。貧富の格差が大きく、５歳以下の子の約半数が慢性的な栄養不良状態にあるとされる。１５年、大規模な汚職に関与した疑いで逮捕状が出されたペレス元大統領が辞任。喜劇俳優だったモラレス氏は「汚職撲滅」を掲げて当選した。だが１６年の就任後は、自らの選挙不正の可能性を指摘した国連の国際委員会委員長に国外退去を命令。軍から６万ドル（６６０万円）のボーナスを不正に受け取ったことも発覚するなど、国民の間に不信感が高まっている。（サンパウロ＝田村剛）"
"ローマ法王、飛行機で挙式「ここでしてあげましょうか」","2018年1月19日20時30分","国際,中南米","チリを訪れていたローマ・カトリック教会のフランシスコ法王が１８日、飛行中の機内で、乗務員２人の結婚式を急きょ執り行った。２０１０年２月にあったチリの大地震で、教会での挙式が延期になったままの２人に、法王が自ら提案したという。地元紙は、法王が機内で結婚式を行うのは初めてだと伝えている。挙式した２人はカルロス・シウファルディさん（４１）とパウラ・ポデストさん（３９）。ともに地元のラタム航空の乗務員で、法王が首都サンティアゴから北部イキケに向かう便に添乗していた。８年前に婚姻届を出し、すでに娘が２人いるが、ずっと教会での挙式を望んでいたという。大地震で教会が倒壊し、結婚式が延期になったことを２人が伝えると、法王が「ここで結婚式をしてあげましょうか」と提案。同乗していた航空会社幹部が立会人を務め、機内前方で短い式を挙げた。結婚証明書もその場で作成。法王は２人に「歴史に残る結婚式だ」と語ったという。パウラさんは「夢のようです」と感激。「つきあい始めたのは１０年前。私は機内で彼の上司でしたが、今は家庭でも上司です」と冗談を言う場面もあった。報道によると、ローマ法王庁はこの結婚式について「正式で有効」と説明しているという。（サンパウロ＝田村剛）"
"フジモリ元大統領が退院　不整脈の症状は続く","2018年1月18日09時54分","国際,中南米","恩赦で釈放された後、不整脈の再発で今月１４日から入院していた南米ペルーのアルベルト・フジモリ元大統領（７９）が１６日、首都リマ市内の病院を退院した。不整脈の症状が続いており、改めて健康診断を受けていたという。地元メディアが伝えた。主治医によると、「順調に回復しているが、まだ不整脈の症状が見られる」という。フジモリ氏は昨年１２月下旬にも似た症状で入院し、恩赦決定後の今月４日に退院したばかりだった。フジモリ氏は軍による民間人殺害などの現職時代の罪で禁錮２５年の刑が確定。高血圧やうつ症状などで体調を崩し、昨年１２月２４日に健康状態の悪化を理由に恩赦が与えられるまで入退院を繰り返していた。（サンティアゴ＝田村剛）"
"ローマ法王「苦悩と恥辱」　聖職者の性的虐待に謝罪","2018年1月17日20時21分","国際,中南米,有料記事","南米チリを訪問しているローマ・カトリック教会のフランシスコ法王は１６日、過去に聖職者が起こした子どもへの性的虐待事件について触れ、「苦悩と恥辱の気持ちを表明せずにいられない」と謝罪を述べた。非公開の場で少数の被害者らとも面会した。同国では複数の虐待事件の発覚でカトリックの威信が失墜。法王の訪問に対する抗議デモも起きている。厳戒態勢のなか、１６日には抗議デモに参加した市民ら少なくとも５０人が治安当局に拘束された。この日までに手製の爆発物などで９カ所の教会が攻撃される事件も起き、「次は法王を攻撃する」と名指しで脅迫する文書も見つかっている。首都サンティアゴの大統領府で最初のあいさつをした法王は、「聖職者たちが子どもたちに与えた償いようのない苦痛について、苦悩と恥辱の気持ちをここで表明せずにはいられない」と謝罪。「犠牲者を全力で支援し、二度と起こらないよう努力する」とも語った。また被害者から直接話を聞き、一緒に祈ったり、涙を流したりしたという。カトリック聖職者による子どもへの性的虐待は世界中で問題化。チリはその中でも波紋が大きい国の一つだった。報道によると、２０１０年に聖職者による少年たちへの性的虐待事件が発覚。他にも聖職者約８０人が訴えられている。フランシスコ法王は厳しい姿勢で臨む方針を示しているが、「対応が甘い」と批判の対象になってきた。世論調査によると、チリのカトリック信者は１９９５年の７４％から昨年には４５％まで低下。教会への信頼度も昨年、中南米諸国で最下位だった。１３年の就任以来、アルゼンチン出身の法王が中南米を訪れるのは６度目だが、抗議が相次ぐのは異例だ。今回は１５～２１日の日程でチリとペルーを歴訪する。（サンティアゴ＝田村剛）"
"建設中のつり橋が崩落、１０人死亡　コロンビア","2018年1月16日21時59分","国際,中南米","南米コロンビアの首都ボゴタ近郊で１５日、建設中のつり橋が崩落し、ＡＰ通信などによると建設作業員１０人が死亡した。現場はボゴタから１００キロの山あい。橋は長さ約４５０メートルで高速道路の一部として建設が進んでいたが、空中で真っ二つに折れた。地元当局によると、原因は調査中で作業員は当時、橋の排水設備の工事をしていたという。"
"フジモリ元大統領、不整脈再発で入院　恩赦受けたばかり","2018年1月15日11時50分","国際,中南米","禁錮２５年の受刑中に健康状態の悪化を理由に恩赦を与えられ、釈放された南米ペルーのアルベルト・フジモリ元大統領（７９）が１４日、不整脈の再発で首都リマ市内の病院に入院した。昨年１２月下旬にも似た症状で入院し、恩赦決定後の今月４日に退院したばかりだった。改めて健康診断を行うという。地元メディアによると、フジモリ氏はリマ市内の自宅から、国会議員の次男ケンジ氏に付き添われて車で病院に搬送された。主治医は記者団に「（今月４日の）退院後は順調に回復してきたが、完全に安定していたわけではなかった」と語り、健康状態を詳しく検査し直す考えを示した。フジモリ氏は軍による民間人殺害などの現職時代の罪で禁錮２５年の刑が確定。リマ郊外の警察施設に収監されていたが、高血圧やうつ症状で体調を崩し、昨年１２月に恩赦が与えられるまで入退院を繰り返していた。（サンパウロ＝田村剛）"
"父の恩赦、だんらん写真の裏で…　フジモリ家でお家騒動","2018年1月14日05時02分","国際,中南米,有料記事","軍による民間人殺害など現職時代の罪で禁錮２５年の刑が確定し、受刑中だった南米ペルーのアルベルト・フジモリ元大統領（７９）への恩赦が、さまざまな波紋を広げている。最大野党党首である長女ケイコ氏（４２）と、同党の国会議員である次男ケンジ氏（３７）の間の対立が鮮明化。街頭では親フジモリ派と反フジモリ派がデモを繰り返している。（リマ＝田村剛）ペルーのフジモリ元大統領に恩赦　健康状態が悪化「人生の新たな段階にいる父を迎えられて、私たちはとても満足」。恩赦を受けたフジモリ氏が入院先の病院を退院した翌日の５日、ケイコ氏はきょうだい４人で父を囲んだ写真と共にそんなメッセージをツイッターに投稿した。だが一家だんらんをアピールする姿の裏で、お家騒動が起きている。首都リマの警察施設に収監されていたフジモリ氏に対し、健康状態の悪化を理由にクチンスキー大統領が恩赦を与えたのは昨年１２月２４日。フジモリ氏は退院後、リマ市内の借家に移った。暮らしぶりを知る関係者によると、家は大きいが、部屋はベッドがあるだけで質素だという。恩赦に対する批判を心配してか、メディアの取材には一切応じていない。「状況が落ち着くのを望む」と話しているという。恩赦実現の「功労者」とされるのがケンジ氏だ。汚職疑惑が浮上したクチンスキー大統領に対し、ケイコ氏が率いる最大野党「フエルサ・ポプラル」は罷免（ひめん）決議案を提出した。だがケンジ氏ら同党議員１０人が採決を棄権。大統領の窮地を救う代わりに、恩赦を引き出したとみられている。フジモリ氏は、現職時代の貧困対策やテロ撲滅で根強い人気を保つ一方、「汚職」「独裁」といった負のイメージも強い。反フジモリ派の批判を浴びて大統領選で２度惜敗したケイコ氏は、これまで政治の場で父親の解放を求めない姿勢を貫いてきた。一方、ケンジ氏は「父を自由にすることが政治目標だ」と明言。党首である姉に背く形で恩赦決定を勝ち取った。党は恩赦を歓迎しながらも、タイミングや方法は「適当でなかった」との考えを示した。党の報道担当は「ケンジの目標は父の解放にとどまらず、大統領になることだ」と批判。ケイコ氏に代わって、自ら立候補する道を模索しているとの見方を示した。一院制の国会（１３０議席）でフエルサ・ポプラルは７１議席で最大勢力。だが党関係者は「ケンジ派が分裂すれば、最大で２０人以上がケンジ氏を追って離党しかねない」と危ぶむ。フジモリ氏と親しい関係者によると、フジモリ氏自身はきょうだいの対立を心配しているといい、「いつも一つに団結しなくてはいけない。私が２人を助ける」と話しているという。父の復帰　元側近「難しい」かつて権力の座を追い求めたフジモリ氏。政界復帰はあるのか。フジモリ氏の現職中、５年間にわたって秘書を務めたホセ・カミヤ氏は「健康や年齢的に政治活動は難しい」と断言する。「ただ、人々の記憶の中でフジモリ氏はまだ強い影響力を持っている。党の顧問のような役職を務めることはあり得る」という。フジモリ氏を現職時代から支え、国会議長も務めたルス・サルガド議員は「フジモリ氏が歴史的なリーダーなのは間違いない。だが党をまとめ上げたのはケイコ。党は今後もケイコのもとでまとまっていくだろう」と語る。ただ、ケンジ氏の動向は不確定要素だ。世論調査会社イプソス・ペルーのアルフレド・トレス社長は「健康状態を理由に恩赦を与えられた以上、たとえできたとしても精力的な政治活動は難しい。恩赦に抗議する勢力に批判の口実を与えることにもなる」と指摘する。発展と強権　ペルー二分「フジモリは最高の大統領だった！」。リマ中心部で１２日、フジモリ氏の恩赦を祝う市民数千人が声を合わせて練り歩いた。参加した女性（７０）は「田舎の町に電気や水を引き、農民にトラクターの使い方を教えた。フジモリのおかげで生活がとても良くなった。今も心から感謝している」。最新の世論調査によると、国民の５２％が恩赦決定を支持している。一方で、反対も根強い。１１日には同じ場所で、恩赦に抗議するデモが行われた。フジモリ政権下、軍による民間人殺害事件で夫と息子を失ったロサ・ロハスさん（５２）は「恩赦は遺族の心の傷を再び呼び起こした。絶対に認められない」と涙を流して訴えた。恩赦を決めたクチンスキー大統領も、強い批判を浴びている。２０１６年の大統領選では、反フジモリ票を取り込んでケイコ氏に競り勝った。デモでは「クチンスキーはやめろ」「裏切り者」との声も上がった。引き続き厳しい政権運営を迫られそうだ。"
"大使館に逃亡のアサンジュ氏に国籍付与　エクアドル外相","2018年1月12日12時46分","国際,中南米,ヨーロッパ","南米エクアドル政府は１１日、内部告発サイト「ウィキリークス」代表のジュリアン・アサンジュ氏（４６）に対して、昨年１２月にエクアドル国籍を与えたと発表した。保釈中に逃亡した同氏は拘束を逃れるため、英国のエクアドル大使館に駆け込み、５年半にわたって「籠城（ろうじょう）」していた。ＡＦＰ通信などが伝えた。エクアドルのエスピノサ外相は首都キトでの記者会見で、人道的観点から国籍を付与したと説明、アサンジュ氏を外交官として認めるよう英国に要請していたが却下されたと明らかにした。出国方法については「検討している」と述べた。オーストラリア出身のアサンジュ氏はスウェーデンでの性的暴行容疑による同国への身柄移送から逃れるため、保釈中の２０１２年６月にロンドンのエクアドル大使館に逃亡。スウェーデン検察は昨年５月、アサンジュ氏に対する捜査を中止したと発表したが、アサンジュ氏には英国の裁判所の出頭命令に従わなかった容疑での逮捕状が出ており、ロンドン警視庁は逮捕する方針を変えていない。大使館を一歩外に出れば拘束されるため、アサンジュ氏は館内にとどまっている。英外務省は声明を発表し「問題を解決する方法は、アサンジュ氏が大使館を出て司法と向き合うことだ」とした。"
