"title","date","tags","article"
"大雪続く北陸、福井北部で休校相次ぐ　ＪＲ特急も運休","2018年2月13日12時03分","社会,災害・交通情報","１３日も日本海側を中心に大雪となり、学校の休校や鉄道の運休が相次いだ。１４日は冬型の気圧配置が緩み、雪は弱まる見通しだ。福井県北部では６日から休校していた小中学校、高校の多くが１３日から再開予定だったが、前夜から激しい雪が降り続き、休校が続出した。県教育委員会によると、１３日午前９時時点で小学校８８校、中学校３０校、県立高校２３校が休校した。福井市の積雪は午前９時現在で１０９センチになる。ＪＲ西日本によると、特急「サンダーバード」（大阪―金沢）と特急「しらさぎ」（名古屋・米原―金沢）が１３日は終日運休する。在来線は北陸線の敦賀―福井間で始発から運休し、福井―金沢間でも一部列車で運転を取りやめている。空の便も、小松空港を発着する一部の便で欠航が出ている。"
"除雪作業の事故相次ぐ　広範囲で大雪、１３日も警戒必要","2018年2月12日19時15分","社会,事件・事故・裁判,災害・交通情報","上空に強い寒気が入り込んだ影響で１２日、日本海側を中心に広い範囲で大雪となった。１３日も強い冬型の気圧配置が続く見通しで、気象庁は大雪やなだれへの警戒を呼びかけている。山形県大蔵村の肘折では、１２日午後４時までの２４時間の降雪量が９９センチを記録。同５時、積雪は過去最深の４１６センチに達した。除雪作業中の事故が各地で相次いだ。宮城県加美町では１２日午前１０時１０分ごろ、町道を歩いていた柳川真砂子さん（８７）が、バックしてきた除雪作業の重機車にはねられて死亡した。県警は、運転していた同町の設備工事業中島吉悦容疑者（６９）を自動車運転死傷処罰法違反（過失運転致死）容疑で現行犯逮捕し、発表した。「確認したが、歩行者はいないと思った」と述べている。署によると、事故当時、雪はほとんど降っていなかったが路面は圧雪状態でセンターラインや路側帯が見えにくかったという。新潟県十日町市倉俣の用水路（水深約３０センチ）では同日朝、近くの農業高野新平さん（９０）が倒れているのが見つかり、死亡が確認された。現場周辺は１メートル以上の雪が積もっていたという。県警は、高野さんが雪かき中に足を滑らせて転落した可能性があるとみている。同日午前９時半ごろには同県長岡市宮沢の集水升で近くの小熊矢代江さん（６２）が沈んでいるのが見つかり、死亡が確認された。現場は自宅前の用水路の約４０メートル下流。小熊さんは前日の夕方に雪かきに出てから自宅に戻っておらず、消防が捜索していた。同市富島町では午後４時ごろ、近藤充さん（７８）が自宅前で倒れているのが発見された。首の骨が折れており、搬送先で死亡が確認された。県警は、雪下ろしの際に屋根から転落したとみて調べている。同県燕市内では１２日午前８時４０分ごろ、ＪＲ越後線の東三条発寺泊行き普通列車（３両）が車両の下に雪を抱え込み立ち往生した。ＪＲ東日本によると、乗客は２人で、約１時間半後にＪＲが手配したタクシーに乗り換えたという。"
"日本海側、再び大雪の恐れ　車立ち往生など注意呼びかけ","2018年2月11日16時43分","社会,災害・交通情報","冬型の気圧配置が強まり、記録的な豪雪に見舞われた北陸など、北日本から西日本の日本海側を中心に、１３日ごろにかけて再び大雪の恐れが強まっている。気象庁などは、車の立ち往生や、交通機関の乱れ、雪崩などの被害に注意するよう呼びかけている。気象庁によると、１１日は低気圧が本州の東側へ移動して冬型の気圧配置が強まっている。１２日には北陸地方の上空約５千メートルに零下３６度以下、北日本の上空約５千メートルには零下４２度以下の寒気が流れ込み、１３日にかけて日本海側を中心に大雪となる恐れがあるという。１２日午後６時までの２４時間に予想される降雪量は、いずれも多いところで、北陸地方８０センチ、東北地方６０センチ、東海地方５０センチ、北海道と近畿地方４０センチなど。１２日午後６時から１３日午後６時までの２４時間では、北陸地方で６０～８０センチなどの降雪が予想されている。非常に強い風も予想される。北陸地方では、１２日にかけて最大風速２０メートル、最大瞬間風速は３０メートルと予想されており、海上は大しけになる見込み。１１日午後３時現在、福井市で７９センチ（平年１９センチ）、金沢市で３６センチ（同１３センチ）と、平年の３～４倍近い雪が残っている状況だ。今後さらに降雪が予想されることから、気象庁では大雪や路面凍結による交通障害、ふぶき、雪崩などに注意を呼びかけている。"
"九州新幹線が一時運転見合わせ　架線に障害物","2018年2月11日16時15分","社会","ＪＲ九州によると、１１日午後３時ごろ、九州新幹線の新鳥栖―久留米間で架線に障害物が見つかり、同区間で一時、運転を見合わせたが、午後３時５０分ごろに再開した。架線の電気を止め、引っかかっていたビニールを撤去したという。上下線に遅れが出た。"
"北陸や近畿北部、１２～１３日に大雪のおそれ","2018年2月10日22時43分","社会,災害・交通情報","１１日から西日本の上空に強い寒気が流れ込み、再び冬型の気圧配置が強まる見込み。北陸や近畿北部では１２～１３日を中心に大雪のおそれがあるという。気象庁によると、北陸では１０日、全域で雨が降った。１０日午後８時現在の積雪は、福井市９７センチ、金沢市４８センチ、富山市３６センチなど。１１日午後６時までの２４時間に予想される降雪量は、福井、石川、富山の各県で３０センチになっている。山沿いなどでは雪崩にも警戒が必要という。同庁は「比較的雪が少ないとみられる１１日のうちに、安全を確認して除雪を進めてほしい」と呼びかけている。福井県災害対策本部によると、６～７日に県内で３人が雪の影響で死亡。いずれも雪に埋もれた車内から心肺停止の状態で見つかった。屋根の雪下ろし中に転落するなどしてけがをした人は５～１０日で重傷１２人、軽傷３６人。一方、国道８号などの除雪にあたっていた陸上自衛隊は１０日、任務を終えた。"
"南海トラフ地震、３０年以内「７０～８０％」　最新予測","2018年2月9日21時51分","社会,災害・交通情報","政府の地震調査委員会は９日、静岡県から九州沖合にかけての南海トラフ沿いでマグニチュード（Ｍ）８～９級の大地震が３０年以内に起こる確率が「７０～８０％」に高まったと発表した。毎年の数値の更新によるもので、震源域に特別な変化はないという。南海トラフ地震の被害想定地震の発生確率は、過去の発生間隔と直近の地震からの経過年数で計算し、毎年少しずつ高まる。南海トラフ地震は平均間隔の８８年と、１９４４～４６年の昭和東南海・南海地震からの経過時間を使って計算し、毎年約１％ずつ上昇。最大確率が７４・２％だった昨年は「７０％程度」の表記だったが、今年１月１日時点で７５・３％になり、四捨五入すると最大で「８０％」の表記になったという。また北海道・根室沖でＭ７・８～８・５の地震が３０年以内に発生する確率も、昨年時点の７０％程度から、８０％程度に上昇した。委員長の平田直・東京大教授は「大きく値が変わったわけではないが、次の地震に少しずつ近づいていることを表している。起きる可能性を忘れずに備えていただきたい」と話す。（竹野内崇宏）"
"大江戸線、不具合の原因は配線の接続不良　当面遅れ残る","2018年2月9日19時47分","社会","車両の進路を変える転轍（てんてつ）機（ポイント）の不具合の影響で運転本数が半分ほどに減っていた都営大江戸線は、午後２時１５分ごろに不具合が解消した。運行本数は徐々に増えているが、当面は遅れが残る見通しという。都営大江戸線、一部で運休や遅れ　夜間の作業が影響都交通局によると、光が丘駅（東京都練馬区）付近でポイントを新型に交換する作業を夜間にしたところ、正常に作動しなくなった。不具合の原因は、配線の接続不良だったという。"
"福井県、自衛隊に線路の除雪など追加で要望","2018年2月9日17時05分","社会,災害・交通情報,福井,有料記事","災害派遣の要請を受け、国道８号で発生した車両の立ち往生の解消に向けて除雪作業をしてきた陸上自衛隊に対し、福井県は９日、線路の除雪などの新たな活動内容を要望した。【タイムライン】北陸の大雪被害大雪の影響で鉄道の運行に支障が出ていることから、第１４普通科連隊（金沢市）と第３７２施設中隊（福井県鯖江市）が、えちぜん鉄道と福井鉄道の除雪を支援する。えちぜん鉄道は松岡駅と永平寺口駅の構内、福井鉄道は新木田交差点の周辺と北府駅から越前武生駅間の線路と各駅構内。ラッセル車が使えない場所を人力で除雪するという。福井県災害対策本部の担当者は「市街地だけでも病院に行けるようにしたい。人命救助の観点からお願いした」と話した。また、除雪車の燃料が不足していることから、第１０後方支援連隊（名古屋市）が、福井県永平寺町内のガソリンスタンド１カ所に除雪車用の軽油を補給するという。"
"「早く除雪を」　福井市に２千件近い問い合わせ","2018年2月9日16時03分","社会,災害・交通情報","豪雪に見舞われた福井市で、市道の除雪を担当する市道路課に「自宅前が除雪されていない」「早く除雪して」などの問い合わせが２千件近く寄せられている。【タイムライン】北陸の大雪被害福井市の市道の総延長は約２１３０キロ。計画では、除雪機械が入れない場所などを除いた約１７９６キロを除雪する予定になっている。しかし、除雪車の燃料となる軽油が不足しているうえ、雪捨て場まで移動するのに時間がかかり、住宅街の生活道路を中心に作業が追いついていない状態という。"
"北陸豪雪、戻る日常に「ひと安心」　配送や特急列車再開","2018年2月9日15時50分","社会,災害・交通情報","記録的な豪雪に見舞われた福井県の国道８号は９日未明、車両の立ち往生が解消された。石川県加賀市から福井市までの間の通行止めは同日午前５時に解除となり、滞っていた物流は回復する見通し。ただ、週末に再び大雪になる恐れもあり、気象庁は注意を呼びかけている。【特集】北陸・福井の大雪被害を時系列で気象庁によると、９日午前１１時現在の積雪は福井市１２４センチ、金沢市６７センチ、富山市５２センチ。北陸地方の雪はいったん落ち着き、高気圧に覆われるため気温が上がる見込み。１０日には雨になるところもあるとみられ、融雪による洪水や雪崩に注意が必要という。１１～１２日は冬型の気圧配置が強まり、再び荒れた天気となる可能性がある。国道８号の立ち往生は６日に発生。福井県あわら市や坂井市を中心に最大約１５００台が巻き込まれた。災害派遣要請を受けた陸上自衛隊や国土交通省の職員らがスコップで１台ずつ車両の周りの雪をかき出し、自力脱出できなければ重機で引っ張り出した。ＪＲ西日本は９日朝、大阪―金沢間などで特急の運行を４日ぶりに再開。一部は運休しており、通常ダイヤに戻るのは１０日以降になるという。空の便は、小松空港で一部を除いて４日ぶりに運航が再開された。物流も復活しつつある。県北部の一部のスーパーでは食料品が届かない状況が続いていたが、９日朝から全店舗への配送が可能になったという。県北部でスーパー５店舗を展開する平和堂（滋賀県）の広報担当者も「生鮮食品や加工品もお届けできると聞いており、ひと安心しています」と話す。ガソリンスタンドへの燃料油の供給も徐々に改善する見込み。県北部の２３０店のうち、８日に燃料油が届いたのは１９店にとどまっていたが、９日には８２店に供給される予定という。週末には再び大雪が予想され、現地は除雪に追われている。福井市道路課には「自宅前を早く除雪して」などの電話が２千件近く殺到。ただ、除雪車の燃料となる軽油の不足や、雪捨て場への移動に時間がかかり、住宅街の生活道路を中心に作業が追いついていないという。"
