"title","date","tags","article"
"菅長官「圧力かけ続け、政策を変えさせる」　対北朝鮮","2018年2月13日12時23分","社会,政治,国際,アジア・太平洋","ペンス米副大統領が米紙ワシントン・ポストのインタビューで、米朝対話の可能性を示唆したことを受け、菅義偉官房長官は１３日午前の記者会見で、「圧力をかけ続け、北朝鮮に政策を変えさせることに全力で取り組んでいく。この基本姿勢はまったく変えるつもりはない」と述べた。菅氏は、北朝鮮が６者協議の共同声明に盛り込まれた核放棄を実行しなかったことなどにも触れ、「北朝鮮との対話を主張する向きもあるが、対話のための対話ではまったく意味がない」と強調した。"
"半蔵門、青山…東京の地名、愛知・岡崎と縁　家康の故郷","2018年2月13日12時23分","社会,その他・話題,カルチャー,ひと・歴史","愛知県岡崎市には「江戸のふるさと岡崎」というフレーズがある。岡崎生まれの徳川家康が関東に移り、江戸幕府を開いたからだ。実は、岡崎は家康以外にも江戸（東京）とのつながりがある。（大野晴香）家康家臣の三河武士たち約２６０年続いた江戸幕府を開いた家康は１５４２（天文１１）年、岡崎城で生まれた。幼少期と、桶狭間の戦いをきっかけに今川家の人質から解放された後の１０代後半から２０代の青年時代を、ここで過ごした。その後、浜松や駿府に居城を移したが、三河（愛知県）を治め続けた。９０（天正１８）年に関東に移ると、江戸の街づくりに力を入れた。新宿、半蔵門、青山――。東京２３区に今も残る地名や呼称が、岡崎と深い関わりがある。桜の名所で知られ、首相主催の「桜を見る会」が開かれる新宿御苑。所在地の住所は東京都新宿区内藤町だ。「内藤」という地名が戦国時代、岡崎に住んでいた内藤清成という三河武士に由来している。家康は関東に移る際、三河から家臣たちを連れて行った。その１人の清成は、家康に仕え、岡崎では岡崎城のすぐ北側の大林寺（岡崎市魚町）の近くに屋敷を構えていたとされる。清成を巡っては、今も「駿馬（しゅんめ）伝説」が残る。江戸を本拠地にした家康は、清成が馬で駆けた範囲を領地で与えたとされ、広さは新宿一帯の２０万坪に及んだという。この領地には甲州街道ができた。新たな宿場町が作られ、「内藤新宿」と呼ばれるように。その町が、今の新宿の始まりだ。後の皇居となる江戸城の西側に置かれた「半蔵門」。甲州街道（現・国道２０号）につながっており、有事の際には将軍を甲州（山梨県）へ逃がすことを想定した。ここで将軍の安全を守る役割を担ったのが服部半蔵正成だ。正成は８２（天正１０）年の本能寺の変の際、堺にいた家康が伊賀（三重県）を通って三河に逃げた「伊賀越え」で護衛を務め、地元の伊賀者と交渉し助けを得た。正成も岡崎の生まれとされ、岡崎城がある今の岡崎市康生町のあたりに屋敷を構えていたとされる。意外性「興味持って」家康とともに関東に入った岡崎出身の三河武士をもう１人。青山忠成という人物がいた。岡崎市北部の百々（どうど）という地域の出身で、家康が幼少の頃から小姓として仕えた。関東では町奉行だった。与えられた屋敷地は現在の原宿、赤坂、渋谷のあたりまであったといい、高級ブランド店やブティックが並ぶ青山の地名の由来になっている。青山家が岡崎にあった名残があると、おかざき塾歴史教室主宰の市橋章男さん（６３）が史跡に案内してくれた。同市百々町。七所神社のほか、民家が並ぶ住宅街だ。その一角の丘に、亀の甲羅に大きな墓石を乗せたような形をした碑が建っていた。「青山府君碑」と刻まれている。ここには青山家が守っていた百々城があった。「主君がその土地を離れると、家臣たちは親族も含め、皆がその土地を出てついていくのがルールでした」岡崎商工会議所などは２００４年から、「江戸のふるさと岡崎」のキャッチフレーズで、岡崎市をＰＲしている。大都会・東京の土台を、岡崎ゆかりの武士たちが築いたという自負が、市民にはある。「こうした意外性で、もっと岡崎や三河武士に興味を持ってほしいですね」と、市橋さんは話す。"
"日韓合意「私にも厳しい批判」　安倍首相、文氏に伝える","2018年2月13日12時08分","社会,国際,アジア・太平洋","安倍晋三首相は１３日の衆院予算委員会で、韓国平昌で文在寅（ムンジェイン）大統領と会談した際、慰安婦問題に関する日韓合意について、「文大統領には、あの決断の際にも私に対して様々な厳しい批判があったことを伝えた」と明らかにした。首相は文氏に対し、合意に関する韓国内の批判を乗り越えるよう求めた形だ。慰安婦合意の履行は平行線　日韓首脳会談、弱い手応え【速報中】衆院予算委集中審議タイムライン自民党の柴山昌彦筆頭副幹事長の質問に答えた。首相は文氏に対し、「リーダーがある程度批判されることを含めて決断しなければ、未来志向の関係は築けないと申し上げた」と述べた。安倍首相の今回の訪韓に対しては、日本国内に反対論があった。首相はこれを念頭に「韓国及び北朝鮮に対し、我が国の立場を直接伝える観点からも、平昌五輪の盛り上がりを東京大会の成功につなげていく観点からも、大変有意義であった」と強調した。また、首相は平昌冬季五輪の歓迎レセプションで北朝鮮の金永南（キムヨンナム）・最高人民会議常任委員長と同席した際、拉致問題、核・ミサイル問題に関する日本側の考えを伝えた説明。「特にすべての拉致被害者の帰国を含め、拉致問題の解決を強く求めた」と述べた。１３日の衆院予算委は経済問題などに関する集中審議として行われた。１４日は外交・安全保障などをテーマにした集中審議がある。"
"さっぽろ雪まつり、来場１０万人減　インフルや五輪影響","2018年2月13日12時07分","社会,その他・話題,トラベル,まつり＆花火,北海道","冬の札幌名物「第６９回さっぽろ雪まつり」が１２日閉幕し、１３日から雪像の解体作業が始まった。実行委員会によると、開催が例年より１日延びたのに、来場者数は過去最多だった前回を約１０万人下回る２５４万３千人。インフルエンザの流行や平昌五輪の中継と重なったためとしている。大通公園では１３日朝、高さ１０メートルを超える大雪像が次々に崩され始めた。大型トラック約７００台分の雪を使い、２８日間かけて制作された人気ゲーム「ファイナルファンタジー」の大雪像もショベルカー２台であっというまに崩された。青森市から親子で訪れた星野拓真ちゃん（４）は「ずっと見ていたかったから壊すのはもったいない」と話した。解体作業は見学ツアーも組まれるほどの人気。大勢の見物客らが見入った。（今泉奏）"
"久屋大通公園、三井不動産代表のグループが再開発　愛知","2018年2月13日11時56分","社会,その他・話題,経済,産業・商品,政治,地方政治","名古屋市は１３日、名古屋テレビ塔を含む久屋大通公園（中区）北地区の再開発を担う事業者について、三井不動産を代表とする企業グループに決めたと発表した。五つの広場計１万平方メートルとテラスを設け、飲食店が入る施設を建てる。２０１９年１月にも工事を始め、２０年に完成する予定。【特集】名古屋駅、変わりゆく街企業側の提案によると、テレビ塔近くにステージを設置。トイレや駐輪場を増やし、電子看板も置く。市は都市公園法改正による規制緩和を受け、同公園の整備や運営を一括して任せる企業を公募していた。２７年のリニア中央新幹線開業を見据え、同公園を含む栄地区の魅力向上を図る。"
"無登録の仮想通貨交換業者に警告　改正資金決済法で初","2018年2月13日11時37分","社会,経済","金融庁は１３日、無登録で仮想通貨売買を勧誘するなどしたとして、「ブロックチェーンラボラトリー」（本社・マカオ）に対し、改正資金決済法に基づく警告を、昨春の同法施行後初めて出した。無登録なのに企業の仮想通貨による資金調達（ＩＣＯ）への勧誘や受け付けをネット上で行い、法令違反と認定した。即時の業務停止を求め、従わなければ刑事事件になる可能性もある。仮想通貨交換業者は登録制で、売買の媒介をする業者も登録が必要になる。国内の交換業者は登録された１６社と登録審査中の「みなし業者」１６社の計３２社。ただ、海外の業者がネット上で営業するケースがあり、金融庁はラボラトリー社も含めて１５社に照会状を出していた。"
"コインチェック、顧客の円出金再開　業務改善計画提出へ","2018年2月13日11時34分","社会,経済","仮想通貨交換業者「コインチェック」（東京都渋谷区）が顧客の仮想通貨ＮＥＭ（ネム）約５８０億円分を不正流出させた問題で、同社は１３日、金融庁に業務改善計画を提出する。再発防止策や経営体制の強化が盛り込まれる見通し。また同日、顧客から預かっていた日本円の出金を再開した。仮想通貨はまだ引き出せず、流出したＮＥＭの顧客約２６万人へ日本円で計４６３億円を返金する時期や方法も未公表だ。麻生太郎金融担当相は同日午前の閣議後会見で、「顧客保護の対応状況を十分に把握し、顧客保護が今後とも確実に確保されるように取り組む」と話した。不正流出は先月２６日に発生。金融庁は安全管理の不備などを問題視し、同２９日に業務改善命令を出して、その後立ち入り検査に入った。原因究明や顧客への対応、再流出を防ぐ安全対策などを求め、改善計画の提出期限を今月１３日とした。同庁は計画提出後も不十分な点は追加報告させる。また同社は１３日、顧客から預かった日本円の出金を再開した。埼玉県の会社員男性（４７）は１３日午前１０時過ぎ、入金していた約１５０万円が自分の銀行口座に戻ったのを確認した。「少ししか戻ってこないことも覚悟したのでとりあえずうれしい。（まだ預けている仮想通貨の）コインも動かせるようにしてほしい」と話した。同社は外部の専門家に安全性を検証してもらい、金融庁から出金の了解を得た。（榊原謙、末崎毅）"
"「２度死んだ」女装バー経営者、性的少数者の相談役に","2018年2月13日11時19分","社会,有料会員限定記事","亀井有希さん（３１）「３度目の人生を生きています」。東京・新宿で女装バーを経営する亀井有希さん（３１）の言葉だ。性別適合手術を受けるまでが最初の人生。２度目は、うつ病を克服するまで。そして３度目は、自身と同じ性的少数者らの悩み相談に乗り、生きる喜びを見いだしている。亀井さんは昨年１２月上旬、自宅マンションでパソコンの前に座っていた。画面には、１年ほど前から付き合いのある札幌市在住の４０代の相談者が映る。「トランス（ジェンダー）だから、男性用の制服を着たくない。すると仕事の紹介が限られてきちゃう」会話を始めてからほどなく、仕事探し上の悩みを打ち明けられた。相談者は、戸籍は男性だが女装し日常生活を送る。トランスジェンダーであることが、職探しの壁になっているという。亀井さんは「（仕事が）ないと思うとダメだから、ある、あると思ってよ」と気を楽に持つようにアドバイスした。相談者は記者に「亀井さんは私と同じトランスジェンダーで、これまで色々な経験を乗り越えてきた人。寂しさが分かる同類だから、全部話せます」と語った。亀井さんは１年半前、ネットや対面での「悩み相談」を始めた。最初は経営する女装バーの客や知人だったが、次第にツイッターなどＳＮＳ経由の相談が増えた。昨秋には専門サイトを立ち上げ、アドレス入りのカードを３００枚、知人らを通じて配布した。これまで相談に乗った７０人のうち４割が、自身と同じ性的少数者だ。「もう耐えていけません」「生きる限界です」。切羽詰まった声を聴いたとき、自分の過去を話し、じっくり寄り添うようにしている。亀井さんは、物心ついた時から、「女の子になりたかった」。思春期になり、周囲の男子の体形や声が変わるのをみて、「自分は同じようになりたくない」と嫌悪感を覚えた。中学を卒業する頃から女性ホルモンの摂取を始め、高校にはほとんど行かず、性的少数者が集まる東京・新宿２丁目に出入りするようになる。「女の子になることに夢中になった」。２４歳で性別適合手術を受け、数年後に戸籍上も女性となる。この間、「経済的に自立することはずっと念頭にあった」という。１０代後半から独学で勉強を始め、ウェブデザインのスキルを身につけた。２１歳で起業し、新宿２丁目の人脈を生かし、女装イベント主催や同地区ビルにあったキャバレー跡地の会場運営の仕事をする。２０代半ばで年収１千万円を超えた。しかし、休まずに働き続け、「ずっと一人で人と違うことをやってきた」ことから、孤独が深まっていく。２０代後半からうつ病がひどくなり、２９歳で都心のマンション屋上から飛び降りた。「寂しかった。自分が世の中から消えてしまうという感情は、すごくありました」。当時を振り返った言葉だ。それでも生きることになった。駐車場にあった車のボンネットに尻餅をつく形で落ち、奇跡的に一命を取り留めた。左腕と背骨を複雑骨折する大けがを負い、入院中は激痛に苦しんだ。気を紛らわすため、楽しかったことを思い出した。好きだった音楽、おいしかった食べ物……。中でも友人の愚痴を聞き、アドバイスした記憶が退院後も心に残った。「自分の性を探し、孤独に苦しんだ過去がある私だから、他の人の力になれるはずだ」。悩み相談を始めると、次々に声をかけられた。悩み相談に使うエネルギーは、今や本業の女装バーなどの経営をしのいでいるが、「本望」だという。「３度目の人生は、他の人に役立つ活動を無償でしていきたい。孤独を遠ざけ、私の心を満たす生き方になるからです」今後はトランスジェンダーの等身大の姿を、メディアを通し積極的に発信していくつもりでもいる。「性的少数者が生きやすい社会は、多数者にも風通しのいい社会につながるはずです。悩み相談と私というアイコンで、社会を少しずつ変えていきたい」サイト「モカの悩み相談」のアドレスはhttp://nayami.uni-web.jp/（高野真吾）"
"離れワザ！「カフェオレ天井落とし」　名古屋の喫茶店","2018年2月13日10時17分","社会,その他・話題,食","「それではいきます。自称、世界一『高い』カフェオレです」。名古屋市中村区の「喫茶ツヅキ」。客の前で脚立にまたがった店長の両手には二つのポット。同時に注がれたコーヒーとミルクが、約３メートル下に置いたカップで混じり合う。この光景を見ようと、各地から客が訪れるという。創業７０年以上で、現在は３代目の都築秀紀さん（３６）が店長を務める。「世界一高いカフェオレ」は店では「カフェオレ天井落とし」と呼ばれ、先代で父親の憲幸さん（６８）が始めた。２３歳のとき、東京・銀座の喫茶店でコーヒーとミルクを別々のポットから同時に入れているのを見て、取り入れようと思った。パフォーマンスで高いところから注いだら客に喜ばれたという。徐々に高さを上げ、５段の脚立を使うようになった。「技」は３代目に継承された。秀紀さんは「お客さんが喜んでくれる。高いところから注ぐと空気が入って味がまろやかになり、泡立ちが良い」と話す。流行の「インスタ映え」も意識して、注いでいる最中に脚立の間から撮影してもらったり、店長が客を撮影したりするサービスもしている。５００円（税別）のカフェオレが、多いときで１日で５０杯ほどの注文があるという。テレビ番組に取り上げられたこともあり、その後、北海道や九州からの客もいたという。大阪から出張で来たという２０代会社員の女性は「ネットで検索して来た。一つのアミューズメントみたい」と話した。喫茶ツヅキは、各国から３０種類以上のコーヒー豆を仕入れており、「ユニーク珈琲（コーヒー）を日夜研究するコーヒー野郎の店」を掲げる。新しい試みに取り組む一方で、初代から続く「抹茶コーヒー」など伝統メニューも大切にしている。コーヒーには普及の「波」があるといわれる。２０１０年代からは豆の種類や産地、焙煎（ばいせん）方法などにこだわる「第３の波（サードウェーブ）」と呼ばれる。秀紀さんは「第４の波（フォースウェーブ）」も近いといわれるが、どんな波が来ても「おいしさの中に楽しさがあることを大切にしたい」と話している。（竹之内直道）"
"正恩氏「南側が誠意を尽くした」　実妹の訪韓成果に満足","2018年2月13日09時55分","社会,国際,アジア・太平洋,平昌五輪","北朝鮮の金正恩（キムジョンウン）朝鮮労働党委員長は１２日、平昌冬季五輪の開会式に出席した実妹の金与正（キムヨジョン）氏らから訪韓の報告を受けた。朝鮮中央通信が１３日、伝えた。正恩氏は満足し、南北関係改善の具体的な方向を示したうえで、実務的な対策を立てるよう関係機関に指示した。指導者の妹「最高のカード」　訪朝要請、北朝鮮に焦りも北朝鮮、文大統領に訪朝要請　「条件整え実現を」と返答正恩氏は「和解と対話の良い雰囲気を更に発展させて立派な結果を積み上げることが重要だ」と指摘。訪韓した北朝鮮代表団の受け入れについて「南側が誠意を尽くして努力する姿が印象的だった」と語った。金与正氏は文在寅（ムンジェイン）韓国大統領らとの会談結果や訪韓中に把握した韓国側の意向、米国の動向などを詳細に報告。金永南（キムヨンナム）最高人民会議常任委員長が五輪開会式への参加などについて説明したという。また、正恩氏は韓国で公演した三池淵（サムジヨン）管弦楽団のメンバーと記念写真を撮った。正恩氏は「文大統領夫妻ら南側の同胞が公演に満足してくれてうれしい」と語ったという。（ソウル＝牧野愛博）"
