"title","date","tags","article"
"元西鉄１番打者の高倉照幸さん死去　黄金期に活躍","2018年2月13日11時41分","スポーツ,野球,プロ野球,おくやみ","プロ野球西鉄ライオンズ（現・西武）の黄金期に１番打者として活躍した高倉照幸（たかくら・てるゆき）さんが１２日、死去した。８３歳だった。関係者によると、１月ごろから体調を崩して福岡市内の病院に入院していたという。熊本商高から１９５３年に西鉄に入団し、翌５４年から外野手として１軍に定着。三原脩監督の下で豊田泰光、中西太、大下弘らと強力打線を組み、５６～５８年の３年連続日本一に貢献した。果敢な「切り込み隊長」として名をはせた。６７年から２年間プレーした巨人時代には、王貞治、長嶋茂雄とともに中軸も担った。その後、アトムズ（現ヤクルト）を経て７０年に引退。現役時代の通算打率は２割７分６厘、１６１１安打、１６８本塁打、６４０打点。ベストナインを３度獲得した。引退後は、福岡市の中学硬式野球の「福岡南リトルシニア」で指導するなどし、文部科学省の生涯スポーツ功労者表彰を受けた。"
"元西鉄１番打者の高倉照幸さん死去　黄金期に活躍","2018年2月13日11時41分","スポーツ,野球,プロ野球,おくやみ","プロ野球西鉄ライオンズ（現・西武）の黄金期に１番打者として活躍した高倉照幸（たかくら・てるゆき）さんが１２日、死去した。８３歳だった。関係者によると、１月ごろから体調を崩して福岡市内の病院に入院していたという。熊本商高から１９５３年に西鉄に入団し、翌５４年から外野手として１軍に定着。三原脩監督の下で豊田泰光、中西太、大下弘らと強力打線を組み、５６～５８年の３年連続日本一に貢献した。果敢な「切り込み隊長」として名をはせた。６７年から２年間プレーした巨人時代には、王貞治、長嶋茂雄とともに中軸も担った。その後、アトムズ（現ヤクルト）を経て７０年に引退。現役時代の通算打率は２割７分６厘、１６１１安打、１６８本塁打、６４０打点。ベストナインを３度獲得した。引退後は、福岡市の中学硬式野球の「福岡南リトルシニア」で指導するなどし、文部科学省の生涯スポーツ功労者表彰を受けた。"
"俳優の川地民夫さん死去　「ウルトラマンティガ」総監役","2018年2月12日18時34分","おくやみ","川地民夫さん（かわち・たみお＝俳優、本名河地猛〈かわち・たけし〉）が１０日、脳梗塞（こうそく）で死去、７９歳。通夜は１５日午後６時、葬儀は１６日正午から神奈川県逗子市久木１の２の６の逗子二葉会館で。喪主は妻レスリーさん。５７年、日活に入社し「陽のあたる坂道」の石原裕次郎さんの弟役でデビュー。「野獣の青春」をはじめ「河内カルメン」「東京流れ者」など鈴木清順監督の作品の脇役で強い印象を与えた。日活が斜陽になった後、東映の作品に数多く出演。７１年に始まる「まむしの兄弟」シリーズでは、菅原文太さんとのコンビで悪と闘うチンピラの義兄弟をユーモアを交えて演じ、人気を博した。テレビでも「ウルトラマンティガ」の総監役など多くの出演作がある。"
"俳優の川地民夫さん死去　「ウルトラマンティガ」総監役","2018年2月12日18時34分","おくやみ","川地民夫さん（かわち・たみお＝俳優、本名河地猛〈かわち・たけし〉）が１０日、脳梗塞（こうそく）で死去、７９歳。通夜は１５日午後６時、葬儀は１６日正午から神奈川県逗子市久木１の２の６の逗子二葉会館で。喪主は妻レスリーさん。５７年、日活に入社し「陽のあたる坂道」の石原裕次郎さんの弟役でデビュー。「野獣の青春」をはじめ「河内カルメン」「東京流れ者」など鈴木清順監督の作品の脇役で強い印象を与えた。日活が斜陽になった後、東映の作品に数多く出演。７１年に始まる「まむしの兄弟」シリーズでは、菅原文太さんとのコンビで悪と闘うチンピラの義兄弟をユーモアを交えて演じ、人気を博した。テレビでも「ウルトラマンティガ」の総監役など多くの出演作がある。"
"「水俣は日本の内視鏡」「人間は滅ぶ」　石牟礼さん語録","2018年2月10日12時46分","社会,カルチャー,出版,おくやみ,有料記事","石牟礼道子さんの語録「後にくる者たちに残すよすがの物を、わたしたちは持たなくなってしまいました。なんという世の中の変わりようでしょう。言葉というものさえ、はたして伝わるものかどうか、おぼつかないかぎりに思えます」（１９９０年）言葉を奪われた患者の魂、世界文学に　石牟礼さん死去特集：石牟礼道子さん死去「不知火海域でおかされたチッソと国と地方行政の『過失』は、私人が私人に対して働いた不法行為だったのだろうか。それは生命界に対する、天人ともに許さざる公法的犯罪だったのではないか」「不知火海のほとりに生きてきた漁民は、自然の恵みの中にあって、おのずと人の生きる道をわきまえながら、日々を律してきた人びとであった。そういう人びとが祖霊たちの宿る海辺に加えられた暴虐を問いただそうとするとき、訴えることのできた手段が、近代市民社会における私法上の損害賠償しかなかったことを考えると、暗然たる思いに包まれる」「世界を覆いつくした異様な人喰（く）い文明の最初の供犠の地となった水俣。ここから今なお発せられるメッセージとは、産業至上の文明に喰いつくされる国土とすこやかであった魂の形見の声ではなかろうか」（１９９３年）「この人たち（水俣病患者）は命とひきかえに、構造化した近代日本の病巣の中心部を探りあて、わが身の骨の火をかざし、そこへ分け入ろうとしているのではないか。秘蹟（ひせき）の地に立ちあい、わたしもためされています」（９５年）「チッソの幹部たちが言ってることは保身のためとか、その場逃れのいいわけだったり、患者さんは一目で見抜いて、気の毒にも思っている。『あなたは何の宗教ば信じとりますか』などとしみじみ尋ねるんですね。修羅場なんですけれど、しだいに人間が試される聖域に変わっていくのです」（２０００年）「（水俣病との出あいについて）立派な覚悟があったわけではないのです。引き寄せられて気がついたらそこにいたというべきか。関心が人間の苦悩というものにいきがちな性分だったのと、自他共に生きている意味がわかりたいと切実に思っていたところへ水俣病がわーっと出てきた」（同年）「（人類は）美や倫理の基準を見失ってしまい、人はもう物質的なものの中にしか夢を描けなくなった。形は精神から生まれます。何が本当に美しいのかを点検し直して、精神を豊かにする夢を作り出さないとどうなるのでしょうか」（同年）「（水俣の漁民は）文字も知ってるけどいきいきした言霊の世界にいます。海は生命の原初で、自分もそこの一員だと、光がみちてくる顔で思っておられ、ですから、漁をすることは上古の神遊びのようにさえ見えます」（同年）「日本人は姿形まで変わってきました。人さまのご迷惑にならないよう能の橋がかりを行くようなすり足から、いまはもう人を押しのけ、われがちに行こうとする歩き方に」（同年）「原体験として祖母とのことがありました。祖母は狂女でした。私は彼女のお守りをしながら、二人で日がな一日言葉遊びをする。ふつうの人が聞いていたらおかしいでしょうが、この世を超えた美的な世界を何とか言葉でつむいで、幻想の中に祖母と一緒に入っていく。幸福な時間でした」（同年）「（有明海の問題で）小さい子たちが海で遊ばせてもらう喜び。永遠なる天と海に向かって命を解き放つ心の輝き。漁師はそんな牧歌と神話の世界に生きる稀有（けう）な人たちだったのに、情けない境域に追い落としてしまった。有明海の漁民は、政治家たちの駆け引きの道具にされてはいないか」（０１年）「別の患者さんは、『自分の罪に対して祈る』と嗚咽（おえつ）しながら言われます。発病したのは患者の責任ではありません。なのに、なぜこの方は『自分の罪』と言ったのでしょうか。私は、この患者さんが苦しみ続け、あえぎ続け、それでも痛みは消え去らないと知ったとき、人間の原罪をわが身に引き受ける気持ちになられたのだと思います」（０２年）「患者さんにとりついた水俣病は離れてくれず、痛みも癒えることはない。それなら、いっそのこと水俣病を『守護神』にしよう。人間の、この罪と痛みをわが身に全部引き受けて、一心に祈ろうと思っておられます。似たような心境を語ってくださる患者さんはほかにもいます」（０２年）「患者さんに背中を押されて、導かれていく感じでした。古代の神話世界の人に会いに行くような気持ちで。心の糧を得たのは私の方です」（同年）「心の故郷はどこも汚染されてしまいました。水俣は日本列島の内視鏡で、そこから何でも見えます。不知火海の向こうは天草、その先に大陸と広がり、海にお日さまが沈む。そのとき太陽の箭（や）が海底に直入し、生命の根源に光の柱が立つ。生命の永遠、誕生と死の劇が夕昏（ゆうぐ）れの海にあらわれる。あらためてそれを考えさせる水俣病の事件があり、ただならぬ死が今も続く」（同年）「人間は滅ぶと思います。大自然、風土が汚染され、人間が毒素、毒草になっています。最近次々に起きる事件を見ても、人が狂暴になっています」（同年）「古典文学の世界には常に精霊がいた。今も患者さんの中におり、実体のあるものとして拝まれる。進歩的文化人は村を出て、故郷を振り返らない。室生犀星の小景異情『ふるさとは遠きにありて思ふもの』のように。色々な風土が民族を豊かにするのに、日本は画一化することで近代化を進めてきた。その近代化を支えた母層が枯れ果ててきました」（同年）「初めて水俣を訪れた国会議員に陳情するのに、患者の中岡さつきさんが『国会議員のお父さま、お母さま』と呼びかけたんですね。自分たちの父母のような人たちなんだから、きっと助けてくれるに違いないと。そうした純朴さが、ずーっと裏切られ続ける」「いま、日本人が失ってしまった倫理観や信義のことを命にかえて考えつめておられるのは、患者さんたちですよ。劇症の病苦を背負ったわが身を通して、命のこと、魂のこと、あるべき人の世のことを考えておられる。そのお姿はとても崇高で、まわりを純化しておられます」（０５年）「近代化された標準語では他人、他者ですが、私が生まれた天草では『人さま』と言います。人さまを大切にする、隣人を大事にする、ゆきずりの人であっても縁を感じて大事にする。それが地方でも村でもなくなってきていますね」（０８年）「（水俣病患者で語り部の杉本）栄子さんは『今夜も、祈らんば生きられんとばい』『許さんことには生きられんとばい』と言っていました。『（自分たちを差別した人たちを）呪う、憎むのはもうきつか。苦しくて生きられん』と。（中略）もう菩薩（ぼさつ）さまですね」（同年）「私の周りのお年寄りたちは子どもを褒める時に『おまえは魂の深か子じゃね』と言うんです。『勉強ができるそうだね』とは言わない。（中略）要は、人様を思いやることができるかどうかだと思います。そういう心根のやさしさを、どうやって身につけていくかでしょう」（０８年）「私の触れた限り、人様を思いやる倫理の高さというか深さは、純然たる方言の世界にありましたから。自分の思いを標準語に置き換えて出すと、もともと持っていた情感みたいなものが抜け落ちてしまう。心を表現するのに、ことばはとても大切です。だから、方言を大事にしたい」（同年）「日本の近代は壊れてると思いました。まず、水俣病ですね。チッソは罪悪感を持ってませんから。海を汚し、豊かな漁師さんの生活を壊して、気がつかない。近代化は鈍感な人間を大勢作り出してきた」（同年）「（水俣病患者の人たちには）日本語では言霊の世界だろうと思うんですけど、神信心をする人たちがいっぱいいる。（中略）神様のいらっしゃる地図をみなさん、心に持っている。そして、教えあって、連れ立ってお参りに行きます。原日本って、そうだったと思いますよ。それが『近代』と称するものに追いやられて」（同年）「水俣病でいちばんつらかったのは、人とのきずなが切れたと感じるときでした。政治家や企業人のなかには、患者さんが魂の底から発する言葉さえ通じない方がいました」（１１年）「（東日本大震災について）息ができなくなっていた大地が深呼吸をして、はあっと吐き出したのでは。死なせてはいけない無辜（むこ）の民を殺して。文明の大転換期に入ったという気がします」（１１年）「（１９０８年に）工場ができたのが、村だった水俣の発展の第一歩で『街の人間になっとぞ』と喜んだ。水俣の人は何でも神様にするんです。チッソも。純情でね」「患者が補償を求めると、チッソの担当者は品物の値段を下げるような態度でね。批判すると『ここは文学の場所じゃありません。交渉事です』と言われた。それで患者さんが初めて『会社への義理は切れた』とおっしゃった」「患者さんたちは以前、『行政は親様。子どもをうしてなさる（見捨てなさる）はずがなか』と信じておられた。でも、補償交渉で上京したら『水俣は日本の国じゃなかごたる』と失望されていた」（１２年）「判決という形で出てくる言葉は、合理的なようで冷たいですね。もうちょっと庶民の言葉に直して考えたい。『まあ、今まできつうございましたねえ』って、言うてよかそうなもんと思う」「人柱でした。水俣病事件というのは。次の文明に進むための」（１３年、水俣病の未認定患者をめぐる最高裁判決後に）「水俣病の公式確認から今年で６０年を迎えました。でも水俣病のことを考えるには、この６０年の背後に、はるかに分厚い時間の層があったことを、まず思い浮かべてほしいと思います。『魚（いお）湧く海』と言われた不知火海のほとりで、天の恵みを必要なぶんだけ分けてもらっていた人々の、何代にもわたる暮らしが積み重なった時間の層です」「行政は今からでも、患者さんを見つけ出すための健康調査をするべきです。（中略）チッソの工場でつくられた化学原料が、日本の近代化を、高度成長を支えました。私たちの暮らしが豊かになる代償として、苦しみをその身に引き受けた方々です。亡くなるのを待つ、などということは決してあってはならないのです」（１６年）＊朝日新聞などでの寄稿や対談、インタビューなどから紹介"
"「水俣は日本の内視鏡」「人間は滅ぶ」　石牟礼さん語録","2018年2月10日12時46分","社会,カルチャー,出版,おくやみ,有料記事","石牟礼道子さんの語録「後にくる者たちに残すよすがの物を、わたしたちは持たなくなってしまいました。なんという世の中の変わりようでしょう。言葉というものさえ、はたして伝わるものかどうか、おぼつかないかぎりに思えます」（１９９０年）言葉を奪われた患者の魂、世界文学に　石牟礼さん死去特集：石牟礼道子さん死去「不知火海域でおかされたチッソと国と地方行政の『過失』は、私人が私人に対して働いた不法行為だったのだろうか。それは生命界に対する、天人ともに許さざる公法的犯罪だったのではないか」「不知火海のほとりに生きてきた漁民は、自然の恵みの中にあって、おのずと人の生きる道をわきまえながら、日々を律してきた人びとであった。そういう人びとが祖霊たちの宿る海辺に加えられた暴虐を問いただそうとするとき、訴えることのできた手段が、近代市民社会における私法上の損害賠償しかなかったことを考えると、暗然たる思いに包まれる」「世界を覆いつくした異様な人喰（く）い文明の最初の供犠の地となった水俣。ここから今なお発せられるメッセージとは、産業至上の文明に喰いつくされる国土とすこやかであった魂の形見の声ではなかろうか」（１９９３年）「この人たち（水俣病患者）は命とひきかえに、構造化した近代日本の病巣の中心部を探りあて、わが身の骨の火をかざし、そこへ分け入ろうとしているのではないか。秘蹟（ひせき）の地に立ちあい、わたしもためされています」（９５年）「チッソの幹部たちが言ってることは保身のためとか、その場逃れのいいわけだったり、患者さんは一目で見抜いて、気の毒にも思っている。『あなたは何の宗教ば信じとりますか』などとしみじみ尋ねるんですね。修羅場なんですけれど、しだいに人間が試される聖域に変わっていくのです」（２０００年）「（水俣病との出あいについて）立派な覚悟があったわけではないのです。引き寄せられて気がついたらそこにいたというべきか。関心が人間の苦悩というものにいきがちな性分だったのと、自他共に生きている意味がわかりたいと切実に思っていたところへ水俣病がわーっと出てきた」（同年）「（人類は）美や倫理の基準を見失ってしまい、人はもう物質的なものの中にしか夢を描けなくなった。形は精神から生まれます。何が本当に美しいのかを点検し直して、精神を豊かにする夢を作り出さないとどうなるのでしょうか」（同年）「（水俣の漁民は）文字も知ってるけどいきいきした言霊の世界にいます。海は生命の原初で、自分もそこの一員だと、光がみちてくる顔で思っておられ、ですから、漁をすることは上古の神遊びのようにさえ見えます」（同年）「日本人は姿形まで変わってきました。人さまのご迷惑にならないよう能の橋がかりを行くようなすり足から、いまはもう人を押しのけ、われがちに行こうとする歩き方に」（同年）「原体験として祖母とのことがありました。祖母は狂女でした。私は彼女のお守りをしながら、二人で日がな一日言葉遊びをする。ふつうの人が聞いていたらおかしいでしょうが、この世を超えた美的な世界を何とか言葉でつむいで、幻想の中に祖母と一緒に入っていく。幸福な時間でした」（同年）「（有明海の問題で）小さい子たちが海で遊ばせてもらう喜び。永遠なる天と海に向かって命を解き放つ心の輝き。漁師はそんな牧歌と神話の世界に生きる稀有（けう）な人たちだったのに、情けない境域に追い落としてしまった。有明海の漁民は、政治家たちの駆け引きの道具にされてはいないか」（０１年）「別の患者さんは、『自分の罪に対して祈る』と嗚咽（おえつ）しながら言われます。発病したのは患者の責任ではありません。なのに、なぜこの方は『自分の罪』と言ったのでしょうか。私は、この患者さんが苦しみ続け、あえぎ続け、それでも痛みは消え去らないと知ったとき、人間の原罪をわが身に引き受ける気持ちになられたのだと思います」（０２年）「患者さんにとりついた水俣病は離れてくれず、痛みも癒えることはない。それなら、いっそのこと水俣病を『守護神』にしよう。人間の、この罪と痛みをわが身に全部引き受けて、一心に祈ろうと思っておられます。似たような心境を語ってくださる患者さんはほかにもいます」（０２年）「患者さんに背中を押されて、導かれていく感じでした。古代の神話世界の人に会いに行くような気持ちで。心の糧を得たのは私の方です」（同年）「心の故郷はどこも汚染されてしまいました。水俣は日本列島の内視鏡で、そこから何でも見えます。不知火海の向こうは天草、その先に大陸と広がり、海にお日さまが沈む。そのとき太陽の箭（や）が海底に直入し、生命の根源に光の柱が立つ。生命の永遠、誕生と死の劇が夕昏（ゆうぐ）れの海にあらわれる。あらためてそれを考えさせる水俣病の事件があり、ただならぬ死が今も続く」（同年）「人間は滅ぶと思います。大自然、風土が汚染され、人間が毒素、毒草になっています。最近次々に起きる事件を見ても、人が狂暴になっています」（同年）「古典文学の世界には常に精霊がいた。今も患者さんの中におり、実体のあるものとして拝まれる。進歩的文化人は村を出て、故郷を振り返らない。室生犀星の小景異情『ふるさとは遠きにありて思ふもの』のように。色々な風土が民族を豊かにするのに、日本は画一化することで近代化を進めてきた。その近代化を支えた母層が枯れ果ててきました」（同年）「初めて水俣を訪れた国会議員に陳情するのに、患者の中岡さつきさんが『国会議員のお父さま、お母さま』と呼びかけたんですね。自分たちの父母のような人たちなんだから、きっと助けてくれるに違いないと。そうした純朴さが、ずーっと裏切られ続ける」「いま、日本人が失ってしまった倫理観や信義のことを命にかえて考えつめておられるのは、患者さんたちですよ。劇症の病苦を背負ったわが身を通して、命のこと、魂のこと、あるべき人の世のことを考えておられる。そのお姿はとても崇高で、まわりを純化しておられます」（０５年）「近代化された標準語では他人、他者ですが、私が生まれた天草では『人さま』と言います。人さまを大切にする、隣人を大事にする、ゆきずりの人であっても縁を感じて大事にする。それが地方でも村でもなくなってきていますね」（０８年）「（水俣病患者で語り部の杉本）栄子さんは『今夜も、祈らんば生きられんとばい』『許さんことには生きられんとばい』と言っていました。『（自分たちを差別した人たちを）呪う、憎むのはもうきつか。苦しくて生きられん』と。（中略）もう菩薩（ぼさつ）さまですね」（同年）「私の周りのお年寄りたちは子どもを褒める時に『おまえは魂の深か子じゃね』と言うんです。『勉強ができるそうだね』とは言わない。（中略）要は、人様を思いやることができるかどうかだと思います。そういう心根のやさしさを、どうやって身につけていくかでしょう」（０８年）「私の触れた限り、人様を思いやる倫理の高さというか深さは、純然たる方言の世界にありましたから。自分の思いを標準語に置き換えて出すと、もともと持っていた情感みたいなものが抜け落ちてしまう。心を表現するのに、ことばはとても大切です。だから、方言を大事にしたい」（同年）「日本の近代は壊れてると思いました。まず、水俣病ですね。チッソは罪悪感を持ってませんから。海を汚し、豊かな漁師さんの生活を壊して、気がつかない。近代化は鈍感な人間を大勢作り出してきた」（同年）「（水俣病患者の人たちには）日本語では言霊の世界だろうと思うんですけど、神信心をする人たちがいっぱいいる。（中略）神様のいらっしゃる地図をみなさん、心に持っている。そして、教えあって、連れ立ってお参りに行きます。原日本って、そうだったと思いますよ。それが『近代』と称するものに追いやられて」（同年）「水俣病でいちばんつらかったのは、人とのきずなが切れたと感じるときでした。政治家や企業人のなかには、患者さんが魂の底から発する言葉さえ通じない方がいました」（１１年）「（東日本大震災について）息ができなくなっていた大地が深呼吸をして、はあっと吐き出したのでは。死なせてはいけない無辜（むこ）の民を殺して。文明の大転換期に入ったという気がします」（１１年）「（１９０８年に）工場ができたのが、村だった水俣の発展の第一歩で『街の人間になっとぞ』と喜んだ。水俣の人は何でも神様にするんです。チッソも。純情でね」「患者が補償を求めると、チッソの担当者は品物の値段を下げるような態度でね。批判すると『ここは文学の場所じゃありません。交渉事です』と言われた。それで患者さんが初めて『会社への義理は切れた』とおっしゃった」「患者さんたちは以前、『行政は親様。子どもをうしてなさる（見捨てなさる）はずがなか』と信じておられた。でも、補償交渉で上京したら『水俣は日本の国じゃなかごたる』と失望されていた」（１２年）「判決という形で出てくる言葉は、合理的なようで冷たいですね。もうちょっと庶民の言葉に直して考えたい。『まあ、今まできつうございましたねえ』って、言うてよかそうなもんと思う」「人柱でした。水俣病事件というのは。次の文明に進むための」（１３年、水俣病の未認定患者をめぐる最高裁判決後に）「水俣病の公式確認から今年で６０年を迎えました。でも水俣病のことを考えるには、この６０年の背後に、はるかに分厚い時間の層があったことを、まず思い浮かべてほしいと思います。『魚（いお）湧く海』と言われた不知火海のほとりで、天の恵みを必要なぶんだけ分けてもらっていた人々の、何代にもわたる暮らしが積み重なった時間の層です」「行政は今からでも、患者さんを見つけ出すための健康調査をするべきです。（中略）チッソの工場でつくられた化学原料が、日本の近代化を、高度成長を支えました。私たちの暮らしが豊かになる代償として、苦しみをその身に引き受けた方々です。亡くなるのを待つ、などということは決してあってはならないのです」（１６年）＊朝日新聞などでの寄稿や対談、インタビューなどから紹介"
"「チャーミングな巫女のような…」石牟礼さん悼む声続々","2018年2月10日12時08分","社会,カルチャー,出版,おくやみ","作家・クリエーターのいとうせいこうさんの話特集：石牟礼道子さん死去特集：知る水俣病石牟礼道子が描き出した水俣病患者たちの苦しみは、今も続いている。そして国と企業と被害者の構図は福島第一原発の事故でも繰り返されており、だからこそ事故後すぐに石牟礼を読み直す者が多かった。作品は文学としてもとびぬけた境地にある。熊本でもお話をうかがったが、チャーミングな巫女（みこ）のような方だった。歌手・加藤登紀子さんの話ショックです。石牟礼さんが講演で「いのちは華やぐもの」とおっしゃったのを聞き、嗚咽（おえつ）しそうになった記憶があります。水俣病に苦しむ患者や家族そして地元漁師たちを決して惨めな存在とはとらえず、荘厳な光を放つ命、ありがたい命として絶大な敬意を払っていた。そのまなざしが世間に訴える力になったと感じます。「苦海浄土」の言葉の美しさと光に満ちた文章に、特別な人と感じてきました。２００４年に発刊された石牟礼さんの全集の解説を執筆するにあたり、初めてご本人にお会いしました。２泊ほど水俣に滞在し、ゆっくり話す機会に恵まれたことは幸せでした。作家・赤坂真理さんの話いつも「苦海浄土」のページを閉じたあと、光を感じていました。石牟礼さんからは「光を感じてくれたのはあなたぐらいよ」と言われました。重いテーマでもすらすら読ませるのは石牟礼さんの文学が浄瑠璃語りのようだからです。語りになると全然違う層が見えてくる文学でした。石牟礼さんとの対談集「死を想（おも）う」を出した詩人の伊藤比呂美さんの話会うたびに海の話をしてくださいました。これだけの生き物が海のなかにいて、海藻の花が咲いて。山の水が落ちてきたところが一番豊かだから魚が集まる、と。ちいさな命が生きたり死んだりしている世界のさまを、自ら食べながらお感じになっておられるようでした。施設に入られてからも、会うと何かつくってくれました。つくる、食べる、生きる、死ぬる。そうした世界の循環が、彼女のなかでは最後まで続いていた。宮沢賢治の「このからだそらのみぢんにちらばれ」という言葉を引き、「私なら浜辺のみじんかな」と言っていたことがありました。これまでは熊本でしか会えなかったけど、今はどこにいても会えるようになったのだと思っています。「ふたり　皇后美智子と石牟礼道子」の著作がある作家、高山文彦さんの話この日は覚悟していたが、もう少し後かなと思っていた。やるべきことをやり、書くべきことを書いて逝かれたと思う。今年初め、お見舞いで口紅を持って行ったら、えらく喜んで。寝たきりだったが、自分で口紅を引いて、血の気のない顔にバラ色がさしてね。眉墨と口紅を買いに行こうと言っていたのですが。彼女の書くものは病んだ患者の声、水俣の民の声だった。公害病がここまで社会のひとりひとりに伝わったのは、彼女なくしてはなかったと思う。"
"「チャーミングな巫女のような…」石牟礼さん悼む声続々","2018年2月10日12時08分","社会,カルチャー,出版,おくやみ","作家・クリエーターのいとうせいこうさんの話特集：石牟礼道子さん死去特集：知る水俣病石牟礼道子が描き出した水俣病患者たちの苦しみは、今も続いている。そして国と企業と被害者の構図は福島第一原発の事故でも繰り返されており、だからこそ事故後すぐに石牟礼を読み直す者が多かった。作品は文学としてもとびぬけた境地にある。熊本でもお話をうかがったが、チャーミングな巫女（みこ）のような方だった。歌手・加藤登紀子さんの話ショックです。石牟礼さんが講演で「いのちは華やぐもの」とおっしゃったのを聞き、嗚咽（おえつ）しそうになった記憶があります。水俣病に苦しむ患者や家族そして地元漁師たちを決して惨めな存在とはとらえず、荘厳な光を放つ命、ありがたい命として絶大な敬意を払っていた。そのまなざしが世間に訴える力になったと感じます。「苦海浄土」の言葉の美しさと光に満ちた文章に、特別な人と感じてきました。２００４年に発刊された石牟礼さんの全集の解説を執筆するにあたり、初めてご本人にお会いしました。２泊ほど水俣に滞在し、ゆっくり話す機会に恵まれたことは幸せでした。作家・赤坂真理さんの話いつも「苦海浄土」のページを閉じたあと、光を感じていました。石牟礼さんからは「光を感じてくれたのはあなたぐらいよ」と言われました。重いテーマでもすらすら読ませるのは石牟礼さんの文学が浄瑠璃語りのようだからです。語りになると全然違う層が見えてくる文学でした。石牟礼さんとの対談集「死を想（おも）う」を出した詩人の伊藤比呂美さんの話会うたびに海の話をしてくださいました。これだけの生き物が海のなかにいて、海藻の花が咲いて。山の水が落ちてきたところが一番豊かだから魚が集まる、と。ちいさな命が生きたり死んだりしている世界のさまを、自ら食べながらお感じになっておられるようでした。施設に入られてからも、会うと何かつくってくれました。つくる、食べる、生きる、死ぬる。そうした世界の循環が、彼女のなかでは最後まで続いていた。宮沢賢治の「このからだそらのみぢんにちらばれ」という言葉を引き、「私なら浜辺のみじんかな」と言っていたことがありました。これまでは熊本でしか会えなかったけど、今はどこにいても会えるようになったのだと思っています。「ふたり　皇后美智子と石牟礼道子」の著作がある作家、高山文彦さんの話この日は覚悟していたが、もう少し後かなと思っていた。やるべきことをやり、書くべきことを書いて逝かれたと思う。今年初め、お見舞いで口紅を持って行ったら、えらく喜んで。寝たきりだったが、自分で口紅を引いて、血の気のない顔にバラ色がさしてね。眉墨と口紅を買いに行こうと言っていたのですが。彼女の書くものは病んだ患者の声、水俣の民の声だった。公害病がここまで社会のひとりひとりに伝わったのは、彼女なくしてはなかったと思う。"
"寂聴さん「大切な友だちだったので…」　石牟礼さん死去","2018年2月10日11時51分","社会,カルチャー,出版,おくやみ","作家で僧侶の瀬戸内寂聴さん（９５）の話とっても仲がよく、大切な友だちだったので、がっかりです。詩人であり文学者であるだけでなく、自分より弱い人のことをずっと思っている人でした。世の中の弱い人の立場に立って闘っていました。本当にいい人でした。石牟礼さんが亡くなったのは、日本にとって大変な損失。詩人や作家より、もっと大きなものを持っていました。特別な方だったと思っています。彼女の力は世の中に評価され、報われた人だったと思います。寂聴さん「野中広務さん、今ごろ筑紫哲也さんと」石牟礼道子さん死去　水俣病を描いた小説「苦海浄土」皇后さまが「重く受け止めた」石牟礼さんからの手紙特集：石牟礼道子さんのエッセーやインタビューはこちら会うと、今にも倒れそうなくらい、おとなしい人でした。家にも行ったし、お母さんにご飯を作ってもらいました。評論家の荒畑寒村さんが石牟礼さんのことを好きで、私も入って３人でよく話をしました。私のふるさとの徳島の文学館に石牟礼さんをお招きして話してもらったこともあります。もう一度、じっくり話したかった。残念です。"
"寂聴さん「大切な友だちだったので…」　石牟礼さん死去","2018年2月10日11時51分","社会,カルチャー,出版,おくやみ","作家で僧侶の瀬戸内寂聴さん（９５）の話とっても仲がよく、大切な友だちだったので、がっかりです。詩人であり文学者であるだけでなく、自分より弱い人のことをずっと思っている人でした。世の中の弱い人の立場に立って闘っていました。本当にいい人でした。石牟礼さんが亡くなったのは、日本にとって大変な損失。詩人や作家より、もっと大きなものを持っていました。特別な方だったと思っています。彼女の力は世の中に評価され、報われた人だったと思います。寂聴さん「野中広務さん、今ごろ筑紫哲也さんと」石牟礼道子さん死去　水俣病を描いた小説「苦海浄土」皇后さまが「重く受け止めた」石牟礼さんからの手紙特集：石牟礼道子さんのエッセーやインタビューはこちら会うと、今にも倒れそうなくらい、おとなしい人でした。家にも行ったし、お母さんにご飯を作ってもらいました。評論家の荒畑寒村さんが石牟礼さんのことを好きで、私も入って３人でよく話をしました。私のふるさとの徳島の文学館に石牟礼さんをお招きして話してもらったこともあります。もう一度、じっくり話したかった。残念です。"
