"title","date","tags","article"
"【速報】麻生氏、佐川長官で徴税への影響「ありうる」","2018年2月13日12時51分","政治,国政","１３日午前、衆院予算委員会で集中審議が開かれました。テーマは「経済問題等」。安倍政権の経済政策のほか、森友学園問題、日韓関係などをめぐる論戦をタイムラインで追いました。衆院予算委で、立憲民主党の長妻昭代表代行の質問に答弁する麻生太郎財務相。右端は安倍晋三首相＝１３日午前９時３８分、岩下毅撮影首相、大雪災害への対応「反省すべき点がある。次に生かしたい」　公明の質問に（１１：４０）与党・公明党の浜地雅一氏が最後の質問者。日本海側での大雪災害について「災害時の迅速な対応こそ、政権の姿勢が試される重要な局面だ」とただした。安倍晋三首相は「長期間滞留している車両に食料、水、燃料の配給を行ってきた。膨大な積雪のため、現場の作業は困難を極めた。今回の経験を踏まえ、例を見ない大雪にも適切に対処できるよう、政府の対応について不断の見直しを行う」と答弁。その上で、「災害においては万全を期すが、それぞれに反省すべき点がある、反省すべき点を次に生かしていきたい」と語った。１３日正午過ぎ、首相が出席した衆院予算委員会の集中審議は散会した。希望・今井氏、首相に「謙虚さ持って」　「働き方改革」めぐる答弁で（１０：５０）「働き方改革」をめぐる政府答弁が揺らいでいる。裁量労働で労働時間が増えるのでは――？との疑問に、安倍晋三首相は１月２９日、「平均的な方で比べれば一般労働者よりも短いというデータもある」と反論した。ところが、このデータは全体の「平均値」ではなく、特殊な「平均的な者（しゃ）」の数字だった。加藤勝信厚生労働相は再確認する意向を示した。この日の衆院予算委員会で質問に立った今井雅人氏（希望の党）は首相に対し、「答弁は訂正、撤回されて、結果が出てからもう一度答弁されればいい。謙虚さを持って下さい」と求めた。首相は「私の答弁は平均的な考え方、こういう数値もあると答弁した。その後、厚労相からもう一度精査すると答弁があった」と述べるにとどめた。国会「花形」の予算委、ヤジで騒然となることも　副大臣が辞任、マナーも大事衆院予算委で質問する希望の党の今井雅人氏＝１３日午前１０時３８分、岩下毅撮影国会審議の「花形」と言われる衆院予算委員会は、ＮＨＫでテレビ中継されることがある。みていると、安倍晋三首相が時折、向かって左側にいる質問者の後ろを指さしていらだちを示したり、「ちょっと静かにして」と抗議したりすることがある。神経質にも見えるが、実はこうした時、予算委の会場になっている委員室は、与野党議員のヤジで答弁が聞き取れないほどになっている。ヤジをめぐっては、１月２５日の衆院代表質問で、松本文明内閣府副大臣（当時）が、沖縄の米軍ヘリ事故を取り上げた共産党の志位和夫委員長に対して「それで何人死んだんだ」とヤジり、引責辞任した。「ヤジは国会の華」と言われることもあるが、マナーも大事だ。被災地の階氏、首相の答弁読み上げに「紙見てないで、ちゃんと質問聞いて」　東日本大震災の質問で（１０：２５）希望の党の階猛氏が復興政策について尋ねる。階氏は東日本大震災の被災地、岩手県が地元だ。「２０２０年、復興の最終年度と政府は決めている。そこまでに被災地からの人口流出を止めることを成果指標にするべきではないか」と提案した。安倍晋三首相は答弁に立ったものの、用意した答弁書を読み上げるうち、徐々に話題からそれていく。「……以上のように、この交付金は地方独自の創意工夫ですね。この行政事業レビューにおける成果指標としては、ＫＰＩ（重要業績評価指標）の設定だけではなくて、ＫＰＩの達成状況についても目標を定めて検証を行っているところです」。階氏は「紙を見てないで、ちゃんと質問を聞いてほしい」と注文した。閣僚の言動にも注目　線香・手帳の配布、質疑中に「談笑」、「北方領土」「琉球処分」を言い間違え…衆院予算委で質問する希望の党の階猛氏＝１３日午前１０時１１分、岩下毅撮影今年の予算委員会では、閣僚の言動にも注目が集まっている。線香や手帳の配布問題が取り上げられていた茂木敏充経済再生相が、質疑の最中に隣席の野田聖子総務相と「談笑」していたとして、公明党が１月３１日、自民党に「緊張感を持って対応を」と指摘した。２月７、８日には江崎鉄磨沖縄北方担当相が「北方領土の日」を「沖縄北方の日」、「琉球処分」を「沖縄処分」と言い間違えるなど、担当分野への理解に疑問を持たれるミスを繰り返した。佐川長官で確定申告への支障は？　麻生氏「起きることはありうる」（０９：４５）佐川宣寿国税庁長官をめぐる質問が続く。長妻昭氏（立憲民主）は、１６日から始まる確定申告に支障がないかを問題視。「（佐川氏は）自分は逃げ回って、国民は確定申告に来い（と言う）。道理が通るか」とただした。麻生太郎財務相は「現時点で特段の支障が生じているわけではない」と強調しつつ、「明日から起きるかもという話だが、当然そういうことも起きることは十分ありうる」。さらに「苦情が起きるんじゃないかとおっしゃったので、そういうことも起きるかもしらんということだ」と述べた。理財局長時代の国会答弁の妥当性が問われている佐川氏が長官職にあることで、徴税業務に影響が出る可能性を否定しなかった。首相、佐川氏人事は「財務相から答弁したとおり」　麻生氏「職務適切に行っている」（０９：３５）衆院予算委で、安倍晋三首相に対する質問に対して、麻生太郎財務相が答弁することに抗議する立憲民主党の長妻昭代表代行（左端）＝１３日午前９時４７分、岩下毅撮影立憲民主党の長妻昭氏が、森友問題で答弁の妥当性が問われている佐川宣寿国税庁長官の人事について、安倍晋三首相に尋ねた。過去の国会で「最もふさわしい」と答弁したが、今もそう思うかと問われた首相。手を挙げず、隣に座る麻生太郎財務相を指さし、答弁を譲る。麻生氏が「佐川氏は職務を適切に行っている」と述べた後、首相は短く「財務相から答弁したとおり」とだけ答えた。これまで首相は「適材適所」などと、佐川氏を擁護してきた。長妻氏は「自分の言葉で語るのは不都合があるのか」と首をひねった。森友学園問題、新文書めぐり論戦へ衆院予算委で質問する立憲民主党の長妻昭代表代行＝１３日午前９時３０分、岩下毅撮影１３日の衆院予算委員会では、先週末に新展開があった学校法人「森友学園」への国有地売却問題も取り上げられる。財務省は９日、学園側との交渉内容が含まれる新たな文書２０件、計約３００ページを国会に提出した。学園側の要求に応じられるか、同省が内部で検討している内容だ。同省は昨年実施された会計検査院の検査に対し、これらの文書を提出していなかった。昨年２月の問題発覚後、同省の佐川宣寿・前理財局長（現・国税庁長官）は交渉記録を「廃棄した」と説明していた。与党が佐川氏の参考人招致や証人喚問に応じるかが焦点となっている。首相、慰安婦問題の日韓合意「私に対し批判があった」　文大統領に伝達安倍晋三首相は１３日の衆院予算委員会で、韓国平昌で文在寅（ムンジェイン）大統領と会談した際、慰安婦問題に関する日韓合意について、「文大統領には、あの決断の際にも私に対して様々な厳しい批判があったことを伝えた」と明らかにした。首相は文氏に対し、合意に関する韓国内の批判を乗り越えるよう求めた形だ。自民党の柴山昌彦筆頭副幹事長の質問に答えた。首相は文氏に対し、「リーダーがある程度批判されることを含めて決断しなければ、未来志向の関係は築けないと申し上げた」と述べた。安倍首相の今回の訪韓に対しては、日本国内に反対論があった。首相はこれを念頭に「韓国及び北朝鮮に対し、我が国の立場を直接伝える観点からも、平昌五輪の盛り上がりを東京大会の成功につなげていく観点からも、大変有意義であった」と強調した。衆院予算委で、自民党の柴山昌彦氏の質問に答弁する安倍晋三首相＝１３日午前９時３分、岩下毅撮影首相、北朝鮮に「日本の考え伝えた」訪韓で（０９：００）安倍晋三首相は１３日午前の衆院予算委員会で、平昌（ピョンチャン）冬季五輪開会式に合わせて訪韓した成果について語った。首相は文在寅（ムンジェイン）大統領との日韓首脳会談で慰安婦問題や北朝鮮問題への日本の立場を伝えたことを明らかにしたうえで、北朝鮮との接触についても述べた。自民党の柴山昌彦氏の質問に答えた。首相は「（大統領主催の）レセプションの機会に（北朝鮮の）金永南・最高人民会議常任委員長に、私から拉致・核・ミサイル問題を取り上げ、日本側の考えを伝えた。特に拉致問題解決を強く直接、金氏に求めた」と説明。その上で「訪韓は、韓国および北朝鮮に我が国の立場を直接伝える観点から大変有意義だった」と述べた。（山岸一生）集中審議、予算委の「中盤戦」１３日午前９時から、衆院予算委員会が始まった。今日の審議には１週間ぶりに安倍晋三首相が出席し、経済に関する「集中審議」が開かれている。今年の通常国会で、衆院予算委の論戦が始まったのは１月２９日。当初、首相はじめ全閣僚が出席する「基本的質疑」が続いたが、これは今月６日で終わり、序盤の論戦は一区切りとなった。その後は、質疑のテーマに応じて担当大臣だけが出席する「一般質疑」が続いていた。再び首相が答弁に立つ今日は、予算委の攻防の「中盤戦」と位置づけられる。日銀総裁、黒田氏続投の方向　５年の任期超えは異例（２月１０日）安倍政権は、日本銀行の黒田東彦（はるひこ）総裁（７３）を４月８日の任期満了後も続投させる方向で最終調整に入った。安倍晋三首相の経済政策「アベノミクス」の中核の異次元緩和を推進した実績に加え、現在の金融政策を熟知し、経済情勢の変化に対応できる能力を評価。緩和路線を続けて景気拡大を維持するには適任と判断した。総裁が５年の任期を超えて続投するのは異例。政権は今後副総裁２人の人事で詰めの調整を行い、近く国会に正副総裁の人事案を提示する。衆参両院での同意を経て正式決定する。任期は２０２３年までの５年間。総裁を５年以上務めるのは１９５６～６４年に務めた山際正道氏以来、約６０年ぶりとなる。政権は黒田氏を続投させ、大規模緩和路線の継続の意思を内外に示す。１９年１０月に予定される消費増税などを控え、好調な景気をできるだけ持続させる。最近は米国発の株価急落で景気への不安感も出ていることもあり、早期に金融政策の司令塔を固め、景気対応を万全にする狙いもあるとみられる。森友関連の文書、新たに２０件　検査院検査には提出せず（２月９日）学校法人「森友学園」（大阪市）への国有地売却問題で、財務省は９日、学園側との交渉内容が含まれる新たな文書２０件、計約３００ページを国会に提出し、公表した。学園側の要求に応じられるか、同省が内部で検討している内容。同省は昨年実施された会計検査院の検査に対し、これらの文書を提出していなかった。昨年２月の問題発覚後、国会も関連文書の提出を求めてきたが、同省の佐川宣寿・前理財局長（現・国税庁長官）は交渉記録を「廃棄した」と説明していた。財務省が新たに提出したのは、学園が土地を買う前に賃貸契約を結ぶ交渉をしていた２０１３年８月～１５年４月に近畿財務局内で作成された文書。９日、参院予算委員会の理事懇談会と衆院予算委理事会に提出し、報道陣にも公表した。財務局は、学園の要求を受けて将来土地を売る前提で賃貸契約を結ぶことを検討。文書は、担当部署からの法的な問題の照会に、法務部門がどう回答したかの記録で、学園の要望内容も記されている。佐川氏は国会で「賃貸価格について学園側に先に伝えて交渉することはない」としていたが、文書には、契約前に「国の貸付料の概算額を伝える」との記載があった。財務省は「金額そのものは伝えていない」と取材に答えた。財務省が提出した「森友学園」との交渉内容が含まれる新たな文書のコピー"
"首相、北朝鮮に「日本の考え伝えた」　自民の質問に","2018年2月13日10時11分","政治,国政","安倍晋三首相は１３日午前の衆院予算委員会で、平昌（ピョンチャン）冬季五輪開会式に合わせて訪韓した成果について語った。首相は文在寅（ムンジェイン）大統領との日韓首脳会談で慰安婦問題や北朝鮮問題への日本の立場を伝えたことを明らかにしたうえで、北朝鮮との接触についても述べた。【速報中】衆院予算委集中審議タイムライン自民党の柴山昌彦氏の質問に答えた。首相は「（大統領主催の）レセプションの機会に（北朝鮮の）金永南・最高人民会議常任委員長に、私から拉致・核・ミサイル問題を取り上げ、日本側の考えを伝えた。特に拉致問題解決を強く直接、金氏に求めた」と説明。その上で「訪韓は、韓国および北朝鮮に我が国の立場を直接伝える観点から大変有意義だった」と述べた。"
"９条テーマ、模擬国民投票計画　市民団体、リハでは激論","2018年2月13日01時25分","政治,国政,有料記事","憲法９条に自衛隊を明記する改憲案を安倍晋三首相が打ち出し、改正に必要な国民投票も現実味を帯びる。「戦力を持たない」とする条文と自衛隊のあり方をどう捉えればよいのか。市民団体は今月１５、１６日に与野党の国会議員を招いて模擬国民投票を実施。議論を通じ、憲法への理解を深めようと模索する。東京都内で１月１４日にあった市民グループ「〈９条３択・国民投票〉の実現をめざす会」の会合。約２０人が憲法９条について、「現行条文」「自民党で検討している改正案」など条文案を選択し、それぞれの解釈に基づき五つの立場から議論した。企画している模擬国民投票のリハーサルという位置づけだ。企画メンバーの一人のジャーナリスト今井一さん（６３）は「首相の改正案は自衛隊の存在をあいまいにした現状を追認するだけのもの」と指摘。その一方で「護憲派も条文を守ることに固執し本質的議論を避けている」とし、「この試みで、国民投票の前に真の論点をあぶりだしたい」と狙いを話す。議論は熱を帯びた。「自衛を含めあらゆる戦争を放棄するとの解釈で現行条文を護持」という参加者が「自衛戦争とそれ以外の戦争との区別は明確ではなく、一切の戦力を認めるべきではない。第２次大戦の教訓と人類の理想を胸に、自衛隊は縮小・解体すべきだ」と述べると、「非武装など現実的ではない。国民の支持を得られると思っているのか」と反論が出た。安倍首相が提案する「現行の１項、２項を残し自衛隊を明記する」との案に賛同する参加者が「国民の８割以上が自衛隊を容認している。違憲論を封じるために書き込むのは悪いことではない」と訴えると、別の参加者は「それでは２項と矛盾する。自衛隊が戦力でないと言い張るのは無理」と切り返した。その他の参加者も「自衛隊の存在は明らかに９条に反している」「必要最低限度の範囲内なら必要」「では書き込んでもいいのでは」「憲法は理想を掲げるもの。現実に合わせるのは違う」と応酬した。浮き彫りになったのは、「護憲派」や「改憲派」とくくられる人たちの間でも主張が一様ではないことだ。企画メンバーの映画監督宮本正樹さん（４４）は「模擬投票自体よりも、その前の熟議にこそ意味がある。国民投票をきっかけに国民が自ら考えを深めて答えを出すことに踏み出せば、国民主権と立憲主義を取り戻すことにつながるはず」と語る。模擬投票は東京・永田町の参院議員会館である。リハーサルと同じ五つの立場で、自民、立憲、希望、民進、共産各党の国会議員が市民１２人と議論する。（石川智也）現行の憲法９条〈１項〉日本国民は、正義と秩序を基調とする国際平和を誠実に希求し、国権の発動たる戦争と、武力による威嚇又は武力の行使は、国際紛争を解決する手段としては、永久にこれを放棄する。〈２項〉前項の目的を達するため、陸海空軍その他の戦力は、これを保持しない。国の交戦権は、これを認めない。模擬投票で議論する憲法９条に対する五つの立場①自衛を含めあらゆる戦争を放棄するとの解釈で現行条文を護持②自衛隊と自衛のための武力行使を認めているとの解釈で現行条文を護持③現行１項、２項を残したうえで、自衛隊を明記する④２項を削除し、自衛隊の目的を明確化する⑤個別的自衛権と自衛戦争の戦力としての自衛隊を認めるが、集団的自衛権は認めない"
"首相動静―２月１２日","2018年2月12日18時36分","政治,国政,首相動静","【午前】１０時５４分、東京・富ケ谷の自宅周辺を散歩。１１時５９分、散歩中に会った小野寺五典防衛相と立ち話。【午後】０時２０分、自宅。"
"立憲・枝野氏「ＪＲ北海道や過疎地のバス路線は不可欠」","2018年2月12日16時31分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）ＪＲ北海道の（経営）問題は大変深刻な問題だ。国鉄改革は（ＪＲに民営化した）あの時点にさかのぼって「間違っていた」とは言えないが、もう一度見つめ直す時期になっているのではないか。北海道の場合はＪＲだが、全国各地では私鉄の鉄道・バスも人口減少、高齢化の時代の中で、３０年、４０年前と比べ、飛躍的に公共交通の持つ役割が大きくなっている。新しいスキームを作ることを含めて、しっかりと今後も成り立っていくための知恵を出していきたい。（安倍政権が財政投融資で３兆円を投入する）リニア（中央新幹線）がなくても東海道新幹線はある。しかし、ＪＲ北海道の多くの鉄軌道や過疎地域の民間バス路線などは、それがないと地域が成り立たないという不可欠なインフラだ。優先順位は誰が考えてもはっきりしている。（１２日、北海道帯広市内の会合と終了後の取材で）"
"安倍首相の発言は「王様みたい」　希望・玉木氏","2018年2月12日14時28分","政治,国政,発言録","玉木雄一郎・希望の党代表（発言録）（安倍晋三首相の「国民投票で否決されても自衛隊は合憲だ」との発言について）国民（投票）にかけて、国民がおかしいと言っていることを、私が言っているから正しいんだというのは王様みたいなもの。権力者に王様のようなふるまいを許さないためにつくられているのが憲法で、そうした考え方が立憲主義。そのことを平気でふみにじるようなことを言っている安倍総理の改憲案は、極めて危険だ。党内でもし９条は変えないということで合意を得られるのであれば、それも一つの大きな柱にして、これから論戦あるいは国民に、しっかり訴えていけばと思っている。（１２日、岡山県倉敷市の会合で）"
"立憲・枝野氏「自衛隊書いても何も変わらないは大うそ」","2018年2月12日04時03分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）（安倍晋三首相が目指す憲法への自衛隊明記について）おかしな方向に動き出した時には止められるが、ある程度動いてしまうと、何百倍、何千倍のエネルギーがかかる。物事はできるだけ早いうちに芽を摘んだ方がいい。特に安倍さんが言っている「自衛隊を（憲法に）書いても何も変わらない」という大うそをどれだけ多くの人たちに伝えられることができるのかが勝負だ。（１１日、北海道帯広市の集会で）"
"山陰新幹線「総裁選の公約に」実現する会の自民・西田氏","2018年2月11日19時15分","政治,国政,発言録","山陰新幹線を実現する国会議員の会・西田昌司事務局次長（自民党参院議員）（発言録）みなさんにちょっと提案したい。石破茂（議員の会）会長が来られています。そして細田博之先生は安倍晋三さんの（出身派閥の）清和研（細田派）の会長。そして竹下亘先生は、平成研（額賀派）の会長予定者です。（議員の会の）最高顧問は安倍さん。石破先生にもぜひ、総裁選に立候補していただいて、山陰新幹線の実現をぜひ、公約に掲げていただきたい。石破先生がやったら、当然、安倍総裁も（公約に）書かざるを得ないんですよ。そして竹下先生にも平成研の政策にぜひ取り上げていただく。そうしますと、実現できる。（松江市であった山陰新幹線の早期実現を求める大会で）"
"首相動静―２月１１日","2018年2月11日18時18分","政治,国政,首相動静","終日、東京・富ケ谷の自宅で過ごす。"
"国民投票「『恐れがある』議論起こると…」自民・細田氏","2018年2月11日17時10分","政治,国政,発言録","細田博之・自民党憲法改正推進本部長（発言録）（参院選の県境をまたぐ「合区」について）今の制度は大きな矛盾があるから、党憲法改正推進本部として（改憲原案の）案文をつくる。まもなく条文化をする。（９条改正については）自衛隊（の存在）をきちっと書く案を今、考えているところだ。もう少し経って、（党内の）議論を収束させたい。憲法改正案は、できるだけ早く整理して、みなさんの納得が得られる案に充実させる。そして国会で審議し、最終的には国民投票にかける。あんまり、「国民投票のときにこういう恐れがある」「ああいう恐れがある」という議論が起こると、反対論が多くなる。そうならないように誘導していくことが必要だ。（松江市内の会合で）"
