"title","date","tags","article"
"立憲・枝野氏「ＪＲ北海道や過疎地のバス路線は不可欠」","2018年2月12日16時31分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）ＪＲ北海道の（経営）問題は大変深刻な問題だ。国鉄改革は（ＪＲに民営化した）あの時点にさかのぼって「間違っていた」とは言えないが、もう一度見つめ直す時期になっているのではないか。北海道の場合はＪＲだが、全国各地では私鉄の鉄道・バスも人口減少、高齢化の時代の中で、３０年、４０年前と比べ、飛躍的に公共交通の持つ役割が大きくなっている。新しいスキームを作ることを含めて、しっかりと今後も成り立っていくための知恵を出していきたい。（安倍政権が財政投融資で３兆円を投入する）リニア（中央新幹線）がなくても東海道新幹線はある。しかし、ＪＲ北海道の多くの鉄軌道や過疎地域の民間バス路線などは、それがないと地域が成り立たないという不可欠なインフラだ。優先順位は誰が考えてもはっきりしている。（１２日、北海道帯広市内の会合と終了後の取材で）"
"安倍首相の発言は「王様みたい」　希望・玉木氏","2018年2月12日14時28分","政治,国政,発言録","玉木雄一郎・希望の党代表（発言録）（安倍晋三首相の「国民投票で否決されても自衛隊は合憲だ」との発言について）国民（投票）にかけて、国民がおかしいと言っていることを、私が言っているから正しいんだというのは王様みたいなもの。権力者に王様のようなふるまいを許さないためにつくられているのが憲法で、そうした考え方が立憲主義。そのことを平気でふみにじるようなことを言っている安倍総理の改憲案は、極めて危険だ。党内でもし９条は変えないということで合意を得られるのであれば、それも一つの大きな柱にして、これから論戦あるいは国民に、しっかり訴えていけばと思っている。（１２日、岡山県倉敷市の会合で）"
"立憲・枝野氏「自衛隊書いても何も変わらないは大うそ」","2018年2月12日04時03分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）（安倍晋三首相が目指す憲法への自衛隊明記について）おかしな方向に動き出した時には止められるが、ある程度動いてしまうと、何百倍、何千倍のエネルギーがかかる。物事はできるだけ早いうちに芽を摘んだ方がいい。特に安倍さんが言っている「自衛隊を（憲法に）書いても何も変わらない」という大うそをどれだけ多くの人たちに伝えられることができるのかが勝負だ。（１１日、北海道帯広市の集会で）"
"山陰新幹線「総裁選の公約に」実現する会の自民・西田氏","2018年2月11日19時15分","政治,国政,発言録","山陰新幹線を実現する国会議員の会・西田昌司事務局次長（自民党参院議員）（発言録）みなさんにちょっと提案したい。石破茂（議員の会）会長が来られています。そして細田博之先生は安倍晋三さんの（出身派閥の）清和研（細田派）の会長。そして竹下亘先生は、平成研（額賀派）の会長予定者です。（議員の会の）最高顧問は安倍さん。石破先生にもぜひ、総裁選に立候補していただいて、山陰新幹線の実現をぜひ、公約に掲げていただきたい。石破先生がやったら、当然、安倍総裁も（公約に）書かざるを得ないんですよ。そして竹下先生にも平成研の政策にぜひ取り上げていただく。そうしますと、実現できる。（松江市であった山陰新幹線の早期実現を求める大会で）"
"国民投票「『恐れがある』議論起こると…」自民・細田氏","2018年2月11日17時10分","政治,国政,発言録","細田博之・自民党憲法改正推進本部長（発言録）（参院選の県境をまたぐ「合区」について）今の制度は大きな矛盾があるから、党憲法改正推進本部として（改憲原案の）案文をつくる。まもなく条文化をする。（９条改正については）自衛隊（の存在）をきちっと書く案を今、考えているところだ。もう少し経って、（党内の）議論を収束させたい。憲法改正案は、できるだけ早く整理して、みなさんの納得が得られる案に充実させる。そして国会で審議し、最終的には国民投票にかける。あんまり、「国民投票のときにこういう恐れがある」「ああいう恐れがある」という議論が起こると、反対論が多くなる。そうならないように誘導していくことが必要だ。（松江市内の会合で）"
"改憲巡り石破氏「石破のほうが好戦的、は正しくない」","2018年2月11日11時10分","政治,国政,発言録","石破茂・自民党元幹事長（発言録）（憲法改正について）党の総裁選の争点になるのは実に望ましい。野党の３年余りの間に改正草案をまとめ、党議決定し、それを掲げて政権を奪還したはず。３年余りの議論をなかったことにするのはやっちゃいけない。「野党の時に決めたもの」という人もいるが、与党になったら違うといったら、野党の時に自民党が何を議論しても誰も信用しない。（９条２項を残す改憲には）反対だ。改正草案はそうなっていない。（安倍晋三首相の９条２項を変えれば、フルスペックの集団的自衛権の行使を認めることも可能との発言について）集団的自衛権は憲法上制約があるわけではなく、自民党で党議決定した安全保障基本法で、こういう場合でなければ使ってはいけないと明記し、集団的自衛権行使に歯止めをかけるということだ。自分のほうが平和的で、石破のほうが好戦的というのは、考え方としてあんまり正しいとは思えない。（改憲での公明党への姿勢を問われ）自民党の考え方を確定しないで、公明党にこれなら妥協をしてもらえるかなどを考えるのは、政党のあり方として正しくない。自民党の考え方を確定し、ハードルを下げていくことはあるかもしれないが、最初から落としどころを決めるのは、自民党議員が突き詰めて理想を考えることを放棄することになる。（ラジオ日本の番組で）"
"「会見しない佐川氏、違和感ある」　自民・石破元幹事長","2018年2月10日19時34分","政治,国政,発言録","石破茂・自民党元幹事長（発言録）（学校法人「森友学園」への国有地売却問題で昨年の国会答弁の妥当性が疑問視されている佐川宣寿・現国税庁長官について）国会で証人喚問や参考人に出てきてくれとは言わないが、記者会見にも応じないのは、正直言ってすごく違和感がある。適材適所で立派な方なのだから、なんらやましいところもないならば、きちんと説明する責任はあると思う。もやもやといつまでも引きずっていると、かえってよくない。どんな質問をされようと、きちんと正当性を主張することが、行政に対する信頼につながると思う。「きちんと行政が正当になされたのだ、なぜならば」、ということを説明していただきたい。与党の一員としてそう思う。（ＴＢＳの番組収録で）"
"高村氏「ＰＫＯや平和安全法制めぐる神学論争は残る」","2018年2月8日23時32分","政治,国政,発言録","高村正彦・自民党副総裁（発言録）「２０２０年に改正憲法を施行したい」というのは安倍晋三総裁の願望。それ以上でもそれ以下でもない。だが、圧倒的な多数を持った政党の党首の願望。それなりに重みがある。野党には「自衛隊を明記すると、ＰＫＯや平和安全法制（安全保障法制）、要するに集団的自衛権の限定容認も合憲になる。そこまで９条２項が空文化される」という人がいる。だが、自衛隊についてだけ書くのだから、ＰＫＯや平和安全法制が合憲かどうか、という神学論争は残る。党の２０１２年改憲草案に、いま、こだわる人もいるが、「発議して国民投票にかけよう」という人は誰もいなかった。石破茂さんも幹事長の時、そういうことは言っていない。（東京都内の講演で）"
"自由・小沢氏「候補者調整は当たり前、協力体制考えて」","2018年2月7日08時06分","政治,国政,発言録","小沢一郎・自由党代表（発言録）（民進党大会で大塚耕平代表が来年の統一地方選、参院選に向けて野党間で候補者調整を急ぐ考えを示したことについて）うーん、現状のままではね、候補者調整っつったってね、そう簡単にまとまるっちゅう感じは見えないね。やっぱりどういう野党の連携、結集の体制の下で候補者調整をしていくのかということがないとね。ただ、ここをどうする、ああするっちゅうだけではね、全部たまたま一致して「この人」ってなればそりゃいいけれども、そう簡単にはいかないからね。利害がぶつかるっちゅうことになると調整も難しくなる。ですから、最終的に（野党間で）候補者調整していかなきゃならないのは当たり前のことだからね、それを可能にするためにはどうしたらいいかっちゅうことを考えなきゃいけないね。今の状況の中で（民進）党大会が開かれて、まあ話のしようがないから言ったのだろうけれども、もう少し大枠の協力体制をどうすっかっちゅう方向でしっかりと考えてもらわないといけないだろうと思います。（国会内での記者会見で）"
"立憲・枝野氏「いい仕事すれば、結果的に政権預かる」","2018年2月4日21時51分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）民主党、民進党に期待をいただけなかった動きの中で、私は幹事長などの大事な仕事をお預かりしていた。「政権交代可能な勢力を作るんだ」と言ってきても、多くの国民の皆さんは、誰が総理大臣だろうが、何党が与党だろうが、関係ない。大事なことは、国民の暮らしの声、国民の皆さんの期待する政治をするかどうか。「政権交代」という手段が目的であるかのように受け止められてしまっていた強い反省と共に、いま、同じ間違いをしてはいけないと思っている。いい仕事をしていれば、結果的に政権をお預かりすることになる。政権交代は目的ではなく結果だ。（４日、さいたま市内の会合で）"
"自衛隊明記「３項でも別項でも難しい議論」公明党幹事長","2018年2月4日10時48分","政治,国政,発言録","井上義久・公明党幹事長（発言録）（憲法９条に自衛隊を明記するという安倍晋三首相の提案などについて問われて）自衛隊の存在を憲法上どう明記できるかは議論の余地がある。ただ、これまでの憲法解釈をこえる形で明記することはできないので、３項にしても新しい別項をたてるにしても、なかなか難しい議論だ。憲法はきわめて重い問題で、何かそれを、政局に利用するという考え方は間違っている。我々は加憲と言っているが、現実的な課題に、憲法上ただちに制約があって、法律が作れないということは、私の感覚としてはまだないだろうと思っている。ただ、どういう国をめざすのかという議論は憲法に反映するので、国民的なコンセンサスをどうつくるかが大きな課題。国会の議論と国民の合意が同時並行で進むような議論の仕方が大事ではないか。（４日放送のラジオ番組で）"
"立憲・辻元氏、佐川氏が来ない国会「税法審議できない」","2018年2月3日19時05分","政治,国政,発言録","辻元清美・立憲民主党国会対策委員長（発言録）（森友学園問題に絡み、国税庁長官の佐川宣寿・前理財局長について）もう国会に来ていただくしかない。まもなく税関係の法案の審議が始まりますが、税を取り扱うトップの国税庁の長官がですよ、記者会見もしない。国会で虚偽答弁ではないかと言っていることについてもお答えにならない。それで、税法の審査なんかできないと思います。（３日、沖縄県名護市で）"
"「籠池氏を保釈して説明求めたい」立憲・枝野氏","2018年2月2日18時58分","政治,国政,発言録","枝野幸男・立憲民主党代表（発言録）（森友学園前理事長の）籠池（泰典）さんが長期にわたって勾留されて外部とやりとりができない。第１回公判まで保釈がされにくい日本の司法の仕組みは分かっているが、これは一種の政治犯。勾留を続けていることは「不当だ」と言われても仕方がないのではないか。籠池さんに今さら証拠隠滅の恐れはないですよ。証拠隠滅してきているのはむしろ財務省。保釈を認めない理由はない。保釈をして、（音声データなど）新しい材料も出てきているので、ご本人に説明を求めたい。（２日、ＴＢＳの番組収録で）"
"緊急事態条項、改憲より「法整備で」　公明・北側氏","2018年2月1日18時51分","政治,国政,発言録","北側一雄・公明党中央幹事会会長（発言録）緊急事態の時に「政府の権限を強化する」「国民の権利を制限していく根拠を設ける」ということを憲法上、規定する必要性を感じていない。現行の危機管理法制で、さまざまな措置が認められている。そこに不備があれば、法律を整備していく事柄ではないか。緊急事態の場合に、（国会議員の）任期が切れて、国会が十分に機能しないのはいかがなものかという論議は十分議論に値する。一方で、参院の緊急集会の規定もある。任期（延長）という例外を設けることになるわけで、緊急事態は何か。誰が判断するのか。どういう手続きで判断するのか。これは相当ハードルが高い。（定例会見で）"
"麻生財務相の答弁「聞き捨てならん」共産・小池書記局長","2018年1月29日20時59分","政治,発言録","小池晃・共産党書記局長（発言録）今日の（衆院予算委員会の）質疑でちょっと許せないと思ったのは、佐川（宣寿）国税庁長官の記者会見が就任時も含めて、いまだに行われないことについて、麻生太郎財務相が、税務行政以外の質問がなされることになる、ということで是認したと。これは重大じゃないか。国民の多くが、森友問題で明らかな虚偽答弁をした人物が税務行政の責任者であっていいのかという疑問を持っている。国民から見れば、税務行政に関わる重大な疑問なわけで、それを（記者会見で）問いただすのは当然ではないか。ところが、そういったことを口実に記者会見をやらない佐川氏を財務大臣までよしとする。これはもう、安倍政権ぐるみで真相隠しをやっていると言われても仕方がないのではないか。この答弁はちょっと聞き捨てならんと思って聞いた。（記者会見で）"
"「今年は沖縄が選挙イヤー」　塩谷立・自民選対委員長","2018年1月28日16時38分","政治,国政,地方選挙,発言録","塩谷立・自民党選挙対策委員長（発言録）今年は沖縄が選挙イヤーだ。今日まさに名護市の選挙の告示で、来週の日曜が選挙。１１月か１２月には（沖縄県）知事選がある。これは日本の安全保障、沖縄の発展も含め、大事な大事な選挙になる。（今年は自民党）総裁選もあり、日本の政治の将来を決める大きなポイントになる。安倍さんの３期目、どうなるか。（総裁選は）たぶん９月になる。時代のいろんな変化、国会の流れのなか、どういう風になるか。私は安倍さん出身の清和研という（自民党の派閥）会派に所属している。なんとしてでもいい方向で、（３期目という）そっちの方向を目指して頑張ってもらいたい。（浜松市での新春賀詞交換会で）"
"志位氏「安倍政権の姿勢、暴言につながった」松本氏ヤジ","2018年1月27日18時36分","政治,国政,発言録","志位和夫・共産党委員長（発言録）国会でとんでもない出来事が起こりました。私は代表質問で、沖縄の米軍基地問題をただしました。安倍（晋三）首相はまともな答弁、できません。ただ、とんでもないヤジが自民党席から返ってまいりました。松本文明内閣府副大臣が「それで何人死んだんだ」とヤジったんです。国会議員になって２５年、いろんなヤジを浴びてきましたが、今回が一番悪い。なぜなら私に対するヤジじゃない、県民の皆さんへのヤジじゃないですか。「死者が出ていないんだからいいだろう」と言わんばかりの発言じゃないですか。批判に慌てて辞任しましたけどね、辞めれば済むというものではありません。こんなとんでもない人物を任命した安倍首相の責任が厳しく問われると思います。米軍機が事故を起こしても、すぐに訓練を再開してしまいます。その時に、安倍首相は一度でも米軍に「飛ぶな」と言ったことがありますか。一度もないじゃないですか。そうした安倍政権の姿勢があの暴言につながったことは明らかではないでしょうか。（沖縄県名護市での街頭演説で）"
"自民額賀派・竹下氏「私は幸か不幸か半分当事者…」","2018年1月26日20時21分","政治,発言録","竹下亘・自民党総務会長（発言録）自民額賀派、分裂含み　「ポスト安倍」候補も動き活発に（自民党額賀派の額賀福志郎会長に対する退任要求で後継に取りざたされていることについて）いま動いている状況ですので、しかも私は幸か不幸か、半分当事者みたいな立場に立たされていますので、私自身は動かないということを決めております。どういう状況になっているかはまだ私も分かってない部分もありますが、まだお話をすべき状況ではないな、とこう思っております。正直言って、衆院と参院の意思の疎通がしっかり行っていなかったな、という思いは私にもあります。（定例会見で）"
