"title","date","tags","article"
"久屋大通公園、三井不動産代表のグループが再開発　愛知","2018年2月13日11時56分","社会,その他・話題,経済,産業・商品,政治,地方政治","名古屋市は１３日、名古屋テレビ塔を含む久屋大通公園（中区）北地区の再開発を担う事業者について、三井不動産を代表とする企業グループに決めたと発表した。五つの広場計１万平方メートルとテラスを設け、飲食店が入る施設を建てる。２０１９年１月にも工事を始め、２０年に完成する予定。【特集】名古屋駅、変わりゆく街企業側の提案によると、テレビ塔近くにステージを設置。トイレや駐輪場を増やし、電子看板も置く。市は都市公園法改正による規制緩和を受け、同公園の整備や運営を一括して任せる企業を公募していた。２７年のリニア中央新幹線開業を見据え、同公園を含む栄地区の魅力向上を図る。"
"イサム・ノグチの噴水、万博公園に復元へ　宇宙船や彗星","2018年2月13日11時22分","政治,地方政治,カルチャー,アート・文芸,トラベル,有料記事","１９７０年の大阪万博の当時から万博記念公園（大阪府吹田市）に残る二つの「遺産」の復元に、大阪府が乗り出す。大阪府は万博から５０年が経つ２０２０年以降に「太陽の塔」の世界遺産登録をめざしており、周辺の整備も進める。太陽の塔特集はこちら復元するのは１００８個のスピーカーが館内に取り付けられた音楽ホール「スペースシアター」と、芸術家の故イサム・ノグチが「宇宙空間の夢」をテーマに作った６基の独創的な噴水だ。シアターはパビリオン「鉄鋼館」の一部で、演出プロデューサーは作曲家の故武満徹。万博当時は音とレーザー光線のショーのほか、能や文楽の特別公演が開かれた。現在は老朽化などで中には入れない。イサム・ノグチの噴水は園内の「夢の池」に５種６基が残る。ドーム状で水面に浮き沈みしながら四方に水を出す「宇宙船」や、下方に向かって水を強力に噴射する高さ３３メートルの「彗星（すいせい）」などがある。閉幕後はオブジェとして残されてきた。大阪府は新年度予算案で設計費や調査費として計３６００万円を計上。シアターは２０年に再び公開する予定だ。噴水の再開時期は未定だが、新年度から復元に向けて調査する。園内の太陽の塔については、国内の文化財登録の基準である築５０年を経過する２０年以降の世界遺産登録をめざしており、大阪府は新年度予算案に調査費３００万円を盛り込む方針だ。併せて園内の魅力を高めようと、万博の遺産の復元を決めた。（太田成美）"
"性被害者支援に男性相談員配置へ　岐阜県、被害男性対応","2018年2月12日17時14分","政治,地方政治,岐阜","性暴力を受けた男性が被害を相談しやすいように、岐阜県は被害者からの相談を受け付ける「ぎふ性暴力被害者支援センター」（岐阜市）に１３日から男性相談員６人を配置する。まずは３月２７日までの試行的な取り組みだが、その後も男性相談員による対応を続ける考えだという。男性が相談に応じるのは第２、４火曜日の午後４～８時。相談窓口は（０５８・２１５・８３４９）。女性相談員が電話を受けたあと、相談者の意向を確認したうえで、必要に応じて男性相談員に取り次ぐ。これまで相談員は３３人いたが、すべて女性だった。男性の性被害については、昨年７月に施行された改正刑法で、従来の「加害者は男性、被害者は女性」という固定化した価値観に基づく考え方が撤廃され、性別に限らず対応することが求められている。このため県は、男性被害者からの相談が増える可能性があると想定している。県によると、昨年度にセンターに相談があった被害者３８３人のうち、１６人が男性だったという。（吉川真布）"
"火葬場が足りない　冬場は「１週間待ち」の自治体も","2018年2月12日10時51分","社会,政治,地方政治,神奈川,有料記事","少子高齢化が進むなか亡くなる人の数が年々増加し、火葬場の「待ち日数」が長くなっている。横浜市が火葬場の新設を決めるなど、各自治体が対策に動き出した。一方、待ち日数を利用した新サービスも生まれている。横浜市の推計では、増え続けてきた市の人口は２０１９年をピークに緩やかな減少に転じ、今後は急激な高齢化が進む。これにより、死亡者数も大幅に増える。市内の死亡者数は１６年に３万１８３３人だったが、３５年には約４割増の４万５千人に達する見通しだ。火葬件数はすでに増加傾向だ。市内にある市営４斎場と民営１斎場の火葬件数は、０８年度に２万５５８３件だったが、１６年度には約２４％増の３万１６８１件にのぼった。火葬の待ち日数も伸びている。１４年度は平均３・７１日だったが、１６年度には４・０１日。お昼前後の火葬を希望する人が多く、昼に限れば待ち日数はもっと長い。死者数が多い冬季は待ち日数が長くなるという。横浜市は１９９８年度から、「葬儀を行うのを忌む日」とされる「友引」の日にも１斎場を、２０１６年度には３斎場を開き、火葬増加に対応してきた。だが、今後も増加が続き、対応しきれなくなると判断。鶴見区大黒町の埋め立て地に新たな斎場を建設する方針を決め、新年度予算案に計画費など２千万円を盛り込んだ。新斎場の予定地は現在はスポーツ広場として使われており、周辺は倉庫や工場が立ち並ぶ。広い面積が確保できる敷地として選ばれた。１６基の火葬炉を作り、最短で２５年度の完成を見込む。市環境施設課の担当者は「新しい斎場ができれば安定的に火葬ができるようになり、待ち日数も減っていく」と話す。相模原市営斎場も、１～３月の正午前後は火葬が５～６日待ちの状態。徐々に長くなっているという。同斎場では、火葬できるのは年間７７００件程度。亡くなる人が増え、約１０年後には火葬能力が足りなくなる見込みだという。市は緑区青山に新たな市営斎場を作る方針を打ち出したが、住民の反発もあり、見通しは立っていない。川崎市には市営の２斎場があるが、０６年度に計８３６１件だった火葬件数は１６年度に１万３５３件。１０年で約２４％増えた。冬場は１週間ほど火葬を待つこともあるという。市は今後も予想される需要の増加に対応するため、かわさき北部斎苑（高津区）を改修中だ。小田原市でも、現在の斎場の老朽化や今後の需要増を見込んで施設を更新中で、１９年度中に一部供用を開始する。各地で待ち日数が長くなるなか、この時間を利用した新たなサービスも生まれている。川崎市中原区の葬儀社「花葬（はなそう）」は１月、火葬待ちの数日の間に故人を家族らと一緒に車に乗せ、故人ゆかりの地などをめぐるサービスを始めた。「寝台車」と呼ぶ黒や銀色のワゴン車に乗せる。家族などが２人まで同乗できる。たとえば、遠い故郷を離れて川崎で暮らしていた故人を乗せて、火葬前に故郷をめぐり、川崎に戻るといった使い方を想定している。車で行ける場所なら全国どこでも対応可能で、川崎から大阪に行って戻ると約１５万円。高速料金が別にかかる。同社の大屋徹朗社長（３３）は「火葬まで日数がかかり、その間に何かできないかと思っていた。故人の思い出の地をまわって、火葬までの時間を有意義に使える」と話す。（飯塚直人）"
"下は渦潮、サイクリング道検討　大鳴門橋、風の影響検証","2018年2月10日10時20分","政治,地方政治,トラベル,徳島","四国と淡路島を結ぶ大鳴門橋（全長１６２９メートル）に自転車道を新設する計画が検討されることになった。安全面や採算性などが課題だが、実現すれば「鳴門の渦潮」の上を走るサイクリングコースになる。大鳴門橋は１９８５年６月に開通した。自動車道（上層）と、将来の四国新幹線整備を見据えた線路敷設用の鉄道橋（下層）の２層構造。下層は徳島県側の一部を渦潮観光の遊歩道「渦の道」にしている以外は利用されておらず、自転車道として活用する計画という。徳島、兵庫県は今年度、大鳴門橋への自転車道整備についての勉強会を開催。８日発表の徳島県の２０１８年度一般会計当初予算案には調査費２３００万円が盛り込まれた。両県は自転車道を設置した場合の橋の強度を調べるほか、海面から高さが約４５メートルあるため、模型を使った実験で風の影響を検証する。サイクリングは人気が高く、広島県尾道市から愛媛県今治市に至る「しなまみ海道」や、滋賀県の琵琶湖を一周する「ビワイチ」など各地で特長を生かしたコースがＰＲされている。鳴門海峡周辺でも昨秋、兵庫県南あわじ市と徳島県鳴門市、香川県東かがわ市に、淡路島と四国北東部をめぐるサイクリングコース（全長約１２０キロ）が設定された。ただ、大鳴門橋は高速バスで移動し、自転車はトラックなどで運んでもらう必要があった。（佐藤常敬）"
"児童に体罰、女子生徒とキス…　愛知県教委が２教諭処分","2018年2月9日21時11分","政治,地方政治,教育・子育て,教育問題","愛知県教育委員会は９日、児童９人に対し額を黒板にぶつけるなどの体罰を行っていたとして、同県豊橋市立岩西小学校の男性教諭（４３）を停職６カ月の懲戒処分としたと発表した。教諭は９日付で退職した。県教委によると、教諭は昨年１０月、担任する２年生の女子児童を授業中に黒板の前に連れて行き、「よく見てよ」と言いながら後頭部を持って額を黒板に複数回ぶつけた。この児童は２週間ほど不登校になった。児童らへの聞き取り調査で教諭は計９人に１４件の体罰をしていたことが判明。いずれもけがはなかった。教諭は２０１２年にも体罰で戒告処分を受けていた。また、自校の高校２年生の女子生徒と自宅でキスをして胸を触るなどのわいせつ行為をしたとして尾張地区の高校の男性教諭（２６）を停職６カ月とした。女子生徒と交際していたという。教諭は９日付で退職した。"
"法人市民税の減税、１９年度廃止へ　名古屋市","2018年2月9日14時33分","社会,経済,金融・財政,政治,地方政治","名古屋市の河村たかし市長は９日、看板政策「市民税５％減税」のうち、法人市民税分を２０１９年度に廃止すると発表した。国の法人実効税率引き下げを理由に挙げ、「減税を先導する役割は果たせた」と説明している。個人市民税の減税は続ける。市は減税の条例改正案を１９日開会の２月市議会に提案する。名古屋市の市民税収は１８年度当初予算案で２７９２億円。主に企業が納める法人市民税は２割強の６４７億円、個人市民税は８割弱の２１４６億円を見込む。市が法人市民税の減税をやめるのは、国が法人実効税率を段階的に引き下げているのが理由だ。市が５％減税を始める前年の１１年度は３９・５４％だったが、１８年度は２９・７４％に下がる。河村氏は会見で「国が圧倒的に下げたので、企業には理解いただきたい」と話した。法人税減税の廃止で生まれる財源は約３４億円。その半分を子ども支援などの重点政策に配分し、残りを新設する「企業寄付促進特例税制」に割り当てる。この税制は１９、２０年度の２年間限りで、ＮＰＯや社会福祉法人などに年間５千円以上寄付をした法人の市民税を減額する。減額幅は寄付額の６９％。河村氏は「努力しているＮＰＯにあったかいお金がいくよう、協力をお願いしたい」と寄付を呼びかけた。河村氏は０９年の市長選で市民税１０％減税を公約して初当選。１０％減税は議会の反対で１０年度限りになったが、その後の市議選で、河村氏が代表の地域政党・減税日本が第１会派に躍進。１２年度から５％減税が続いている。（諸星晃一）"
"陸自ヘリ墜落、防衛相が現場訪問し謝罪へ","2018年2月9日11時24分","社会,事件・事故・裁判,政治,国政,地方政治","小野寺五典防衛相は９日午前の閣議後会見で、陸上自衛隊の戦闘ヘリコプターが住宅に墜落した佐賀県神埼（かんざき）市の現場などを１０、１１日に訪問し、関係者に謝罪する方針を明らかにした。小野寺氏は「大臣として直接謝罪に伺い、現地の状況も確認したい」と語った。１０日に神埼市役所や墜落現場を、１１日に佐賀県庁を訪問し、山口祥義知事らと会談する。墜落で負傷した女児の家族に対しても「可能であれば、お会いして謝罪したい」との意向を示した。（相原亮）"
"辺野古移設「分断は尾を引いている」　名護新市長が就任","2018年2月8日10時46分","政治,地方政治,沖縄はいま","４日の沖縄県名護市長選で初当選した渡具知武豊市長（５６）の就任式が８日、市役所であった。渡具知氏は、米軍普天間飛行場（宜野湾市）の名護市辺野古への移設問題について、「分断はずっと尾を引いている。市民がいがみあうことがないよう、私の考えを丁寧に説明していくことが必要だ」と記者団に述べた。具体的な考えは明らかにしなかった。特集：沖縄はいま渡具知氏は辺野古問題について、市長選を通じ、「（国と県の）裁判の行方を注視する」とする一方、米軍基地の再編交付金は受け取る意向を示していた。就任式では、職員を前に「みなさんには思想信条を超えて、公務員として市政の運営に共に取り組んで欲しい」とあいさつした。渡具知氏は来週には上京し、政府や市長選で支援を受けた自民党関係者らと面会する予定。（小山謙太郎）"
"武蔵小杉駅の混雑対策、「課長級」ポスト新設へ　川崎市","2018年2月7日08時53分","政治,地方政治,鉄道,神奈川","川崎市は６日、ＪＲ武蔵小杉駅（同市中原区）の激しい混雑が問題化していることを受け、同駅の混雑対策を担当する課長級ポストを４月に新設すると発表した。ラッシュ時にホームが通勤客で埋まり、危険性が指摘されてきた同駅。市は「命に関わる差し迫った問題」として対策を急ぐ。同駅の乗車人数は、横須賀線の新駅ができた直後の２０１０年度は約９万９６００人だったが、１６年度は約１２万８千人に増えた。東急線の駅もあり、都心へのアクセスもよいため周辺にタワーマンションが立ち並び、人口が増えている。平日の朝は長い列に並ばないと改札に入れない。これまで同市の福田紀彦市長は記者会見で「相当危険な状態」と指摘していた。市は新ポストの職員ら７人態勢で、住民から転落防止策として要望が上がっているホームドアの設置や、混雑緩和のため列車の編成を長くすることなどについてＪＲとの調整に取り組むほか、時差出勤で混雑を緩和する「オフピーク通勤」の導入も進める。（斎藤茂洋）"
