"title","date","tags","article"
"松下幸之助の起業家精神を再び　パナソニックの原点回帰","2018年2月8日18時06分","経済,産業・商品,テック＆サイエンス,デジタルもの,カルチャー,ひと・歴史,有料記事","１０１年目のパナソニック　岐路に立つ：２シリコンバレーで目指すのは、原点である「ベンチャー」への回帰だ。【特集】１０１年目のパナソニック世界一狙う新拠点、窓の外はアップル本社　パナソニック１９１８年３月７日、松下幸之助は、大阪市福島区の自宅１階を小さな工場にして、松下電気器具製作所（現パナソニック）を創業した。アップルの創業者スティーブ・ジョブズが、自宅ガレージでパソコンを作ったのと重なる。「こんなものは実用にならない」幸之助が大阪の大阪電灯（現関西電力）勤めだったとき、上司から浴びた一言が、起業のきっかけだったという。手には、電球をねじ込むソケットの改良品を持っていた。コンセントが無い時代、電灯と電化製品を同時に使える「二股ソケット」がヒットし、成長の足がかりを得る。２７年に電気アイロンを出して家電に進出。戦後、家電の普及とともに会社はどんどん成長した。松下がとったのは、他社が製品を出した後に、安く、品質を向上させたものを売り出す戦略だ。低コストで大量生産する技術には磨きをかけた。「マネシタ電器」とからかわれることもあったが、幸之助は動じない。「よその品物の良いところを徹底的に研究して、何か一つか二つ、足せばええ」高度成長期にはカラーテレビが、７０年代は家庭用ビデオが成長を支えた。売上高は毎年のように１割を超えるペースで伸び続けた。今年１月下旬、兵庫県尼崎市の沿岸部で、重機がうなりをあげていた。パナソニックが、巨額をつぎ込んだプラズマパネル工場の「夢の跡」。すでに売却され、物流施設の建設中だ。プラズマに社運を賭けたのは、００年に社長に就いた中村邦夫だった。中村は、「創業者の理念以外は全部変える」と宣言。「破壊と創造」を掲げ、バブル崩壊以降に目立ち始めた、大企業病の克服を目指した。大企業病の一端は、例えば９０年代の家電量販店に、垣間見える。ＦＡＸ売り場に並ぶ「パナファックス」と「おたっくす」。どちらも「Ｐａｎａｓｏｎｉｃ」のロゴが入っていた。二つの子会社が別々に開発し、販売していた商品で、開発費が二重にかかるだけでなく、互いに価格競争をあおった。ラジオとカセットデッキ、二つの事業部が、それぞれ「ラジカセ」を開発する。こんな例は、あげればきりがない。家電事業担当の元幹部は、「判断ができない組織になっていた」。大企業病と戦った中村は、しかし同じ病に苦しめられた。その象徴が、プラズマ工場だ。プラズマは、薄型テレビの画面の覇権を、液晶と競った。もともと大型化が難しいとされた液晶の技術が上がり、プラズマは劣勢になった。パナソニックはそれでも、投資を繰り返し、１２年３月期から２年連続で、純損益が７千億円を超える赤字に陥った。あるＯＢは「中核事業で『負けるからやめます』なんて言えない。投資が危うくなればなるほど、次の投資で勝つと言わざるを得なくなった」と振り返る。当時、各部署がつくった報告資料は社長の手元に届くまでに「２０回以上は書き直すのが当たり前だった」（別のＯＢ）という。遠い存在のトップに現場の雰囲気は伝わらなかった。中村が会長から相談役に退いた１２年、津賀一宏が社長に就いた。シリコンバレーの開発チームには「パナソニックβ（ベータ）」と名付けた。ＩＴ業界などでβは、「不完全なもの」を表す。問題が残っても先に進めていく、ベンチャーのやり方を取り入れる。リーダーには、他社から引き抜いた馬場渉（４０）を充てた。だがそれはまだ道半ばだ。日本マイクロソフト会長などを経てパナソニックに出戻った専務の樋口泰行の目にも、「内向き仕事が多い会社」と映る。創業１００年の節目を迎えても、お祝いムードは薄い。津賀は、「従来のやり方では、次の１００年どころか、１０年２０年も生き残れない」とつぶやいた。＝敬称略（清井聡、岩沢志気）"
"世界一狙う新拠点、窓の外はアップル本社　パナソニック","2018年2月8日14時31分","経済,産業・商品,テック＆サイエンス,デジタルもの","１０１年目のパナソニック　岐路に立つ：１大きな窓のそばのソファで、若者たちが議論する。「こんなものがあったら便利じゃない？」「こうやったらできると思うんだよね」やりとりを聞いていたデザイナーがパソコンをいじり映像化。これをもとに、すぐに模型のような試作品ができあがる。ここは米シリコンバレーにある、パナソニックのオフィス。昨年できたばかりの、商品開発拠点だ。メンバーは２０～３０代が中心の約３０人。家電、電子部品、住宅設備など、出身母体もさまざまだ。これまでに１千以上の商品やサービスの種が生まれた。最終製品に近い試作品も三つできた。チームを率いる馬場渉（４０）は「（製品を）出しながら社会に問いたい」。パナソニックは、苦い経験を繰り返してきた。例えば、掃除ロボット。米アイロボット社がルンバを発売した２００２年、パナソニックも試作機を発表した。しかし発売は１３年後。すでにルンバのシェアは７割で、「類似商品」の一つに数えられただけだった。これまでは開発過程で若手が意見を言うと、上司は「根拠はあるのか」「データを持ってこい」とたたみかける。新しいアイデアは取り上げられにくかった。【特集】１０１年目のパナソニックパナソニックは３月７日、創業１００年を迎える。日本を代表する家電メーカーは、社会とともに成長し、転換点を迎えている。企業のあり方やくらしなど、幅広い視点で歩みを振り返り、未来を展望する。馬場は、終身雇用が根づく社内で、異色の存在だ。昨年４月、ドイツのソフトウェア大手のシリコンバレーオフィスから招かれた。馬場はメンバーに、ここの空気を大きく吸い込み、日本に持ち帰って欲しいと考えている。【特集】１０１年目のパナソニックシリコンバレーでは、半導体大手のインテル、ｉＰｈｏｎｅ（アイフォーン）のアップル、検索最大手のグーグルなどが次々に生まれている。パナソニックは８０年代、「世界一」の家電メーカーのひとつだった。今は売上高で韓国サムスン電子の３分の１ほど。シリコンバレー発の新興企業にも、次々に抜かれていった。「この２０年で立場は大きく逆転した。でも、世界一の地位は奪還できる」オフィスのボードに、「松下電器は人を作る会社です」という言葉が添えられた創業者、松下幸之助の写真が貼ってある。会社を一から立ち上げた「原点」だ。窓の外には、アップルの本社が大きくそびえていた。＝敬称略（岩沢志気）"
"世界的な半導体活況続くか　製造装置メーカー社長に聞く","2018年2月5日17時24分","経済,産業・商品,テック＆サイエンス,デジタルもの","人工知能（ＡＩ）や、あらゆるモノがネットにつながる「ＩｏＴ」の広がりで、半導体業界が世界的に活況です。半導体製造装置メーカーのレーザーテック（横浜市）も好業績で、株価はこの２年で３倍近くになり、国内に２００人強いる社員の平均年収は１千万円を超えています。この活況は続くのか、岡林理（おさむ）社長（５９）に聞きました。――業績が好調ですね。「半導体がパソコンやスマートフォンだけでなく、企業のデータセンターや、電動化が進む自動車にも使われ始めている。それで顧客の半導体メーカーから検査装置の注文が増えている。この１年で急に活気づいた感じがする」――日本の製造業は、韓国や中国勢の追い上げに苦しめられています。「韓国や中国に同様の製品をつくれるメーカーはない。光や電気を扱う技術のほか、画像処理や精密技術も求められるから、追いつくのは大変だろう」「競合は、ほぼ米国のＫＬＡ―テンコール１社。ここは幅広い製品を扱うデパートのような存在で、企業規模がずっと大きい。これに対して、うちは得意な製品に集中し、そこでシェアを高める戦略だ。半導体づくりに不可欠な材料の『マスク』や『マスクブランクス』の欠陥検査装置は、世界シェアがそれぞれ７５％、１００％になっている」――社員の給与が高いことでも知られています。「良い人材を集めるためだ。好待遇なら、良い仕事ができる。私が以前勤めていた企業にも、そんな標語があった。人手不足感が出てきて毎月のように中途採用をしている。必要な人数は確保できている」――半導体業界は過剰生産による「バブル」が起きやすいとされ、これまでは需要の急減もありました。「今回は状況が違う。かつてはパソコン、スマホと、単一の商品に需要が引っ張られていた。いまはデータセンターからＡＩ、ＩｏＴ、電気自動車、自動運転技術と、商品が複数ある。次世代通信技術の５Ｇの導入も控えている。多少のデコボコはあっても右肩上がりで需要は伸びていくだろう」――不安はない、ということでしょうか。「あるとすれば円高。売上高の７割ぐらいは海外メーカー向けなので、円高だと価格競争力が下がる」――海外でつくって納品すれば、解決しそうです。「うちは、自前の国内工場では試作や最終的な調整、性能の確認をするぐらいで、製造の大部分を他社にゆだねている。ただ、国内でつくるメーカーにしか頼まない。複雑な製品のため、委託先と近い距離で緊密に連絡を取り合う必要があるからだ。今後も海外生産の予定はない」◇レーザーテック１９６０年、Ｘ線テレビの開発会社として創業。主力は半導体の検査装置。液晶パネルの検査装置なども手がけるが、売上高の７割強は半導体関連で稼ぐ。２０１３年に東京証券取引所１部に上場した。２０１７年７～１２月期決算は、売上高が前年同期比２０・５％増の１０４億円、純利益は２５・９％増の２４億円。１８年６月期（通期）の業績予想は、売上高が前年より２割超も増える見通し。（聞き手・内藤尚志）"
"「北斗の拳」だけ全巻読める電子書籍　ベンチャーが開発","2018年2月5日15時55分","経済,産業・商品,デジタル製品,テック＆サイエンス,デジタルもの,有料記事","ネットにつながらず、コンテンツも増やせず、読めるのは漫画「北斗の拳」全巻だけ――。そんな電子書籍端末を東京都内のベンチャー企業が開発した。こだわったのは、紙の手触りや本を開く感覚の再現だ。電子書籍に距離を置く「紙で読みたい漫画ファン層」を取り込めると踏んだ。端末は、その名も「全巻一冊　北斗の拳」。大きさはＡ５判の漫画本と同じだ。外装は紙でつくり、主人公ケンシロウや宿敵のラオウが描かれたカバーをつけた。本を開くように端末を開くと、左右に見開きで配置された２枚の画面に電源が入り、「北斗の拳　究極版」の全１８巻がモノクロで読める。開発したのは東京都江東区のプログレス・テクノロジーズ。きっかけは「電子書籍が思ったほど普及しない」という違和感だった。出版科学研究所によると、紙の出版物の市場は１兆３７０１億円だが、電子出版は２２１５億円。小西享取締役は「電子端末が進化しすぎて、紙で読みたい人にマッチしていない」と話す。ネット上で作品を探して決済し、データをダウンロードする一般の電子書籍は一つの端末で複数の作品を楽しめる便利さがある。一方、本の質感はなく、お気に入りの作品を自分の本棚に並べておくといった「所有する楽しみ」も薄い。「全巻一冊」では、全巻分のデータを収納できるデジタルの特性を生かしつつ、ネットにつなぐ機能は省いた。本らしさにこだわり、紙の印刷と同じくらいの線の細やかさを表示できるよう解像度も高めた。コンテンツに選んだのが、１９８０年代に大ヒットした「北斗の拳」だ。今も根強い人気を誇り、全巻を一気に読む「大人買い」の需要もある。著作権を管理する「ノース・スターズ・ピクチャーズ」に協力を打診し、快諾を得た。同社の花田健さんは「漫画家は見開きを前提にコマ割りを考えている。全巻一冊は作り手の意図を再現できる上、タブレット端末と違って貸し借りもしやすく、漫画本来の楽しみがあると思った」と話す。海外でもファンの多い「北斗の拳」の特性を生かすため、ボタン一つで英語にセリフを変換できる機能もつけた。昨年９月にクラウドファンディングで資金を募ったところ、国内外の約８００人から計約２３００万円が集まった。まずは２万５千円以上の出資者に２月から順次発送。別作品も含めて製品の改良を進め、今春以降の一般販売を目指す。小西さんは「書店で販売するなど、電子書籍に興味のない人にも手にとってもらえるようにしたい」と話している。（伊藤舞虹）"
"虎党なら外せない？腕時計型端末　試合状況、光や振動で","2018年2月3日18時20分","経済,産業・商品,スポーツ,野球,プロ野球,テック＆サイエンス,デジタルもの","虎ファン待望？のグッズが登場――。シャープは２６日、プロ野球・阪神タイガースのファン向けの腕時計型端末「ｆｕｎｂａｎｄ（ファンバンド）」を２月１日から売り出すと発表した。スマートフォンと無線でつないで使い、試合の状況で振動したり、光ったりする。オフシーズンでも情報を配信する機能を加えた。虎バン主義ファンバンドは広島や福岡、横浜についで４球団目となる。球場で応援しているときに腕を動かすと内蔵のセンサーが感知。身につけたファンの動きを集計し、「応援パワー」の多さを画面に表示する。試合で出たホームランやヒットなど打席ごとの情報も表示し、観戦していなくても楽しめる。今回、オフシーズンでもキャンプインなどの球団情報や選手のプロフィルなどが１日１５回配信されるサービスもできた。ファンバンドは白と黒で、価格は１万円（税抜き）。スマホに専用アプリを入れて使うため、そのサービス使用料が月１２０円（税込み、初回１年分は無料）かかる。（岩沢志気）"
"まるでホタル　浮遊する発光装置、東大などが開発","2018年2月3日09時01分","サイエンス,テック＆サイエンス,デジタルもの","東京大や慶応大などの研究グループが、空中を飛び回るホタルのような発光装置を開発した。空中ディスプレーなどへの応用を目指している。東京大の川原圭博准教授と高宮真准教授、慶応大の筧康明准教授らが開発した装置は、発光ダイオード（ＬＥＤ）を内蔵した直径４ミリの半球状で、重さ１６ミリグラム。ビーム状の超音波を当てることで宙に浮かぶ。移動もできる。集積回路（ＩＣ）を専用に作ったほか、離れた場所から電磁波で送電する「無線給電」によって電池をなくすことで軽量化した。研究グループは「世界初の空中移動する小型電子回路内蔵発光体」としており、ゲンジボタルの学名にちなんで「ルシオラ」と名付けた。すでに、光りながら本の上を移動する「マイクロ読書灯」も試作。今後は、多数を組み合わせて空中で画像を表示する研究などに取り組むという。（伊藤隆太郎）"
"アップル増収増益　ｉＰｈｏｎｅが売り上げ全体の７割","2018年2月2日11時03分","経済,産業・商品,国際,北米,テック＆サイエンス,デジタルもの","米アップルは１日、２０１７年１０～１２月期の決算を発表した。売上高が前年同期比約１３％増の８８３億ドル（約９兆６２００億円）、純利益は同約１２％増の２００億ドル（約２兆１８００億円）の増収増益となり、四半期として最高益を記録した。ｉＰｈｏｎｅ（アイフォーン）の世界販売台数は約７７３０万台で前年同期から約１％の微減とし、市場予測の８０２０万台を下回った。ただ、昨年１１月に発売したｉＰｈｏｎｅの最上位機種「Ｘ（テン）」が下支えしたことで、ｉＰｈｏｎｅの売り上げは同１３％増になり、アップルの売り上げ全体の約７割を占めた。最も安いモデルが９９９ドルの「Ｘ」は、英調査会社によると、製造原価は約３７０ドルと推測され、他社の高級機種より利幅が大きいという。地域別では日本市場の伸びが最も大きく、前年同期比で２６％増。米国は同１０％増、中国が１１％増だった。（サンフランシスコ＝宮地ゆう）"
"居眠り・脇見、１秒で警告音　トラック用の交換ハンドル","2018年2月1日00時20分","経済,産業・商品,テック＆サイエンス,デジタルもの,クルマ","トヨタ自動車系部品大手の豊田（とよだ）合成は３０日、トラック運転手の居眠りや脇見に警告音を出す装置を売り出したと発表した。運転手の顔に近いハンドル上部にカメラを内蔵。１秒以上、目を閉じたり脇見したりすれば、専用アプリの入ったスマートフォンを鳴らす。トラックのハンドルを交換するだけで使えるようになる。トラック運転手は長時間運転することが多く、事故防止をめざす運送会社に売り込む。乗用車向けの販売は未定という。豊田合成は車用ハンドル大手。"
"アップル製品の半導体めぐりクアルコムに制裁金　欧州委","2018年1月24日23時13分","経済,産業・商品,国際,ヨーロッパ,テック＆サイエンス,デジタルもの","欧州連合（ＥＵ）の行政機能を担う欧州委員会は２４日、米半導体大手クアルコムに対し、ＥＵ競争法（独占禁止法）違反で、９億９７００万ユーロ（約１３４５億円）の制裁金を科したと発表した。クアルコムは米アップルに対し、自社の部品だけを使う見返りに、数十億ドルの報奨金を払っていたとしている。欧州委によると、両社は２０１１年、アップルのｉＰｈｏｎｅ（アイフォーン）などの半導体にクアルコム製品だけを使う代わり、クアルコムが報奨金をアップルに支払うことで合意した。合意は１３年に１６年末まで延長されたという。欧州委は、携帯端末向け半導体で高いシェアを持つクアルコムが市場での独占的な地位を利用し、こうした合意を結んだと指摘。アップルが他社の部品を使うことを不正に妨害し、技術革新を妨げたと結論づけている。（ハーグ＝津阪直樹）"
"アップルのスマートスピーカー、２月に発売　日本は未定","2018年1月24日20時05分","経済,産業・商品,テック＆サイエンス,デジタルもの","米アップルは２３日、音声認識機能を備えたスマートスピーカー「ホームポッド」を２月９日に米英豪の３カ国で発売すると発表した。１月２６日からネット上で予約を始める。フランスとドイツでは今春に発売する予定。日本での発売時期は発表していない。米国での価格は３４９ドル（約３万８千円）。アップルは当初、年末商戦に間に合う昨年１２月の販売を予定していたが、その後、発売時期を延期していた。アップルは音楽配信サービスに力を入れており、スピーカーの参入によって利用者を増やす狙いがある。スマートスピーカーはアマゾンがいち早く販売を始め、市場の７割近いシェアを占めている。グーグルも昨年１０月から日本でも販売を始めており、アップルが年末商戦を逃した遅れを取り戻せるかが注目されている。（ラスベガス＝宮地ゆう）"
