"title","date","tags","article"
"ＩＳＳ予算、２０２５年に打ち切りへ　米、月探査に重点","2018年2月13日10時40分","国際,北米,サイエンス,宇宙・天文","米トランプ政権は１２日、日米ロ、欧州、カナダが参加する国際宇宙ステーション（ＩＳＳ）への政府予算支出を２０２５年に打ち切る方針を明らかにした。この日発表した２０１９会計年度の予算教書に盛り込んだ。政権が掲げた月探査に重点を置くため、地球近くのＩＳＳの運営は民間に移行させたい考えだ。米航空宇宙局（ＮＡＳＡ）は、毎年ＩＳＳの運営に３０億～４０億ドル（約３２００億～４３００億円）を使っている。予算教書は「政府計画を段階的に廃止し、商業化または官民での運営に移行することでコストを削減する」として、２５年でＩＳＳへの直接予算の打ち切りを明記。運営を民間に移行するため、１９年度から毎年１億５千万ドル（約１６３億円）を企業支援に充て、ＮＡＳＡも使えるような民間ステーションの建設も促すとしている。一方で、ＮＡＳＡは月近くに新たな宇宙ステーション「月軌道プラットホーム・ゲートウェー」を建設するため２２年に電源・推進装置を打ち上げ、２３年に有人飛行を行うとしている。ＩＳＳの使用期限は２４年までで参加各国が合意している。技術的には２８年までの使用は可能とされているが、再延長するかは決まっていない。米議会や産業界からは、政府予算打ち切りに反対する声が大きい。日本を含む参加国の対応も注目される。３月に東京で政府レベルの会合、第２回国際宇宙探査フォーラム（ＩＳＥＦ２）が開かれる。月探査の枠組み作りや、米が予算を打ち切った後のＩＳＳのあり方が議論されるとみられる。（ワシントン＝香取啓介）◇《国際宇宙ステーション（ＩＳＳ）》　１９８４年にレーガン米大統領が提唱したのがきっかけ。日米ロ、欧州、カナダの１５カ国が参加し、９８年に建設開始。２０００年から宇宙飛行士が長期滞在している。投資額は１千億ドル（約１１兆円）程度とされ、日本は約１兆円を負担した。サッカー場程度の大きさで、地球の約４００キロ上空を１周約９０分で回っている。地上からも肉眼で見ることができる。"
"血管つくる幹細胞を発見　大阪大、マウス実験で再生確認","2018年2月9日15時15分","社会,その他・話題,サイエンス,医療・健康・福祉（アピタル）,教育・子育て,大学","マウスの体内で血管をつくる源となる「幹細胞」をみつけたと、大阪大学微生物病研究所のチームが９日、米科学誌セル・ステムセルで発表した。この細胞を血流が滞ったマウスの足に注射すると、血管が新しくつくられたという。血管には、栄養素や老廃物を受け渡す場所の役割のほか血管を新しくつくる時にも働く「血管内皮細胞」や、周りを囲む「壁細胞」がある。血管が作られるとき、どのように内皮細胞が次々と生まれてくるかは詳しく分かっていなかった。チームは、マウスの血管内皮細胞の中にごく少量含まれる、特有の分子を発現する細胞を分離。この細胞を一つだけマウスの肝臓に移植すると、１年後にはその細胞から新たに血管が作り出されていく様子が観察できた。分裂しても元の細胞と同じ能力を保つことも確認でき、内皮細胞を生み出し続けることができる「血管内皮幹細胞」だと結論づけた。また、片足の血流が滞ったマウスにこの幹細胞を移植すると、新たに血管ができて血流が回復することを確認。血管内皮細胞が分泌する物質がつくれない「血友病Ａ」のマウスの治療実験にも成功した。高倉伸幸教授は「ヒトの細胞でも解析している。将来的には心筋梗塞（こうそく）の治療にも応用できるだろう」と話している。（合田禄）"
"月面探査、資金・技術の壁　主催者、新たなレース検討へ","2018年2月8日15時53分","社会,その他・話題,サイエンス,宇宙・天文,有料記事","宇宙新時代米Ｘプライズ財団とグーグルによる世界初の月面探査レースは、勝者なしのまま３月末で幕を閉じる。日本のＨＡＫＵＴＯ（ハクト）を含む各チームは、期限内の打ち上げや技術開発が間に合わなかった。レースは、民間による宇宙開発の活性化を目指し、同財団が２００７年に構想を発表。当初３１チームが参加を表明したが、資金不足による棄権や他チームへの合流が相次ぎ、最終段階まで残ったのは５チームだった。その一つのハクトは、国内企業から約１１億円を集め、探査車「ＳＯＲＡＴＯ（ソラト）」を開発。袴田武史代表らは「月面に到着できれば、優勝できる」と、技術に自信を見せていた。ただ、ソラトの打ち上げと着陸は他チームとの相乗りが前提。相乗り予定だった米チームは１６年にリタイア。同年、改めてインドチームと契約を結んだ。しかし、同チームは約７千万ドル（約７６億円）の経費のうち、昨年末までに６割しか確保できなかった。打ち上げに使うインド宇宙研究機関のロケット「ＰＳＬＶ」の費用約３０億円を前払いできず、３月末までのミッション達成を断念したとみられる。同チームの広報責任者は「着陸機の開発と打ち上げ契約は月への道のりで最も重要だが、最も費用がかかる」と話す。ほかのチームも難航したようだ。イスラエルの探査機は開発が遅れており、担当者は昨年春の時点で「日本とインドが本命」と劣勢を認めていた。米チームと国際チームはどちらも、着陸機などの開発が遅れ、打ち上げに使う新型のロケットも実用化が間に合わなかった。財団は今後、新たなレースを検討するため、決勝まで残らなかったチームなど幅広く意見を聞くという。ハクトは、レース終了後も実現を目指す方針を表明。引き続きインドとの連携や、ハクトの母体のベンチャー、ｉｓｐａｃｅ社が計画している月探査に組み込むことなどを検討する。袴田代表は「どんな形でも、決まっているのは、月面探査を続けること」と話している。（田中誠士、山本晋）"
"スポーツカー、火星間の軌道進む　「最強」ロケット成功","2018年2月8日14時45分","社会,その他・話題,サイエンス,宇宙・天文,有料記事","米宇宙企業スペースＸ社は米東部時間６日、巨大ロケット・ファルコンヘビーの打ち上げに初めて成功した。コスト削減を図りながら、「世界最強」を実現した。各国が競う月探査や、その先の火星探査に向け、民間企業が一気に主役に躍り出た。もっと！ロケットファルコンヘビーは、米東部時間６日午後３時４５分（日本時間７日午前５時４５分）、米フロリダ州の米航空宇宙局（ＮＡＳＡ）のケネディ宇宙センターから火星に向けて打ち上げられた。積み荷は、宇宙服を着たマネキンを乗せた電動スポーツカーで、宇宙空間で切り離された後、地球と火星の間の軌道を進んでいる。トランプ米大統領はツイッターで「米国の発明の才が最高だと知らしめた」とたたえた。ファルコンヘビーの特徴は、米国の大型ロケット・デルタ４ヘビーの２倍以上のパワーを持ちながら、１回の打ち上げ費用を９千万ドル（約９８億円）と３分の１に抑えたことだ。今回ロケットの１段目の両サイドに使われた２機は、２０１６年に一度打ち上げた中型ロケット・ファルコン９を回収し再利用したものだ。今回も切り離された１段目は地上に誘導され、打ち上げの約８分後に２機同時に着陸。技術力の高さを見せつけた。今回の成功で、将来的に月や火星に大型物資を運べることを証明した。トランプ米大統領は昨年１２月、月探査への回帰を表明。ＮＡＳＡは巨大ロケット「ＳＬＳ」を開発中だが、打ち上げは最短でも来年末で、費用も１０億ドル（約１１００億円）に上る。議会などからファルコンヘビーの活用を求める声が高まる可能性がある。一方、衛星の小型化が進み、世界のロケットは、小型で低コストのものが主流。ファルコンヘビーの打ち上げ契約は、米空軍の衛星など数件にとどまり、市場性を疑問視する声もある。商業目的より、政府や軍などが主に利用するとみられる。（ワシントン＝香取啓介）"
"「世界最強」ロケット、打ち上げに成功　米スペースＸ","2018年2月7日06時47分","国際,北米,サイエンス,宇宙・天文","米宇宙企業スペースＸが開発した「世界最強」の大型ロケット・ファルコンヘビーが米東部時間６日午後３時４５分（日本時間７日午前５時４５分）、フロリダ州の米航空宇宙局（ＮＡＳＡ）ケネディ宇宙センターから打ち上げられた。今回は初の試験飛行で、積み荷は真っ赤な電動スポーツカー。同社が開発した宇宙服を着たマネキンが乗っており、地球と火星の間の太陽を回る軌道を目指している。特集：もっと！ロケット特集：宇宙・天文ファルコンヘビーは全長約７０メートルで２段式のロケット。１段目はすでに４０回以上の打ち上げ実績のある同社の中型ロケット・ファルコン９を３機束ねたような外観で、２７基のエンジンを持つ。１段目は切り離し後に地上に誘導して着地させることにも成功した。ファルコンヘビーはファルコン９の３倍以上のパワーがあり、低軌道に６３・８トン、火星までだと１６・８トンの荷物を運ぶことができる。同社によると、現役で最も強力なロケット・デルタ４ヘビーの２倍以上の打ち上げ能力があり、「世界最強」をうたっている。（香取啓介）"
"ウーパールーパーのゲノム、ヒトの１０倍超　解読に成功","2018年2月7日05時03分","社会,その他・話題,サイエンス,医療・健康・福祉（アピタル）","日本では「ウーパールーパー」で知られるメキシコサラマンダーの全遺伝情報（ゲノム）の解読に、ドイツなどの国際研究チームが成功し、ヒトゲノムの１０倍以上にあたる約３２０億塩基対あることを突き止めた。これまでに解読された生物のゲノムでは最大といい、再生医療研究に役立ちそうだ。英科学誌ネイチャーに発表した。メキシコサラマンダーはアホロートルとも呼ばれるメキシコ原産の両生類。白い体や水中で呼吸するためのエラなど、幼生の特徴を残したまま成体になる。日本ではペットとして流通しており「ウーパールーパー」という名前が有名だ。研究チームがＤＮＡを調べたところ、約２万３千個余りの遺伝子が見つかったが、同じ塩基配列の繰り返しが多かった。一方、多くの生きもので筋肉や神経の成長にとって重要な働きを持つ遺伝子「Ｐａｘ３」がないなどの特徴があることがわかった。メキシコサラマンダーは脚を失っても丸ごと元に戻る高い再生能力を持っており、こうしたＤＮＡの特徴が能力の秘密に関係している可能性がある。研究チームは「今回のゲノム解読は、世界中の再生医療の研究者にとって強力な手助けになる」としている。（小堀龍之）"
"研究費８億円減、梶田所長が抗議「基盤揺らぎかねない」","2018年2月6日15時09分","政治,国政,サイエンス,宇宙・天文,教育・子育て,大学","国立大学の研究所代表でつくる「国立大学付置研究所・センター長会議」の梶田隆章会長（東京大宇宙線研究所長）は６日、政府の新年度予算案で研究プロジェクト費が８億円削減される見通しになったことに対し、「研究の基盤が揺らぎかねない」と述べた。海底に設置した地震計が回収できなくなったり、火山の観測データに欠損が出たりする恐れがあるという。国立大学には約８０カ所の研究所があり、大型プロジェクトなどを担う共同研究の拠点になっている。梶田さんは記者会見で、「研究所を活用した学術論文の数はここ５年間で５２％増えた」と実績を挙げた上で、予算削減で研究計画が滞るなどの影響が出る可能性があると説明した。文科省によると、新年度予算案では、全国の国立大学研究所の研究プロジェクト費は２割減る方針。交付される予算は、今年度の６１億円から新年度は５３億円にとどまる見込み。研究所の運営経費は維持される。一方、新年度予算では、新しい政策として、海外から来た研究者の滞在費や旅費の支援に３億６千万円が盛り込まれた。これに対し、梶田さんは「研究費を補うものにはならないだろう」と話した。（杉本崇）"
"子育てで孤立感、母親の脳の活動弱める　福井大が発表","2018年2月6日14時58分","社会,サイエンス","福井大の研究チームは５日、子育てで気分が落ち込んだとき、周りの大人の気持ちを読み取る脳の部位の活動が弱まることがわかったと発表した。研究成果は感情障害に関する国際学術誌に掲載された。チームは、子育てのストレスが深刻化する前に見つけて対処する指標にいかせないか検討している。研究チームは０～６歳の子どもがいる母親３０人に対し、ストレス状態を調べるアンケートとともに、大人と子どもの顔写真をそれぞれ見せて表情を読み取るテストを受けてもらい、その際の脳の活動を機能的磁気共鳴断層撮影（ｆＭＲＩ）で調べた。子育てで孤立を感じてストレス状態が高い母親ほど、大人の表情から気持ちを読み取る脳の部位の活動が低下していた。一方、子どもの気持ちを推測する部位の変化はなかった。福井大の友田明美教授は「子育て中の気分の落ち込みは周りの大人との対人関係を悪化させる可能性がある。早期発見が必要だ」と話す。福井大は、より簡単に子育てのストレスが深刻化する前兆を見つけられる機器の開発を進めたいとしている。（杉本崇）"
"フランケンシュタインとクローンのサル　科学に漂う不安","2018年2月4日09時22分","サイエンス,有料会員限定記事","日曜に想う世界でもっとも有名であろうあの怪物は、ある夏の、スイス・レマン湖畔の雨続きの天候から生まれた。湖畔に滞在していたのは、名高い英詩人のバイロン、同じく「冬来たりなば春遠からじ」の詩句で知られるシェリーとその夫人メアリーたちだった。雨に閉ざされる日々に飽きて、退屈しのぎに「一作ずつ怖い物語を書かないか」と言い出したのはバイロンだったらしい。それをきっかけに、まだ１８歳だったメアリーが筆を起こし、ほぼ１年がかりで「フランケンシュタイン」を書き上げたのは、英文学史上に知られたエピソードだ。その翌年の１８１８年１月に出版されているから、あの怪物が世に出てから今年でちょうど２００年になる。フランケンシュタインとは怪物の名ではなく、生命を操る好奇にかられて怪物をつくりだした科学者の名である。自分が生命を与えた人造人間に追いつめられて、ついには落命してしまう。メアリーの生きた時代、科学はめざましい進歩を見せ、技術の発展は産業革命をもたらした。そうした近代社会を背景に、この小説は、最高の知性が最悪のモンスターを生むかもしれない不安や、倫理のゆらぎを暗示して今日的だ。久しぶりに手に取ってみると、古びるどころかますます深い読み方を求めてくる。◇あらためて読み直してみたのは、先月の下旬、朝日新聞に載った１枚の写真にふと不気味さを覚えたからだ。クローンのサルが２匹、抱き合うように写っていた。中国科学院のチームが体細胞から誕生させることに成功したという。羊や牛などでは前例はあるが霊長類では初めてだと記事は伝えていた。羊や牛とは違って顔つきや四肢が人間に似ているうえ、表情まで分かる。不安そうに見開いた大きな目には何が映っているのだろう。踏み込んではならない禁断の領域にまた一歩近づいたようで、微（かす）かなおののきが脳裏をかすめた。英国でドリーという名のクローン羊が誕生したのは１９９６年だった。世界は衝撃を受け、「この羊のような人間をつくってはならない」などと倫理の線引きが慌ただしく進んだ。それから約２０年を経て、原理的には人間にも応用できるレベルまで技術は進んできたようだ。２匹のサルは「中華」から一字ずつ取って「中中（チョンチョン）」と「華華（ホワホワ）」と名づけられた。中国科学院の幹部は会見で「クローン人間をつくるのが目的ではなく、人類の健康や医療に貢献するため」だと述べていた。とはいえ、こうしたきわどい既成事実を重ねていくうちに、中国に限らず、いつかどこかで禁断の鍵（かぎ）が外れてしまうことはないのかと不安は残る。◇「人間の不安は科学の発展から来る」と、夏目漱石は大正期の小説「行人」に書いた。そして「進んで止（とど）まる事を知らない科学は、かつて我々に止まる事を許して呉（く）れた事がない」と続けている。時は流れて、内閣府の去年の世論調査をみると、科学技術の発展で不安を感じる分野として「クローン人間を生み出すこと、兵器への利用などに関する倫理的な問題」をあげた人の割合は、７年前と比べて減ることなく増えていた。「兵器への利用」というのは人工知能を搭載したロボット兵器などへの不安であろう。新たな可能性を広げる一方で人間を従属させかねない人工知能への戸惑いや不安も、近年広がっている。「フランケンシュタイン・コンプレックス」という言葉があって、人間が自ら作りだしたものにおびえる心理を言うそうだ。そうした科学技術の危うさへの警句として響くのは、フランケンシュタインならぬアインシュタインの言葉であろう。天才物理学者はこう語っている。「人間自身とその運命への関心が、つねに、あらゆる技術的努力の主たる関心でなくてはなりません。……私たちの頭の創造物が人類にとって呪いではなく恵みになるようにするためです」しかし皮肉なことにこの言葉から１４年後、彼の理論を原拠とした原子爆弾が広島と長崎で炸裂する。天才の言葉は人間の「賢と愚」を深く照らし出している。（編集委員・福島申二）"
"最小級ロケットの打ち上げ成功　超小型衛星を切り離し","2018年2月3日18時07分","社会,その他・話題,サイエンス,宇宙・天文,有料記事","宇宙航空研究開発機構（ＪＡＸＡ）は３日、鹿児島県肝付町の内之浦宇宙空間観測所から、世界最小級ロケット「ＳＳ５２０」５号機を打ち上げた。市販の電子部品を活用した打ち上げの成功は初めて。低コスト化を図ったのが特徴で、今回は昨年１月の打ち上げ失敗を踏まえた再挑戦だった。特集：もっと！ロケットＪＡＸＡによると、ロケットは東京大が開発した重さ約３キロの超小型衛星を載せて午後２時３分に打ち上げられ、７分半後に衛星の切り離しに成功した。ロケットは全長９・５メートル、重さ２・６トン。大気などの観測に使っていたロケットを元に、超小型の衛星を安く打ち上げる技術を実証するため、電子回路などに市販品を使っている。開発と打ち上げの費用は約５億円という。初めて市販品を活用した４号機は昨年１月、振動などによって電源に異常が発生し、信号が途絶して打ち上げに失敗。今回は振動が電気回路に伝わりにくいよう、配線などを保護する改良を加えた。ＪＡＸＡの羽生宏人プロジェクトマネジャーは「（失敗した）４号機は残念な結果で、悔しい思いをした。民生部品の実証に成功したことで、この先につなげられる」と話した。（田中誠士）"
