"title","date","tags","article"
"仮想通貨「期待」が拡散　ゲーム感覚、若者つかむ仕組み","2018年2月11日05時01分","社会,その他・話題,経済,テック＆サイエンス,企業・サービス,有料会員限定記事","仮想通貨交換業者「コインチェック」の不正流出で注目される仮想通貨。若者がゲーム感覚で投資し、相場が急騰。代表的な仮想通貨ビットコインは昨年末、一時１コイン＝２００万円超と年初の２０倍に達した。そのブームの背景とは。（編集委員・須藤龍也、真海喬生、榊原謙）仮想通貨と日本円など法定通貨との大きな違いは、その価値の裏付けがあるかだ。日本円は国の信用や経済力をバックに価値が決まる。仮想通貨には具体的な価値の裏付けはない。あるのは、既存通貨より安く、速く送ることができ、利用が広がるかもしれないという、「期待」だけだ。仮想通貨はお札や硬貨のようなモノではなく、電子データだ。一見電子マネーと似ているが、電子マネーは日本円を便利に使うための道具だ。ＪＲ東日本のＳｕｉｃａ（スイカ）で利用者は日本円をチャージして使う。スイカのシステムを通じて日本円を使うだけで、スイカという通貨があるわけではない。仮想通貨は、日本円とコインを交換業者で交換し、コインで支払える店で使う。どれだけ買い物できるかは相場によって変わる。相場が「１コイン＝１００円」なら１００円相当、「１コイン＝５０円」に下がれば５０円相当しか買えない。価格変動が大きい外貨を持つようなものだ。仮想通貨の将来性への期待感が、仮想通貨自体の価値が今後上がる、という予想につながり、日本円など法定通貨に対する価値が徐々に上がってきた。その後は値上がり期待からビットコインは昨年１年間で２０倍、今回コインチェックから不正流出したＮＥＭ（ネム）は２００倍に急騰。バブル的な状況になったが最近は急落している。昨年初めまで、仮想通貨の取引量の多くは中国が占めていた。しかし中国当局は、人民元と仮想通貨を交換し、海外に資産を移す動きを警戒。規制を強化し、秋には交換所を禁止した。代わって対日本円の取引が増えた。大和総研によると、対円の仮想通貨の取引は昨年初めの数％から、最近は４割に迫るという。金融庁はこうした取引拡大に対応し、交換業者を登録制にするなどしてきた。しかし想定外の仮想通貨バブルの中、巨額流出が起きた。海外では仮想通貨が犯罪のマネーロンダリング（資金洗浄）に使われることへの懸念が強い。独仏は３月の主要２０カ国・地域（Ｇ２０）財務相・中央銀行総裁会議で仮想通貨の国際規制を提案する。大和総研の矢作大祐研究員は「抜け道をつくらせないためにも、規制づくりの国際協調は大切だ。中長期的な仮想通貨のリスク抑制につながる」と話す。価格変動が大きい投機商品と化した仮想通貨について、通貨としての将来性を疑問視する声が多い。しかし、その根幹の技術は注目されている。仮想通貨は暗号化によるデータ改ざんの難しさや、低コストの送金ができる点が特徴だ。大手銀行では、その技術を応用した決済システムの低コスト化が検討されている。「ご褒美」目当て、取引チェック仮想通貨の根幹にあるのは「ブロックチェーン」と呼ばれるデータのしくみだ。ビットコインでネットショッピングをすると仮定しよう。まずパソコンやスマートフォンで「ウォレット」という口座をつくり、仮想通貨交換業者で円と交換してコインを手に入れる。コインで買い物をする場合、お店のウォレットに代金のコインを送る。こうした取引データの蓄積などのシステム運営は、特定の組織が行っているわけではない。世界中でコンピューターの技術がある人々が、自主的に運営に参加している。取引データは運営参加者のコンピューターに送られ、大量にたまるとファイルのような束にまとまる。この束は送金などの順番通りに自動的に並べられる。運営参加者は、取引データが間違っていないかをチェックする。世界中の参加者に同じデータが送られ、彼らは速さを競う。取引データの正しさを速く正確にチェックした者には、自動プログラムで「コイン」がもらえるようになっている。そのため、営利目的でチェック作業に参加する者は、多額の費用をかけて高性能のコンピューターを用意する。一連のデータ処理の仕組みは、２００８年に「サトシ・ナカモト」と名乗る正体不明の人物がネットに投稿した論文がもとになっている。それに興味を示した世界中のネット愛好家が自主的にシステム運営に参加し、現在も続けられている。特定の管理者はいないシステムだ。コインという「ご褒美」が用意され、それを目当てに複数の目で取引をチェックさせ、正確性を維持する。そうしたシステムが仕込まれたプログラムがネット上で流布し、自主的に運営されるという構図だ。コインを送金する時に使うウォレットの名前は英数字の羅列で、匿名性が高い。データも暗号化され、偽造は難しいという特徴もある。ビットコインに類似した仮想通貨が次々に生まれ、今や１千種類以上の仮想通貨があるとされる。不正流出したＮＥＭもそうだ。若者に広まり、数百万人超仮想通貨は、いったいどんな人が取引しているのか。以前はＩＴに詳しい一部のマニアの楽しみ程度だったが、この１年で一般の人に広まった。仮想通貨の取引人数や金額の具体的な統計はない。交換業者幹部は「日本で取引する人は数百万人超ではないか。大学生から３０代の社会人の間で昨夏以降、ツイッターやフェイスブックで広まった」という。都内の男性会社員（３１）は昨夏、今回問題を起こしたコインチェックで仮想通貨の取引を始めた。約５０万円を投じてビットコインを買い、スマホで値動きをチェックした。その後、より値上がりしそうな通貨に買い替えた。今回流出したＮＥＭも含まれる。「ビットコインは登場して１０年近く経っていて、もうダサい。もっと新しい通貨の方が将来性がある。どんどん通貨は進化していますから」。注目するのは、値上がりするかどうかだ。保有通貨の相場価格は昨年末、元手の４倍の２００万円に膨らんだ。今はコインチェックから通貨を引き出せない。それでも「一獲千金を狙ったお金で、あまり落胆はない。業務再開の時はなにかキャンペーンをやるかも」。取引をやめる気はない。金融庁に登録している交換業者は審査中の「みなし業者」も含めて３２社。ネット証券や外国為替証拠金取引（ＦＸ）からの参入や、コインチェックのようなベンチャーもある。相場高騰で交換業者の取扱高は増え、手数料などの収入も増えた。コインチェックは不正流出で５８０億円分のＮＥＭを失ったが、業界では「相当もうけていたので顧客に補償する原資はあるのでは」との見方が根強い。同社はテレビで芸能人の派手なＣＭを流し、顧客を集めた。放送局関係者は「ＣＭ単価が非常に高く、そんなにもうかっているのか、と驚いた」という。◇岩下直行・京大教授（元日本銀行フィンテックセンター長）の話仮想通貨への投資は、相場が大きく上昇した昨秋以降急速に広まった。投資した人の多くは大学生や若い社会人だ。背景にはスマートフォンとＳＮＳの普及がある。スマホで気軽に口座を開き、ゲーム感覚で投資する。ツイッターやフェイスブック、ユーチューブで情報を集め、右肩上がりの相場を楽しんだ。最先端技術を使った、なんだかかっこいい投資というイメージもあった。ブームの根底には、日本をはじめ先進国の金融緩和で、世界的に低金利の状態になっていることがある。預金などの金利が低い中で、高い利益を求めるマネーが仮想通貨に行き着いた。もっと金利が高い世の中であれば、ここまでのブームにはならなかったはずだ。株式には１株当たり利益のような指標があるが、仮想通貨には何の裏付けもない。１ビットコインが２０ドルでも１万ドルでも、どちらもバブルだ。昨秋以降は、バブルの程度がより大きくなっただけだ。仮想通貨の相場は、昨年１２月をピークに下がり続けている。今回の問題をみんながある程度忘れるまで、しばらく価格が大きく上がることはないだろう。一種の知的なゲームとして広まった仮想通貨投資も、少し落ち着く局面だろう。（聞き手＝真海喬生）"
"ネット通販でイオン・ヤフー・ＳＢ提携　アマゾンに対抗","2018年2月10日03時01分","経済,産業・商品,テック＆サイエンス,企業・サービス,ショッピング,有料記事","小売り最大手のイオンが、インターネット通販事業でソフトバンクグループやその傘下のヤフーと提携する。イオンの品ぞろえや物流網に、ソフトバンクやヤフーのＩＴを組み合わせて米アマゾンに対抗する。提携の背景には、ネット通販でアマゾンに押され気味のイオンとヤフーの焦りがありそうだ。イオンとヤフーは複数のネット通販サイトを手がけるが、それとは別に、アマゾンのような出店型のネット通販サイトを共同でつくる方向だ。ヤフーはネット通販で培ったＩＴノウハウを新サイトにも持ち込む。経済産業省によると、ネット通販市場は年々拡大し、２０１６年は物販で８兆円を超えた。食品や飲料をネット経由で買う比率は全体の２％程度、衣類は約１０％とまだ低いが、その分成長余地は大きい。アマゾンは昨春に生鮮品を配送する「アマゾンフレッシュ」を始め、最近はファッションのネット通販にも力を入れる。ネット通販業界では、日本でも存在感を増すアマゾンに対抗して、小売り企業とＩＴ企業が連携する動きが相次ぐ。セブン＆アイ・ホールディングスは昨年１１月、ネット通販大手のアスクルと提携して生鮮品宅配の「ＩＹフレッシュ」を開始。楽天は米ウォルマート・ストアーズと提携し、同社傘下の西友と今夏にもネットスーパーを始める。イオンは昨年１２月、ＩＴや物流の改革に３年間で５千億円を投資してネット通販を強化する計画を発表。岡田元也社長は記者会見で「我々は相当出遅れた。アマゾンに追いつかないといけない」と述べていた。今回の提携は、この計画の延長線上にある。ヤフーにとっても、アマゾンに対抗する陣容を整えるのは急務だ。日本貿易振興機構（ジェトロ）によると、ネット通販の国内シェアはアマゾンと楽天が約２０％ずつで分け合い、「ヤフーショッピング」は９％弱にとどまる。フリーマーケットアプリのメルカリ、衣料品通販サイトのゾゾタウンなども台頭し、競争は激しさを増している。ヤフーが２日発表した１７年４～１２月期のネット通販事業の営業利益は前年同期比５・４％減の６１９億円。利用者を囲い込もうと、実質的な値引きとなるポイントを大盤振る舞いしたのが重荷になっている。ヤフーの次期社長に６月に就く予定の川辺健太郎副社長は、現状を「気鋭のベンチャーから突き上げられ、グローバル企業には離されている」とみる。イオンと組んで新たに通販サイトを立ち上げることで、ネット広告事業を底上げする狙いもありそうだ。（上地兼太郎、久保智）"
"系列店半減、ＩＯＴでニーズ探る　パナソニックの挑戦","2018年2月9日21時08分","経済,産業・商品,テック＆サイエンス,企業・サービス,ショッピング,有料記事","１０１年目のパナソニック　岐路に立つ：３１月中旬。京都府宇治市にある井上二三男（７０）の自宅を、青いジャンパーをまとったパナソニックショップ、「マキノデンキ」の店員が訪れた。井上は笑顔でドアを開け客間に上げると、テレビやエアコンの調子を相談した。【特集】１０１年目のパナソニック「なじみの電器屋さんやから、家のなかも見せられるし相談もできる」マキノデンキは１９７６年、京都市内にあった義父の電器店を手伝っていた牧野伸彦（７１）が創業した。「ナショナルショップ」と呼ばれていた時代から、系列店としてパナソニック（当時は松下電器産業）製品を扱っている。近所に住む井上とも３０年来の付き合いだ。牧野は「密接な関係を築くことで、得られる情報がたくさんある。商売にもつながる」と話す。家族構成や間取りを知っていれば、欲しい物も分かる。実際に井上の自宅の家電の多くは「パナソニック」だ。系列店が得た情報はかつて、メーカーに集められた。牧野も、苦情を聞けば、すぐにメーカーの営業社員に伝えた。苦情は新製品に生かされた。洗濯機、冷蔵庫、白黒テレビの「三種の神器」が普及し始めた１９５０年代、主に家電を売るのは商店街や住宅街にある、「まちの電器店」だった。メーカーごとに系列店網が整備され、販売を競った。中でもナショナルショップは、ほかを圧倒した。松下幸之助が掲げた販売店との「共存共栄」に、共感する店主が多かったためだ。８０年代前半のピーク時には、全国に２万７千店にのぼった。しかし、マイカーが普及し、買い物客は商店街から郊外の量販店に移っていった。家電も例外ではない。「おたくは嫌いだ。リベート（奨励金）が少ないからね」。００年ごろ家電流通担当だった松下電器の元役員は家電量販店を訪問した時、こう言われたのを覚えている。量販店はリベートを使って、系列店よりはるかに安い価格を設定し、消費者に支持されていった。９０年代後半にはメーカーからの出荷額の約半分が、量販店向けになった。メーカーは、系列店を支えきれず、パナソニックショップも今は、１万５千店ほどに減った。買い物のスタイルは、さらに大きく変化している。大阪市でコンサルタントを営む男性（３５）は、ほとんど店で買い物をしない。日用品からコメなど食料品も、アマゾンや楽天などのネット通販を使う。冷蔵庫や洗濯機などの家電もネットで買った。「店より２割ぐらい安いから」。量販店に行くこともあるが、それはネットで調べた実物を目で確認するためだけだ。量販店の販売シェアは、徐々にネット通販に奪われている。量販店からネットへのシフト自体は、メーカーにとっては対岸の火事だ。国内家電営業を担当するパナソニック常務の中島幸男は、「量販店、ネット通販、それぞれに売って欲しい商品がある」という。一方で、ネット時代は、量販店に奪われた消費者との接点を、メーカーが取り戻すチャンスでもある。昨夏、パナソニックが開いた家電の発表会。執行役員の河野明は、新商品が「お客さまとのつながりを強化できる」と説明した。この場で紹介した最新商品の多くは、いわゆる「ＩｏＴ」家電。インターネットを通じ、ネット上の人工知能（ＡＩ）につながる。例えば、洗濯機。洗い終わる時刻をスマートフォンの専用アプリから、遠隔操作で設定できる。あとは衣類の量をはかり、洗剤や柔軟剤を投入するタイミングまで、機械にお任せだ。ネットを通じた情報は、ユーザーから家電への流れだけではない。家電が得た情報をメーカーが直接取り寄せることも、技術的には可能だ。この情報を商品開発に役立てることをメーカーは視野に入れている。パナソニックで最高技術責任者（ＣＴＯ）を務める宮部義幸は言う。「（系列店網を通じて）我々がもともと持っていた、顧客のニーズを分析し、モノを買おうというときに背中を押す機能を、取り戻せるかもしれない」＝敬称略（神山純一、辻森尚仁）"
"動画配信「スポナビライブ」終了へ、ＤＡＺＮが引き継ぎ","2018年2月8日19時59分","経済,産業・商品,テック＆サイエンス,企業・サービス","携帯電話大手のソフトバンクは８日、スマートフォン向けのスポーツ動画配信サービス「スポナビライブ」を５月末で終えると発表した。配信していたスポーツ動画は、同業でＮＴＴドコモと提携する「ＤＡＺＮ（ダゾーン）」に引き継ぐ。２月９日から、プロ野球ソフトバンク戦などスポナビライブでしか見られなかった番組が、ＤＡＺＮで提供される見通しだ。スポナビライブの利用者は改めてＤＡＺＮに会員登録する必要がある。入会金はかからず、最初の１カ月は無料。スポナビライブからＤＡＺＮに引き継がれるスポーツの詳細は今後公表する。スポナビライブは２０１６年に開始。ＤＡＺＮと人気を二分し、コンテンツを奪い合ってきたが、ソフトバンク契約者以外の利用が伸び悩んだことに加え、海外サッカーなどは配信の権利料が高騰していた。（上栗崇）"
"ｉＰｈｏｎｅＸイマイチ　通信以外が好調、携帯３社決算","2018年2月8日07時35分","経済,テック＆サイエンス,企業・サービス","携帯電話大手３社の２０１７年４～１２月期決算が７日出そろい、いずれも売上高は前年同期を上回った。会計方法を見直したＮＴＴドコモ以外は営業利益も増えた。最上位機種の「ｉＰｈｏｎｅ（アイフォーン）Ｘ（テン）」は期待ほど売れなかったものの、動画や金融など通信以外の事業が好調だった。昨年１１月に発売された「Ｘ」の販売は「（９月発売の）『８』と合わせて例年の新機種並み」（大手幹部）にとどまった。ドコモは動画配信の「ｄＴＶ」などが好調で、通信以外の営業利益が１７％増えた。ＫＤＤＩは電力販売など通信以外の事業の取扱高が前年比１・５倍に。１月にはさらに、英会話教室のイーオンホールディングスを買収。「新たな成長を目指す」（田中孝司社長）という。一方、ドコモは１２年に買収した有機食材宅配の「らでぃっしゅぼーや」を今月に売却する予定だ。吉沢和弘社長は「期待したほど市場が伸びなかった」と新規事業の難しさを認めた。"
"ソフトバンクグループ、３四半期の純利益１兆円","2018年2月7日21時13分","経済,産業・商品,テック＆サイエンス,企業・サービス","ソフトバンクグループは７日、２０１７年４～１２月期の純利益が前年同期比２０％増の１兆１４９億円だったと発表した。通期の業績予想は発表していないが、１８年３月期決算でこの水準を維持すれば、２年連続の１兆円超えになる。同社は、携帯電話事業を営む子会社ソフトバンクの株式を上場する方針も表明した。米トランプ政権による法人税率引き下げの効果で、傘下の米携帯会社「スプリント」の利益が約６８００億円押し上げられた。１０兆円規模の「ソフトバンク・ビジョン・ファンド」なども約２３００億円の営業利益をあげた。記者会見した孫正義会長兼社長は「減税効果は一時的なものだが、実力でも純利益は前年比３９％増だ」と強調した。子会社のソフトバンクは１年以内に、東京証券取引所への上場を目指す。現在９９・９９％を保有する株の一部を売却し、２兆円規模の売却益を得るとみられる。孫氏は上場について「今すぐ使える資金を手に入れられるのがメリット。財務の改善や成長のための投資に使いたい」と話した。これまでソフトバンクグループは、携帯事業で稼いだ利益を親会社による投資に回してきた。今後は、新たに株を持つ携帯事業会社の株主が、親会社への資金流出に反対する可能性もある。孫氏は、資金の移動は株への配当の形を取ると説明。「（配当が高くなれば）一般の株主にも比例してお金が入る。利害が対立することはない」と説明した。（徳島慎也、上栗崇）"
"事件・事故発生をＡＩで予測　神奈川県警、全国初導入へ","2018年2月7日17時30分","社会,事件・事故・裁判,テック＆サイエンス,企業・サービス","犯罪や事故の防止などに役立てようと、神奈川県警が人工知能（ＡＩ）を導入する。過去の膨大なデータを学習させ、将来の発生を予測できるシステムを開発し、東京五輪・パラリンピックが開かれる２０２０年の試験運用開始を目指す。全国初の試みという。県警はすでに、過去に事件や交通事故が多発した地域や時間帯を示すシステムを運用し、捜査や取り締まりに生かしている。加えて、ＡＩが発生を予測した時間や場所をパトロールの順路に組み込むなどの効果を期待しているという。新システムには、過去の事件約１００万件や、事故約８０万件の発生日時や場所▽当事者の性別や年齢▽事件の手口や事故の形態――といった統計データのほか、気象や地形、建物に関する情報を取り込む。犯罪学や心理学も活用する。新年度当初予算案に約４８００万円を計上。１５年までのデータをもとにした予測を１６年のデータを使って検証するなどの実験をする。（伊藤和也）"
"仮想通貨流出、海外でも関心　米当局も警戒感強める","2018年2月6日16時53分","経済,テック＆サイエンス,企業・サービス,有料記事","仮想通貨取引所「コインチェック」（東京）から５８０億円分もの巨額の仮想通貨ＮＥＭ（ネム）が不正アクセスで流出した問題は、海外でも大きく報じられている。拡大する仮想通貨取引を巡っては、犯罪組織などのマネーロンダリング（資金洗浄）に使われる懸念があり、米国の金融当局も警戒感を強めている。コインチェックでの不正流出は米ＣＮＮが「仮想通貨史上で最大の盗難」（米ＣＮＮ）と報じたほか、英フィナンシャル・タイムズ紙が「仮想の盗難に当惑する『仮想通貨に熱狂する日本人』」と題する記事を掲載。コインチェックを利用していた元アイドルの女性の話を紹介し、不正流出が日本人の仮想通貨への信頼を脅かしていると報じた。同記事では、２００９～１５年に仮想通貨ビットコインを扱う世界の取引所の約３割が、ハッキング被害を受けたとの調査結果を紹介。ビットコインの昨年の価格急騰では、世界の取引額の約４割を占める日本の投資家の存在があったと指摘した。世界の仮想通貨の時価総額は７千億ドル（約７７兆円）を超えたとされ、米金融当局も警戒を強める。米証券取引委員会（ＳＥＣ）のクレイトン委員長は先月、米紙への寄稿で「仮想通貨の市場の透明性を高めるため、他の機関との連携を続ける」とした。米国では、企業による仮想通貨を使った資金調達（ＩＣＯ）も広がっており、金融当局がどこまで規制できるかどうかの議論が続いている。米国では仮想通貨がマネーロンダリングの温床となることへの懸念が強い。ムニューシン財務長官は先月、スイス・ダボスでの対談で、「仮想通貨での最優先課題は、違法行為に使われないことだ。主要２０カ国・地域（Ｇ２０）の多くの国はすでに始めているが、世界の他の国が同じ規制を持つよう確認したい」と話した。規制強化について協議する姿勢を示した。３月のＧ２０では独仏が国際規制を提案する方針で、議題の一つとなりそうだ。米国では、仮想通貨取引所は財務省の金融犯罪取締ネットワーク（ＦｉｎＣＥＮ）に届け出をする必要があり、米メディアによるとすでに約１００の取引所が登録されているという。（ワシントン＝五十嵐大介）中国、取り締まり強化へ仮想通貨の取引を巡り、中国当局が、日本や香港などの仮想通貨取引所を通じた取引への取り締まりを広げようとしていると中国メディアが報じている。中国本土では昨秋、取引所の営業が禁じられたが、投資家が本土以外の取引所で引き続き仮想通貨の取引を続けていることに業を煮やしたようだ。中国の金融監督当局が設立した業界団体・中国インターネット金融協会は先月下旬、「中国本土外の取引所はシステムの安全や市場操縦、資金洗浄のリスクがある」と警告を発した。監督当局の中国人民銀行系メディアによると、当局は中国本土外の取引所の利用を規制回避ととらえ、関連ビジネスを提供する企業や仮想通貨取引所を取り締まる方向という。香港では、すでにこうした監督当局の方針に対応したとみられる動きも出ている。仮想通貨取引所「クーコイン」が１月中旬、中国本土からのアクセスを遮断したと発表。同「バイナンス」も２月１日、「本土の利用者にサービスを提供しない」と発表した。金融のリスク排除を掲げる習近平（シーチンピン）指導部は昨年秋、中国本土での仮想通貨取引所の営業や、仮想通貨を使った資金調達を禁止した。ただ、その後も国外の取引所を使ったり、取引所を介さず、個人間で取引をしたりする抜け道がある。（北京＝福田直之）"
"仮想通貨、金庫に入れたら盗まれない？　対策グッズ人気","2018年2月6日16時17分","経済,テック＆サイエンス,企業・サービス,有料会員限定記事","仮想通貨取引所「コインチェック」での仮想通貨の不正流出問題を受け、仮想通貨を盗み出されないための対策グッズが売れている。家電量販店には注文が相次ぎ、欠品も出ている。販売が増えているのは、仮想通貨に関する電子データを保管する記憶媒体「ハードウェアウォレット」。仮想通貨はパソコンに「ウォレット」と呼ばれる口座をつくって送金や支払いなどを行う。外部とコインをやり取りする際は「暗号鍵」が必要だ。この鍵の電子データを、ネットから切り離して保管する機器がハードウェアウォレットだ。手のひらサイズで、鍵を使う際だけパソコンにつないで使う。普段はネットにつながないので、データを不正アクセスで盗まれにくい。仮想通貨の「キャッシュカード」や「印鑑」を保管しておく金庫のイメージだ。基本的には、パソコンで使う商品が一般的だ。コインチェックの不正流出では、顧客資産の仮想通貨ＮＥＭがネットにつなげられたままで、暗号鍵を不正に盗まれ、外部流出につながったとみられている。それだけに自分で保管している資産は、ネットから遮断したオフラインで守ろうという危機感が広がった。ヨドバシカメラには先月２６日の問題発覚後から注文が殺到、２７日には品切れになったという。ハードウェアウォレットで大手の仏レジャー社の代理店の一つ「ブレイブブライト」（東京都）でも品切れに。出荷が追いつかず、発送は３月以降になるという。ネット通販サイト分析のアドウェイズによると、楽天市場でのレジャー社商品の販売金額は、問題発覚前は「パソコン・周辺機器」の分野で１千位以下だったが、２６日には一気に１位に躍り出た。入手が難しいからといって、中古品や正規品以外の購入は注意が必要だ。マルウェア（悪意のあるプログラム）が仕掛けられている可能性があるためだ。フリーマーケットアプリ「メルカリ」は先月３０日、ハードウェアウォレットの出品を禁止した。購入者らがトラブルに巻き込まれることを防ぐためという。（牛尾梓）"
"視線入力はゲーム感覚で　訓練ソフト、支援学校で活用","2018年2月2日00時39分","社会,その他・話題,テック＆サイエンス,企業・サービス,医療・健康・福祉（アピタル）,教育・子育て,大学,島根,有料記事","パソコンでキーボードを使わず、画面に視線を向けることで入力する「視線入力」。習熟が難しいとされてきたが、島根大大学院総合理工学研究科の伊藤史人助教（４２）＝福祉情報工学＝が楽しみながら訓練するソフトを開発したところ、特別支援学校などの教育現場で活用が広がっている。病気や事故で指や腕が動かせなくなっても、視線入力装置を使えば、画面上の目的の文字に視線を向けることで入力できる。だが、長時間眼球を動かし続けることは一般的には少なく、眼球運動に障害があるケースもあることが課題だと伊藤さんは感じてきた。そこで、「入力できた」という成功体験をゲームで積むことで訓練が苦痛でなくなるよう、レベルの違う１０のゲームを制作した。例えば、次々と現れる風船や飛行機に視線を向けると撃墜できるゲームでは、一定時間内の撃墜数を増やして楽しむ。目標物を視線でとらえたときに振動する機器を体に接触させておけば、振動を感じることで入力の感覚を補強でき、効率が高まるという。他にも、消しゴム形のカーソルを画面上で動かすと消しゴムがワイパーのように画面を削り、下に隠れていた絵が現れる▽画面上を動くキャラクターを追いかける、など複数のゲームがある。開発したのは２０１６年３月。ブログやフェイスブックなどで少しずつ広まり、各地の特別支援学校の授業などで使われているほか、個人も含め約千人が活用しているという。使用者から「ゲーム感覚で楽しく取り組み、（訓練の）モチベーションが維持できている」などの感想が寄せられているという。伊藤さんは「ちょっとした支援があれば閉じこもらなくてもいい障害者はたくさんいる。テクノロジーがその支援となるべきだ」と話している。ソフトは伊藤さんのブログ（http://www.poran.net/ito/research/eyemot）から無料でダウンロードできる。（木脇みのり）"
