"title","date","tags","article"
"成長加速へ賃上げがカギ","2018年2月14日 11時18分","経済,最新の経済ニュース,経済政策・財政,速報","２０１７年１０～１２月期の実質ＧＤＰ成長率は８四半期連続のプラスとなり、長期に及ぶ成長が続いているものの、伸び率は年率換算で０．５％と依然勢いを欠いている。最近では、米国の金利上昇をきっかけに世界の金融市場が動揺するなどのリスクも顕在化しており、より力強い成長の実現に向けて、春闘での企業の賃上げなどがカギを握る。１０～１２月期は個人消費が持ち直したものの、前期に天候不順の影響で落ち込んだ反動が大きい。ガソリンや野菜の価格が上昇しており、「個人消費の回復に水を差しかねない」（エコノミスト）と懸念の声も出ている。好調な輸出の先行きにも不透明感が漂い始めている。米国の長期金利上昇をきっかけに、世界的に株価が下落。世界経済は今のところ堅調だが、金融市場の混乱が海外経済の減速につながれば輸出は失速しかねない。また、円高が進めば企業業績が伸び悩み日本経済を下押しする懸念もある。安倍晋三政権は成長に弾みをつけるためには賃金の上昇が欠かせないとして、今年の春闘で経済界に３％の賃上げを要請している。昨年の名目賃金は上昇したものの、物価の上昇に追いつかず実質賃金は２年ぶりのマイナスとなった。１４日は春闘相場をけん引する自動車大手の労働組合が経営側に要求書を提出したが、好調な業績を背景に今後の交渉で企業がどこまで賃上げに応じるかが焦点となる。【工藤昭久】"
"仮想通貨の規制「責務ではない」","2018年2月14日 10時58分","イギリス,最新の経済ニュース,経済政策・財政,速報,経済","欧州中央銀行（ＥＣＢ）のドラギ総裁は仮想通貨について「禁止か規制に乗り出すかと多くの人に聞かれたが、それはＥＣＢの責務ではない」と述べ、規制の予定がないことを明らかにした。ＥＣＢが１３日、若者から寄せられた質問にドラギ氏が答えるビデオを公開した。「中銀の中銀」ともされる国際決済銀行（ＢＩＳ）のカルステンス総支配人は金融安定化の脅威になり得るとして、各国中銀や金融当局に対し規制を求めていた。仮想通貨の代表格であるビットコインを購入するかとの質問に対しては「慎重に考えるだろう」と述べた。（共同）"
"鉄鋼の輸入制限に意欲　中国製品に高関税案","2018年2月14日 10時41分","アメリカ,最新の経済ニュース,経済政策・財政,速報,経済","【ワシントン清水憲司】トランプ米大統領は１３日、「国防の観点から（米国は）鉄鋼・アルミ産業なしでは成り立たない」と述べ、主に中国製を標的として検討中の鉄鋼・アルミ製品の輸入制限発動に意欲を示した。中国製品に高関税を課すほか、他国を経由した米国への中国製品の輸入量を制限する案を検討するとみられる。トランプ政権は昨年、鉄鋼・アルミ製品の輸入急増が「国家安全保障上の脅威になる」として米通商拡大法２３２条の調査を実施。米商務省が既に報告書をまとめ、トランプ氏が４月下旬までに発動するかどうかを判断する。トランプ氏はこの日、ホワイトハウスで与野党議員から意見を聞いたところ、賛成論の一方で、「報復を招く」「鉄鋼が値上がりし、かえって国内で失業を生む」などの慎重論も多く、「対象を中国に絞るべきだ」との注文が相次いだ。これに対しトランプ氏は「価格が上がるかもしれないが、雇用を確保できる。大きな決断だが、私にとっては雇用が重要だ」と述べ、従来通り発動に前向きな姿勢を示した。米国は中国製品に高関税をかけることで輸入を制限する方針だが、中国製鉄鋼を韓国やマレーシアなど他国経由で輸出したり、鋼管などに加工したりすると「中国製」とみなされないケースがある。ロス商務長官は「関税を課さない国には輸入枠を割り当てることで『悪事』を防ぐ」と述べ、中国製品の経由国については量の制限で対応する考えを示した。輸入制限を発動すると、中国が報復に出て通商摩擦が激化する可能性が高いほか、同様の輸入制限措置に動く国が出るなどして自由貿易体制を揺るがす恐れが指摘されている。"
"２８年ぶり８期連続プラス　実質で年０．５％増","2018年2月14日 09時49分","経済,最新の経済ニュース,経済政策・財政,速報","内閣府が１４日に発表した２０１７年１０～１２月期の国内総生産（ＧＤＰ、季節調整値）の速報値は、物価変動の影響を除いた実質で前期比０．１％増、この状況が１年間続いた場合の年率換算で０．５％増だった。プラス成長は８四半期連続で、１９８６年４～６月期から８９年１～３月期まで１２四半期連続のプラス以来、２８年９カ月ぶりの長さとなった。前期（７～９月期、０．６％）から伸びは鈍ったものの、個人消費が回復したほか、企業の設備投資が堅調だった。実質ＧＤＰの内訳を項目別に見ると、個人消費は０．５％増と２四半期ぶりにプラスとなった。前期に長雨などの影響で低迷した外食や宿泊などが持ち直したほか、自動車やスマートフォンの販売が好調だった。設備投資は０．７％増と５四半期連続のプラス。人手不足に対応した省力化投資や、半導体関連の投資が堅調だった。住宅投資は、相続税対策の一環で急増したアパートなどの貸家建設にブレーキがかかり、２．７％減と２四半期連続で減少。公共投資も０．５％減と２四半期連続で減少した。一方、輸出はアジア向け半導体製造装置の輸出などが好調で、２．４％増えた。輸入は、アジアからのスマートフォンなどの輸入が増加し、２．９％増と２四半期ぶりのプラス。輸出から輸入を差し引いた「外需」は０．０３％成長率を押し下げた。物価変動を反映した名目ＧＤＰ成長率は０．０３％減、年率換算で０．１％減となり、５四半期ぶりにマイナスとなった。原油価格の上昇を反映し、輸入が大きく伸びたことが影響した。１７年の実質ＧＤＰ成長率は前年比１．６％、名目成長率は１．４％とそれぞれ６年連続のプラスだった。名目ＧＤＰは５４６兆円となり、過去最大を更新した。【工藤昭久】"
"年０．５％増　８四半期連続プラス　１０～１２月","2018年2月14日 08時54分","経済,最新の経済ニュース,経済政策・財政,速報","内閣府が１４日発表した２０１７年１０～１２月期の国内総生産（ＧＤＰ、季節調整値）の速報は、物価変動の影響を除いた実質で前期比０．１％増、この状況が１年間続いた場合の年率換算で０．５％増だった。プラス成長は８四半期連続。"
"１月２．７％上昇　原油高、１３カ月連続増","2018年2月13日 16時19分","経済,最新の経済ニュース,経済政策・財政,速報","日銀が１３日発表した１月の国内企業物価指数（２０１５年平均＝１００、速報）は、前年同月比２．７％上昇の１００．３だった。原油価格の上昇に加え、世界経済の改善で鉄鋼などの需要が拡大し、１３カ月連続で前年を上回った。上昇率は昨年１２月の３．０％から縮小した。全７４４品目のうち、上昇は３９０品目、下落は２４２品目だった。品目別ではガソリンなど石油・石炭製品が１２．３％、非鉄金属が１０．５％、鉄鋼が７．２％とそれぞれ上昇した。原油価格の上昇を背景に、電力・都市ガス・水道も７．９％上昇した。円ベースの輸入物価指数は４．９％上昇、輸出物価指数も１．８％上がった。（共同）"
"再生エネ、石炭火力超え　１７年の発電量","2018年2月13日 14時00分","ドイツ,イタリア,オランダ,経済政策・財政,速報,経済,最新の経済ニュース","【ブリュッセル八田浩輔】欧州連合（ＥＵ）で２０１７年の風力、太陽光、バイオマスによる発電量が初めて石炭火力を上回った。独英のシンクタンクの調査で明らかになった。ＥＵ域内では地球温暖化の原因となる温室効果ガスを多く排出する石炭火力の段階的廃止を打ち出す国が広がっており、再生可能エネルギーへのシフトが着実に進んでいる。シンクタンクのアゴラ・エナギーベンデ（独）とサンドバッグ（英）が加盟国の１７年のデータを独自にまとめて１月末に報告書を発表。それによると、発電量の構成比では、風力１１．２％▽太陽光３．７％▽バイオマス６％－－で、これら三つの合計で石炭の２０．６％を上回った。水力（９．１％）を加えた再エネの合計は３０％に達する。一方、原子力は２５．６％だった。顕著な伸びを示したのは風力だ。洋上風力を含めた投資の拡大や発電に良好な気象条件が重なり、発電量は前年比で２割近く増えた。国別では英独がけん引し、過去３年間の再エネ発電量の増加分の半分以上は両国でまかなっている。また報告書では、１０年以降のペースで再エネの導入が進めば５０年にはＥＵ全体で総発電量に占める割合が５０％に達することも可能だとした。脱石炭は世界的に進んでおり、欧州でも東欧以外で鮮明となっている。１７年には新たにオランダ、イタリア、ポルトガルが３０年より前に石炭火力を廃止する政策目標を発表。英仏も２５年より前の脱石炭の達成を掲げている。例外的なのはドイツで、東京電力福島第１原発事故を受けて脱原発を選択した影響で電力消費の約４割を石炭火力に頼り、廃止時期を明示できていない。一方、電力の８割を石炭でまかなうポーランドを中心に東欧は石炭への依存度が引き続き高く、再エネの普及も遅れている。"
"財政赤字１０７兆円　国防費増大、大型減税響く","2018年2月13日 10時58分","アメリカ,最新の経済ニュース,経済政策・財政,速報,経済","【ワシントン清水憲司】トランプ米政権は１２日、２０１９会計年度（１８年１０月～１９年９月）の予算教書を議会に提出した。国防費を大幅に増額する一方、大型減税で税収が伸び悩むため、財政赤字は１７年度予算比４８．０％増の９８４０億ドル（約１０７兆円）へ大幅に拡大する。昨年掲げた２７年度の財政収支の黒字化は断念した。トランプ大統領は「強さを通じ平和を保持する」と説明し、国防費とそれ以外の政策経費に当たる非国防費をともに増額。社会保障費も加えた歳出総額は１０．７％増の４兆４０７０億ドルを要求した。歳入総額は３．２％増の３兆４２２０億ドルで、財政赤字は１２年度以来７年ぶりの１兆ドル規模を見込んだ。国内総生産（ＧＤＰ）比は４．７％で、１７年度比１．２ポイント上昇する。今後１０年間の赤字総額は７兆９５０億ドルに上る見通し。国防費では弾道ミサイル防衛（ＢＭＤ）を強化。メキシコ国境の壁建設を含む国境警備費の増額を求めた。インフラ投資拡大に向け１０年間で２０００億ドルを拠出する方針も盛り込んだ。一方、外交や国際協力を担う国務省の予算は２７％減、環境保護局も３４％減。オバマケア（医療保険制度改革）を含む社会保障費も削減するが、１０年後も財政赤字が残る計算で、黒字化を断念した。実質経済成長率は１９年を３．２％と見込むなど楽観的な仮定に基づいており、赤字額は一段と拡大する恐れがある。また、米国では予算編成権は議会にあり、予算教書は政権からの提案にとどまる。昨年の予算教書も非国防費削減を掲げたが、議会審議中の１８年度予算は増額の方向で、トランプ政権のもとで予算教書の重みは薄れている。"
"日中韓を挙げ対抗関税示唆","2018年2月13日 10時18分","アメリカ,最新の経済ニュース,経済政策・財政,速報,経済","【ワシントン清水憲司】トランプ米大統領は１２日、対米貿易黒字が大きい中国と日本、韓国を挙げて「我々は多くの金を失っている。過去２５年間（３カ国は）好き勝手やってきた」と批判し、来月にかけて対抗関税など何らかの措置を発動することを示唆した。トランプ氏はホワイトハウスに州政府幹部らを集めた会議で「米国から優位を奪っている国々に『互恵税』を課す。いわゆる同盟国でも、通商では同盟国ではない」と述べ、同盟国かどうかにかかわらず厳しい姿勢に出る可能性を示した。トランプ氏は「互恵税」について詳しく語っていないが、特定の貿易品について、米国製品に高関税を課す国々への対抗措置を想定しているとみられる。トランプ政権は中国製を主な標的にした鉄鋼・アルミ製品の輸入制限や、知的財産権侵害をめぐる米通商法３０１条に基づく制裁発動を検討中だが、「互恵税」との関係は明らかでない。"
"黒田総裁、再任へ　政府が手腕評価","2018年2月9日 23時52分","経済,最新の経済ニュース,経済政策・財政,速報","政府は９日、４月８日に任期満了を迎える黒田東彦日銀総裁（７３）を再任する方針を固めた。「異次元緩和」と呼ばれる大規模金融緩和で「デフレ脱却の道筋を作った」と政府は手腕を高く評価しており、現行路線の継続が望ましいと判断した。日銀総裁を２期連続で務めるのは、山際正道氏（在任１９５６～６４年）以来で、戦後３人目となる。３月１９日で任期が満了する中曽宏、岩田規久男両副総裁の後任は、雨宮正佳・日銀理事（６２）や、財務省出身で安倍晋三首相の経済ブレーンである本田悦朗スイス大使（６３）らを候補に調整している。正副総裁人事案は今月半ばにも国会に提示する。黒田氏は財務省出身。財務官やアジア開発銀行総裁を経て、２０１３年３月に日銀総裁に就任した。就任直後の同４月には、「２年程度をめどに２％の物価上昇率目標を達成する」と掲げ、異次元緩和を開始。急速な円安・株高を実現させた。首相は６日の国会答弁で、「手腕を信頼している」と黒田氏を高く評価していた。世界経済の持ち直しもあって日本の景気拡大が続く一方、物価上昇率は１４年春の１．５％をピークに失速。黒田氏は２％の目標達成時期の予想を６度にわたって先送りしてきた。結果責任を問う声も首相の経済ブレーンの一部から出ていたが、首相は路線継続による金融政策の安定運営を優先した。【坂井隆之】"
