"title","date","tags","article"
"ヤクルト株を一部売却へ　提携解消５年で","2018年2月14日 19時38分","フランス,最新の経済ニュース,企業・産業,速報,経済","ヤクルト本社は１４日、議決権の２割超を握るフランス食品・飲料大手ダノンが、保有するヤクルト株の一部を３月に売却すると発表した。筆頭株主の座は維持する。ダノンは株の買い増しを一時目指したが、経営の独立性を望むヤクルト側と折り合わなかった。両社は２０１３年に戦略提携契約を解消しており、約５年で出資比率を巡る交渉にも区切りが付く。ダノンは最大２４６０万株を売る計画で、１４日終値に基づくと売却額は２０００億円弱となる。ヤクルトは自社株買いを通じて株式総数を減らすため、ダノンの議決権ベースの出資比率は現在の２１．５２％から最終的に約７％へ下がる見通し。（共同）"
"株主提案数に上限　会社法改正中間試案","2018年2月14日 19時00分","経済一般,最新の経済ニュース,企業・産業,速報,経済","法務省の法制審議会会社法制部会（部会長・神田秀樹学習院大法科大学院教授）は１４日、株主総会の制度改革を盛り込んだ会社法改正に関する中間試案をまとめた。１人の株主が株主総会で提案できる議案数に上限を設けることが柱。社外取締役の設置義務付けも検討されたが、試案では義務化と現状維持の両論併記にとどめた。意見公募を経て２０１８年度に要綱案をまとめる。政府は来年の通常国会に会社法改正案の提出を目指す。中間試案では、株主総会で１人の株主が提案できる議案数の上限について「５」と「１０」の２案を示した。また株式提案の内容が「名誉の侵害」「人を困惑させる」などの目的だった場合、会社が提案を制限できる規定を設けるよう求めた。株主提案は１９８１年の制度導入以来、提出議案数の制限はない。内容が「法令や定款に違反する場合」は提案できないが、細かい基準はなかった。１２年の野村ホールディングスの株主総会で１人の株主が「トイレをすべて和式に」など１００件を提案。株主提案に一定の制限を設けなければ「審議時間が無駄に費やされ、会社と株主の対話が阻害される」との指摘が出ていた。米国は株主１人につき１議案に制限し、英国は株主提案の要件を「議決権の５％以上」と高く設定している。中間試案は、提案数や内容を制限する一方、要件は「総議決権数の１％または３００個以上の議決権を６カ月以上保有」の現行基準を維持。要件見直しの検討は継続するとした。一方、社外取締役の設置の義務付けについては、主に上場企業を対象に社外取締役を義務付ける案と、現行のまま義務付けない案の両論を併記した。東京証券取引所の企業統治指針に従い、東証１部上場企業の９９％超が社外取締役を設置しているため、会社法での義務付けが必要かどうかは結論が出なかった。【中井正裕、鈴木一生】"
"「VR」の「eスポーツ」ってどんな感じ？ チーム対戦型VRゲーム「TOWER TAG」をプレイしてみた（GetNavi web）","2018年2月14日 19時00分","企業・産業",""
"赤字１００６億円　資本提携交渉に遅れ","2018年2月14日 18時52分","中国,最新の経済ニュース,企業・産業,速報,経済","経営再建中の中小型液晶パネル大手ジャパンディスプレイ（ＪＤＩ）は１４日、２０１７年４～１２月期の連結決算を発表した。主力のスマートフォン向けの競争激化で販売が減少したほか、構造改革費用も響き、純損益は１００６億円の赤字となった。中国・京東方科技集団（ＢＯＥ）などとの資本提携交渉は、当初想定の今年３月末よりも決着が遅れることも明らかにした。赤字は２年連続で、前年同期の９４億円の赤字から大幅に悪化した。液晶より高精細な有機ＥＬを画面に使ったスマホが増加。液晶パネルは、最大市場の中国を中心に売り上げの減少や価格下落に見舞われている。（共同）"
"ハイブリッドミラーレス一眼は仕事カメラの最適解!? 「LUMIX GH5」導入1か月レポ（GetNavi web）","2018年2月14日 18時30分","企業・産業",""
"薩長土肥４県で記念弁当を発売　明治維新１５０年","2018年2月14日 18時14分","経済,最新の経済ニュース,企業・産業,速報","セブン－イレブン・ジャパンは１４日、明治維新１５０年を記念した弁当類やスイーツなどを「薩長土肥」（鹿児島、山口、高知、佐賀）の４県で発売した。維新の立役者となった西郷隆盛や坂本龍馬らをデザインした電子マネー「ｎａｎａｃｏ（ナナコ）」の限定カードも発行している。鹿児島の「黒豚炭火焼き弁当」（５４０円）に山口の「ティラミスういろう」（２５０円）、高知産ショウガや佐賀産和牛を使ったおにぎりなど、県ごとに４品を用意。ナナコを使って購入した人には２７日までボーナスポイントを加算する。（共同）"
"契約社員１０００人を正社員に　優秀な人材確保","2018年2月14日 18時11分","経済,最新の経済ニュース,企業・産業,速報","アパレル大手の三陽商会は１４日、販売員やデザイナーなど契約社員約１０００人を２０１８年後半に正社員にすると発表した。人手不足が深刻化しており、処遇の改善で優秀な人材を確保したい考えだ。クレジットカード大手クレディセゾンが昨年９月にパート、契約社員約２２００人を正社員に切り替えたり、化粧品・健康食品のファンケルが直営店で働く契約社員約１０００人を今年４月から正社員にしたりするなど、同様の動きが広がっている。三陽商会が１４日発表した１７年１２月期の連結純損益は１０億円の赤字だった。前期も１１３億円の赤字だった。英バーバリーとの契約終了による販売の苦戦が続いた。（共同）"
"車谷氏がＣＥＯ　綱川社長はＣＯＯに　４月１日付","2018年2月14日 11時50分","経済,最新の経済ニュース,企業・産業,速報","東芝は１４日、主力取引銀行の三井住友銀行元副頭取で投資ファンドの日本法人会長を務める車谷暢昭氏（６０）を会長に迎える人事を発表した。車谷氏が最高経営責任者（ＣＥＯ）に就任し、綱川智社長は最高執行責任者（ＣＯＯ）として経営の実務を担う。４月１日付。"
"円出金４０１億円に　再開初日","2018年2月13日 23時12分","社会一般,最新の経済ニュース,企業・産業,速報,経済","仮想通貨交換業者コインチェックは１３日、仮想通貨ネムの不正流出問題を受け、再発防止策などを盛り込んだ業務改善計画を金融庁に提出した。また、不正流出が発生した１月２６日以来停止していた日本円の預かり資金の出金を再開した。１３日夜、記者団の取材に応じた同社の大塚雄介取締役は、再開後４０１億円の出金があったと明らかにした。改善計画は、金融庁が１月に出した業務改善命令で提出を命じていたもので、流出の原因▽顧客対応の適正化▽安全管理に関する体制強化と流出の責任明確化▽再発防止策－－の４項目を盛り込んだ。大塚取締役は「継続して事業を進めるため一歩一歩改善を進めている」と述べる一方、詳しい内容は明らかにしなかった。金融庁は内容を精査し、必要なら追加の行政処分も検討する。流出したネムを保有していた顧客約２６万人に対する補償について大塚取締役は、「資金の確保はできている」と述べたが、時期は「明確になれば報告したい」と言及を避けた。仮想通貨取引などその他の業務の再開時期も明らかにしなかった。進退も含めた経営陣の責任は「考えているところであり、正式な内容が決まれば報告する」と説明。経営強化のための他社との提携や財務増強策についても検討中であることを明らかにした。【小原擁、岡大介】"
"３月期決算を下方修正　赤字１億円超","2018年2月13日 21時57分","経済,最新の経済ニュース,企業・産業,速報","「筑豊ラーメン山小屋」を展開するワイエスフードは１３日、２０１８年３月期連結決算の業績予想を下方修正した。経常損益が前回予想の４６００万円の黒字から８１００万円の赤字に、最終（当期）損益は３２００万円の黒字から１億１２００万円の赤字になる見通し。国内は人手不足による営業時間の短縮などで売り上げ改善を図れず、東南アジアで出店の計画に遅れが出ているため。【高橋慶浩】"
