"title","date","tags","article"
"米国で経済的に最も進んでいる州はどこ？ シリコンバレーがあるカリフォルニアは意外にも1位ではなかった（GetNavi web）","2017年12月15日 06時00分","ライフ,スタートアップ",""
"新交通サービス実験、来年３月に　ＤｅＮＡと","2017年12月5日 20時27分","東京都,スタートアップ,最新の経済ニュース,企業・産業,速報,経済","日産自動車とディー・エヌ・エー（ＤｅＮＡ）は５日、自動運転技術を用いた新交通サービスの実証実験を来年３月に横浜市の公道で実施すると発表した。両社は２０２０年代の早期に無人運転によるサービス実現を目指している。実験には一般モニターも参加し、実現への課題を探る。「Ｅａｓｙ　Ｒｉｄｅ（イージーライド）」と呼ぶ新サービスの実験は来年３月５～１８日、横浜市のみなとみらい地区で行う。参加者はスマートフォンの専用アプリで乗降地点を選んで予約し、車を呼び出して目的地へ移動するまでの流れを体験。地点を特定せず「パンケーキ食べたい」などと目的を入力すると、最寄りの店舗を自動で薦める。近くの観光名所などを車載端末の画面に表示する機能もあるという。電気自動車リーフの旧型２台を使用。今回は「レベル２」と呼ばれる限定的な自動運転技術にとどまり、専任運転手が運転席に座るが、サービス導入時には無人でアクセルやブレーキ、ハンドルを操作する完全自動運転を採用するとしている。ロボットベンチャー「ＺＭＰ」（東京都文京区）も５日、都内の公道で遠隔操作による無人運転の実証実験を今月行うと発表。同社はタクシー大手、日の丸交通と２０２０年の無人タクシーサービスの実用化を目指している。【和田憲二】"
"第１期の支援５チーム決定","2017年11月29日 17時58分","経済一般,最新の経済ニュース,企業・産業,話題,速報,経済,スタートアップ","起業志望者からアイデアを募り、３カ月間の支援を通じて新たな事業創生を目指すため毎日新聞社などが設立した「毎日みらい創造ラボ」は２９日、第１期のシードアクセラレータープログラムの受講チームを決定した。選ばれたチームと事業領域は、Ｖｅｎｔｕｓ．Ｉｎｃ．（ヴェンタス）＝ブロックチェーンによるスポーツチーム支援▽ウェルナス＝ナス由来成分を活用したヘルスケア▽Ｇａｕｄｉｙ（ガウディ）＝アプリを使ったマーケティング支援▽スマートモチベーション＝ＡＩを使った学習支援▽Ｅｉｇｈｔｙ　Ｄａｙｓ（エイティ　デイズ）＝インバウンドを活用した地域創生－－の５チーム。５チームは、ＤｅＮＡへの投資で注目を集めた日本テクノロジーベンチャーパートナーズの村口和孝代表や、シリコンバレーで投資と事業開発を行うＳＶフロンティアの鈴木陽三社長など国内外の著名投資家や起業家からのアドバイスでアイデアを磨き、法務や財務、プレゼンテーションといった起業ノウハウを専門家から学ぶ。毎日みらい創造ラボは来年の３月７日、投資家や大手企業の担当者を招き、３カ月間の成果を披露する「デモデイ」を開催する予定だ。【永井大介】"
"「スポーツのベンチャー企業を発掘します」","2017年11月9日 16時05分","スポーツ一般,スタートアップ,企業・産業,話題,速報,スポーツ","横浜ＤｅＮＡベイスターズは９日、スポーツ分野のベンチャー企業を発掘・育成する新事業「ベイスターズ　スポーツ　アクセラレータ」プログラムを始めると発表した。海外では、英サッカーの強豪、アーセナルが同様の事業を行っているなどの前例があるが、日本のプロチームが取り組むのは初めて。ベンチャーとの協業で成長を目指すオープンイノベーションの流れが日本のスポーツ界でも加速しそうだ。ベイスターズがベンチャー企業との協業を目指すのは、これまでなかったスポーツ体験をファンやスポンサー企業などに提供するため。このため、（１）新しいスポーツ観戦（２）ファンの満足度向上（３）スポンサー企業への提供価値向上（４）物販・飲食サービス（５）スポーツ技術（６）新たなスポーツ分野－－の６分野で、アイデアや技術を持つベンチャー企業の発掘と協業を目指していく。事業の運営には、ベンチャーキャピタルのｉＳＧＳインベストメントワークスが当たる。同社はスポーツ関係をはじめ幅広い分野のベンチャー企業に投資しており、成長可能性のあるベンチャーの育成に取り組む。１２月から募集を始め、来年２月からプログラムをスタートさせる予定。海外では、アーセナルの他、スペインの名門クラブ、ＦＣバルセロナが今年３月、研究施設「Ｉｎｎｏｖａｔｉｏｎ　Ｈｕｂ」構想を発表。野球では、米メジャーリーグのロサンゼルス・ドジャースのアクセラレータープログラムが２期目に入っている。"
"未来の生活、いかが　３日、幕張メッセで開幕","2017年10月2日 22時55分","経済一般,韓国,中国,企業・産業,速報,経済,スタートアップ,最新の経済ニュース","アジア最大級の、最先端の家電や情報技術（ＩＴ）の展示会「ＣＥＡＴＥＣ（シーテック）ジャパン２０１７」が３日、千葉市の幕張メッセで開幕する。今年は家電メーカーが新製品を競った従来の展示会から一層姿を変え、メガバンクや住宅メーカーなど異業種の顔ぶれが目立つ内容となっている。各社は人工知能（ＡＩ）や、あらゆる機器がインターネットにつながる「モノのインターネット（ＩｏＴ）」などの最新技術を使った将来の生活像の提案を競う。今回は昨年より多い６６７企業・団体が参加。約半数が新規出展という。開催期間は６日までで、４日間で１６万人の来場者を見込んでいる。２日は報道陣向けに出展内容が事前公開された。目を引いたのが、ＫＤＤＩから出資を受けたロボット開発ベンチャー「Ｔｅｌｅｘｉｓｔｅｎｃｅ（テレイグジスタンス）」のブース。離れた場所にいる操縦者とロボットとの間で視覚や触覚などを共有。操縦者の「分身」としてロボットが動くシステムだ。ＫＤＤＩなど大手通信会社は２０２０年ごろに高速で大容量のデータが送受信できる第５世代移動通信（５Ｇ）の導入を目指している。この５Ｇと組み合わせれば「海外にいる人が日本の工場にあるロボットを操作して作業をすることも可能」（同社）といい、日本の労働力不足への対応策として期待されそうだ。住設メーカー大手のＬＩＸＩＬ（リクシル）は、住宅に設置した宅配ボックスでの荷物の受け渡し状況をスマートフォンで確認できるサービスを展示。人手不足が問題化している配送業務の効率化を提案する。ＡＩを使った展示も多い。富士通は、センサーに指をかざして血管年齢などを測定すれば、ＡＩが本人の食事や運動の状況を勘案して健康作りをアドバイスしてくれるシステムを出展している。パナソニックは、ＡＩが幼児の生活習慣を把握し、食事や就寝時間、学習などの習慣付けを手助けする球型ロボットを披露。親が就寝時間にスマホで指示を送れば、ロボットが子どもに「眠いから寝ようよ」などと優しく呼びかける機能を持つ。１９年ごろの実用化を目指している。一方、シャープは、食べ物をかむ動作を測定し、正しいかみ方を指導する耳かけ型のヘルスケア機器を紹介している。【古屋敷尚子、釣田祐喜】家電メーカーを中心に人々の暮らしを豊かにする最先端の製品やシステムを提案する場として２０００年に始まった。従来は「アジア最大級の家電見本市」と銘打ち、パナソニックやソニーなど国内家電各社が最新の技術・製品の展示を競ってきた。しかし、韓国や中国メーカーの台頭で国内家電各社の業績が低迷したことも背景に出展が減少。１５年には、ピーク時（０７年）の６割弱（５３１企業・団体）まで落ち込んだ。このため、主催者の電子情報技術産業協会（ＪＥＩＴＡ）などは１６年から「脱・家電見本市」を提唱。家電業界だけでなく、自動車や金融などさまざまな業種が最先端の情報技術を競う場に衣替えし、再活性化を目指している。３メガバンクグループも初めて、シーテックの会場にブースをそろって構えた。独自のデジタル通貨を使ったサービスや生体情報による認証技術の紹介など情報技術（ＩＴ）を駆使した新たな金融サービス「フィンテック」への取り組みをアピールする。三菱ＵＦＪフィナンシャル・グループ（ＦＧ）は独自に開発したデジタル通貨「ＭＵＦＧコイン」の概要を初公開。仮想通貨などに使われるブロックチェーン（分散型台帳）技術を活用したもので、買い物や個人間の送金など幅広い利用を想定している。値動きが激しく投機・投資目的でも取引されるビットコインなど仮想通貨と異なり、ＭＵＦＧコインは「１コイン＝１円」と価値が固定されているのが特徴。ブースでは、同コインの情報が入ったスマートフォンを自販機にかざすとペットボトル飲料が買えるサービスを体験できる。三井住友ＦＧは顔や指紋、声などの生体情報を使ったスマホでの本人確認サービスを展示。現在は傘下の三井住友銀行のインターネット口座向けサービスとして提供しているが、今後は他の金融機関やネット通販などに利用を拡大させていく方針だ。みずほＦＧ傘下のみずほ情報総研は人工知能（ＡＩ）を使って、顔写真から２５年後の顔立ちを予測する解析技術を展示。美容分野や犯罪捜査など金融分野以外での活用を想定している。【横山三加子】"
"イベント入場はスマホで　キューブ型無線器を開発","2017年10月1日 11時00分","デジタル,東京都,企業・産業,速報,ライフ,経済,スタートアップ,最新の経済ニュース","イベントの入退場管理など、スマートフォンをかざしてさまざまなサービスが展開できるキューブ型のハードウエア「ＣＯＲＯＮＡ（コロナ）」を、ＩＴベンチャーのコノル（東京都新宿区）が開発した。アップルのｉＯＳのスマホや、Ａｎｄｒｏｉｄスマホに搭載されている近距離無線通信技術「ＮＦＣ」を使い、各種サービスと連携するＩｏＴ（モノのインターネット）製品だ。空港での無料Ｗｉ－Ｆｉ（無線ＬＡＮ）の接続の簡易化や、スタンプラリーやポイントカードの集計などでの活用が期待される。無線はＮＦＣの他、ＢｌｕｅｔｏｏｔｈとＷｉ－Ｆｉ機能もある。バッテリー利用で１週間連続動作するほか、無電源でも一部の機能が動作するなどの特長がある。コノルの溝田隆明社長は「より簡単に、ＮＦＣに対応した店舗や、イベントからの間口拡大につながる仕組みを提供したい」と話している。価格は試用版が２万円など。【高橋望】"
"ＡＩでＩｏＴで何が…英知が集まりパネル討論","2017年8月1日 19時40分","経済一般,最新の経済ニュース,企業・産業,話題,速報,経済,スタートアップ","１日に東京都内で開かれた「第１回毎日イノベーション・フォーラム」では、人工知能（ＡＩ）、ＩｏＴといった新技術で「パラダイムシフトは起きるのか」と題したパネル討論や、「２０２０年に向け、ベンチャーが日本経済のけん引役になるためには」と題した起業家創出セッションが行われた。パネル討論で坂村健東洋大情報連携学部長が、社会の将来像について「すべてのサービスを自動化する『環境のロボット化』が理想だ」と述べ、「個人データを扱う基盤と社会的なルール整備が求められる」と語った。グーグルなど米国発ベンチャーがグローバル企業に成長している背景として「米国は法律が最小限で技術革新が生まれやすい土壌がある」と指摘した。元総務事務次官の桜井俊氏も「日本もとりあえずやってみるための仕組みや制度作りが必要だ」と述べた。また、ＡＩ研究者で子育て中でもある坂本真樹電気通信大大学院教授は、女性起業家を増やすため「ＡＩを搭載したロボットなどで子育て支援が実現されるといい」と話した。起業家創出セッションには、化粧品の口コミサイト大手「＠コスメ」を運営するアイスタイルの創業者の吉松徹郎社長ら４人の起業家が参加。米シリコンバレーからの中継も交えて議論を交わした。毎日新聞社はメディアドゥ、ブロードバンドタワーの３社で７月に事業化を支援する「毎日みらい創造ラボ」を設立。今回のフォーラムはベンチャービジネス関係者らを結びつけ、新規事業創出を促すため開催した。【岡礼子】"
"「ＩｏＴ、ＡＩと言えば東京…」小池氏も熱く","2017年8月1日 19時27分","経済一般,最新の経済ニュース,企業・産業,話題,速報,経済,スタートアップ","人工知能（ＡＩ）などを使った事業創出や働き方をテーマにした「第１回毎日イノベーション・フォーラム－ＡＩとＩｏＴで変わる『まち、ひと、しごと』」（毎日新聞など主催）が１日、東京都千代田区の経団連会館で開かれ、企業の新規事業担当者や学生ら約２５０人が参加した。フォーラム冒頭で小池百合子東京都知事が登壇。ベンチャーと海外企業や投資家を結び付けたり、女性が起業しやすい環境作りを進めたりしていることを明らかにし、「ＩｏＴ、ＡＩと言えば東京と言われるよう、皆さんと高めあっていきたい」と述べた。また、医療用ロボット開発で知られるＣＹＢＥＲＤＹＮＥ（サイバーダイン）の山海嘉之社長が基調講演。さらに「ＩｏＴ、ＡＩがどのようなイノベーションを起こすか」をテーマにしたパネル討論なども行われた。"
"ＡＩを使った事業創出や働き方をテーマに　８月１日開催","2017年7月19日 11時00分","経済,スタートアップ,最新の経済ニュース,速報","人工知能（ＡＩ）などを使った事業創出や働き方をテーマにした「第１回毎日イノベーション・フォーラム～ＡＩとＩｏＴで変わる『まち、ひと、しごと』～」を８月１日、経団連会館「国際会議場」（東京都千代田区大手町）で開催する。フォーラムでは、小池百合子東京都知事が「世界一のイノベーション都市・東京の未来に向けて」と題して記念メッセージを寄せるほか、装着型で身体機能を改善・補助・拡張・再生するロボット技術「ＨＡＬ（ハル）」で知られるＣＹＢＥＲＤＹＮＥ（サイバーダイン）の山海嘉之社長が「革新的サイバニックシステム最前線～社会変革への挑戦～」と題して基調講演する。また、元総務事務次官の桜井俊氏、ＩｏＴの研究拠点である東洋大学情報連携学部の坂村健学部長、人工知能学者で電通大の坂本真樹教授らによる「パラダイムシフトは起きるか～まち・ひと・しごと」と題したパネル討論、日本最大の化粧品クチコミサイト「＠ｃｏｓｍｅ」を運営するアイスタイルの吉松徹郎社長らが「いま求められるベンチャーとは」と題した起業家創出セッションを実施する。その後、６分野の一線で活躍するビジネスリーダーや専門家を招いた分科会を実施する。「ＡＩとイノベーション」には電通大人工知能先端研究センターの栗原 聡氏、自動車ジャーナリストの川端由美氏、アプリックスＩＰホールディングス前会長の郡山龍氏が参加する。「地方創生とベンチャービジネス」では、天塩町副町長で元外務官僚の齊藤啓輔氏、メディアドゥ社長で徳島県那賀町の再生・復興事業も推進している藤田恭嗣氏が出席する。「ソーシャルベンチャー」には、遠隔手話通訳などを展開するシュアールグループ共同創業者の大木洵人氏、社会起業家育成支援を続けるＮＰＯ法人ＥＴＩＣ．の代表理事の宮城治男氏が議論を展開する。「インバウンド観光とＩｏＴ」にはロケーションインテリジェンス事業を展開するナイトレイ社長の石川豊氏、生体認証クラウドを活用したインバウンド事業を推進するＬｉｑｕｉｄ　Ｊａｐａｎ社長の保科秀之氏、観光産業ニュース会社「トラベルボイス」の鶴本浩司代表が出席する。５Ｇとメディアには、ＮＴＴドコモ５Ｇ推進室室長の中村武宏氏、ヤフー執行役員ＣＭＯの村上臣氏、毎日新聞社取締役の小川一氏が議論する。「農業の働き方ＩｏＴ」には農業経営支援アプリを展開するＴｒｅｘＥｄｇｅの池田博樹氏、「日本の農業をカッコよく！」というテーマを掲げる鈴盛農園代表の鈴木啓之氏、フューチャーアーキテクト執行役員の宮原洋祐氏が参加する。フォーラム終了後には参加者の懇親会も予定している。フォーラムは毎日新聞社、メディアドゥ、ブロードバンドタワーの３社で構成する実行委員会が企画。申し込みは案内サイト（https://www.mainichi.jp/sp/ai-iot/）から。時間は午前１０時から１９時半まで。参加料は一般２万８０００円、学生１万円（それぞれ飲食代込み）。定員は２５０人。問い合わせは毎日企画サービス０３・６２６５・６８１４（平日午前１０時～午後５時）まで。"
"「宇宙はごみだらけ」回収の人工衛星開発","2017年7月15日 10時38分","動画配信記事,社会,スタートアップ,毎日動画,話題,速報","地球周辺を漂う宇宙ごみを回収する人工衛星開発で宇宙ビジネス参入を目指すベンチャー企業「アストロスケール」（本社・シンガポール）は１４日、東京都内で回収衛星の実物大模型を初公開した。２０１９年前半に打ち上げて実証実験し、２０年までに事業化する計画だという。同社の創業者、岡田光信・最高経営責任者（４４）は「宇宙はごみだらけで、このままでは宇宙開発は持続不可能になる。必ず需要はある」と話した。ＡＮＡホールディングスなどから新たに２８億円の出資を受けたことも明らかにした。宇宙ごみは使い終わった人工衛星やその破片などで、直径１センチ以上のものだけで約７５万個が地球周辺を漂っているとされ、各国や企業の人工衛星運用上の支障となっている。アストロスケールの回収衛星は、使い終わった人工衛星に接近し、磁石で引き寄せて捕獲した後、大気圏に突入して燃やす仕組み。あらかじめ契約を結んで回収手段を提供することで、相手の衛星側にもコストダウンなどのメリットがあるという。【酒造唯】"
