"title","date","tags","article"
"東京＝１７時　１ドル＝１０７円４０～４１銭","2018年2月14日 17時55分","経済,最新の経済ニュース,マーケット,速報","１４日の東京外国為替市場の円相場は、午後５時現在、１ドル＝１０７円４０～４１銭で、前日の午後５時時点と比べ３５銭の円高・ドル安になった。"
"東証＝終値　２万１１５４円１７銭","2018年2月14日 15時09分","経済,最新の経済ニュース,マーケット,速報","１４日の東京株式市場の日経平均株価は、前日の終値と比べ９０円５１銭安の２万１１５４円１７銭で取引を終えた。"
"東京＝１０時　１ドル＝１０７円７８～７９銭","2018年2月14日 10時15分","経済,最新の経済ニュース,マーケット,速報","１４日の東京外国為替市場の円相場は、午前１０時現在、１ドル＝１０７円７８～７９銭で、前日の午後５時時点と比べ０３銭の円安・ドル高になった。"
"東証＝始値　２万１２５１円２４銭","2018年2月14日 09時29分","経済,最新の経済ニュース,マーケット,速報","１４日の東京株式市場の日経平均株価は、前日の終値と比べ６円５６銭高の２万１２５１円２４銭で取引を始めた。"
"ＮＹ＝１７時　１ドル＝１０７円７７～８７銭","2018年2月14日 09時20分","経済,最新の経済ニュース,マーケット,速報","１３日のニューヨーク外国為替市場の円相場は、午後５時現在、１ドル＝１０７円７７～８７銭で、前日の午後５時に比べ８２銭の円高・ドル安になった。ニューヨーク株式市場のダウ工業株３０種平均は前日の終値に比べ３９ドル１８セント高の２万４６４０ドル４５セントで取引を終えた。"
"一時１０７円４１銭　５カ月ぶり円高水準","2018年2月14日 08時11分","アメリカ,最新の経済ニュース,マーケット,速報,経済","１３日のニューヨーク外国為替市場の円相場は対ドルで上昇し、一時１ドル＝１０７円４１銭をつけた。約５カ月ぶりの円高ドル安水準。午後５時現在は、前日比８２銭円高ドル安の１ドル＝１０７円７７～８７銭、ユーロは１ユーロ＝１．２３４５～５５ドル、１３３円１３～２３銭。朝方は米株価が軟調に推移したことで円が買われ、ドルが売られた。その後、米株価が上昇に転じると、ドルを買い戻す取引が優勢となった。（共同）"
"３日続伸、３９ドル高　米物価統計控え、もみ合い","2018年2月14日 07時55分","アメリカ,最新の経済ニュース,マーケット,速報,経済","１３日のニューヨーク株式市場のダウ工業株３０種平均は３営業日続伸し、前日比３９．１８ドル高の２万４６４０．４５ドルで取引を終えた。１４日に１月の米消費者物価指数などの発表を控え様子見気分が強まり、もみ合う展開になった。今月の株価急落は、物価上昇懸念を背景とした金利上昇がきっかけだったため、市場では、米国の物価動向への関心が高かった。朝方は利益を確定させる売り注文が優勢となり、一時１８０ドル下げた。午後に入ると、世界経済や米企業業績の堅調さが意識されてプラスに転じ、上昇幅は一時１０４ドルに達した。（共同）"
"反落、５９ドル台　国際機関が供給増観測","2018年2月14日 07時53分","アメリカ,最新の経済ニュース,マーケット,速報,経済","１３日のニューヨーク原油先物相場は小幅反落し、指標の米国産標準油種（ＷＴＩ）の３月渡しが前日比０．１０ドル安の１バレル＝５９．１９ドルで取引を終えた。国際エネルギー機関（ＩＥＡ）が石油月報で、今年は米国など石油輸出国機構（ＯＰＥＣ）加盟国以外での生産拡大ペースが需要の伸びを超える可能性が高いとの見通しを示したことから、売り注文が優勢となった。（共同）"
"反落、一時１８０ドル安","2018年2月14日 00時23分","経済,最新の経済ニュース,マーケット,速報","１３日のニューヨーク株式市場のダウ工業株３０種平均は反落して一時、前日と比べ１８０ドル下げた。午前１０時現在は前日比１１７．７４ドル安の２万４４８３．５３ドル、ハイテク株主体のナスダック総合指数は２７．４４ポイント安の６９５４．５２をつけた。８日の株価急落後、２営業日連続で買い戻しが進んだ反動で、利益を確定させる売り注文が優勢となった。（共同）"
"東京＝１７時　１ドル＝１０７円７５～７６銭","2018年2月13日 17時59分","経済,最新の経済ニュース,マーケット,速報","１３日の東京外国為替市場の円相場は、午後５時現在、１ドル＝１０７円７５～７６銭で、前週末（９日）の午後５時時点と比べ１円４０銭の円高・ドル安になった。"
"一時１０７円台に急伸　５カ月ぶり円高水準","2018年2月13日 17時47分","経済,最新の経済ニュース,マーケット,速報","連休明け１３日の東京外国為替市場の円相場は急伸し、一時１ドル＝１０７円台後半をつけ、昨年９月上旬以来約５カ月ぶりの円高水準となった。東京株式市場で日経平均株価（２２５種）が４カ月ぶりの安値に下落し、先行きへの警戒感から投資家のリスク回避志向が強まり、円買い・ドル売りが進んだ。時間外取引で米長期金利が低下し、日米金利差が縮小するとの思惑も円買いを後押しした。午後４時現在は、前週末比１円０３銭円高ドル安の１ドル＝１０８円１２～１３銭。ユーロは９２銭円高ユーロ安の１ユーロ＝１３３円１５～１６銭。（共同）"
"仮想通貨１８０億円流出　全額払い戻し困難か","2018年2月13日 16時29分","経済,最新の経済ニュース,マーケット,速報","イタリアの仮想通貨交換業者「ビットグレイル」は１２日までに、交換所から「Ｎａｎｏ（ナノ）」と呼ばれる仮想通貨が流出したことを明らかにした。米紙ウォールストリート・ジャーナル電子版によると、流出したのは１億７０００万ドル（約１８４億円）相当という。ビットグレイルの９日の発表によると、内部調査で不正な取引が確認された。経営者とみられる人物が「全額を払い戻す方法はない」とツイッターに投稿した。仮想通貨を巡っては、日本の交換業者「コインチェック」から、１月に５８０億円分相当の「ＮＥＭ（ネム）」が流出したことが判明した。（共同）"
"続落、１３７円安　円高懸念で売りが優勢","2018年2月13日 16時02分","経済,最新の経済ニュース,マーケット,速報","連休明け１３日の東京株式市場は割安感から一時、大幅上昇したが、午後に入って米国市場の動向に警戒感が広がると、日経平均株価（２２５種）は続落した。終値は前週末比１３７円９４銭安の２万１２４４円６８銭で、昨年１０月以来、約４カ月ぶりの安値となった。東証株価指数（ＴＯＰＩＸ）は１５．１９ポイント安の１７１６．７８。出来高は約１９億６２００万株。朝方は、前週末に東京市場が大幅安となった反動や前日の欧米、アジアの主要市場が堅調だったことを好感し、好業績銘柄を中心に買いが先行した。上げ幅は一時３００円に迫った。（共同）"
"東証＝終値　２万１２４４円６８銭","2018年2月13日 15時13分","経済,最新の経済ニュース,マーケット,速報","１３日の東京株式市場の日経平均株価は、前週末（９日）の終値と比べ１３７円９４銭安の２万１２４４円６８銭で取引を終えた。"
