"title","date","tags","article"
"首相が答弁撤回　裁量労働の根拠データに不備","2018年2月14日 10時01分","政治,政治一般,速報","安倍晋三首相は１４日午前、衆院予算委員会の集中審議で、裁量労働制に関する１月２９日の答弁を撤回した。首相が答弁の根拠にした厚生労働省の２０１３年度の調査に不自然な点があると野党が追及していた。自民党の江渡聡徳元防衛相が「調査を一度、白紙に戻したらどうか」とただしたのに対し、首相は「引き続き精査が必要なデータを基に行った私の答弁は撤回するとともに、おわびしたい」と述べた。首相は１月２９日の衆院予算委で裁量労働制の対象を広げる意義を説明した際、「厚労省の調査によれば、裁量労働制で働く人の労働時間の長さは、平均的な人で比べれば一般労働者よりも短いというデータもある」と述べた。しかし、厚労省の１３年度労働時間等総合実態調査のデータには、平均的な労働者の１日の労働時間が２３時間を超える事業場が９カ所含まれるなど問題点が次々に浮上。立憲民主党の長妻昭代表代行は１３日の衆院予算委で答弁の撤回を求めたが、首相は「答弁した段階ではそういうデータがあった」と応じなかった。加藤勝信厚労相は１４日の衆院予算委で「精査に相当の時間を要するデータを示したことは撤回したい。国会、国民にご迷惑をかけたことを深くおわびする」と陳謝した。一方、ペンス米副大統領が米メディアに北朝鮮との対話の可能性を示したことについて、首相は「ペンス氏の訪日の際に加え、平昌（ピョンチャン）でも綿密にすり合わせをしており、北朝鮮の非核化に向け圧力を最大限まで高めていく方針で一致している。米国政府関係者にも方針に変わりがないことは確認済みだ」と述べ、日米の連携に揺るぎはないとの認識を示した。自民党の山口壮氏の質問に答えた。【光田宗義】"
"小和田恒氏、６月退任へ　安倍首相に伝える","2018年2月13日 19時03分","政治,政治一般,速報","皇太子妃雅子さまの父の小和田恒氏（８５）は１３日、安倍晋三首相と首相官邸で会談し、オランダ・ハーグの国際司法裁判所（ＩＣＪ）の裁判官を６月に退任する意向を伝えた。小和田氏の任期は２０２１年までだが、今月６日、ＩＣＪに任期途中で退任する意向を伝えていた。高齢や、天皇陛下の１９年４月末の退位後に皇太子さまが即位し、雅子さまが新皇后になられることも踏まえて退任を判断した。政府は選挙で選ばれる後任の裁判官に、岩沢雄司東大教授を推薦する調整をしている。"
"羽生氏と井山氏に授与　将棋、囲碁で初","2018年2月13日 19時00分","囲碁,政治一般,速報,カルチャー,政治","将棋で初の永世７冠を達成した羽生善治氏（４７）と、囲碁で初めて２度にわたる７冠独占を果たした井山裕太氏（２８）＝本因坊文裕＝に対する国民栄誉賞の表彰式が１３日、首相官邸で開かれた。安倍晋三首相は両氏に表彰状と盾を授与し、「多くの国民に夢と感動を、社会に明るい希望と勇気を与えた」と功績をたたえた。囲碁、将棋の棋士が国民栄誉賞を受賞したのはそれぞれ初めて。表彰式には日本将棋連盟の佐藤康光会長、日本棋院の団宏明理事長、羽生氏の長女舞花さんも同席した。羽生、井山両氏には記念品として、すずり箱、すずり、筆、墨がそれぞれ贈られた。すずり箱は「７冠」にちなんで「七宝彩釉群鶴文硯（しっぽうさいゆうぐんかくもんすずり）箱」とした。返礼として、羽生氏は将棋盤と将棋駒、井山氏は碁盤と碁石を首相に進呈した。国民栄誉賞は１９７７年の創設以来、スポーツや文化・芸能分野の個人・団体が受賞。羽生、井山両氏の受賞は五輪女子レスリングで４連覇を果たした２０１６年の伊調馨選手以来で２５、２６例目となった。【高橋克哉】"
"確定申告影響「十分あり得る」　佐川長官問題","2018年2月13日 18時32分","政治,政治一般,速報","麻生太郎副総理兼財務相は１３日の衆院予算委員会で、学校法人「森友学園」への国有地売却問題に関し、財務省理財局長（当時）として文書は「破棄した」と国会で答弁していた佐川宣寿国税庁長官の問題を巡り、１６日から始まる確定申告の徴税事務に影響が出る可能性を示唆した。麻生氏は「当然そういうこと（苦情）が起きることは、十分あり得ると思っておかないといけない」と述べた。財務省は既に開示していた同省近畿財務局の内部文書５件以外に、９日に新たに２０件の内部文書を明らかにした。野党は、佐川氏の昨年の国会答弁は「虚偽答弁だった」などと批判を強め、国会への招致を求めている。立憲民主党の長妻昭氏が、佐川氏への苦情が国税庁に寄せられていないのかただすと、麻生氏は「人事に否定的なものや書類の保存に言及したものがあるとは聞いている」としながらも「例年と比較して、今現場で特段の支障が生じているとは聞いていない」と答弁した。長妻氏は「もう苦情は起きている。税の信頼が保てるのか」などと批判した。また、麻生氏は「今後も要請があり、仮に該当する資料があれば提出に向けて努力したい」と述べ、これ以外の文書の存在の有無については明言を避けた。【水脇友輔】"
"偶発的な衝突回避で「連絡メカニズム」協議","2018年2月13日 08時00分","中国,政治一般,アジア・オセアニア,速報,国際","日中両政府が、自衛隊と中国軍の艦艇や航空機の偶発的な衝突を避けるための「海空連絡メカニズム」の早期運用に向け、外務・防衛当局の実務者協議を１３日に東京都内で開く。沖縄県・尖閣諸島の取り扱いを棚上げして大筋合意を目指す調整に入っており、詰めの協議を進める。日中両政府は昨年１２月に上海で行った「高級事務レベル海洋協議」で、連絡メカニズムの「構築及び運用開始について前向きな進展を得た」との認識で一致。日本側は今回の協議でさらに前進させ、今後の日中首脳会談での大筋合意を目指す。連絡メカニズムの柱は、防衛当局間の定期会合開催▽現場で艦艇や航空機が接近した場合の直接通信のルール確立▽防衛当局幹部同士の専用連絡回線（ホットライン）設置－－で、両政府が２００７年から交渉。中国は尖閣の領有権を主張し、「直接通信」の対象地域として「領海・領空」（領域）の文言明記を求めていた。今回は、対象地域を明記しない妥協案で調整を進める。【秋山信一、加藤明子】"
"有償軍事援助、未精算１０００億円超","2018年2月13日 07時30分","アメリカ,政治一般,北米,速報,国際","日本政府が米国から防衛装備品を購入する有償軍事援助（ＦＭＳ）を巡り、装備納入後も米側が日本から受け取った前払い金の精算をしていない取引が、昨年度末時点で１０００億円を超えていることが分かった。米側は為替変動などを見込んで多めに前払い金を見積もる傾向があり、日本側がそれに応じているケースが大半で、年間数十億円にのぼる余剰金返還の先送りが常態化している。未精算取引額は一時減少したが、２０１５年度から増加に転じ、１６年度末に１０７２億円となっている。会計検査院は１９９７年から２０１３年までに少なくとも３度、防衛省に精算を促進するよう求めている。未精算取引のうち、日米両政府が精算の努力目標としている「装備品納入後２年」を過ぎた取引額は６２３億円あり、６割以上を占める。日本側は働き掛けを続けているが、今年度も米側の精算手続きは進んでいない。ＦＭＳの総額は１３年度の１１１７億円が１６年度には４倍以上となり、４８８１億円に増加。今後さらに未精算額が増える可能性がある。ＦＭＳは米側の見積額を前払いするのが原則。ほとんどの契約では、精算後に過払い分が日本側に返還されるが、返還額は１４～１６年度は平均約５３億円にとどまった。日本政府は０５年度に、前払い分を預ける米連邦準備銀行の口座を無利子から有利子に切り替えた。余剰金返還が遅れた際の損失を軽減する措置だ。この結果、１４～１６年度には年平均約２億７０００万円の利子が国庫に納付され、米側に利子負担が生じるようになった。防衛省は「米側への早期精算の働き掛けを強化したい」としている。【秋山信一】米国が武器輸出管理法に基づき、同盟国や友好国に最新鋭の武器や装備品を有償で提供する契約。購入国は米国側の価格見積もりや、代金の原則前払いなど、米国が提示する条件を受け入れなければならない。米国政府は契約額の３．５％を「事務手続き経費」などの名目で得ている。会計検査院はこれまでも納入時期の遅延などの問題を指摘してきた。"
"防衛相とばったり、びっくり　私邸周辺散歩中に","2018年2月12日 18時20分","政治,政治一般,速報","安倍晋三首相は１２日、東京・富ケ谷の私邸周辺を約１時間半かけて散歩した。訪韓や国会答弁など多忙な日々が続く中、リフレッシュを図ったようだ。散歩の途中にはジョギング中の小野寺五典防衛相と偶然出会い、あいさつを交わし立ち話をする一幕もあった。首相が体を動かすのは、ゴルフや都内のジムの場合が多く、自宅周辺の散歩は珍しい。首相は平昌五輪開会式出席などのため９日に訪韓し、１０日夜に帰国。１１日は終日、私邸で静養した。１２日は午前１１時前に自宅を出て周辺をじっくり歩いた。首相周辺によると、正午ごろに小野寺防衛相とばったり出会い、お互いにびっくりした様子だったという。【竹内望】"
"麻生財務相１８７５日　戦後１位　宮沢氏抜く","2018年2月12日 18時12分","経済一般,政治一般,速報,政治","麻生太郎財務相の在任期間が１２日で１８７５日となり、宮沢喜一氏の記録を塗り替え戦後最長となった。２０１２年１２月の第２次安倍晋三内閣発足以降、デフレ脱却を最重要課題に掲げる首相を支え、菅義偉官房長官と並ぶ政権の屋台骨として存在感を示している。麻生氏は１２年１２月２６日に財務相に就任。連続在任期間は１６年９月９日に戦後最長となり、通算の在任期間でも戦後１位となった。麻生氏は９日の記者会見で「長くやりゃいいってもんでもないだろう。それだけです」と素っ気なく話した。麻生氏は、大規模金融緩和を推進する日銀と連携し、当初予算や経済対策を盛り込んだ補正予算の編成を通じてアベノミクスを推進。閣僚では最年長の７７歳だが、年に複数回の海外出張もこなす。在任期間が長くなったことで、主要７カ国（Ｇ７）の財務相の中でも一番の古株となった。政権ナンバー２の副総理も兼務。米トランプ政権との間では、ペンス副大統領とともに「日米経済対話」を担当。政治問題に発展しかねない貿易政策など日米間の経済交渉を引き受けている。首相経験者として、衆院解散時期など政権運営について安倍首相に助言。自ら率いる麻生派は昨年、山東派などとの合流で自民党内第２派閥となり、政権への影響力を高めている。一方、消費税増税を巡っては、税率１０％への引き上げ時の軽減税率導入に反対する姿勢を示したものの、最終的には容認。２回にわたる増税延期も安倍首相に従って受け入れており、財政規律への姿勢を疑問視する声もある。【大久保渉】１位　麻生太郎　（安倍内閣　１８７５日）２位　宮沢喜一　（中曽根、竹下、小渕、森内閣　１８７４日）３位　水田三喜男（池田、佐藤内閣　１８２８日）※２０１８年２月１２日時点"
"増額へ　名護市長に自公系、翁長氏けん制","2018年2月12日 07時30分","沖縄県,政治一般,速報,政治","政府は、沖縄県名護市を含む同県北部１２市町村に交付している北部振興事業予算を２０１９年度から増額する検討に入った。４日の名護市長選で自民、公明両党などが推した渡具知武豊氏が当選し、米軍普天間飛行場（同県宜野湾市）の名護市辺野古への移設計画を進めやすくなったと判断した。秋の知事選に向け、移設反対を掲げる翁長雄志知事をけん制する狙いもある。北部振興事業は、内閣府が所管する沖縄振興予算の一環。１９９９年に当時の稲嶺恵一知事と岸本建男名護市長が辺野古移設を容認したことを受け、那覇市など県南部に比べて経済発展が遅れていた北部のインフラ整備や雇用拡大を目的に創設された。県に対する一括交付金と異なり、１２市町村で構成する事務組合に国が直接交付する。事務組合の理事長は慣例で名護市長が務めている。政府は北部振興事業に２０００年度から１０年間で１０００億円の予算を措置した。その後、制度は延長され、現行の沖縄振興計画では２１年度まで少なくとも年５０億円（公共事業、非公共事業の合計）を確保することになっている。１２、１３年度は５０億円、１４～１８年度は５１．４億円を計上した。内閣府は夏の概算要求までに増額幅を検討し、１９年度予算案に反映させたい考え。知事選前に、北部振興に取り組む安倍政権の姿勢を示そうとしている。【竹内望】"
"戦力不保持の議論「終わらせたい」","2018年2月11日 22時46分","政治,政治一般,速報","自民党憲法改正推進本部の細田博之本部長は１１日、松江市での会合で、自衛隊の存在を明記する憲法改正を巡って党内で９条第２項（戦力不保持）の維持論と削除論が出ていることについて「もう少しで議論を終わらせたい」と述べた。細田氏は安倍晋三首相が提起した９条第１項と第２項を維持する案を支持し、３月２５日の党大会前の意見集約を目指している。【長宗拓弥】"
