"title","date","tags","article"
"弁護士の福山氏出馬へ　共産系が支援検討","2018年2月7日 17時24分","選挙,速報,政治","４月８日投開票の京都府知事選で、元京都弁護士会副会長で新人の福山和人氏（５６）が立候補する意向を固めた。近く正式に表明する。共産党などでつくる「民主府政の会」が支援を検討している。福山氏は同府宇治市出身で立命館大卒。２００１年に弁護士登録し、関西建設アスベスト京都訴訟や関西電力大飯原発差し止め京都訴訟などの原告側代理人を務めた。取材に対し「大企業と中小企業、京都市と他地域の二極分化を是正し、皆が安心して生活できる京都府にしたい」と語った。知事選では自民、公明、民進各党が、復興庁前事務次官で新人の西脇隆俊氏（６２）の擁立を決めている。【澤木政輝】"
"百条委員長「前職応援を」　中学時代の教師","2018年2月6日 08時00分","社会一般,選挙,速報,社会","大阪府岸和田市の出直し市長選で敗れた信貴芳則前市長（５６）を巡り、金銭疑惑の解明のために市議会に設置された調査特別委員会（百条委）の委員長で共産党の中井良介市議（７０）が市長選告示前に開かれた会合で、信貴氏への支援を呼びかけていたことが５日分かった。中井氏は信貴氏の中学時代の教師だった。中井氏は取材に「通常の政治活動であり、問題はない」と弁明するが、専門家は「委員長として不適切だ」と指摘している。出席した男性によると、会合は同市内の飲食店で告示１週間前の先月２１日昼、信貴氏の市内の出身中学の同期生や元教師ら約３０人が新年会として開催。信貴氏は欠席したが、かつて社会科教師だった中井氏は出席。中井氏は、駐車場で記念撮影をした際に「信貴さんに１票入れたってな」と呼びかけたという。一方、中井氏は取材に「『信貴さんを応援したってください』と言ったが、『１票入れて』とは言っていない」と反論。告示前の支援呼びかけに問題はないとした上で「委員長の仕事はちゃんとやらなあかんと思っている」と述べ、百条委の委員長を続ける考えを示した。元検事の郷原信郎弁護士は、発言内容によっては公職選挙法で禁止する事前運動に当たると指摘。「『１票を入れて』と当選を得させる目的なら問題だ。法的問題がないとしても、公正に委員長の職を務めようとしているのか疑問だ。不適任として解任されても仕方ない」と非難する。信貴氏は２０１３年の市長選の前に自民党の推薦を得るために現金２００万円を提供したことを認めている。その現金が党府第１８選挙区支部長の神谷昇氏（現衆院議員）に渡ったかどうかで関係者の主張が食い違うなど真相は不明で、百条委は近く信貴氏を証人喚問する見通し。４日投開票の選挙では、元府議で地域政党・大阪維新の会公認の新人、永野耕平氏（３９）が、信貴氏と元市議の西田武史氏（５２）を破り、初当選した。【山下貴史、井川加菜美】"
"滋賀４区で無効票数百水増し　甲賀市開票数足りず","2018年2月6日 01時21分","社会一般,2017 衆院選,選挙,速報,社会","滋賀県甲賀市は５日、昨年１０月の衆院選小選挙区（滋賀４区）の開票で、投票総数に対して開票数が足りないことを理由に白票（無効票）を数百票水増しし集計していたと発表した。その後に未集計の投票用紙が見つかったが、廃棄していた。候補者の当落に影響はなかったが、関与を認めた少なくとも３人の市選管職員を自宅待機にして更に詳しく調べている。市によると、１０月２２日から２３日にかけ開票する際、確定していた投票数（４万７８５１票）に対し数百票が不足し、開票確定の遅れを回避するため選管職員が白票として計上した。開票事務終了後の２３日午前３時過ぎ、開票所内で投票用紙の入った投票箱を発見したが、開票せず処分した。２月１日に市長宛てに情報提供があり発覚。市は「選挙結果に影響はないが、公選法に抵触する」としている。滋賀４区全体では自民党公認の新人候補が当選し、次点だった希望の党の新人候補とは１万５４９７票差があったと集計された。【大原一城】"
"共産が新人の青山了介氏擁立","2018年2月5日 20時03分","参院選,2016 参院選,選挙,速報,政治","共産党富山県委員会は５日、来夏の参院選富山選挙区（改選数１）に、新人で党県委員の青山了介氏（４２）を擁立すると発表した。"
"政権、次は知事選照準　自公系当選で","2018年2月5日 11時16分","沖縄県,選挙・沖縄,選挙,政治一般,速報,政治","安倍晋三首相は５日、沖縄県名護市長選で自民、公明両党などが推薦した渡具知武豊氏が当選したことを受け、米軍普天間飛行場（沖縄県宜野湾市）の名護市辺野古への移設について「市民の理解をいただきながら、（沖縄県知事による埋め立て承認取り消しを違法とした）最高裁判決に従って進めていきたい」と記者団に語った。安倍政権は１１月ごろに予定される県知事選をにらみつつ移設計画を進める方針だ。首相官邸で記者団の問いかけに応じた首相は「現職市長を破るのは難しいと思っていたが、本当に勝ってよかった」と表明。「県民の気持ちに寄り添いながらさらなる沖縄の発展に全力で支援していく」と述べた。安倍政権は、移設に反対する翁長雄志知事の再選阻止を目指している。自民党の塩谷立選対委員長は４日、「名護市長選（の勝利）は知事選に大きな影響がある」と記者団に語り、「結果を受けて、しっかりと候補の態勢を整えていく」と知事選の準備を進める意向を示した。公明党の斉藤鉄夫選対委員長も「（知事選の）大きな弾みとなるだろう」とコメントした。ただ、相次ぐ米軍機トラブルを巡って「それで何人死んだんだ」と国会でやじを飛ばした自民党の松本文明衆院議員が副内閣相を辞任するなど、政権の緩みは移設問題に影を落としている。政府関係者は５日、「新しい市長になったからすぐに工事が進むわけではない。粛々とやっていく」と指摘した。稲嶺進氏を支持した立憲民主党の福山哲郎幹事長は「極めて残念だが、政府・与党の移設方針に対して市民、県民の多くが反対の意思を表明し、理解が得られていないことも明白だ」との談話を発表。共産党の志位和夫委員長も「自公推薦候補は選挙戦を通じて基地の問題を一切、語らなかった」と批判した。【松倉佑輔】"
"上田昌孝氏が３選","2018年2月5日 10時21分","富山県,選挙・富山,選挙,速報,政治","滑川市長（富山県）上田昌孝氏（７４）が３選。前副議長の水野達夫氏（５４）を破る。投票率は過去最低の５５．１２％。確定得票数次の通り。当　７７４９　上田　昌孝＜３＞無現７３７１　水野　達夫　無新"
"元市職員の大部勝規氏が初当選","2018年2月5日 10時20分","茨城県,選挙・茨城,選挙,速報,政治","高萩市長（茨城県）元市職員の大部勝規氏（５９）が初当選。現職の小田木真代氏（５４）を破る。投票率は５６．５５％確定得票数次の通り。当　８３９６　大部　勝規＜１＞無新５５９０　小田木真代（１）無現＝［自］［公］［民］"
"奥ノ木信夫氏が再選","2018年2月5日 10時18分","埼玉県,選挙・埼玉,選挙,速報,政治","川口市長（埼玉県）奥ノ木信夫氏（６６）が再選。元県議の奥田智子氏（４９）を破る。投票率は２２．２９％。確定得票数次の通り。当７１３２０　奥ノ木信夫＜２＞無現＝［自］［公］３２３９８　奥田　智子　無新＝［共］"
"豊留悦男氏が３選","2018年2月5日 10時17分","鹿児島県,選挙・鹿児島,選挙,速報,政治","指宿市長（鹿児島県）豊留悦男氏（６７）が３選。元市議の下柳田賢次氏（６０）を破る。投票率は６６．８８％。確定得票数次の通り。当１２７８３　豊留　悦男＜３＞無現＝［自］［公］１０２７１　下柳田賢次　無新"
"元市議の高岡利治氏が初当選","2018年2月5日 10時15分","熊本県,選挙・熊本,選挙,速報,政治","水俣市長（熊本県）元市議の高岡利治氏（５９）が初当選。現職の西田弘志氏（５９）を破る。投票率は６５．５２％。当　７３２８　高岡　利治＜１＞無新６５４７　西田　弘志（１）無現"
