"title","date","tags","article"
"ヘリのボルトなど紛失　飛行中に落下か","2018年2月14日 01時16分","社会,事件・事故・裁判,速報","海上自衛隊舞鶴地方総監部（京都府舞鶴市）は１３日、第２３航空隊所属のヘリコプター（ＳＨ－６０Ｋ型哨戒機）の鉄製ボルト１本（長さ約２．７センチ、８グラム）とワッシャー（座金）三つの計４点を紛失したと発表した。機器のカバーの固定用で飛行中に落下した可能性がある。総監部によると、哨戒機は１３日午前１１時～午後５時ごろ、舞鶴市と千葉県館山市を往復。高度７５０～３３００メートルで飛行した。同日午後６時半ごろ、舞鶴基地での点検で紛失に気付いた。【鈴木健太郎】"
"元神奈川新聞支社長を逮捕「数百件以上やった」","2018年2月13日 22時59分","神奈川県,事件・事故・裁判,速報,社会","神奈川県警横須賀署は１３日、横浜市南区六ツ川１、元神奈川新聞横須賀支社長、熊坂哲司容疑者（５９）を住居侵入と県迷惑防止条例違反（盗撮）容疑で逮捕した。逮捕容疑は２０１６年１１月～今年１月、同区の女性（６０）宅に侵入した▽同県横須賀市内の飲食店のトイレに小型カメラを設置した▽京急電鉄の駅や電車内で計２回、女子高校生のスカート内を盗撮した－－としている。同署によると、容疑を認め「女性の下着に興味があった。盗撮は４、５年前から数百件以上やった」などと話しているという。今年１月１８日、職務質問した署員が、熊坂容疑者の持っていたビデオカメラから、女子高校生のスカート内を撮影したとみられる動画を発見。自宅を捜索し、女性の歩く姿などが映った数万件の動画や画像を押収した。神奈川新聞社は盗撮発覚を受け、熊坂容疑者を懲戒解雇処分にした。【中村紬葵】"
"再審請求、元死刑囚側が特別抗告","2018年2月13日 21時07分","福岡県,事件・事故・裁判,速報,社会","福岡県飯塚市で１９９２年、小学１年の女児２人（いずれも当時７歳）が殺害された「飯塚事件」で、殺人罪などに問われて２００８年に死刑が執行された久間三千年（くまみちとし）・元死刑囚（執行時７０歳）の再審請求を認めなかった福岡高裁決定（６日）を不服として、弁護側は１３日、最高裁に特別抗告した。弁護側は特別抗告申立書で、血液型鑑定やＤＮＡ型鑑定の結果は誤っており、高裁決定は科学的証拠の評価に関する判例に違反していると主張。また、高裁決定がＤＮＡ型鑑定以外の複数の状況証拠から有罪認定したことについて「被告が犯人でなければ合理的に説明できない事実関係が必要」とする判例に違反しているとした。さらに１審・福岡地裁判決に関わった裁判官が再審請求即時抗告審の審理に一時関わったことについて、公平な裁判を受ける権利を定めた憲法に違反していると主張。高裁決定の取り消しと再審開始決定を改めて求めた。主任弁護人の岩田務弁護士は「最高裁にはしっかり検討してほしい。きちんと内容を見れば高裁決定の不当性は分かるはずだ」と話した。【平川昌範】"
"「被害証言曖昧」マンション反対男性に無罪判決","2018年2月13日 21時05分","社会,事件・事故・裁判,速報","高層マンション建設の反対運動をする中で建設現場の責任者の男性を突き飛ばしたなどとして暴行罪に問われた名古屋市瑞穂区の薬剤師、奥田恭正被告（６１）の判決で、名古屋地裁（小川貴紀裁判官）は１３日、「被害男性の証言は曖昧で、他の証拠による裏付けも認められない」として無罪（求刑・罰金１５万円）を言い渡した。被告は２０１６年１０月７日午前８時４０分ごろ、瑞穂区の新築マンション建設現場の路上で、男性の胸を両手で突き飛ばし、後ろを徐行していたダンプカー側面に接触させて暴行を加えたとして逮捕、起訴された。裁判では、実際に被告が男性の胸を突き飛ばしたかが争点になった。検察側は、ダンプカーに向かって前進する被告の正面に立ち塞がった男性に対し、「いきなり両手で胸を突いてきた」とする男性の証言は信用できると主張。被告側は暴行の事実はないと無罪を主張していた。判決は、防犯カメラの画像から被告が組んでいた両腕をほどいた様子は認められないと指摘。その上で「被害男性が、何かあれば警察へ通報しようと考えたまま何らかの衝撃を受けたことで、胸を両手で突かれたと誤認した可能性は否定できない」などとして、暴行の事実を認める十分な証拠はないとした。被告は判決後の記者会見で「ホッとしたが、マンション建設の反対運動の中で起きたことであり、その問題が解決しないと喜べない」と話した。一方、名古屋地検の新田智昭次席検事は「判決内容を検討し、上級庁とも協議の上、適切に対応したい」とコメントした。住民側によると、現場周辺はほとんどが低層の建物で、１５年１０月末ごろ１５階建てマンションの建築計画が浮上した。被告は反対運動の住民グループリーダーで、弁護人の国田武二郎弁護士は事件について「企業と警察・検察権力が結託した、反対住民への弾圧だ」と批判した。【金寿英】"
"スパコン社長を追起訴　東京地検、捜査終結へ","2018年2月13日 20時50分","社会,事件・事故・裁判,速報","スーパーコンピューター開発企業「ペジーコンピューティング」（東京都千代田区）を巡る助成金詐欺事件に絡み、約８億円の法人所得を隠すなどしたとして東京地検特捜部は１３日、社長の斉藤元章被告（５０）＝詐欺罪で起訴＝を法人税法違反などで追起訴し、法人としての同社を起訴した。ペジー社を巡る事件の一連の捜査は終結する見通し。起訴状や関係者によると、斉藤被告は自身が役員を務めていた別の企業などへの架空の外注費を計上するなどの手口で、２０１４年１２月期までの５年間にペジー社の所得約８億４８００万円を隠し、法人税約２億３０００万円を免れたとされる。これに伴い、１１～１４年に消費税など約４６００万円も免れたなどとされる。隠した所得の一部は私的に流用したとみられる。起訴された法人税の脱税額は逮捕時から約１００万円減った。特捜部は斉藤被告の認否を明らかにしていない。斉藤被告はこれまでに、ペジー社の事業開発部長だった鈴木大介被告（４７）と共謀し、新エネルギー・産業技術総合開発機構（ＮＥＤＯ）の１２～１３年度の助成事業で、同機構から計約６億５３００万円をだまし取ったとして詐欺罪で起訴されている。【飯田憲、平塚雄太、巽賢司】"
"線路に犬、一時運転見合わせ　新山口駅","2018年2月13日 20時48分","社会,事件・事故・裁判,速報","１３日午後３時５０分ごろ、山口市の山陽新幹線新山口駅で、利用客の飼い犬が上り線のホームから線路に入り、上下線が一時運転を見合わせた。ＪＲ西日本によると、停車中の車両に客が乗ろうとした際、何らかの原因で犬がホームとの隙間から線路に落下し、目撃した駅員が非常停止ボタンを押した。その後、駅員４人が犬を保護し、飼い主に引き渡した。約２０分後に上下線とも運転を再開した。新大阪－博多間で、上下線計５本に最大２１分の遅れが生じ、約１６００人に影響が出た。（共同）"
"権宮司の解雇は有効　大分地裁支部判決","2018年2月13日 20時34分","社会,事件・事故・裁判,速報","宇佐神宮（大分県宇佐市）で宮司を世襲していた到津（いとうづ）家の到津克子（よしこ）さん（４９）が、ナンバー２の権宮司（ごんぐうじ）を免職され、神宮から解雇されたのは無効などとして神社本庁（東京）と宇佐神宮などを相手取り、地位確認と総額約１６６５万円の損害賠償などを求めた訴訟で、大分地裁中津支部は１３日、解雇を有効とする判決を言い渡した。一方、判決は無断で会話を録音、録画されるなど当時の宮司らからパワハラを受けたとする到津さんの被害を認め、未払い賃金などと合わせて約１３７万円の支払いを命じた。宇佐神宮の混乱の発端は０８年。責任役員会が到津さんを新宮司に推薦したが、神社本庁は経験不足などとして拒み別人が宮司となった。法廷闘争となり１３年に到津さん側敗訴が確定。到津さんは職場復帰したが約１年後に権宮司を免職され、解雇された。判決は職場復帰後の到津さんは宮司の業務命令に従う意思がなかったなどとして解雇を有効とした。原告側弁護団は「パワハラを認めているのに解雇権乱用を認めなかったことは承服しかねる」と述べた。宇佐神宮側の弁護人は「考え方が裁判所に十分伝わらなかったのは残念」などとコメントした。双方とも控訴を検討する。【大漉実知朗、田畠広景】"
"行方不明者届の女性と判明　愛媛・今治で遺体発見","2018年2月13日 20時08分","社会,事件・事故・裁判,速報","１３日午後１時５８分、愛媛県今治市別宮町７の会社の敷地内で女性の遺体が見つかった。状況などから県警は殺人事件として捜査。遺体は行方不明者届が出ていた同県新居浜市萩生の会社員、森安由子（よしこ）さん（３０）と判明した。県警は今治署に１５０人態勢の特別捜査本部を設置した。県警によると、同日午後、森安さんの行方不明の届け出を受理。関係する場所を捜していた警察官が遺体を見つけた。遺体の状況などについて県警は明らかにしていない。遺体発見現場は段ボール製造販売会社の敷地とみられる。ＪＲ今治駅北約１．３キロの住宅や工場が混在する地域。【木島諒子、松倉展人】"
"和歌山県議、大阪高裁も有罪","2018年2月13日 20時01分","和歌山県,事件・事故・裁判,速報,社会","社会福祉法人への寄付を装った脱税事件で、相続税法違反の罪に問われた和歌山県議、花田健吉被告（５９）の控訴審判決で、大阪高裁（和田真裁判長）は１３日、懲役１年６月、執行猶予３年、罰金５００万円とした１審・大阪地裁判決を支持し、弁護側の控訴を棄却した。閉廷後、花田被告は「納得できない。議員を辞めるつもりはない」と話し、上告する意向を示した。花田被告は捜査段階から無罪を主張していた。判決によると、花田被告は死亡した親族から１０億円を超える遺産を相続した不動産管理業の男ら５人＝いずれも有罪判決＝と共謀。遺産の大部分を社福法人に寄付したように装い、相続税約４億９０００万円を脱税した。【岡村崇、宮嶋梓帆】"
"１０人の身元判明　不明１人の確認急ぐ","2018年2月13日 19時54分","北海道,事件・事故・裁判,速報,社会","札幌市東区の自立支援住宅「そしあるハイム」で１１人が死亡した火災で、北海道警は１３日、新たに住人の川勝正幸さん（６７）の身元をＤＮＡ鑑定などで確認したと発表した。これで計１０人の身元が判明した。道警は残る不明者１人も入居者とみて、身元の確認を急いでいる。【真貝恒平】"
"元同居者の男に懲役６年６月　大阪地裁","2018年2月13日 19時50分","社会,事件・事故・裁判,速報","大阪市内で２０１６年４月、車内に鈴木琉聖（りゅうせい）ちゃん（当時１歳）を約１０時間放置し、熱中症で死亡させたとして母親とともに保護責任者遺棄致死などの罪に問われた元同居者、大島祐太被告（２３）の裁判員裁判で、大阪地裁は１３日、懲役６年６月（求刑・懲役９年）の実刑判決を言い渡した。増田啓祐裁判長は「子供らを生命の危険にさらす悪質な犯行」と指摘した。弁護側は公判で、大島被告は琉聖ちゃんや姉（５）と親子ではなく、保護責任はなかったと主張。過去に２人を車内に放置しても異変がなく、熱中症の危険を認識していなかったとして保護責任者遺棄致死や死体遺棄などの罪を否認していた。判決は、大島被告が琉聖ちゃんらの母親、鈴木玲奈被告（２６）＝同罪などで起訴＝に強い影響力を持ち、子供の世話をしていたことなどから保護責任を認定。以前、琉聖ちゃんらが車内で汗をかき、扇風機を購入しようとしたことなどから、「車内の温度上昇などの危険を認識していた」と指摘し、保護責任者遺棄致死罪の成立を認めた。また、遺体をクーラーボックスに入れたのは逮捕を免れるためだったとして、死体遺棄罪も認定した。判決によると、大島被告は鈴木被告と共謀。１６年４月２３日未明から正午まで、同市平野区の駐車場で車内に琉聖ちゃんと姉を放置し、琉聖ちゃんを熱中症で死亡させ、遺体をクーラーボックスに遺棄するなどした。【原田啓之】"
"米軍「調査中は情報開示できない」","2018年2月13日 19時48分","沖縄県,事件・事故・裁判,速報,社会","沖縄県うるま市の伊計（いけい）島でオスプレイの部品が見つかった落下事故を米軍側がすぐに日本側に報告しなかった理由について、在沖縄海兵隊第３海兵遠征軍の報道担当者は１３日、「どのような原因が考えられるか調査していた。調査中は情報を開示できない」と毎日新聞の取材に回答した。日米両政府は、公共の安全や環境に影響を及ぼす可能性がある事件、事故が発生した場合、米側ができる限り速やかに通報することで合意している。沖縄県側は原因究明や再発防止策が実施されるまでオスプレイの飛行停止を求めているが、報道担当者は「整備や点検を徹底的に見直し、飛行を継続しても安全だと判断した」としている。【川上珠実】"
"正社員の半額、非正規勝訴　福岡地裁支部","2018年2月13日 19時32分","社会,事件・事故・裁判,速報","北九州市中央卸売市場で海産物を運搬する「九水（きゅうすい）運輸商事」（同市小倉北区）の非正規社員４人が、通勤手当が正社員の半額なのは労働契約法違反として同額の支払いなどを求めた訴訟で、福岡地裁小倉支部（鈴木博裁判長）が会社側に計約１１０万円の賠償を命じる判決を出した。判決は「勤務形態に相違はなく、不合理な取り扱いが長年継続され不法行為が成立する」と認定した。判決は１日付で、原告側が１３日に記者会見で公表した。原告側は通勤手当が正社員の半額の月５０００円なのは「不合理な差別」と主張し差額分などを求めていた。改正労働契約法は正社員と非正規社員の不合理な格差を禁じており、判決は同法施行の２０１３年４月から会社が正社員の通勤手当を非正規と同額に引き下げた１４年１０月までの差額分の支払いを命じた。原告側によると、同法違反で手当の差額請求を認めた判決は九州初。原告側の安元隆治弁護士は「中小企業相手に非正規の権利主張が認められたのは社会的に意義がある」と話した。会社側は「名目は通勤手当だが、実際は皆勤手当。正社員とパートでは責任が違い、納得がいかない」とコメントした。双方とも控訴する方針。【宮城裕也】"
"元大阪府警警官に懲役３年　４００万円詐取","2018年2月13日 19時28分","大阪府,事件・事故・裁判,速報,社会","大阪市浪速区の歯科医院で診療報酬約４００万円をだまし取ったとして、詐欺罪に問われた元大阪府警巡査部長、今野作治被告（５８）に対し、大阪地裁（飯島健太郎裁判長）は１３日、懲役３年（求刑・懲役３年６月）の実刑判決を言い渡した。弁護側は「不正請求について共犯者と話し合ったことはない」と無罪を主張していた。飯島裁判長は、今野被告が歯科医師に対し、「患者をレントゲン撮影して、一律２００円を窓口で支払ってもらえば、不正がばれてもかわせるから大丈夫」などと発言したと認定。「自ら明確な不正請求の話をしており、主犯格の一人と認められる」と指摘した。判決によると、今野被告は、２０１５年１０～１１月、歯科医師の男（４６）＝懲役３年、執行猶予５年が確定＝ら６人と共謀。延べ１２０人の患者を診療したように装って診療報酬の架空・水増し請求を繰り返し、計約４００万円をだまし取った。【遠藤浩二】"
"前会長ら提訴　役員報酬不正で賠償求め","2018年2月13日 19時25分","東京都,事件・事故・裁判,速報,社会","学術論文の著作権を管理する一般社団法人「学術著作権協会」（東京都港区）は１３日、役員報酬を不正に得ていたなどとして、前会長の野間豊・千葉大学名誉教授（７８）らを相手に約４億円の賠償を求め、東京地裁に提訴したことを明らかにした。提訴は９日付。同協会によると、野間氏は常務理事や会長を務めた２００９～１７年度、法律や定款に基づく手続きを取らずに役員報酬を引き上げ、計約１億３５００万円を不正に得ていたとしている。また、不要な業務を息子の会社に発注したなどとして野間氏と息子らに約２億７１００万円の賠償も求めた。提訴に対し、野間氏の代理人を務める弁護士は「報酬の引き上げは当時、監査法人などもチェックしており、息子の会社への発注も正当な業務だった」と反論している。同協会は、国内約９００の大学や学会などから委託を受けて著作権を管理し、商品開発などに論文内容を用いる企業から著作権使用料を徴収している。著名な論文では、１４年にノーベル物理学賞を受賞した天野浩・名古屋大教授らの論文の著作権も管理している。【平塚雄太】"
"遺族への遺骨返還まだ　ＤＮＡ型鑑定に時間","2018年2月13日 18時40分","社会,事件・事故・裁判,速報","神奈川県座間市のアパートから９人の遺体が見つかった事件は、発覚から３カ月が経過した現在でも、遺骨が遺族に返還できていない。殺人容疑などで逮捕されている白石隆浩容疑者（２７）が遺体を解体したことで、ＤＮＡ型鑑定に時間がかかっているためだ。警視庁捜査１課によると、９人の遺体は計約２７０の骨などの部位に解体され、クーラーボックスなど八つの箱に分けて入れられていた。複数の遺骨が混じった状態であるため、同課はすべての部位について、ＤＮＡ型鑑定を実施。身元を特定した上で遺族に返す予定だ。遺骨が戻ってこないため、葬儀を行っていない遺族も多いという。同課は、希望する遺族には遺髪だけを先に返すなどして対応している。遺骨の返還にはまだ数カ月かかる見込みという。捜査関係者は「遺族の元に一日でも早く返したいが、間違いがないように慎重に進めなければならない。身元判明にこれだけ時間がかかる事件は他に例がない」としている。同課は１３日、埼玉県所沢市の大学２年の女子学生（１９）を殺害したとして、白石容疑者を殺人と死体遺棄・損壊容疑で再逮捕した。逮捕は７回目で、立件対象となる被害者としては６人目となる。再逮捕容疑は昨年９月１６日ごろ、座間市緑ケ丘６の自宅アパートで、女子学生の首をロープで絞めるなどして殺害し、遺体を遺棄したとしている。白石容疑者は容疑を認めているという。女子学生は一連の事件で４人目の被害者とみられる。【深津誠、春増翔太、山本佳孝】"
"朴槿恵氏親友　崔被告に懲役２０年判決　ソウル地裁","2018年2月13日 17時04分","国際,アジア・オセアニア,事件・事故・裁判,速報","【ソウル大貫智子】韓国の前大統領、朴槿恵（パク・クネ）被告（収賄罪などで公判中）の親友で、国政介入事件で職権乱用罪などに問われた崔順実（チェ・スンシル）被告に対する判決公判が１３日、ソウル中央地裁で開かれ、懲役２０年、罰金１８０億ウォン（約１８億円）＝求刑・懲役２５年、罰金１１８５億ウォン＝を言い渡した。崔被告側は不服として上訴する方針。判決では朴被告との共謀関係を相当部分認めており、朴被告の量刑にも影響を及ぼしそうだ。起訴状などによると、崔被告は朴被告と共謀し、財閥企業に対し、事実上私物化していた財団に計約７７４億ウォン（約７７億円）の拠出を強要。また、サムスン電子の李在鎔（イ・ジェヨン）副会長（贈賄罪などで公判中）が財団などに拠出した計約４３３億ウォン（約４３億円）の一部を賄賂として受け取った罪などに問われた。判決では、財団への拠出について崔被告と朴被告が共謀したとし、「大統領の職権を乱用して企業に出資を強要した」と断定した。一方、李副会長側からの収賄に関しても両被告の共謀を一部認めつつ、「（サムスンの）個別の懸案について明示的、黙示的請託があったと認めるのは難しい」とし、約７２億ウォン（約７億円）のみを有罪と認定した。また、崔被告が朴被告との個人的な関係を利用して国政を混乱に陥れたとし、「国政介入事件の主な責任は、国民から与えられた地位と権限を私人に与えた大統領と、これを利用して私益を追求した崔被告にある」と指摘し、朴被告の責任の重大さに言及した。判決ではこのほか、崔、朴両被告と共謀したとして青瓦台（大統領府）前政策調整首席秘書官、安鍾範（アン・ジョンボム）被告に対し、求刑通り懲役６年の判決を言い渡した。"
"強制わいせつ容疑で小学校教諭を逮捕","2018年2月13日 11時48分","社会,事件・事故・裁判,速報","愛知県警江南署などは１３日、同県江南市高屋町大門、市立古知野南小学校教諭、滝翔太朗容疑者（２５）を強制わいせつ容疑で逮捕した。逮捕容疑は昨年１１月２９日午後８時４５分ごろ、同市内の路上で女性（当時１８歳）の背後から抱きつき、体を触るなどしたとしている。容疑を認めているという。同署によると、滝容疑者は「ほかにもやった」などと供述しており、同署は余罪についても調べる方針。【道永竜命】"
"姉が殺意を否認　千葉地裁初公判","2018年2月13日 11時12分","社会,事件・事故・裁判,速報","千葉県酒々井（しすい）町の自宅で弟を殺害し遺体を切断したなどとして、殺人や死体損壊・遺棄などの罪に問われたアルバイト店員、竹内愛美（えみ）被告（２６）の裁判員裁判の初公判が１３日、千葉地裁（高木順子裁判長）で始まった。殺人の起訴内容について竹内被告は「殺意はなかった」と主張。弁護側は「自らの身体を守るために行った正当防衛だ」と述べ、無罪を訴えた。遺体の損壊・遺棄は認めた。起訴状によると、竹内被告は２０１６年８月３１日、弟で高齢者施設職員、諒（りょう）さん（当時２１歳）を包丁で刺すなどして殺害し、９月１２日までに遺体を包丁で切断し、複数のポリ袋に入れて冷蔵庫内などに隠したとされる。【斎藤文太郎】"
