"title","date","tags","article"
"「女流書１００人展」眞子さまが鑑賞","2018年2月9日 11時12分","社会,速報","秋篠宮家の長女眞子さまは９日、東京都中央区銀座のセントラルミュージアム銀座とフェニックスホールで開催中の「第４９回現代女流書１００人展」（主催・毎日新聞社、後援・毎日書道会）を鑑賞された。６日に結婚延期が発表されてから最初の公務となった。眞子さまは同展運営委員の兼岡白葉（はくよう）さんの案内で作品を鑑賞し、「それぞれの思いでお書きになっているのですね」と感想を述べた。眞子さまは会場内で小学１年の時から約１０年間、書道の指導を受けた柳澤朱篁（しゅこう）さんから「婚約期間が長ければ長いほどお幸せが来ますよ」と声をかけられ、「ありがとうございます」と笑顔で応えていた。同展は１１日まで（午前１０時～午後６時。最終日は午後５時まで）。【高島博之】"
"周囲から励ましの声","2018年2月7日 11時26分","社会,皇室,速報","秋篠宮家の長女眞子さま（２６）と法律事務所社員の小室圭さん（２６）の結婚延期が発表されて一夜明けた７日、ゆかりのある人たちからは励ましの声が聞かれた。眞子さまは２０１６年に鳥取県米子市の障害者支援施設「もみの木園」を訪問された。案内した玉井司さん（６６）は「婚約内定の会見を見た時、お二人の絆の強さを感じた。時間がかかったとしても幸せになってほしい」と語る。１６年の台風１０号で被災し、お見舞いに訪れた眞子さまと面会した佐々木達也さん（６３）＝岩手県岩泉町＝は「東京五輪が開かれる２０年の結婚なら、タイミングとしては盛り上がるのではないか。良い家庭を築く準備期間にしてほしい」と期待した。宮内庁は６日、「（お二人が）結婚の準備を進める中で十分な時間がないとお感じになり、延期が良いとの結論に至られた」と説明した。小室さんの母親の「金銭トラブル」が週刊誌で報じられたが、同庁は結婚延期との関連を否定している。小田部雄次・静岡福祉大学教授（近現代皇室史）は「報道のような問題があるならば延期した間に解決してご結婚していただきたい。女性皇族の結婚も一般の国民と同じように本人の意思が尊重されるが、日本社会には家同士の関係が重視される面がある。宮内庁や関係者が良い結果となるよう対応してほしい」と話す。眞子さまは７日午前１０時４０分ごろ、お住まいのある東京都港区の赤坂御用地を車で出られた。小室さんは午前７時ごろ、横浜市港北区の自宅から出勤した。自宅前に集まった報道陣に穏やかな表情で一礼し、タクシーに乗り込んだ。【後藤豪、山田奈緒、森健太郎、高島博之】"
"小室さん、報道陣に一礼　無言で帰路に","2018年2月6日 22時40分","社会一般,東京都,皇室,速報,社会","秋篠宮家の長女眞子さま（２６）との結婚延期が発表された６日、小室圭さんは午後６時半ごろ、勤務先の東京都中央区の法律事務所のあるビルから姿を見せた。大勢の報道陣が詰めかけるなか、コート姿の小室さんは正面玄関を出る際に深々と一礼。報道陣の「今のお気持ちは」などの問いかけに無言で、警察官に付き添われながら帰路に就いた。小室さんは午後７時半過ぎ、横浜市港北区の自宅に戻った。報道陣から声を掛けられると一礼して自宅に入った。【中村紬葵、森健太郎】"
"宮内庁「週刊誌報道は関係ない」","2018年2月6日 19時33分","社会,皇室,速報","秋篠宮家の長女眞子さま（２６）と法律事務所社員の小室圭さん（２６）の結婚延期を６日発表した宮内庁幹部は「お二人の結婚の意思は変わらない」と強調した。一方、延期の理由については「結婚後の生活に向けた準備に時間を要するため」などと述べるにとどめ、どのような準備が遅れているかについての具体的な説明はなかった。一般の結納にあたる「納采（のうさい）の儀」の予定日を約１カ月後に控えて行われた、６日の宮内庁の発表。加地隆治・同庁宮務主管は「（お二人が）結婚の準備を進める中で十分な時間がないとお感じになり、いろいろな方に相談し、延期が良いとの結論に至られた」と話した。この時期の発表については「決断された段階で速やかにお知らせした」と説明した。小室さんを巡っては、昨年末から複数の週刊誌が、小室さんの母親と知人男性との間で金銭トラブルがあると報じていた。週刊誌報道は「知人男性から４００万円を借りた小室さんの母が返済をしていない」という内容。「金銭の提供」があった時期は小室さんが大学生だったころで「国際基督教大学の入学費用や留学費用に使われた」などと報じている。加地氏は「週刊誌報道は延期と関係ない」と明言。報道内容の真偽を問われると「小室家の話であり、私から申し上げることは控える」と述べた。過去の皇族の結婚に関する日程変更は、自然災害によるものがほとんど。天皇、皇后両陛下の長女、黒田清子さんの婚約内定の発表は当初、２００４年１１月に予定されていたが、新潟県中越地震と高松宮妃喜久子さまの逝去によって２度延期され、同年１２月末となった。眞子さまご自身も九州北部豪雨のため、婚約内定発表を２カ月延期されている。【山田奈緒、高島博之】"
"「急ぎ過ぎていた」　コメント全文","2018年2月6日 19時24分","社会,皇室,速報","秋篠宮家の長女眞子さまが宮内庁を通じて公表したコメントは次の通り。◇　　　◇私たちは、今まで結婚に関わる様々な行事や結婚後の生活にむけて、二人で話し合い、それぞれの親や関係する方々と相談しながら準備を進めてまいりました。しかし、その過程で、現在予定している秋の結婚までに行う諸行事や結婚後の生活について、充分な準備を行う時間的余裕がないことを認識するようになりました。これまでのことを振り返ってみたいと思います。昨年５月、予期せぬ時期に婚約報道がなされました。このことに私たちは困惑いたしましたが、結婚の意思を固めていたことから、曖昧な状態を長引かせない方がよいとの判断をし、当初の予定を大きく前倒しして婚約が内定した旨を発表することにいたしました。婚約の内定発表に際しては、多くの方々がお祝いのお気持ちを寄せてくださったことを大変有り難く思っております。その後、昨年１１月には、それ以降の諸行事の予定を立て、発表いたしました。しかし、色々なことを急ぎ過ぎていたのだと思います。ここで一度、この速度が自分たちに本当に合っているのかを慎重に考えるべきでしたが、婚約の内定発表に関しても、それ以降の事柄に関しても、私たちはそのまま前に進むという選択をしてまいりました。今、私たちは、結婚という人生の節目をより良い形で迎えたいと考えております。そして、そのために二人で結婚についてより深く具体的に考えるとともに、結婚までの、そして結婚後の準備に充分な時間をかけて、できるところまで深めて行きたいと思っております。本来であれば婚約内定の発表をするまでにその次元に到達していることが望ましかったとは思いますが、それが叶（かな）わなかったのは私たちの未熟さゆえであると反省するばかりです。これらのことを踏まえ、それぞれの親や関係の皆様と相談を重ねた結果、この度、今後の私たちの結婚とそれに関わる諸行事を、これから執り行われる皇室にとって重要な一連のお儀式が滞りなく終了した後の再来年に延期し、充分な時間をとって必要な準備を行うのが適切であるとの判断に至りました。一度決めた予定を大幅に変更することは、私たちの結婚に快く協力してくださっている方々に多大なご迷惑とさらなるご負担をおかけすることとなり、大変申し訳なく思っております。私は、結婚に関わる諸行事を延期したい旨、天皇皇后両陛下にご報告申し上げました。両陛下は、私たち二人の気持ちを尊重してくださいました。私たちは、この度の延期を、新たな生活を始めるための時間を作る良い機会と考え、その時間を大切に、結婚までの期間を過ごしてまいりたいと思います。"
"結婚延期　２０年に「準備の余裕ない」","2018年2月6日 19時17分","東京都,眞子さま、小室圭さん婚約へ,皇室,速報,社会","宮内庁は６日、婚約が内定している秋篠宮家の長女眞子さま（２６）と法律事務所社員の小室圭さん（２６）が結婚を延期されると発表した。結婚に関する一連の行事は、天皇陛下の退位や皇太子さまの即位などの儀式が終了した後の２０２０年になる見込み。眞子さまは同日、宮内庁を通じて文書で「お気持ち」を公表し、延期の理由について「現在予定している秋の結婚までに行う諸行事や結婚後の生活について、充分な準備を行う時間的余裕がないことを認識するようになりました」と説明した。文書は、眞子さまご自身と小室さんの気持ちを記したもので、「私たちは、この度の延期を、新たな生活を始めるための時間を作る良い機会と考え、その時間を大切に、結婚までの期間を過ごしてまいりたいと思います」とつづった。天皇、皇后両陛下は、お二人の気持ちを尊重されているという。宮内庁は「結婚の意思に変わりはない」と説明した。眞子さまと小室さんの結婚は、昨年９月３日に天皇陛下が「裁可」をされ、山本信一郎長官が婚約内定を発表。お二人そろって記者会見に臨んだ。今年３月４日に一般の結納に当たる「納采（のうさい）の儀」を行い、１１月４日に結婚式を挙げる予定だった。小室さんを巡っては「母親が金銭トラブルを抱えている」との週刊誌報道が昨年末からあった。宮内庁は週刊誌報道と結婚の延期は無関係としている。政府は、結婚によって眞子さまが皇室を離れる際の一時金に充てるため、１８年度予算案に１億５０００万円を計上していた。眞子さまは「予定を大幅に変更することは、私たちの結婚に快く協力してくださっている方々に多大なご迷惑とさらなるご負担をおかけすることとなり、大変申し訳なく思っております」とも記した。皇室の結婚が延期された例としては、１９２３（大正１２）年の関東大震災発生で、昭和天皇と香淳皇后の結婚が先送りにされたことがある。【高島博之、山田奈緒】"
"工芸展を観賞　東京の百貨店","2018年2月1日 11時10分","東京都,皇室,速報,社会","皇后さまは１日、東京都中央区の日本橋三越本店で開催中の「第２７回旭出学園工芸展」を観賞された。同展では、特別支援学校の旭出学園（東京都練馬区）の生徒や関連する福祉施設の利用者が作った織物や陶器など約４０００点が展示・販売されている。同展は６日まで。皇后さまは説明を聞きながら作品を見て回り、皿やタイルで作られた壁掛けなどを購入した。皇后さまは２年に１度開催される同展を度々訪れている。【高島博之】"
"東日本大震災７周年追悼式に秋篠宮ご夫妻が出席へ","2018年1月19日 20時11分","社会,速報","政府は１９日の閣議で、３月１１日に国立劇場（東京都千代田区）で開く東日本大震災７周年追悼式に、昨年に続いて秋篠宮ご夫妻が出席されることを決定した。"
"退位後の仮住まい、両陛下が視察","2018年1月19日 13時45分","社会,速報","天皇、皇后両陛下は１９日、来年４月末の退位後に、両陛下の仮住まいとなる東京都港区高輪の旧高松宮邸（高輪皇族邸）を視察された。間取りや改修工事を行う場所の確認などが目的。陛下は退位後、皇后さまとともに皇居・御所（千代田区千代田）から東宮御所（港区元赤坂）に転居し、皇太子ご一家と住まいを入れ替わる。御所と東宮御所は陛下の退位後、改修工事に着手するため、両陛下は工事完了までの間は旧高松宮邸に仮住まいする。旧高松宮邸は、陛下の叔父にあたる高松宮さまと高松宮妃喜久子さまの住まいだったが、２００４年１２月に喜久子さまが亡くなってからは無人で、「高輪皇族邸」として宮内庁が管理している。同庁によると、両陛下が旧高松宮邸に転居する時期は未定だが、退位前には工事などを終えることにしている。【高島博之】"
"退位と即位　式典準備委の初会合の議事概要を公開","2018年1月16日 19時06分","社会,皇室,話題,速報","政府は１６日、天皇陛下の退位と皇太子さまの新天皇即位に伴う式典準備委員会の初会合の議事概要を公開した。退位、即位に伴う一連の儀式が「憲法に整合的で皇室の伝統に即したもの」となるよう求める意見などがあった。議事概要によると、「日本国民統合の象徴である陛下が退位されるので、何らかの儀式を行うことが望ましい」との意見や、即位に伴う式典については平成に代替わりした際の「基本的な考え方や内容は踏襲されるべきだ」とする発言があった。また、新天皇が即位を宣言する「即位礼正殿の儀」と「大嘗祭（だいじょうさい）」の実施時期が近接しないよう、即位礼正殿の儀の前倒しを要望する発言があった。陛下が即位された前回の際に「連日儀式や行事が行われ、参加する方々に負担がかかった」と指摘。大嘗祭は１１月中旬に行うのが先例だとして、「即位礼正殿の儀をもう少し早めに行い、大嘗祭までの日程に余裕をもつようにしていただきたい」と求めた。初会合は９日に首相官邸で開かれた。政府は議事概要を、１週間後をめどに発言者を特定せずに公開することにしている。【野口武則】"
"新元号「生活に深く根ざすもの」","2018年1月16日 18時55分","社会一般,政治一般,皇室,速報,政治","菅義偉官房長官は１６日の記者会見で、２０１９年５月１日の皇太子さまの新天皇即位に伴う新元号について「広く国民に受け入れられ、日本人の生活の中に深く根ざすものになるよう慎重な検討が必要だ」との認識を示した。新元号を事前公表する時期については「国民生活への影響なども考慮しつつ適切に検討していきたい」と述べた。新元号のあり方を巡っては安倍晋三首相も１５日、訪問先のブルガリアで同行記者団に同様の認識を示した。首相は新元号の発表形式に関しては「平成のときは官房長官が発表したことも踏まえていきたい」と前例を踏襲する考えを示唆している。【高橋克哉】"
"陛下、皇后さまとの時間詠む","2018年1月12日 22時53分","社会,皇室,速報","新年恒例の「歌会始の儀」が１２日、皇居・宮殿であり、天皇、皇后両陛下や皇族方の歌が読み上げられた。今年の題は「語」で、一般応募の２万４５３首から入選した１０人の歌も披露された。陛下は、皇后さまと皇居・東御苑にある二の丸庭園の雑木林を散策された際、絶滅危惧種のラン科の「キンラン」の花を見つけたことを詠んだ。皇后さまは、陛下が象徴としてのあるべき姿を求めて歩み、多くを語ることなく重責を果たしてきたことを思いつつ、早春の日差しの中で陛下を見上げた際のことを歌にした。また、皇太子ご夫妻は、昨年１１月に宮城県名取市の災害公営住宅（復興住宅）を視察されたことを詠んだ。【高島博之】天皇陛下語りつつあしたの苑（その）を歩み行けば林の中にきんらんの咲く皇后さま語るなく重きを負（お）ひし君が肩に早春の日差し静かにそそぐ皇太子さま復興の住宅に移りし人々の語るを聞きつつ幸を祈れり皇太子妃雅子さまあたらしき住まひに入りて閖上（ゆりあげ）の人ら語れる希望のうれし秋篠宮さま村人が語る話の端々（はしばし）に生業（なりはひ）の知恵豊かなるを知る秋篠宮妃紀子さま人びとの暮らしに寄りそふ保健師らの語る言葉にわれ学びけり眞子さま（秋篠宮家）パラグアイにて出会ひし日系のひとびとの語りし思ひ心に残る常陸宮妃華子さま遠き日を語り給へる君の面（おも）いつしか和（なご）みほほゑみいます寛仁親王妃信子さま我が君と夢で語りてなつかしきそのおもひでにほほぬれし我彬子さま（三笠宮家）祖母宮（おほばみや）の紡がれたまふ宮中の昔語りは珠匣（しゆかふ）のごとく高円宮妃久子さま学び舎（や）に友と集ひてそれぞれに歩みし四十年（よそとせ）語るは楽し承子さま（高円宮家）友からの出張土産にひめゆりの塔の語り部をふと思ひ出づ絢子さま（高円宮家）気の置けぬ竹馬の友と語り合ふ理想の未来叶ふときあれ米国カリフォルニア州　鈴木敦子さん（８２）母国語の異なる子らよ母われに時にのみ込む言葉もあるを長野県　塩沢信子さん（７８）片言の日本語はなす娘らは坂多き町の工場を支ふ広島県　山本敏子さん（７３）広島のあの日を語る語り部はその日を知らぬ子らの瞳（め）の中福井県　川田邦子さん（７０）突風に語尾攫（さら）はれてそれつきりあなたは何を言ひたかつたの長崎県　増田あや子さん（６５）いつからか男は泣くなと言はれたり男よく泣く伊勢物語東京都　川島由紀子さん（５７）耳元に一語一語を置きながら父との会話またはづみゆく神奈川県　三玉一郎さん（５２）語らひに時々まじる雨の音ランプの宿のランプが消えて神奈川県　浜口直樹さん（３８）多言語の問診票を試作して聴くことの意味自らに問ふ新潟県　南雲翔さん（１７）通学の越後線でも二ヶ国語車内放送流れる鉄橋長崎県　中島由優樹さん（１２）文法の尊敬丁寧謙譲語僕にはみんな同じに見える黒井千次さん語るべきことの数々溢れきて生きし昭和を書き泥（なづ）みゐる篠弘さん街空に茜（あかね）は冴ゆれ語らむと席立ちあがるわが身の揺らぐ三枝昂之さん語ることは繋ぎゆくこと満蒙（まんもう）といふ蜃気楼阿智村（あちむら）に聞く永田和宏さん飲まうかと言へばすなはち始まりて語りて笑ひてあの頃のわれら今野寿美さん歌びとは心の昔に触れたくてたそがれ色の古語いとほしむ内藤明さん語り了（を）へ過ぎにし時間かへり来ぬ春の雪降る巻末の歌宮内庁は来年の歌会始の募集要領を発表した。題は「光」で、歌に「光」の文字が詠み込まれていれば、「光線」のような熟語でも「光る」のように訓読してもよい。１人１首で未発表の歌に限る。半紙に毛筆が原則。半紙を横長にして、右半分に題と短歌、左半分に郵便番号、住所、電話番号、氏名（ふりがな付き）、生年月日、性別、職業を書く。病気などのため代筆の場合は、理由と代筆者の氏名、住所を別紙に記入して添える。点字による応募も可能。海外からの応募の場合は、用紙や筆記用具は自由。宛先は「〒１００－８１１１　宮内庁」とし、封筒に詠進歌と書き添える。９月３０日までの消印有効。詳細は宮内庁ホームページでも確認できる。"
