"title","date","tags","article"
"イメージアップ大賞表彰式","2018年2月13日 21時34分","神奈川県,話題,速報,社会","異業種交流で地域活性化を目指す「神奈川２１世紀の会」（毎日新聞社主催）の第１１４回講演会が１３日、横浜市西区の横浜ベイホテル東急であり、第２０回神奈川イメージアップ大賞の表彰式が行われた。大賞には、サッカーＪ１で初優勝を果たした川崎フロンターレ▽全国から愛される弁当を作り続け、横浜工場をリニューアルした崎陽軒▽地域交通を担い、創立１００年を迎えた相鉄ホールディングス▽第５６回全日本女子剣道選手権大会で初優勝した神奈川県警の高橋萌子四段－－が、特別賞には横浜スタジアムが、それぞれ選ばれた。"
"巨大な氷柱、幻想的に　試験点灯","2018年2月13日 21時23分","岐阜県,話題,速報,社会","岐阜県高山市奥飛騨温泉郷平湯の平湯大滝が１３日、「結氷まつり」を前にライトアップされた。幅６メートル、落差６４メートルの滝は凍って巨大な氷柱になっており、白や青、緑の光に照らされ、周囲は幻想的な雰囲気に包まれた。平湯大滝は標高約１４５０メートルに位置し、夜間は氷点下１０度前後の厳しい冷え込みにさらされる。滝は１月下旬から凍り始め、２月上旬にほぼ完全に凍り付いた。滝つぼ付近は雪が２メートルほど積もり、凍結した滝のしぶきとともに静寂の世界をつくり出している。１３日は試験点灯で、結氷まつり（１５～２５日）の期間中は午後６～９時にライトアップされる。平湯温泉観光協会の山田幸一副会長は「駐車場から滝まで約８００メートルを歩き、雪景色も楽しんでほしい」と話した。【大竹禎之】"
"「ヒバクシャと出会うカフェ」１５日、渋谷で","2018年2月13日 20時54分","社会,話題,速報","被爆者を囲んで証言を聞き、交流する「ヒバクシャと出会うカフェ」が１５日午後４～６時、東京・渋谷のトークライブハウス「ＬＯＦＴ９　Ｓｈｉｂｕｙａ」で開かれる。大学院生らが中心になって企画した。核兵器廃絶を目指して国内外で続けられている「ヒバクシャ国際署名」の推進連絡会の主催。首都圏に住む被爆者約１０人が証言する。１人の被爆者を参加者３～４人で囲んで話を聞く。企画した署名キャンペーンリーダーの大学院生、林田光弘さん（２５）は、核兵器禁止条約や北朝鮮の核を巡る情勢について「被爆者だけでなく私たちみんなの問題。被爆者に会って話を聞くことで、問題を身近に感じられるはずだ」と話す。厚生労働省によると、被爆者健康手帳の所持者は１６万４６２１人（昨年３月末現在）。高齢化が進み、平均年齢は８１．４１歳に達している。カフェは先着３５人。入場無料だが、飲み物１杯の注文が必要。申し込みや問い合わせはＥメール（info@hibakusha-appeal.net）。【福島祥】"
"小５女子、４年連続向上","2018年2月13日 19時41分","社会,話題,速報","スポーツ庁は１３日、２０１７年度の「全国体力・運動能力、運動習慣等調査」（全国体力テスト）の結果を発表した。５０メートル走や立ち幅跳びなど８種目を点数化した体力合計点（８０点満点）の平均は、小５女子が５５．７２点（前年度比０．１８点増）で４年連続、中２女子は４９．８０点（同０．３９点増）で３年連続で、０８年度の調査開始以来、最高を更新した。調査は昨年４～７月、全ての小学５年と中学２年の計２０８万人を対象に実施した。男子は小５が５４．１６点（同０．２３点増）で過去４番目、中２は４１．９６点（同０．０４点減）で３番目に高かった。種目別では、中２女子が握力とボール投げの２種目以外、小５女子も５０メートル走（９秒６０）など４種目で過去最高を更新した。握力とボール投げは男女の小中ともに低下傾向が続いており、中２男子は握力が２８．９キロ、ボール投げが２０．５メートルで過去最低だった。都道府県別でみると小５、中２の男女ともに福井県がトップ、茨城県が２位だった。昨年度に続いて全国の中学校を対象に部活動の休養日に関する調査も実施した。学校の決まりとして休養日を設けていない学校は前年度の２２．４％から１１．２％に半減した。休養日が週１日の学校は５４．２％から６０．２％、週２日の学校は１４．１％から２０．６％に増加した。【水戸健一】"
"有名漫画家ら絵付け　明大で展示","2018年2月13日 18時24分","社会,話題,速報","東日本大震災の復興支援として、漫画家のちばてつやさんやさいとう・たかをさんらが絵付けした「起き上がりこぼし」約１６０体が東京都千代田区の明治大学米沢嘉博記念図書館で展示されている。起き上がりこぼしは、倒しても起き上がる仕組みの福島・会津の郷土玩具。２０１３年にフランス在住邦人が福島への関心を高めようと、俳優ジャン・レノさんら著名人が絵付けした作品展示を同国で開始。１４年から日本の有名漫画家らが加わった。個性があふれた作品は撮影も可能。同館の担当者は「復興支援への思いをＳＮＳで広めて」と期待する。５月２０日まで、火～木曜は休館。入場無料。【成田有佳】"
"「成金饅頭」の次は「成金ソフト」","2018年2月13日 18時22分","福岡県,話題,速報,社会","かつて産炭地として栄えた福岡県直方市の製茶卸業「前田園本店」が、同市殿町の工場直売店でソフトクリームに金箔（きんぱく）を巻いた「成金ソフト」の販売を始めた。ほうじ茶を混ぜたソフトクリームを土に見立て、石炭をイメージした黒豆をトッピング。仕上げに１１センチ四方の金箔を巻いた。１個７００円（税抜き）で毎日数量限定の販売。石炭採掘で財を成した炭鉱成金にちなんだ地元銘菓「成金饅頭（まんじゅう）」に次ぐ名物にと考案。前田敏社長（４６）は「直方に来てもらうきっかけに」とピカイチのインパクトに期待。【山崎あずさ】"
"黒木亮さん小説の舞台・天草描いた挿絵展","2018年2月13日 14時15分","社会,話題,速報","福岡市出身のイラストレーター、古屋智子さんの「島のエアライン」挿絵展（天草空港利用促進協議会主催、毎日新聞社後援）が、熊本県天草市五和町の天草空港１階ロビーで開かれている。「島のエアライン」は２０１６年１０月～今年１月に週刊誌「サンデー毎日」で連載された天草の航空会社が舞台の黒木亮さんの小説で、古屋さんが挿絵を手がけた。天草に関係する約２０点を展示している。３月３１日まで。【清水晃平】小説は「日本一小さな航空会社」と言われる「天草エアライン」（天草市）の会社設立から倒産の危機に遭いながらも黒字に回復するまでのドラマを描いた。挿絵展では１６年２月まで運航していた天草エアラインの航空機「初代みぞか号」や、老朽化で昨年７月に取り壊された天草市役所本館などを描いた挿絵の複製原画が並び、掲載誌も展示している。古屋さんは西南学院大を卒業後、システムエンジニアになったが、「絵に携わりたい」との気持ちから漫画家のアシスタントも務めた。０２年からはデッサンを学ぶため夜間に学校に通う生活を約１０年続けた。その後、池井戸潤さんの半沢直樹シリーズ第４作「銀翼のイカロス」（週刊ダイヤモンドで１３年５月～１４年４月掲載）の挿絵や、同じく池井戸さんの「七つの会議」（１２年、日本経済新聞出版社）の装画を担当するなど活躍している。今回の挿絵は毎回好きな２色を使って描いた。古屋さんは「２色で描くのは初めてだったので混ぜ方によって新しい色が生まれる発見があった。市民の皆さんにはなじみ深い風景もたくさんあると思う」と話す。古屋さんのホームページでは挿絵のサイン入り複製原画が購入できる。「島のエアライン」は７月上旬、毎日新聞出版から単行本が刊行される予定。"
"絵のない「えほん」子どもに人気　はじける擬音語","2018年2月13日 10時12分","社会,話題,速報","「えがないえほん」（早川書房、Ｂ・Ｊ・ノヴァク作）が売れている。昨年１１月に出版され、約３カ月で１８万部を突破した。タイトルの通り挿絵は一切なし。ストーリーも存在しない。にもかかわらず、なぜ子どもたちに人気なのか。【田中理知】絵本は「この　ほんには　えが　ありません」と始まり、読み聞かせる大人に「かかれている　ことばは　ぜんぶ　こえに　だして　よむこと」を求めている。読み進めると、「ぶりぶりぶ～！」「コケコッコ～」などの擬音、擬声語が続く。文章に脈絡はなく、猿になりきって「ウッキー～！」と言わされたり、「ぼくの　あたまの　なかみは　なっとうのみそしる」と、恥ずかしいセリフを読み上げたりしなければならない。絵本は終盤で狙いが「おとなたちに　おバカなことをいわせる」ことにあると明らかにする。作者は米国の俳優で脚本家、作家でもあるＢ・Ｊ・ノヴァクさん。絵本は初めて書いたという。日本語訳にも工夫を凝らしている。担当した山梨県南アルプス市の翻訳・音楽家、手品師の大友剛さん（４０）は、各地で開催している親子コンサートで意訳や直訳した絵本を読み聞かせ、反応を観察した上で日本語の言葉を選んだ。大友さんは、本にある「じんるいのれきしのなかでいちばんすばらしいこども」という表現に注目する。「子どもに対する尊敬」が込められているとみる。絵本研究に携わる石井光恵・日本女子大教授は「絵本は朗読のリズムや音が重要」と指摘したうえで、「子どもは自分たちが好きな擬音、擬声、擬態語を大人が読んでくれているという関係性と、そこで作り出される、思い切り笑うことのできる場を楽しんでいる」と分析している。税抜き１３００円。Ｂ５判、５０ページ。"
"「私には食物アレルギーあります」マーク","2018年2月12日 17時50分","ライフ,食,話題,速報",""
"ここは横須賀　「スカジャン発祥の地宣言」","2018年2月12日 17時04分","社会,話題,速報","神奈川県横須賀市本町のドブ板通り商店街振興組合は１２日、通称「どぶ板通り」のイベントスペースで、横須賀発祥のスカジャンをＰＲするため「スカジャン発祥の地宣言」を行った。ブームの再来をテコに活性化を目指す取り組み。昨年の衆院選でスカジャン姿の演説が話題を呼んだ地元選出の小泉進次郎衆院議員や、上地克明市長も応援役を買って出た。「横須賀市史別編民俗」によると、スカジャンは、１９４７年創業の老舗「プリンス商会」の店主（故人）が米兵が持ち込んだパラシュート生地の正絹を染め、刺しゅう産地の群馬県桐生市から雇い入れた職人が刺しゅうを施したのが元祖とされる。戦後は主に米兵が土産物として買い求めた。立体的に浮き上がった模様は手刺しゅうと呼ばれ、「横振り」という専用ミシンを使い、生地を手で動かす熟練の技で装飾する。近年はコンピューターで自動に装飾する「ジャガード刺しゅう」が主流になり、職人が全国的にも少なくなっている。式典では、普及に貢献した老舗「大将ミシンししゅう店」経営の山崎正寿さん（８３）と「ファースト商会」経営の松坂良一さん（８７）に市から感謝状が贈られ、越川昌光・同振興組合理事長が「スカジャンを県内外に広め、外国人観光客も取り込んで横須賀を活性化させたい」と述べた。ブーム再来に一役買った小泉氏には、商店街からスカジャンが贈られた。小泉氏は「次の世代につなげるように、人材を育てるか、職人に移住してもらうような取り組みが必要だ」と語った。【田中義宏】"
