"title","date","tags","article"
"日本海側の降雪続く　１４日も東北など警戒を","2018年2月13日 18時26分","社会,気象・地震,速報","強い寒気と冬型の気圧配置の影響で、日本海側を中心に１３日も雪が続き、鉄道の運休が相次ぐなど交通に影響が出た。大雪はピークを過ぎたが、１４日は低気圧の影響で東北を中心に雪や雨になる見込みで、気象庁が注意を呼び掛けている。気象庁によると、１３日夕までの２４時間で、新潟県や福井県では４０～６０センチの雪が降った。大雪が続いた東北から中国の日本海側で平年の３～１０倍の積雪となり、北海道幌加内町の幌加内で２７９センチ、山形県大蔵村の肘折で４３８センチ、福井県越前市の武生で１３０センチなど、５カ所の観測点で観測史上最大を記録した。（共同）"
"長野南部で震度３　津波の心配なし","2018年2月13日 16時31分","社会,気象・地震,速報","１３日午後４時１７分ごろ、長野県南部で震度３の地震があった。気象庁によると、震源地は長野県南部で、震源の深さはごく浅く、地震の規模を示すマグニチュード（Ｍ）は３．３と推定される。この地震による津波の心配はないという。各地の主な震度は次の通り。震度３＝木曽町"
"長野で震度４　津波の心配なし","2018年2月13日 14時47分","社会,気象・地震,速報","１３日午後２時３９分ごろ、長野県南部で震度４を観測する地震があった。気象庁によると、震源地は長野県南部で、震源の深さはごく浅く、地震の規模を示すマグニチュード（Ｍ）は４．２と推定される。この地震による津波の心配はないという。各地の主な震度は次の通り。震度４＝長野県木曽町震度３＝長野県王滝村、上松町"
"山形で積雪４メートル　新幹線２本運休","2018年2月13日 11時10分","自然災害,気象・地震,速報,社会","ＪＲ東日本によると、山形新幹線は１３日、大雪の影響で、山形－新庄間の上下線２本が運休になった。山形地方気象台によると、午前９時現在、山形県大蔵村肘折で観測史上最大となる４メートル３２センチの積雪を記録した。今季、積雪が４メートルを超えるのは全国で初めて。山形県内は１４日午前６時までの２４時間に平地で３０センチ、山沿いで４０センチの降雪が予想されている。【的野暁】"
"九州北部や山口で断続的に雪","2018年2月13日 10時48分","自然災害,気象・地震,速報,社会","九州北部・山口地方は１３日午前、上空に強い寒気が流れ込んだ影響で断続的に雪が降り、交通機関に影響が出た。午後にかけて天気は回復する見込みで、１４日は高気圧に覆われて各地でおおむね晴れが予想されている。気象庁によると、１３日午前８時までの２４時間降雪量は▽山口市１０センチ▽佐賀市４センチ▽熊本県南阿蘇村３センチ。最低気温は、山口市で氷点下１．９度▽熊本市で同１．２度▽佐賀市で同０．１度－－を記録するなど各地で厳しい寒さが続いた。また、山陽新幹線は始発から新尾道－新下関間で一時速度を落として運転し、上下線４８本で最大１８分の遅れが発生。東九州道や西九州道の一部区間で通行止めになった他、北九州市と大分市を結ぶ高速バスなどで運転見合わせが相次いだ。【蓬田正志】"
"日本海側で大雪に警戒　強い冬型の気圧配置続く","2018年2月13日 08時43分","社会,めっちゃ関西,気象・地震,速報","上空の強い寒気の影響で、北日本から西日本では１３日、日本海側を中心に大雪となった。気象庁は北日本を中心に強い冬型の気圧配置が続くとして、１３日夜にかけて大雪への警戒を呼びかけた。気象庁によると、１３日は、北日本や北陸の上空約５千メートルに氷点下３６度以下の寒気が流れ込み、強い冬型の気圧配置が続く見込み。午前１０時までの積雪は福井市１０８センチ、富山市８４センチ、新潟市３２センチ。また山形県大蔵村の肘折で４３２センチ、福井県越前市の武生で１２９センチなど、計４カ所の観測点で観測史上最大の積雪となった。（共同）"
"滑って用水路に転落相次ぐ　２人が死亡","2018年2月12日 19時43分","自然災害,気象・地震,事件・事故・裁判,速報,社会","新潟県内では１２日、大雪の影響で用水路に転落したとみられる事故が相次ぎ、男女２人が死亡した。午前７時半ごろ、十日町市倉俣甲、農業、高野新平さん（９０）がいなくなったと家族から１１０番があった。消防などが捜索したところ、自宅そばの畑の脇にある幅約１．８メートル、高さ約２メートルの用水路に倒れているのを発見。死因は水死。県警十日町署は高野さんが滑って用水路に転落した可能性があるとみている。また同日午前９時半ごろ、長岡市宮沢の無職、小熊矢代江さん（６２）が自宅近くの用水路に沈んでいるのを消防が発見。死因は水死。１１日夕に雪かきのため外出後、行方が分からなくなっていた。県警与板署は、除雪中に誤って落ちたとみて調べている。【井口彩】"
"日本海側中心に再び大雪　１３日にかけて続く見込み","2018年2月12日 18時28分","自然災害,気象・地震,速報,社会","上空の強い寒気の影響で、日本列島は１２日、北日本から西日本の日本海側を中心に再び大雪となった。新潟県と宮城県、長野県で除雪作業中の事故などで少なくとも５人が死亡した。強い冬型の気圧配置は１３日にかけて続く見込み。気象庁は路面の凍結や雪崩、交通の乱れなどに注意するよう呼びかけている。１２日午後１０時現在の積雪の深さは、福井県大野市九頭竜２７１センチ▽滋賀県長浜市余呉町１５４センチ▽福井市９１センチ▽富山市６１センチ▽金沢市４４センチ▽兵庫県豊岡市２９センチ。１３日午後６時までの２４時間に予想される降雪量はいずれも多い所で、福井県で６０センチ、富山、石川両県で５０センチ。近畿でも北部の平野部で４０センチ、山間部で５０センチ程度の降雪が見込まれている。ＪＲ西日本金沢支社によると、１２日は特急サンダーバードが金沢－大阪間、特急しらさぎが金沢－名古屋間と金沢－米原間で終日運休となった。北陸線や氷見線の一部区間でも運転を見合わせた。同区間のサンダーバードとしらさぎは１３日も運休する。路面凍結により、大阪市阿倍野区天王寺町北１の大阪府道（天王寺バイパス）では、１２日午前５時４０分ごろから約３０分間に乗用車などが次々にスリップして衝突。府警阿倍野署によると、事故処理中のパトカーを含む計１４台が絡む事故になった。けが人はなかったが、現場付近は約５時間半にわたって通行止めになった。【椋田佳代、池田一生】"
"日本海側、１３日にかけ大雪警戒","2018年2月12日 17時59分","自然災害,気象・地震,速報,社会","強い冬型の気圧配置の影響で、日本列島は１２日、日本海側を中心に大雪となった。四国や九州の平地でも数センチの積雪があった。日本海側の大雪は１３日にかけて続く見通しで、気象庁は雪崩や交通障害、路面の凍結に注意するよう呼び掛けた。北日本（北海道、東北）と北陸の上空約５千メートルに強い寒気が流れ込み、冬型の気圧配置は１３日にかけて続く見込み。１３日午後６時までの２４時間予想降雪量は多い所で、北陸７０センチ、東北６０センチ、東海、近畿５０センチ、北海道、中国、四国４０センチ、関東甲信、九州北部３０センチ。（共同）"
"青森県の道路除排雪予算　８割使い「足らない」","2018年2月12日 10時14分","自然災害,青森県,気象・地震,速報,社会","青森県の今年度の道路除排雪予算が１月末時点で約８割、執行済みになっている。２月以降の積雪が例年並みでも足りなくなる見通しで、県は８日、約５億円を専決処分とし、除排雪費に追加した。今年度の除排雪費は約３７億５８００万円になった。昨年度から当初予算を例年より約１０億円上積みしていたが、今年度はさらに措置が必要となった。一方、青森市の今年度の道路除排雪予算も１月末時点で約２７億円のうち約８割が執行済みになっており、小野寺晃彦市長は５億円規模の補正予算を組む考えを示している。今後も降雪が見込まれることから、市は市民生活への影響を軽減するために２年ぶりに豪雪対策本部を設置した。青森市内では、除排雪パトロール班を増やして１４班で対応するほか、雪に関する相談窓口を駅前庁舎に新たに設置。市役所本庁舎と浪岡庁舎では電話による相談の受付時間を２時間延長する。また、町内会などが道路の排雪を行う場合の経費の補助割合を２分の１に引き上げる。市によると、昨年１２月１日～今年１月３１日に市民から寄せられた雪に関する相談は、雪が少なかった昨シーズンの約３倍となる３８１９件。半数以上が除排雪の要望だという。気象庁の２月１０日からの１カ月予報によると、日本海側を中心に、下北でも降雪量がかなり多くなる可能性があるという。【佐藤裕太、一宮俊介】"
