"title","date","tags","article"
"ズマ氏不信任へ　１６日にも新大統領選出","2018年2月14日 21時41分","国際,アフリカ,速報","【ヨハネスブルク小泉大士】南アフリカの与党アフリカ民族会議（ＡＮＣ）の幹部は１４日、汚職疑惑が相次ぎながら辞任を拒んでいるズマ大統領について、１５日に国民議会（下院）で不信任決議案を可決させる方針を明らかにした。１６日中にラマポーザ副大統領を後任の大統領に選出するとしている。党幹部は記者団に対し、党が決定したズマ氏に対する辞任要求は「今日（１４日）が回答期限だ。いつまでも待てない」と語った。１４日に開いた議員総会で、ＡＮＣ執行部は不信任案の審議に向けた準備を進めるよう指示した。すでに野党が提出している不信任案に修正を加え、「共同提出」の形で１５日に審議するという。南アの大統領は下院で選出。ズマ氏は２００９年５月に就任後、これまで８度の不信任案を切り抜けてきたが、議席の６割を占めるＡＮＣが賛成に回れば、可決は確実。来年の任期切れを待たずに退陣することになる。沈黙を保っていたズマ氏は１４日、国営テレビを通じて「党執行部は理由も示さず、辞任を要求してきた。不当であり、理解できない」と主張。また辞任を拒んでいるわけではなく、円滑な権限移譲には一定の「移行期間」が必要との持論を展開し、「なぜそこまで急ぐ必要があるのか」と語った。ラマポーザ氏は故ネルソン・マンデラ氏の右腕として、白人政権とのアパルトヘイト（人種隔離）政策撤廃交渉を成功に導いた。昨年１２月にＡＮＣ議長に選出され、大統領に就任すれば、政府内の汚職一掃の役割も担うことになる。"
"最高指導者がシリアに潜伏か　イラク紙報道","2018年2月14日 19時48分","アフガニスタン,リビア,フィリピン,シリア,クウェート,アメリカ,イラク,すべて表示する","【カイロ篠田航一】イラクの政府系紙アッサバハは１２日、過激派組織「イスラム国」（ＩＳ）最高指導者のバグダディ容疑者が生存し、イラク国境に近いシリア北東部の砂漠地帯に潜伏していると伝えた。イラク内務省当局者がＩＳ内部の情報源から得た「確かな情報」という。報道によると、バグダディ容疑者は足を負傷しているほか、糖尿病も患っており、一人では歩けない状態という。空爆で負傷したとみられている。バグダディ容疑者の生死を巡っては情報が錯綜（さくそう）。ロシア国防省は昨年６月、露軍による前月のシリア空爆で死亡したとの見解を示したが、米軍高官は昨年８月、「生存を示す情報」があると述べた。一方でＩＳは昨年９月、バグダディ容疑者本人の「肉声」とされる録音メッセージをインターネット上に公開し、生存を強く示唆した。米国はバグダディ容疑者逮捕につながる情報提供者に２５００万ドル（約２７億円）の懸賞金を用意し、行方を追っている。こうした中、ティラーソン米国務長官は１３日、訪問先のクウェートで「大規模な戦闘は終わったが、ＩＳは依然として深刻な脅威」と指摘。ＩＳは昨年、シリアやイラクで支配領域を失ったものの「戦闘員はアフガニスタンやフィリピン、リビア、西アフリカで安全な潜伏先を探している」との見方を示し、警戒を呼びかけた。"
"与党が大統領解任へ　ズマ氏は退陣否定","2018年2月13日 11時57分","国際,アフリカ,速報","【ヨハネスブルク小泉大士】南アフリカの与党アフリカ民族会議（ＡＮＣ）は１３日、汚職疑惑が絶えないズマ大統領を大統領職から解任する方針を決めた。ズマ氏が辞任に応じなければ、国民議会（下院）で不信任決議案を成立させる構えだ。退陣の時期を巡るギリギリの攻防が続いている。同党は１２日、最高意思決定機関の全国執行委員会を招集し、ズマ氏に「４８時間以内」の辞任を求めることを決定。ラマポーザ副大統領らが同日夜、ズマ氏と会談したが、即時退陣を拒否したため、解任の方向へカジを切った。１３日に記者会見したマガシュレ幹事長によると、ズマ氏は辞任までに３～６カ月間の「移行期間」を置くことを要求したという。解任方針決定はズマ氏に伝えられており、自ら辞任しない場合は「適切に対処する」とした。ズマ氏は１４日までに回答する姿勢を示している。南アの大統領は国民議会で選出。野党は２２日の不信任案審議を前倒しするよう主張している。６割の議席を占めるＡＮＣが賛成に回れば可決される。ズマ氏は昨年１２月にＡＮＣの議長を退任。反ズマ派の支持を受けたラマポーザ氏が新議長に就任して以降、党内で急速に辞任圧力が強まっていた。ラマポーザ氏は先週から「権限移譲」を巡ってズマ氏との交渉を続け、８日に予定されていた一般教書演説などの日程が次々と白紙に。この問題に最終的な結論を出すために開かれた全国執行委員会は１３時間に及んだ。ズマ氏は２００９年の大統領就任前から汚職関与が取りざたされ、２期の在任中もインド系富豪との癒着が報じられるなど「権力の私物化」に対する批判が噴出していた。"
"４８時間以内に大統領辞任を…与党が最後通告","2018年2月13日 10時54分","国際,アフリカ,速報","【ヨハネスブルク小泉大士】南アフリカの与党アフリカ民族会議（ＡＮＣ）は１２日夜（日本時間１３日午前）、汚職疑惑が絶えないズマ大統領に対し「４８時間以内」に辞任するよう求めた。国営南ア放送協会が伝えた。ズマ氏が拒否すれば、大統領の座から「解任」するとしている。ＡＮＣは１２日、最高意思決定機関の全国執行委員会を招集し、ズマ氏の処遇について協議。開始から約８時間半後の午後１０時半過ぎ、議長のラマポーザ副大統領らを乗せた車列が会場を出るのが目撃された。ズマ氏に最後通告を突きつけるため大統領公邸に向かったとみられ、約１時間後に会場に戻った。ズマ氏の反応は不明。南アの大統領は国民議会で選出される。ズマ氏が辞任を拒んでも、６割の議席を占めるＡＮＣが不信任決議案を提出すれば、可決される公算が大きい。ズマ氏は１４日夜までに進退を決断するよう迫られたとみられる。全国執行委員会は１３日未明も続いており、会議結果についての公式な発表はない。"
"ズマ大統領に辞任要求へ　与党ＡＮＣ","2018年2月12日 19時01分","国際,アフリカ,速報","【ヨハネスブルク小泉大士】南アフリカの与党アフリカ民族会議（ＡＮＣ）は１２日、最高意思決定機関である全国執行委員会を招集し、汚職疑惑が絶えないズマ大統領に辞任を要求することを決めた。地元メディアが伝えた。追い詰められたズマ氏の退陣は「時間の問題」（政治評論家）とみられている。ズマ氏は昨年１２月に与党の議長職をラマポーザ副大統領に引き継いで以降、求心力が著しく低下していた。党執行部は来年の総選挙までの任期を待たずに退陣するよう促したが、ズマ氏が固辞。８日に予定されたズマ氏の一般教書演説は直前に延期され、ラマポーザ氏がズマ氏との間で「権限移譲」を巡る交渉を続けていた。ラマポーザ氏は１１日、故マンデラ元大統領の生誕１００周年記念行事で演説し「この問題に最終的な結論を出す」と約束した。南アの大統領は国民議会（下院）に選出される。６割の議席を占めるＡＮＣが「解任」に踏み切れば、ズマ氏が抵抗を続けても、不信任決議案の成立を阻むのは困難となる。２００８年にもムベキ元大統領が党の辞任要求を受け、辞任を表明した。くしくも当時の解任劇を主導したズマ氏が同様の立場に追い込まれている。"
"続く報道機関攻撃　昨年の大統領選巡り混乱","2018年2月7日 11時19分","国際,アフリカ,速報","【ヨハネスブルク小泉大士】昨年の大統領選挙を巡る混乱が続くケニアで、政府によって主要テレビ局が１週間にわたり放送停止に追い込まれた。ケニア政府は放送の再開を命じた裁判所の決定に従おうとせず、国際社会からも懸念表明が相次いでいる。放送停止処分を受けた民放４局は１月３０日、野党指導者、オディンガ氏の「大統領就任式」を現場から生中継しようとして、突然放送が遮断された。マティアンギ内相は、式典は「政府転覆の試み」であり、「報道機関が違法行為に加担した」と非難した。市民団体の申し立てを受け、ナイロビ高裁は１日、ただちに放送停止処分を解除するよう命じたが、政府は応じなかった。メディア関係者でつくる「ケニア編集者組合」は、１９９０年代に１党独裁から複数政党制に移行して以来、「報道機関に対する最もひどい攻撃だ」と政府の対応を批判。ＮＴＶとＫＴＮの放送は５日午後に再開されたが、シティズンＴＶなどは６日夜も放送停止が続いている。現職のケニヤッタ大統領とオディンガ氏との事実上の一騎打ちとなった昨年８月の大統領選は、選挙管理当局がケニヤッタ氏の当選を発表したが、オディンガ氏側が票の集計作業に不正があったとして異議を申し立て、最高裁が選挙結果を無効と判断。オディンガ氏がボイコットする中で行われた１０月の再選挙でケニヤッタ氏が再選を決めた。これに対し、対決姿勢を崩さないオディンガ氏は「人民の大統領」に就任すると宣言し、先月３０日の式典を強行した。米国や欧州連合（ＥＵ）は、オディンガ氏への不支持を表明する一方で、ケニア政府に対し「表現の自由」を尊重するよう強く要請。国連も裁判所の決定に従うよう促した。ケニアのベテラン記者は「（７０年代後半から２０００年代前半まで続き、独裁と批判された）モイ政権に例える声すらある」と述べ、ケニヤッタ政権による報道機関への圧力が強まっていることに懸念を示した。"
"「肥だめ国家」非難せず　対米協調を優先","2018年1月30日 18時15分","エチオピア,アメリカ,ルワンダ,北米,速報,国際,アフリカ","【ヨハネスブルク小泉大士】トランプ米大統領がアフリカ諸国などを「肥だめ国家」と侮辱したとされる問題で、アフリカ連合（ＡＵ）の議長国を務めるルワンダのカガメ大統領は２９日、米国との協力関係を優先し、非難声明などは出さない意向を示した。エチオピアで開催されていたＡＵの首脳会議は２９日に閉幕。ＡＰ通信によると、カガメ氏は「最も重要なのは米国の大統領と会うことだ。トランプ氏が米大統領ならば、我々は彼とうまくやらなければならない」と述べた。「肥だめ」発言に対する反発はアフリカでも強く、発言を否定しているトランプ氏はＡＵ首脳らにあてた書簡で「アフリカの人々を心から尊敬する」と強調。ティラーソン国務長官が３月にアフリカを訪問すると明らかにするなど、「関係改善」に乗り出していた。"
"思い死なず　孫「弱者抑圧の今こそ学んで」","2018年1月28日 22時29分","南アフリカ,インド,パキスタン,イギリス,速報,国際,アフリカ,欧州,すべて表示する","非暴力・不服従運動を主導したインド独立の父、マハトマ・ガンジー（１８６９～１９４８年）暗殺から３０日で７０年となるのを前に、ガンジーの孫ラージモーハン・ガンジー元上院議員（８２）がインド西部ムンバイで毎日新聞のインタビューに応じた。ヘイトスピーチが世界を覆う現状に触れ「ガンジーは弱者の抑圧は恥ずべきことだと言っていた。もし生きていれば、今の世界を変えようとしただろう」と語り、現代こそガンジーの思想に学ぶべきだと訴えた。ラージモーハン氏は、ガンジーの四男デーブダース氏の長男。１０～１２歳のころ、ニューデリーに滞在する晩年のガンジーと交流を持ち、２００６年には伝記も出版した。「共に過ごす時間は短かったが、愛情深い祖父だった」と振り返る。ガンジーは、孫にも冗談交じりに哲学を語った。ラージモーハン氏がメガネを新調したときのことだ。質素な生活を尊ぶガンジーは「鼻の上に何か新しいものがあるね」とからかった。「目が悪いんです」と反論すると、「レンズは必要だが、新しいフレームは要らないね」と語ったという。暗殺の日も覚えている。父の秘書から「撃たれた」と知らされ、急いで現場に向かうと、ヒンズー教の宗教歌を口ずさむ人だかりの中、遺体が白い布に寝かされていた。「ショックだったが、驚きはなかった。祖父に対し怒っている人がいると知っていたから」ガンジーはヒンズー教徒とイスラム教徒の融和や、カースト制の最底辺に位置する「不可触民」への差別の撤廃を訴えた。だが、インドでは今も宗教暴動やカースト差別が続く。ラージモーハン氏は「多数派の一部が少数派を抑圧する権利があると思い込み、政府はそれに対して何もしない。平等なインド社会を目指したガンジーの思想に反する」と批判。米トランプ政権による移民規制などにも触れ、「弱者への抑圧は世界的な潮流となり、不名誉ではなくなってしまった。弱者は権利のために闘うべきだ」と指摘した。また「暴力は結果を生み出さない。非暴力闘争で世界に訴えるべきだ」と強調した。ラージモーハン氏はガンジー同様、人権活動家として長年、平等や宗教融和などを目指す運動に参加した。「正しい道を進もうとしたら、ガンジーと同じ道を歩んでいた」と語る。ニューデリーの貧しい小屋でガンジーと再会する夢を繰り返し見た時期があった。「インドがまたガンジーを必要としていると感じた。彼の思想は死ぬことはない」【ムンバイ（インド西部）で金子淳】【ことば】マハトマ・ガンジー本名モーハンダース・カラムチャンド・ガンジー。マハトマは「偉大なる魂」との意味の尊称。英国留学後に弁護士になり、南アフリカでインド系住民の人権活動に従事。帰国後にインド独立運動を率いた。宗教融和を重んじ、インドとパキスタンの分離独立にも反対した。インド伝統の身分制度カースト制はヒンズー教の慣習だとして容認していたが、不可触民（ダリト）への差別やカースト間の優劣を否定し、平等を説いた。４８年１月３０日、ニューデリーでヒンズー至上主義者に銃撃され７８歳で死亡。"
"兵士１４人死亡１７人負傷　武装集団が政府軍襲撃","2018年1月28日 18時42分","フランス,アフリカ,欧州,速報,国際","【ヨハネスブルク小泉大士】西アフリカのマリ北部トンブクトゥ州で２７日、武装集団が政府軍の拠点を襲撃し、少なくとも兵士１４人が死亡、１７人が負傷した。ＡＰ通信が伝えた。犯行声明は出ていないが、イスラム過激派の犯行とみられる。マリでは２０１２年に国際テロ組織アルカイダ系などのイスラム過激派が北部を掌握。１３年に旧宗主国フランスの軍事介入で都市部から放逐されたが、その後も国連平和維持活動（ＰＫＯ）部隊などへの襲撃が相次いでいる。"
"「対抗馬つぶし」加速　有力候補が撤退","2018年1月27日 17時55分","エジプト,アフリカ,速報,国際","【カイロ篠田航一】３月下旬のエジプト大統領選を巡り、シシ大統領（６３）に挑もうとした有力候補が次々に出馬を取りやめる異例の事態が続いている。２３日にはサミ・アナン元軍参謀総長が逮捕され、２４日には人権派弁護士のハリド・アリ氏が撤退を表明した。強権的なシシ政権による「対抗馬つぶし」の動きが加速している。エジプトのメディアによると、大統領選に出馬するには軍籍を外れる必要があり、アナン氏側は２０１２年に退役したと主張。だが、軍は２３日、アナン氏は軍籍を持ったままだと指摘し、当局は軍の許可なく立候補表明したことが「違法」としてアナン氏を逮捕。同氏は出馬を辞退した。アリ氏も２４日、「環境が整わない」として選挙戦からの撤退を表明した。アリ氏は昨年、「公共の場で下品な言動をした」と刑事訴追され、有罪が確定すれば立候補資格を失う可能性があった。１９８１年に暗殺されたサダト元大統領のおいのモハメド・サダト氏も「支持者の安全を確保できない」と１５日に不出馬を決めた。こうした動きに国際社会からは「選挙戦は誰もが参加できる方法で実施して」（国連のデュジャリック報道官）、「エジプト当局は立候補の自由を保障すべきだ」（国際人権団体アムネスティ・インターナショナル）など懸念の声が出ている。現職のシシ氏は２４日、立候補を選挙管理委員会に届け出た。立候補には国会議員２０人以上の支持が必要だが５００人前後の支持を固めたとされる。他にも立候補の動きはあるが、シシ氏の再選は確実視されている。立候補受け付けは今月２９日まで。選管の事前審査を経て２月下旬に正式な立候補者が決まる。投票は３月２６～２８日で、４月２日に開票結果が発表される。"
