"title","date","tags","article"
"対北朝鮮、最大限まで圧力方針確認か","2018年2月14日 22時25分","アメリカ,韓国,北朝鮮,朝鮮半島情勢,アジア・オセアニア,速報,国際,政治一般,北米","安倍晋三首相は１４日夜、米国のトランプ大統領と電話で協議した。核・ミサイル開発を続ける北朝鮮に対し、最大限まで圧力を掛ける方針を確認するものとみられる。北朝鮮が、韓国の文在寅（ムン・ジェイン）大統領に訪朝を要請するなど南北の融和ムードが高まる中、日米に韓国も加えた３カ国の連携が必要との認識についても改めて確認する模様だ。首相とトランプ氏との電話協議は今月２日以来、１９回目。【竹内望】"
"北朝鮮応援団訪韓費に３億円　協力基金から","2018年2月14日 21時37分","北朝鮮,朝鮮半島情勢,アジア・オセアニア,速報,国際","【ソウル大貫智子】韓国政府は１４日、平昌（ピョンチャン）冬季五輪のため訪韓した北朝鮮芸術団と応援団ら約４２０人分の宿泊費などとして、「南北協力基金」から計約２９億ウォン（約３億円）の拠出を決定した。国際大会に出場した北朝鮮への便宜供与額としては過去最高。統一省によると、五輪の大会入場料が高額のため、拠出額の規模も膨らんだという。金正恩（キムジョンウン）朝鮮労働党委員長の妹、金与正（キム・ヨジョン）党第１副部長ら代表団への支援は「南北会談」費として別途、拠出する。統一省によると、北朝鮮選手が参加した大会ではこれまで、釜山アジア大会（２００２年）で約２１億ウォン▽ユニバーシアード大邱（テグ）大会（０３年）で約１３億ウォン▽仁川（インチョン）アジア大会（１４年）で約９億ウォン－－の拠出をそれぞれ決定。ただ、実際に使った額は、釜山大会約１３億ウォン▽大邱大会約９億ウォン▽仁川大会約４億ウォン－－で、今回も拠出決定額を下回る見通しという。趙明均（チョ・ミョンギュン）統一相は１４日、拠出を決定する会議で、「北朝鮮が平昌五輪を通じて国際社会とコミュニケーションを図る機会になった」と評価。こうした拠出は国連安全保障理事会の制裁対象ではないとしているが、趙氏は「国民や国際社会から多くの支持だけでなく憂慮の声があり、留意する」と述べ、対北朝鮮制裁を緩和しかねないとの日米両国の懸念にも配慮する姿勢を示した。"
"最高指導者がシリアに潜伏か　イラク紙報道","2018年2月14日 19時48分","アフガニスタン,リビア,フィリピン,シリア,クウェート,アメリカ,イラク,すべて表示する","【カイロ篠田航一】イラクの政府系紙アッサバハは１２日、過激派組織「イスラム国」（ＩＳ）最高指導者のバグダディ容疑者が生存し、イラク国境に近いシリア北東部の砂漠地帯に潜伏していると伝えた。イラク内務省当局者がＩＳ内部の情報源から得た「確かな情報」という。報道によると、バグダディ容疑者は足を負傷しているほか、糖尿病も患っており、一人では歩けない状態という。空爆で負傷したとみられている。バグダディ容疑者の生死を巡っては情報が錯綜（さくそう）。ロシア国防省は昨年６月、露軍による前月のシリア空爆で死亡したとの見解を示したが、米軍高官は昨年８月、「生存を示す情報」があると述べた。一方でＩＳは昨年９月、バグダディ容疑者本人の「肉声」とされる録音メッセージをインターネット上に公開し、生存を強く示唆した。米国はバグダディ容疑者逮捕につながる情報提供者に２５００万ドル（約２７億円）の懸賞金を用意し、行方を追っている。こうした中、ティラーソン米国務長官は１３日、訪問先のクウェートで「大規模な戦闘は終わったが、ＩＳは依然として深刻な脅威」と指摘。ＩＳは昨年、シリアやイラクで支配領域を失ったものの「戦闘員はアフガニスタンやフィリピン、リビア、西アフリカで安全な潜伏先を探している」との見方を示し、警戒を呼びかけた。"
"外相辞任　プーチン氏に関し虚偽発言","2018年2月14日 19時44分","マレーシア,ウクライナ,ロシア,アジア・オセアニア,速報,国際,欧州","【ブリュッセル八田浩輔】オランダのザイルストラ外相が、ロシアのプーチン大統領に関して虚偽の発言をしていたことが明らかになり、１３日に辞任した。オランダとロシアは２０１４年にウクライナ東部で起きたマレーシア航空機撃墜事件を巡り関係が冷え込んでおり、外相が発信した「フェイク（偽）ニュース」が溝を深める事態となった。ザイルストラ氏は、０６年にプーチン氏と財界関係者との会談に同席した際の話として、プーチン氏がウクライナやバルト諸国を取り込む「大ロシア」構想を語ったと指摘。その後、会談の場にザイルストラ氏はいなかったことが分かり、ロシア側は「偽情報の広がりでロシアが非難されている」と反発。１３日にザイルストラ氏は「最大の過ちを犯した」と虚偽を認めて陳謝した。マレーシア航空機墜落事件を巡っては、オランダ主導の捜査の結果、ウクライナの親露派反政府勢力の支配地域からロシア製地対空ミサイルで撃ち落とされたとの調査結果が公表されている。同機はアムステルダム発で、死亡した乗客乗員２９８人の多くはオランダ人だった。"
"ネタニヤフ氏起訴勧告　収賄や詐欺罪など","2018年2月14日 19時35分","オーストラリア,イスラエル,中東,アジア・オセアニア,速報,国際","【エルサレム高橋宗男】イスラエル警察は１３日、２件の汚職疑惑を巡り、ネタニヤフ首相を収賄や詐欺、背任の罪で起訴するよう勧告した。正式起訴に踏み切るかどうかの判断は司法長官に委ねられる。長官の方針が決まるまで数週間から数カ月かかる見通し。ネタニヤフ氏は疑惑を否定し、辞任の意向はないと強調している。警察の声明によると、ネタニヤフ氏は米ハリウッドの大物映画プロデューサーやオーストラリアの富豪からシャンパンや葉巻、貴金属など１００万シェケル（約３０００万円）以上に相当する高額な贈り物を受け取った。また、イスラエル有力紙イディオト・アハロノトの発行人に対して、便宜を図る見返りに首相に好意的な報道を求めた。ネタニヤフ氏は１３日、国民向けの声明をテレビで発表し、「いずれ真実は明らかになる」と強調。引き続き首相として国を率いていく考えを示した。イスラエルでは、首相が警察の起訴勧告の対象となったり、違法行為で正式起訴されたりした場合でも、辞任の義務はない。"
"「米存亡に関わる脅威」情報長官が北朝鮮をけん制","2018年2月14日 10時28分","アメリカ,北朝鮮,朝鮮半島情勢,北米,アジア・オセアニア,速報,国際","【ワシントン高本耕太】コーツ米国家情報長官は１３日、上院情報委員会の公聴会に出席し、「北朝鮮が今年も追加のミサイル発射実験を強行すると分析している」と証言した。そのうえで北朝鮮の脅威に「どう対応するか決断の時期が近づいている。米国の存亡に関わる危機をはらむ問題であるとの事実を直視しなければならない」と述べ、危機感を示した。コーツ氏は「我々の目標は平和的な解決で、あらゆる手段で最大限の圧力をかけている」と述べる一方、「金正恩（キム・ジョンウン）政権は核兵器が国家安全保障に不可欠と位置づけている」とも指摘。金正恩政権が核・ミサイル放棄に向けた交渉に容易に応じる可能性は低いとの見解も示した。また、北朝鮮の李容浩（リ・ヨンホ）外相が昨秋に実施を示唆した太平洋上での水爆実験や、生物・化学兵器の開発にも憂慮を示した。また、北朝鮮が金正恩朝鮮労働党委員長の妹金与正（キム・ヨジョン）党第１副部長の訪韓など、平昌（ピョンチャン）冬季五輪を舞台に融和姿勢をアピールしていることに関し、公聴会で証言した中央情報局（ＣＩＡ）のポンペオ長官は「金与正氏が党宣伝扇動部を率いていることを忘れてはならない」と指摘。「北朝鮮の核戦略が変わったとの兆候は一切ない」と強調した。一方、サイバー工作などを用いたロシアの他国干渉について、コーツ氏は公聴会で「米国の民主主義の弱体化と社会分断を図るため、ロシアが今後もサイバー攻撃に力を入れる」と指摘したうえで、１１月に実施される中間選挙が介入の標的になると警告した。コーツ氏は、ロシアが２０１６年の米大統領選介入をはじめとするこれまでの試みを「成功ととらえ、中間選を新たな好機と見ている」と述べ、ネット上の体制宣伝（プロパガンダ）や他人になりすました情報発信、ソーシャルメディアの多用などによる世論操作や虚偽情報の流布により、影響力行使を図るとの分析を明らかにした。トランプ米大統領やプーチン露大統領はこれまで、ロシア政府による大統領選介入を事実と認定する米情報機関に対し、批判的な言動を繰り返している。"
"正恩氏「結果の積み重ねが重要」南北関係改善指示","2018年2月13日 20時46分","韓国,朝鮮半島情勢,アジア・オセアニア,速報,国際","【ソウル大貫智子】北朝鮮国営メディアは１３日、北朝鮮の金正恩（キム・ジョンウン）朝鮮労働党委員長が「和解と対話の良い雰囲気をさらに昇華させ、素晴らしい結果を引き続き積み重ねていくことが重要だ」と述べ、南北関係改善について担当機関が実務的な対策を講じるよう党幹部に指示したと伝えた。早期の南北首脳会談実現に向けた準備に着手した可能性もある。朝鮮労働党機関紙・労働新聞（電子版）は、９～１１日に訪韓した妹の金与正（キム・ヨジョン）党第１副部長は金委員長の「特命を受けて活動した」としたうえで、金委員長が代表団から報告を受けたことを写真付きのトップニュースで伝えた。同新聞などによると、金与正氏は韓国の文在寅（ムン・ジェイン）大統領らとの会談内容や、米国の動向などについて金委員長に報告。金委員長は満足の意を表し、平昌（ピョンチャン）冬季五輪に合わせて訪韓した北朝鮮代表団や応援団について「南側（韓国）が格別に重視して便宜を図り、（代表団の）活動をしっかり保証するため誠意を尽くし努力した姿が印象的だった」と謝意を表明した。米朝対話については見通しが立っていないが、韓国の文大統領は１３日、訪韓したラトビアのべーヨニス大統領との会談で「米国も南北対話に肯定的で、北朝鮮との対話の意思を示している」と述べた。"
"タイで多国間軍事演習開始　自衛隊も訓練参加","2018年2月13日 18時38分","タイ,アメリカ,北米,アジア・オセアニア,速報,国際","米軍とタイ軍が主催する東南アジア最大級の多国間軍事演習「コブラゴールド」の開会式が１３日、タイ中部のウタパオ海軍航空基地で行われた。タイ軍によると、２３日までの日程で、約３０カ国からの約１万１０００人が平和維持活動や災害救助、人道支援などの演習をタイ国内で実施する。自衛隊は約１５０人を派遣。在外邦人保護のための輸送訓練などを実施する。タイ軍のタンチャイヤン最高司令官は開会式で、訓練に参加する兵士らを激励。米国のデービース駐タイ大使は「２１世紀の治安問題を克服するためには、参加国間のあらゆるレベルで協力関係の強化が必要だ」と述べた。（共同）"
"朴槿恵氏親友　崔被告に懲役２０年判決　ソウル地裁","2018年2月13日 17時04分","国際,アジア・オセアニア,事件・事故・裁判,速報","【ソウル大貫智子】韓国の前大統領、朴槿恵（パク・クネ）被告（収賄罪などで公判中）の親友で、国政介入事件で職権乱用罪などに問われた崔順実（チェ・スンシル）被告に対する判決公判が１３日、ソウル中央地裁で開かれ、懲役２０年、罰金１８０億ウォン（約１８億円）＝求刑・懲役２５年、罰金１１８５億ウォン＝を言い渡した。崔被告側は不服として上訴する方針。判決では朴被告との共謀関係を相当部分認めており、朴被告の量刑にも影響を及ぼしそうだ。起訴状などによると、崔被告は朴被告と共謀し、財閥企業に対し、事実上私物化していた財団に計約７７４億ウォン（約７７億円）の拠出を強要。また、サムスン電子の李在鎔（イ・ジェヨン）副会長（贈賄罪などで公判中）が財団などに拠出した計約４３３億ウォン（約４３億円）の一部を賄賂として受け取った罪などに問われた。判決では、財団への拠出について崔被告と朴被告が共謀したとし、「大統領の職権を乱用して企業に出資を強要した」と断定した。一方、李副会長側からの収賄に関しても両被告の共謀を一部認めつつ、「（サムスンの）個別の懸案について明示的、黙示的請託があったと認めるのは難しい」とし、約７２億ウォン（約７億円）のみを有罪と認定した。また、崔被告が朴被告との個人的な関係を利用して国政を混乱に陥れたとし、「国政介入事件の主な責任は、国民から与えられた地位と権限を私人に与えた大統領と、これを利用して私益を追求した崔被告にある」と指摘し、朴被告の責任の重大さに言及した。判決ではこのほか、崔、朴両被告と共謀したとして青瓦台（大統領府）前政策調整首席秘書官、安鍾範（アン・ジョンボム）被告に対し、求刑通り懲役６年の判決を言い渡した。"
"春節の花火中止　バス横転事故で","2018年2月13日 15時57分","国際,アジア・オセアニア,速報","香港政府トップの林鄭月娥行政長官は１２日、多数の犠牲者が出た１０日のバス横転事故を受け、春節（旧正月）恒例の花火大会を中止すると発表した。春節を祝う花火大会は九竜半島と香港島に挟まれたビクトリア湾で行われ、香港観光の目玉イベントの一つ。今年は春節２日目の今月１７日で、約２万９０００発を打ち上げる予定だった。横転事故では１３日までに１９人が死亡した。（共同）"
