"title","date","tags","article"
"１５カ国、２％目標達成見通し　ＧＤＰ比国防費","2018年2月14日 19時57分","ウクライナ,ベルギー,ドイツ,スペイン,ギリシャ,ラトビア,エストニア,すべて表示する","【ブリュッセル八田浩輔】北大西洋条約機構（ＮＡＴＯ）のストルテンベルグ事務総長は１３日、２９の加盟国のうち少なくとも１５カ国が、２０２４年までに国防費を国内総生産（ＧＤＰ）比で２％以上とする共通目標を達成する見通しだと明らかにした。欧州同盟国に国防費の引き上げを強く求めるトランプ米政権は、１４日に始まるＮＡＴＯ国防相会議で、目標に届かない半数近くの加盟国に一層の努力を促す。ＮＡＴＯは冷戦終結後、国防費の減額傾向が続いていた。しかし、ウクライナ危機後の対露関係の悪化を受け、１４年から１０年間で国防費をＧＤＰ比２％以上に引き上げる共通目標を設定。同時に国防費の２０％を研究開発や即応性を高めるための主要装備品への支出に充てることを決めた。全加盟国の総国防支出の７割を占める米国はトランプ政権の発足後、欧州側に「責任の分担」を求める姿勢を鮮明にし、加盟国に２％目標の実現に向けた行程表の作成などを求めてきた。ＮＡＴＯによると、米国を除く２８カ国の国防支出は１５年から３年連続で増額した。１８年は米国▽ギリシャ▽エストニア▽英国▽ルーマニア▽ポーランド▽ラトビア▽リトアニア－－の８カ国が２％目標を満たす見通しだ。ストルテンベルグ氏は１３日の記者会見で「相当な進展で良いスタートだ。しかしまだ長い時間がかかる」と説明。具体的な国名は明かさなかったが、ＮＡＴＯ筋によると、２４年にも２％目標を達成できない国の中には欧州最大の経済国ドイツのほか、スペイン、ベルギーなどが含まれる。米国のハチソン駐ＮＡＴＯ大使は１３日の記者会見で、未達成国には支出の増加を促していく考えを示した上で「（全体的な支出の増加は）正しい方向に進んでいる」と強調した。"
"最高指導者がシリアに潜伏か　イラク紙報道","2018年2月14日 19時48分","アフガニスタン,リビア,フィリピン,シリア,クウェート,アメリカ,イラク,すべて表示する","【カイロ篠田航一】イラクの政府系紙アッサバハは１２日、過激派組織「イスラム国」（ＩＳ）最高指導者のバグダディ容疑者が生存し、イラク国境に近いシリア北東部の砂漠地帯に潜伏していると伝えた。イラク内務省当局者がＩＳ内部の情報源から得た「確かな情報」という。報道によると、バグダディ容疑者は足を負傷しているほか、糖尿病も患っており、一人では歩けない状態という。空爆で負傷したとみられている。バグダディ容疑者の生死を巡っては情報が錯綜（さくそう）。ロシア国防省は昨年６月、露軍による前月のシリア空爆で死亡したとの見解を示したが、米軍高官は昨年８月、「生存を示す情報」があると述べた。一方でＩＳは昨年９月、バグダディ容疑者本人の「肉声」とされる録音メッセージをインターネット上に公開し、生存を強く示唆した。米国はバグダディ容疑者逮捕につながる情報提供者に２５００万ドル（約２７億円）の懸賞金を用意し、行方を追っている。こうした中、ティラーソン米国務長官は１３日、訪問先のクウェートで「大規模な戦闘は終わったが、ＩＳは依然として深刻な脅威」と指摘。ＩＳは昨年、シリアやイラクで支配領域を失ったものの「戦闘員はアフガニスタンやフィリピン、リビア、西アフリカで安全な潜伏先を探している」との見方を示し、警戒を呼びかけた。"
"外相辞任　プーチン氏に関し虚偽発言","2018年2月14日 19時44分","マレーシア,ウクライナ,ロシア,アジア・オセアニア,速報,国際,欧州","【ブリュッセル八田浩輔】オランダのザイルストラ外相が、ロシアのプーチン大統領に関して虚偽の発言をしていたことが明らかになり、１３日に辞任した。オランダとロシアは２０１４年にウクライナ東部で起きたマレーシア航空機撃墜事件を巡り関係が冷え込んでおり、外相が発信した「フェイク（偽）ニュース」が溝を深める事態となった。ザイルストラ氏は、０６年にプーチン氏と財界関係者との会談に同席した際の話として、プーチン氏がウクライナやバルト諸国を取り込む「大ロシア」構想を語ったと指摘。その後、会談の場にザイルストラ氏はいなかったことが分かり、ロシア側は「偽情報の広がりでロシアが非難されている」と反発。１３日にザイルストラ氏は「最大の過ちを犯した」と虚偽を認めて陳謝した。マレーシア航空機墜落事件を巡っては、オランダ主導の捜査の結果、ウクライナの親露派反政府勢力の支配地域からロシア製地対空ミサイルで撃ち落とされたとの調査結果が公表されている。同機はアムステルダム発で、死亡した乗客乗員２９８人の多くはオランダ人だった。"
"社民党党首が正式辞任　後任に初の女性選任へ","2018年2月14日 19時41分","国際,欧州,速報","【ベルリン中西啓介】ドイツの国政第２党・社会民主党のシュルツ党首は１３日、記者会見し、党首を即日辞任し、アンドレア・ナーレス連邦議会（下院）党会派代表に後任を託すことを発表した。１３日の党幹部会では全会一致でナーレス氏を次期党首として、４月２２日に開かれる臨時党大会に提案することが決まった。ナーレス氏は１８６３年創立の党で初の女性党首に選任される見通し。メルケル独首相の国政会派キリスト教民主・社会同盟（ＣＤＵ・ＣＳＵ）との大連立政権継続を問う党員投票を前に、党執行部は求心力が著しく低下していたシュルツ氏を表舞台から遠ざけ、政権参加への同意を取り付けたい考えだ。ナーレス氏は１３日の記者会見で「大連立政権入りを訴えていきたい」と述べ、党員集会などで大連立賛成運動を率いる考えを示した。独メディアは当初、ナーレス氏が１３日に党首代理に就任すると伝えていたが、副党首でないナーレス氏の党首代理への昇格を問題視する声があり、見送られた形だ。"
"環境相にセクハラ騒動　追及過剰と批判も","2018年2月13日 15時55分","国際,欧州,速報","フランスの環境派活動家でテレビの人気キャスターだったユロ環境相（６２）の「セクハラ疑惑」が週刊誌で報じられ、自ら疑惑を否定するなど騒動となった。米映画界などで表面化したセクハラ問題への抗議が波及する中、検察で「不受理」とされた告訴、和解済みの案件などを週刊誌が暴露した。マクロン大統領ら政権側は、ユロ氏への支持を表明。メディア界でも「過剰な追及だ」（リベラシオン紙）などと週刊誌への批判が相次いだ。疑惑を報じたのは、１月に創刊した週刊誌「エブド」の最新号。環境保護財団の元幹部女性、有名政治家の親族が、それぞれセクハラ被害を訴えたとしている。（共同）"
"旅客機墜落７１人死亡　離陸から数分後","2018年2月11日 21時46分","国際,欧州,速報","【モスクワ杉尾直哉】ロシアの首都モスクワ南郊のドモジェドボ空港を飛び立った中部オレンブルク州オルスク行き民間旅客機（乗員６人、乗客６５人）が１１日午後２時２０分（日本時間同８時２０分）ごろ、離陸から数分後にモスクワ州ラーメン地区ステパノフスコエに墜落した。ロシアの運輸検察当局者は搭乗者全員が死亡したと明らかにした。ロシア通信などが伝えた。墜落機は、民間航空会社サラトフ航空が運航するアントノフ１４８型。オレンブルク州知事の報道官は、乗客に外国人はおらず全員が同州の住民とみられると語った。露当局が乗客らを捜索するとともに原因を調べている。タス通信によると、プーチン大統領は原因究明のための特別委員会を設置するよう政府に命じた。"
"アダムズ党首退任　シン・フェイン党","2018年2月11日 18時19分","アイルランド,イギリス,欧州,速報,国際","【ロンドン矢野純一】英領北アイルランドのアイルランドへの帰属を求めるシン・フェイン党は１０日、アイルランドで臨時党大会を開き、女性のメアリー・ルー・マクドナルド副党首（４８）を新党首に選んだ。１９８３年から３０年以上にわたり党首を務めたジェリー・アダムズ氏（６９）は退任した。シン・フェイン党は６０年代から約３０年続いた北アイルランド紛争で武装闘争を展開したカトリック系武装組織「アイルランド共和軍」（ＩＲＡ）の政治組織。ＩＲＡの元指導者で北アイルランド自治政府副首相を務めていた同党のマーティン・マクギネス氏が昨年３月に死去しており、アダムズ氏退任に伴う今回の世代交代により、武装闘争に直接関わらなかった世代が主導することになる。マクドナルド氏は就任演説で「戦争は終わった。若い世代が政治を主導する」と語った。また、「英国の欧州連合（ＥＵ）からの離脱で、（北アイルランドは）保守党の政治ゲームの巻き添えになるべきではない」と表明。ＥＵ加盟国のアイルランドへの帰属を求める運動を今後も継続するとした。北アイルランド紛争ではアイルランドへの帰属を求めるカトリック系と英国の統治継続を求めるプロテスタント系住民が衝突し、３０００人以上の犠牲が出た。９８年に和平に合意している。"
"子ども１０億人が暴力被害に　取り組み強化求める","2018年2月10日 13時22分","スイス,欧州,速報,国際","世界保健機関（ＷＨＯ）は９日、世界で２～１７歳の子どもの２人に１人に当たる約１０億人が暴力や虐待の被害に遭っていると推定されると発表した。ＷＨＯは「看過できない状況だ」と指摘、子どもへの暴力をなくすための法整備や親への支援など７項目からなる対策の指針を公表し、各国に取り組み強化を求めた。ＷＨＯによると、犯罪や紛争などによる暴力は１０～１９歳の少年の死因の２番目を占める。子どもの５人に１人以上が身体的虐待、３人に１人以上が精神的虐待を経験しているという。性的虐待は、少女の約１８％、少年の約８％が被害に遭ったことがあるとみられるとした。（共同）"
"移行期間「与えぬ」　離脱交渉難航、英をけん制","2018年2月10日 10時29分","イギリス,欧州,速報,国際","【ブリュッセル八田浩輔】英国と欧州連合（ＥＵ）の離脱交渉を巡り、ＥＵのバルニエ首席交渉官は９日の記者会見で、離脱後の激変緩和に備えた移行期間の方針に「相当な不一致」があると強調し、双方の溝が埋まらない場合は「移行期間を与えられない」と英側をけん制した。英国とＥＵは９日まで４日間の日程で、２０１９年３月末の英国離脱後の移行期間を巡る初めての事務レベルの協議を行った。交渉終了後に記者会見したバルニエ氏によると、表面化した相違点は大きく三つあるという。一つ目は、英国にいるＥＵ加盟国出身者の権利保障で、ＥＵ側は移行期間内に英国に入った人にも適用するよう要求するが、英国は離脱日までに入国した人が対象と主張している。一方、英国は移行期間内のＥＵ内相・法相会議への参加を求めているが、ＥＵ側は政策決定に英国がかかわることを拒んでいる。さらに、英国は移行期間中に設定される新たなＥＵルールからの適用除外を要請しているが、ＥＵ側は、移行期間中はあらゆるＥＵの法令に従うことを要求。違反した場合は、単一市場へのアクセス制限など制裁の仕組みを検討している。バルニエ氏は英国の要求について「理解できない」「正直に言って驚いている」と非難した上で、「残る時間は非常に短い」と述べ、英国側に妥協を迫った。英ＥＵは３月下旬にブリュッセルで開かれる首脳会議に間に合うよう移行期間について合意し、離脱後の自由貿易を巡る協議に進みたい考えだ。ＥＵ側は移行期間の期限を２０年末までの約１年９カ月で終えるべきだとしている。"
"社民党党首、入閣断念　大連立への影響懸念","2018年2月9日 23時38分","国際,欧州,速報","【ベルリン中西啓介】ドイツの国政第２党・社会民主党のシュルツ党首は９日、外相として第４次メルケル政権に入閣することを断念したと発表した。メルケル氏の国政会派キリスト教民主・社会同盟（ＣＤＵ・ＣＳＵ）との政権協定で、社民党は外相と財務相などの主要ポストを占めることで合意。だが、昨年９月の総選挙直後に「メルケル政権には入閣しない」と断言していたシュルツ氏の変節に、党内外から非難が集中していた。社民党は全党員による郵便投票で政権参加の可否を決める。シュルツ氏は９日に公表した声明で、「人事を巡る議論が投票の成功を危険にさらす」とし政権入りを断念した。シュルツ氏は既にナーレス連邦議会党会派代表に党首の座を移譲する考えを示している。"
