"title","date","tags","article"
"最高指導者がシリアに潜伏か　イラク紙報道","2018年2月14日 19時48分","アフガニスタン,リビア,フィリピン,シリア,クウェート,アメリカ,イラク,すべて表示する","【カイロ篠田航一】イラクの政府系紙アッサバハは１２日、過激派組織「イスラム国」（ＩＳ）最高指導者のバグダディ容疑者が生存し、イラク国境に近いシリア北東部の砂漠地帯に潜伏していると伝えた。イラク内務省当局者がＩＳ内部の情報源から得た「確かな情報」という。報道によると、バグダディ容疑者は足を負傷しているほか、糖尿病も患っており、一人では歩けない状態という。空爆で負傷したとみられている。バグダディ容疑者の生死を巡っては情報が錯綜（さくそう）。ロシア国防省は昨年６月、露軍による前月のシリア空爆で死亡したとの見解を示したが、米軍高官は昨年８月、「生存を示す情報」があると述べた。一方でＩＳは昨年９月、バグダディ容疑者本人の「肉声」とされる録音メッセージをインターネット上に公開し、生存を強く示唆した。米国はバグダディ容疑者逮捕につながる情報提供者に２５００万ドル（約２７億円）の懸賞金を用意し、行方を追っている。こうした中、ティラーソン米国務長官は１３日、訪問先のクウェートで「大規模な戦闘は終わったが、ＩＳは依然として深刻な脅威」と指摘。ＩＳは昨年、シリアやイラクで支配領域を失ったものの「戦闘員はアフガニスタンやフィリピン、リビア、西アフリカで安全な潜伏先を探している」との見方を示し、警戒を呼びかけた。"
"ネタニヤフ氏起訴勧告　収賄や詐欺罪など","2018年2月14日 19時35分","オーストラリア,イスラエル,中東,アジア・オセアニア,速報,国際","【エルサレム高橋宗男】イスラエル警察は１３日、２件の汚職疑惑を巡り、ネタニヤフ首相を収賄や詐欺、背任の罪で起訴するよう勧告した。正式起訴に踏み切るかどうかの判断は司法長官に委ねられる。長官の方針が決まるまで数週間から数カ月かかる見通し。ネタニヤフ氏は疑惑を否定し、辞任の意向はないと強調している。警察の声明によると、ネタニヤフ氏は米ハリウッドの大物映画プロデューサーやオーストラリアの富豪からシャンパンや葉巻、貴金属など１００万シェケル（約３０００万円）以上に相当する高額な贈り物を受け取った。また、イスラエル有力紙イディオト・アハロノトの発行人に対して、便宜を図る見返りに首相に好意的な報道を求めた。ネタニヤフ氏は１３日、国民向けの声明をテレビで発表し、「いずれ真実は明らかになる」と強調。引き続き首相として国を率いていく考えを示した。イスラエルでは、首相が警察の起訴勧告の対象となったり、違法行為で正式起訴されたりした場合でも、辞任の義務はない。"
"脱ヘジャブで抗議　女性がＳＮＳ投稿、体制批判","2018年2月14日 10時31分","国際,中東,速報","【カイロ篠田航一】イスラム教シーア派指導者による厳格な統治が続くイランで、頭部を覆うスカーフ「ヘジャブ」を脱いだ写真を女性がソーシャルメディアに投稿する動きが起きている。１９７９年のイスラム革命以降、着用を義務づけられている現状に抗議するパフォーマンスだ。治安当局はヘジャブを脱いだ女性たちを次々に拘束し、体制への不満拡大に警戒を強めている。中東の衛星テレビ局アルジャジーラなどによると、発端は昨年１２月。首都テヘラン中心部の大通りで３１歳の女性がヘジャブを脱ぎ、棒の先につるす写真が投稿された。ちょうど反政府デモが拡大した時期と重なり、写真は拡散。同様にヘジャブを脱いだ写真を投稿する女性が増え、２月上旬までに少なくとも２９人の女性が「社会秩序を乱した」などの理由で当局に拘束された。年末年始の反政府デモでは、物価上昇などの生活苦への訴えが徐々に「体制批判」に発展した。当局は今回の「脱ヘジャブ運動」がデモ再燃に直結する事態を恐れている模様だ。モンタゼリ検事総長は「子供じみた行動だ。外国勢力にあおられている」と述べた。２０１３年に保守穏健派のロウハニ大統領が就任して以来、イランでは風紀警察の取り締まりも緩和。テヘランではヘジャブを少し崩してかぶり、前髪をわざと見せる若い女性の姿も目立つ。一方で保守強硬派は欧米文化の過度な浸透を警戒し、指導部は今後、小学校での英語教育を禁止する方針も明らかにしている。"
"復興閣僚級会議、クウェートで開幕","2018年2月12日 18時45分","クウェート,アメリカ,トルコ,シリア,速報,国際,中東,北米","【ワシントン会川晴之】過激派組織「イスラム国」（ＩＳ）との約３年に及ぶ戦いが終結したイラクの復興閣僚級会議が１２日、中東のクウェートで開幕した。ティラーソン米国務長官ら各国閣僚が出席する。隣国シリアではＩＳ後も内戦に加え、トルコ、イスラエルなどの侵攻や空爆が激化して混乱が続く。両国の明暗が分かれた形だ。１４日まで開かれる。会議は、復興計画を指導する世界銀行、各国政府関係者、ＮＧＯ、イラク投資を検討する民間企業など２３００人が参加する。米国務省によると米国企業関係者１００人が出席する。イラク政府は、再建に必要な資金を１０００億ドル（約１１兆円）と見積もる。北部モスルなどＩＳとの激しい戦闘で破壊された空港、住宅、病院、道路、通信網などの再建費用と、運輸、エネルギー、農業投資などイラク全体の経済復興に必要な資金の両面での支援を期待する。９日には、今回の復興会議で海外からの投資を呼び込もうと１５７の具体的なプロジェクトを発表した。その中には（１）首都バグダッドからペルシャ湾に面する南部バスラ港（２）バグダッド－モスル（３）バグダッドの地下鉄－－などの鉄道敷設計画も含まれている。イラクは２００３年のイラク戦争や、その後の混乱で国土が荒廃。さらに１４年以後は対ＩＳとの戦いが続いた。国際石油大手（オイルメジャー）の復帰もあり、石油生産量日産４４０万バレルと石油輸出国機構（ＯＰＥＣ）ではサウジアラビアに次ぐ生産量まで復帰したものの「経済と石油価格下落という財政問題に直面している」（イラク政府高官）。米国は、軍事面では有志国連合とともに対ＩＳ戦を主導、イラク政府軍の訓練を進めた。経済面でも、産油国向けとしては初めてとなる国際通貨基金（ＩＭＦ）融資を働きかけ実現させた。財政難などを背景に政府開発援助（ＯＤＡ）の減額を打ち出したトランプ米政権は、▽世銀や民間企業の投資▽サウジやアラブ首長国連邦（ＵＡＥ）など近隣アラブ諸国からの支援－－を中心に据え、今回の復興会議では支援上積みをしない方向で最終調整している。２００３年　３月　イラク戦争開戦１１年１２月　駐留イラク米軍の撤退完了１４年　６月　ＩＳが北部モスルで「建国」宣言８月　米軍がＩＳへの空爆を開始１７年　７月　北部モスル奪還１２月　アバディ首相、ＩＳ戦終結を宣言１８年　２月　クウェートで復興会議開催"
"イスラエル軍機を撃墜　政府軍がミサイル攻撃","2018年2月10日 20時02分","イスラエル,中東,速報,国際","【エルサレム高橋宗男】イスラエル軍によると、空軍のＦ１６戦闘機が１０日、シリア軍の対空ミサイル攻撃を受け、イスラエル北部に墜落した。パイロット２人はパラシュートで脱出したが、うち１人は重体。イスラエル軍の戦闘機が撃墜されるのは極めてまれで、過去にも戦火を交えてきた両国間の軍事的な緊張激化が懸念される。イスラエル軍の発表によると、１０日未明にシリア中部パルミラ近郊のシリア空軍基地を飛び立ったイラン無人機がイスラエル領内に侵入した。イランはシリア内戦でアサド政権側を支援している。この無人機をイスラエル空軍のヘリコプターがイスラエル北部で撃墜。さらに、Ｆ１６が無人機が飛び立ったとみられるトレーラーなどを攻撃したところ、対空ミサイルによるシリア側の反撃を受けた。脱出したＦ１６のパイロット２人はイスラエル領内に着地し、病院に搬送された。イスラエル軍は無人機の飛行について「イスラエル領に対するイランの深刻な攻撃だ」と非難。無人機の飛行やＦ１６への攻撃に対する報復として、シリアの防空施設やイランが関連する軍事施設など１２カ所を空爆したと発表した。ただ軍報道官は「事態の激化は望んでいない」とも述べた。一方、シリアの国営通信によると、シリア軍は今回の事件について「イスラエルによる新たな侵略だ」と非難した。イラン側は無人機について「確認できない」としている。イスラエルは１９６７年の第３次中東戦争でシリア南部のゴラン高原を占領している。イランはシリア内戦を通じてシリアやレバノンへの影響力を拡大しており、イスラエルは警戒を深めている。イスラエルのネタニヤフ首相は先月下旬、イランと並んでアサド政権を支援するロシアのプーチン大統領に、イランがレバノン領内でミサイル工場の建設を再開したとして強い懸念を表明。イスラエルにとっては越えてはならない「レッドライン」だと表現し、イランをけん制した。"
"米軍、タリバン掃討戦を本格化","2018年2月10日 19時06分","アメリカ,アフガニスタン,中東,北米,速報,国際","【ワシントン会川晴之】米軍がアフガニスタンの旧支配勢力タリバン掃討戦を本格化させている。シリアやイラクでの過激派組織「イスラム国」（ＩＳ）との戦闘が峠を越し、アフガンへの戦力投入強化が可能になったためだ。この地域を担当する米中央軍は「アフガンが主要任務となった」と説明、２０２０年までに「支配地域を国土の８割にする」目標を掲げるガニ政権への支援を強める構えだ。トランプ政権は昨年８月、撤退を目指したオバマ前政権のアフガン戦略を転換し、事態解決までタリバンと戦うと宣言。約４０００人の兵員を順次、増派する方針も決めた。現地で作戦を指揮するヘッカー米空軍司令官（少将）は７日のテレビ会見で、▽南部カンダハル州にＡ１０対地攻撃機を配備▽ＭＱ９無人偵察機を５割増▽対ＩＳ戦に投入していた中東カタール・アルウデイド基地配備の戦闘爆撃機、Ｂ５２戦略爆撃機を派遣－－などを実施したと説明。イラクからアフガンへの部隊移動も始めたという。昨年１１月からは空爆対象をタリバンの資金源である麻薬工場にも拡大した。麻薬工場のありかを突き止めるため、情報担当者も大幅に増やしている。ただ米国内では、アフガン戦への懐疑論や撤退論がくすぶる。ドイツの年間国防費並みの４５０億ドル（約５兆円）を毎年戦費として投入しながら一向に事態改善の兆しが見えないためだ。オバマ前政権のヘーゲル元国防長官は「撤退すべきだ」と述べている。米国が勝てていない一方、タリバンも壁にぶつかっているとの見方もある。アフガン事情に詳しい米戦略国際問題研究所（ＣＳＩＳ）のセス・ジョーンズ上級顧問は「１５年の世論調査で政府支持が９２％、タリバン支持は４％。ＩＳの約６％よりも低い」と指摘。「一般市民を巻き込む激しい暴力や、イスラム原理主義的な過激な主張、麻薬取引への反発が背景にある」と見る。タリバンは１月末、首都カブールで救急車を使った自爆テロで１００人以上を殺害するなどテロを繰り返している。アフガン内に潜伏する他国のテロリストに対しても、米軍は空爆を拡大している。２月４日には中国と国境を接する北東部バダフシャン州の山岳地帯で、中国・新疆ウイグル自治区の独立を主張するウイグル族の過激派組織「東トルキスタン・イスラム運動」（ＥＴＩＭ）の訓練キャンプを初空爆した。米国は、アフガン国内に国際テロ組織「アルカイダ」やＩＳなど「２０を超すテロ組織が潜伏している」と見て、これらに対する掃討戦も同時に実施している。"
"パレスチナ訪問　「全方位外交」印象づけ","2018年2月10日 18時16分","インド,パレスチナ,中東,アジア・オセアニア,速報,国際","【エルサレム高橋宗男、ニューデリー金子淳】パレスチナ自治政府のアッバス議長は１０日、ヨルダン川西岸のパレスチナ自治区ラマラでインドのモディ首相と会談した。モディ氏が首相としてパレスチナを訪問したのは初めて。イスラエルとパレスチナの対立とは無関係に双方と関係を強化するインドの「全方位外交」を印象づける狙いがありそうだ。１０日にラマラ入りしたモディ氏はアラファト博物館を見学した後、アッバス氏と会談。教育や保健、情報技術分野でのインドによるパレスチナへの支援を確認したとみられる。インドは国内に約２億人のイスラム教徒を抱えるほか、インド系住民が多いアラブ諸国との関係も重視している。非同盟諸国をリードする形で伝統的にパレスチナ支持の姿勢を維持してきた。一方、モディ政権はイスラエルとの防衛協力も重視しており、昨年７月には首相として初めてイスラエルを訪問。今年１月にはイスラエルのネタニヤフ首相も訪印するなど、急速に関係強化にかじを切っている。インド外務省幹部は「我々はイスラエルとパレスチナを切り離し、それぞれ独立した関係を築いている」と説明しており、今回の訪問で国内外にパレスチナとの友好関係もアピールしたい考えだ。"
"中東５カ国訪問へ　シリア情勢への対応協議","2018年2月9日 18時24分","アメリカ,シリア,中東,北米,速報,国際",""
"米空爆は「戦争犯罪」　アサド政権、国連に書簡","2018年2月9日 09時29分","アメリカ,中東,北米,速報,国際","シリアのアサド政権は８日、東部デリゾール近郊で米軍主導の有志連合が政権側部隊を空爆し１００人以上が死亡したことを受けて国連に書簡を送り、有志連合による「侵略行為」と「戦争犯罪、人道に対する罪」を強く非難した。国営通信が伝えた。マティス米国防長官は８日、有志連合が支援するクルド人主体の民兵組織「シリア民主軍（ＳＤＦ）」に対し、政権側部隊が組織的な先制攻撃を仕掛けたことへの「自衛行為」だと反論した。（共同）"
"政権派１００人超死亡か　有志国連合と交戦","2018年2月8日 20時06分","アメリカ,中東,北米,速報,国際","米軍主導の有志連合は７日、シリア東部デリゾール近郊でアサド政権側の部隊を空爆し、米ＣＮＮによると政権側の１００人以上が死亡した。過激派組織「イスラム国」（ＩＳ）の掃討作戦で米軍と連携する少数民族クルド人主体の「シリア民主軍（ＳＤＦ）」の陣地に、政権側が攻撃を仕掛けたため反撃したという。米軍の攻撃で政権側に多大な死傷者が出たことで、緊張が高まりそうだ。米国防総省によると、米軍に負傷者はいない。デリゾールなどシリア東部では、ＩＳ掃討完了後の支配地域を巡り、クルド人勢力とアサド政権との対立が深まっている。（共同）"
