"title","date","tags","article"
"対北朝鮮、最大限まで圧力方針確認か","2018年2月14日 22時25分","アメリカ,韓国,北朝鮮,朝鮮半島情勢,アジア・オセアニア,速報,国際,政治一般,北米","安倍晋三首相は１４日夜、トランプ米大統領と電話で協議した。核・ミサイル開発を続ける北朝鮮に対し、圧力を最大限に高める政策を維持することを確認した模様だ。北朝鮮が、韓国の文在寅（ムン・ジェイン）大統領に訪朝を要請するなど南北の融和ムードが高まる中、「対話のための対話」には応じないとの認識もすり合わせ、北朝鮮に核放棄を迫る姿勢を改めて強調するものとみられる。首相とトランプ氏との電話協議は今月２日以来、１９回目。また、首相は１４日の衆院予算委員会で、「日米間にはお互いにサプライズはないと確認している」と述べ、北朝鮮対応で日米両政府が緊密に連携していることを強調した。平昌冬季五輪開会式出席のため、韓国を訪れていた際、レセプション前にペンス米副大統領が急きょ、首相の部屋を訪れ、意見交換した後、一緒の車でレセプション会場まで向かったことも明らかにした。また、首相は、日本の大半を射程に収める北朝鮮の中距離弾道ミサイル「ノドン」について「既に数百発配備されている」と述べた。ノドンに核搭載が可能かについては「搭載できるほど核兵器を小型化し、起爆できるかについてはさまざまな情報に接しているが、確たることは答えられない」と説明した。【竹内望、田中裕之】"
"最高指導者がシリアに潜伏か　イラク紙報道","2018年2月14日 19時48分","アフガニスタン,リビア,フィリピン,シリア,クウェート,アメリカ,イラク,すべて表示する","【カイロ篠田航一】イラクの政府系紙アッサバハは１２日、過激派組織「イスラム国」（ＩＳ）最高指導者のバグダディ容疑者が生存し、イラク国境に近いシリア北東部の砂漠地帯に潜伏していると伝えた。イラク内務省当局者がＩＳ内部の情報源から得た「確かな情報」という。報道によると、バグダディ容疑者は足を負傷しているほか、糖尿病も患っており、一人では歩けない状態という。空爆で負傷したとみられている。バグダディ容疑者の生死を巡っては情報が錯綜（さくそう）。ロシア国防省は昨年６月、露軍による前月のシリア空爆で死亡したとの見解を示したが、米軍高官は昨年８月、「生存を示す情報」があると述べた。一方でＩＳは昨年９月、バグダディ容疑者本人の「肉声」とされる録音メッセージをインターネット上に公開し、生存を強く示唆した。米国はバグダディ容疑者逮捕につながる情報提供者に２５００万ドル（約２７億円）の懸賞金を用意し、行方を追っている。こうした中、ティラーソン米国務長官は１３日、訪問先のクウェートで「大規模な戦闘は終わったが、ＩＳは依然として深刻な脅威」と指摘。ＩＳは昨年、シリアやイラクで支配領域を失ったものの「戦闘員はアフガニスタンやフィリピン、リビア、西アフリカで安全な潜伏先を探している」との見方を示し、警戒を呼びかけた。"
"ハワイで緊急着陸　エンジンカバー外れて飛行","2018年2月14日 14時28分","アメリカ,北米,速報,国際","米サンフランシスコからハワイに向かっていたユナイテッド航空機が１３日、主翼に取り付けられたエンジンのカバーが飛行中に外れ、ホノルルの空港に緊急着陸した。けが人はなく、発着便の運航にも影響はなかった。ＡＰ通信などが報じた。複数の乗客らが、むき出しになったエンジンががたがたと揺れる様子の映像や画像をツイッターに投稿し話題となった。地元テレビによると、乗客らは大きな音がしたり煙が上がったりしていたと話し「人生で最も怖いフライトだった」と振り返った。報道によると、機体はボーイング７７７。米連邦航空局（ＦＡＡ）が原因などを調べている。（共同）"
"「米存亡に関わる脅威」情報長官が北朝鮮をけん制","2018年2月14日 10時28分","アメリカ,北朝鮮,朝鮮半島情勢,北米,アジア・オセアニア,速報,国際","【ワシントン高本耕太】コーツ米国家情報長官は１３日、上院情報委員会の公聴会に出席し、「北朝鮮が今年も追加のミサイル発射実験を強行すると分析している」と証言した。そのうえで北朝鮮の脅威に「どう対応するか決断の時期が近づいている。米国の存亡に関わる危機をはらむ問題であるとの事実を直視しなければならない」と述べ、危機感を示した。コーツ氏は「我々の目標は平和的な解決で、あらゆる手段で最大限の圧力をかけている」と述べる一方、「金正恩（キム・ジョンウン）政権は核兵器が国家安全保障に不可欠と位置づけている」とも指摘。金正恩政権が核・ミサイル放棄に向けた交渉に容易に応じる可能性は低いとの見解も示した。また、北朝鮮の李容浩（リ・ヨンホ）外相が昨秋に実施を示唆した太平洋上での水爆実験や、生物・化学兵器の開発にも憂慮を示した。また、北朝鮮が金正恩朝鮮労働党委員長の妹金与正（キム・ヨジョン）党第１副部長の訪韓など、平昌（ピョンチャン）冬季五輪を舞台に融和姿勢をアピールしていることに関し、公聴会で証言した中央情報局（ＣＩＡ）のポンペオ長官は「金与正氏が党宣伝扇動部を率いていることを忘れてはならない」と指摘。「北朝鮮の核戦略が変わったとの兆候は一切ない」と強調した。一方、サイバー工作などを用いたロシアの他国干渉について、コーツ氏は公聴会で「米国の民主主義の弱体化と社会分断を図るため、ロシアが今後もサイバー攻撃に力を入れる」と指摘したうえで、１１月に実施される中間選挙が介入の標的になると警告した。コーツ氏は、ロシアが２０１６年の米大統領選介入をはじめとするこれまでの試みを「成功ととらえ、中間選を新たな好機と見ている」と述べ、ネット上の体制宣伝（プロパガンダ）や他人になりすました情報発信、ソーシャルメディアの多用などによる世論操作や虚偽情報の流布により、影響力行使を図るとの分析を明らかにした。トランプ米大統領やプーチン露大統領はこれまで、ロシア政府による大統領選介入を事実と認定する米情報機関に対し、批判的な言動を繰り返している。"
"ビック・ダモンさん死去８９歳　シナトラ氏と交流","2018年2月14日 09時47分","アメリカ,北米,速報,国際","ビック・ダモン氏（米ポップス歌手）１１日、米南部フロリダ州マイアミビーチの病院で、呼吸器疾患の合併症のため死去、８９歳。ＡＰ通信などが家族の話として報じた。２８年、ニューヨークでイタリア移民の家庭に生まれ、１０代で歌手になった。５０年代にブロードウェー・ミュージカル「マイ・フェア・レディ」の劇中歌「君住む街角」などがヒット。著名歌手の故フランク・シナトラ氏との交流で知られ、トランプ大統領とも友人だったという。（共同）"
"タイで多国間軍事演習開始　自衛隊も訓練参加","2018年2月13日 18時38分","タイ,アメリカ,北米,アジア・オセアニア,速報,国際","米軍とタイ軍が主催する東南アジア最大級の多国間軍事演習「コブラゴールド」の開会式が１３日、タイ中部のウタパオ海軍航空基地で行われた。タイ軍によると、２３日までの日程で、約３０カ国からの約１万１０００人が平和維持活動や災害救助、人道支援などの演習をタイ国内で実施する。自衛隊は約１５０人を派遣。在外邦人保護のための輸送訓練などを実施する。タイ軍のタンチャイヤン最高司令官は開会式で、訓練に参加する兵士らを激励。米国のデービース駐タイ大使は「２１世紀の治安問題を克服するためには、参加国間のあらゆるレベルで協力関係の強化が必要だ」と述べた。（共同）"
"オバマ前大統領の肖像画公開　ワシントンの美術館","2018年2月13日 08時02分","アメリカ,北米,速報,国際","オバマ前米大統領とミシェル夫人の肖像画が１２日、スミソニアン協会が運営する米首都ワシントンの美術館ナショナル・ポートレート・ギャラリーでお披露目された。歴代大統領の肖像画とともに展示される。肖像画のオバマ氏はノーネクタイの背広姿で、神妙な面持ち。周囲を緑の葉が覆い、生まれ故郷のハワイを表すジャスミンや、政治家としての出発点である中西部シカゴを象徴する菊の花も描かれている。オバマ氏はお披露目式で「なかなかしゃれているね」と笑顔。「白髪を少なめにし、耳も小さめに描くよう交渉したけど、両方とも却下されたよ」と話し、会場の笑いを誘った。（共同）"
"有償軍事援助、未精算１０００億円超","2018年2月13日 07時30分","アメリカ,政治一般,北米,速報,国際","日本政府が米国から防衛装備品を購入する有償軍事援助（ＦＭＳ）を巡り、装備納入後も米側が日本から受け取った前払い金の精算をしていない取引が、昨年度末時点で１０００億円を超えていることが分かった。米側は為替変動などを見込んで多めに前払い金を見積もる傾向があり、日本側がそれに応じているケースが大半で、年間数十億円にのぼる余剰金返還の先送りが常態化している。未精算取引額は一時減少したが、２０１５年度から増加に転じ、１６年度末に１０７２億円となっている。会計検査院は１９９７年から２０１３年までに少なくとも３度、防衛省に精算を促進するよう求めている。未精算取引のうち、日米両政府が精算の努力目標としている「装備品納入後２年」を過ぎた取引額は６２３億円あり、６割以上を占める。日本側は働き掛けを続けているが、今年度も米側の精算手続きは進んでいない。ＦＭＳの総額は１３年度の１１１７億円が１６年度には４倍以上となり、４８８１億円に増加。今後さらに未精算額が増える可能性がある。ＦＭＳは米側の見積額を前払いするのが原則。ほとんどの契約では、精算後に過払い分が日本側に返還されるが、返還額は１４～１６年度は平均約５３億円にとどまった。日本政府は０５年度に、前払い分を預ける米連邦準備銀行の口座を無利子から有利子に切り替えた。余剰金返還が遅れた際の損失を軽減する措置だ。この結果、１４～１６年度には年平均約２億７０００万円の利子が国庫に納付され、米側に利子負担が生じるようになった。防衛省は「米側への早期精算の働き掛けを強化したい」としている。【秋山信一】米国が武器輸出管理法に基づき、同盟国や友好国に最新鋭の武器や装備品を有償で提供する契約。購入国は米国側の価格見積もりや、代金の原則前払いなど、米国が提示する条件を受け入れなければならない。米国政府は契約額の３．５％を「事務手続き経費」などの名目で得ている。会計検査院はこれまでも納入時期の遅延などの問題を指摘してきた。"
"州政府に２２兆円　インフラ投資計画を発表","2018年2月13日 01時16分","アメリカ,北米,速報,国際","【ワシントン清水憲司】トランプ政権は１２日、インフラ投資拡充に向けた計画を発表した。今後１０年間で連邦予算から２０００億ドル（約２２兆円）を州政府などへの補助金や融資として拠出し、地方・民間資金と合わせ総額１．５兆ドルの投資を目指す。ただ、大型減税や国防費増額で財政赤字が急拡大する見通しで、財源の確保には困難が伴いそうだ。ホワイトハウスによると、政府拠出金２０００億ドルのうち１０００億ドルはインフラ投資計画の実施を促すため、州政府などに対して事業額の２割を上限に補助金として交付する。５００億ドルを特にインフラが不足する地方に投じたり、先進的な事業や自治体向け融資にもそれぞれ２００億ドルを充てたりする。これをテコに地方・民間資金をインフラ投資に呼び込む狙いだ。米国では道路や橋、港湾などインフラの老朽化が進んでおり、今回のインフラ投資計画は政権にとって、今年実施した大型減税に続く経済政策。さらに２０１９会計年度（１８年１０月～１９年９月）予算教書の目玉とする考えだ。ただ、大型減税のほか、今月９日にも国防費を中心に今後２年間の歳出上限を約３０００億ドル分引き上げたばかりで、財政状況は急激に悪化しつつある。マルバニー行政管理予算局長は１１日、米テレビ番組で１９年度の財政赤字が１兆ドル規模に膨らむとの見通しを明らかにし、「金利が急上昇する恐れがある」と語った。トランプ政権はほかの歳出を削減して財源を工面する方針だが、米国では予算編成権は議会にあるため、今回の計画も政権からの提案にとどまる。ここのところ、金利上昇への懸念が株価急落につながっており、想定通りの財政拠出ができるかは不透明な情勢だ。"
"日米中などと調整に着手　南北首脳会談実現向け","2018年2月12日 18時55分","韓国,アメリカ,中国,北朝鮮,朝鮮半島情勢,速報,国際,北米,アジア・オセアニア","【ソウル大貫智子】北朝鮮の金正恩（キム・ジョンウン）朝鮮労働党委員長が妹の金与正（キム・ヨジョン）党第１副部長を通じて韓国の文在寅（ムン・ジェイン）大統領の早期訪朝を要請したことを受け、韓国政府は南北首脳会談実現に向け、日米中など主要国との調整に着手した。韓国政府は首脳会談開催には米朝対話再開などの「条件」が整うべきだとしており、近く北朝鮮に特使を派遣するとの観測も出ている。一方、北朝鮮メディアは、２泊３日にわたった金与正氏の訪韓を大々的に報道するなど南北融和姿勢を鮮明化。当面の課題は、平昌（ピョンチャン）五輪・パラリンピック後の４月に延期された米韓合同軍事演習を予定通り実施するかどうかだ。春先をにらみ、関係各国の綱引きが激しくなりそうだ。金与正氏ら北朝鮮代表団は１１日夜、空路で平壌へ到着。１２日は韓国内で２度公演した「三池淵（サムジヨン）管弦楽団」も陸路、北朝鮮へ戻った。韓国統一省は１１日、代表団の一連の訪韓を受けて「南北関係改善のための北朝鮮の意思が大変強い」と評価。「必要な場合、前例のない果敢な措置を取ることができる」と核・ミサイル問題でも進展がありうるとの期待感を示した。南北首脳会談については「今後条件が成立すれば、南北首脳間で朝鮮半島の問題や南北関係の懸案に対する包括的な協議が可能となる端緒が整った」と実現に向けた強い意欲をにじませた。日米両国は、北朝鮮が核・ミサイル開発放棄の意思を全く示していない状況での首脳会談に警戒感を示しており、韓国政府は関係各国との協議を急ぐ。訪韓していた大島理森衆院議長と１２日会談した李洛淵（イ・ナギョン）首相は「非核化を除いて対話することはありえない。非核化のために対話がある」と述べ、日米両国などと連携する考えを強調した。統一省の白泰鉉（ペク・テヒョン）報道官は１２日の定例会見で、「韓米間で緊密に共助している」と言及。さらに千海成（チョン・ヘソン）統一省次官が▽１３日に長嶺安政・駐韓日本大使▽１４日には邱国洪・駐韓中国大使と、それぞれ会談すると発表した。ただ、米側は４月に米韓合同軍事演習を実施するとの立場だ。演習が再開された場合、米朝間の緊張が再び高まり、南北首脳会談実現は困難となるため、与党からは早期に特使を派遣し、米国との対話に臨むよう説得すべきだとの声も出ている。１１日に空港で北朝鮮代表団を見送った趙明均（チョ・ミョンギュン）統一相が「いったん別れるのであり、私がまた平壌に行くなりして再会できるようにする」と述べたことなどから、趙氏が３月中に訪朝するとの見方も出ている。一方、朝鮮労働党機関紙・労働新聞（電子版）は１２日付で、金与正氏と文大統領が１１日、ソウル市内で三池淵管弦楽団の公演を共に観覧したとの記事と写真を１面に掲載。公演に先立つ会食を「終始和気あいあいとした雰囲気で進められた」と伝えた。"
