"title","date","tags","article"
"北朝鮮船籍タンカーが瀬取りか　制裁逃れの疑い","2018年2月14日 23時20分","北朝鮮,ベリーズ,朝鮮半島情勢,中南米,アジア・オセアニア,速報,国際","政府は１４日夜、東シナ海の公海上で、北朝鮮船籍のタンカーがベリーズ船籍のタンカーに横付けしている現場を確認したと発表した。北朝鮮に対する国連安全保障理事会の決議で禁止された物資を積み替えていた疑いが強いとみている。海上自衛隊のＰ３Ｃ哨戒機が１３日未明に確認した。現場海域は、中国・上海の東約２５０キロの沖合。すでに、国連安保理制裁委員会に報告し、米国など関係国にも情報を提供した。洋上で貨物を積み替える形で制裁を逃れる行為は「瀬取り」と呼ばれている。政府は先月２０日にも、東シナ海の公海上で北朝鮮船籍のタンカーとドミニカ船籍のタンカーによる積み荷の受け渡しを確認している。【仙石恭】"
"ベネズエラ大統領招待せず…ホスト国ペルー","2018年2月14日 18時40分","ベネズエラ,ペルー,中南米,速報,国際","４月に予定される米州首脳会議のホスト国、南米ペルーのアルホビン外相は１３日、野党連合の反対を押し切って大統領選の前倒し実施を決めた反米左翼ベネズエラのマドゥロ大統領について「首脳会議では歓迎されない」と述べ、招待を取り消す方針を示した。マドゥロ氏側は出席の意向を示していた。（共同）"
"カーニバル・パレード始まる　サンバで魅了","2018年2月10日 17時03分","国際,中南米,速報","【サンパウロ山本太一】ブラジル全土で開催される夏の祭典カーニバルのパレードが９日夜（日本時間１０日朝）、サンパウロの会場で始まった。未明まできらびやかな衣装のダンサーがサンバを踊り、集まった多くの観光客や市民を魅了した。パレードのトップバッターはサッカー１部リーグのサンパウロＦＣの支援者らが１９８７年に設立した「インディペンデンテ」。ダンサーや楽器隊ら約２６００人がサンバの踊りと演奏を披露した。１０日夜もパレードは続き、計１４チームが華やかさや美しさを競う。サンパウロ市は小規模なパレードを含む３～１８日のカーニバル期間中、４００万人の観客が訪れると見込む。サンパウロより有名なリオデジャネイロのパレードは１１、１２日に開かれ、計１３チームが参加する。"
"リオのカーニバル開幕　サンバの熱気１５０万人","2018年2月10日 07時56分","国際,中南米,速報","南米最大の真夏の祭典、ブラジル・リオデジャネイロのカーニバルが９日開幕した。１４日までの期間中、街はサンバのリズムと踊りの熱気に包まれる。市当局は国内外から約１５０万人の観光客が訪れ、経済効果は約３５億レアル（約１１５２億円）に上ると見込む。昨年就任した保守的なプロテスタント教徒のクリベラ市長は世俗的なカーニバルと距離を置き、ことしはサンバのトップチームへの補助金を半減した。１３のトップチームはメイン会場サンボドロモで１１、１２日の２夜連続で朝までパレードを披露し、山車や衣装、踊りを競う。（共同）"
"ベネズエラ原油輸入制限か　国務長官、制裁を示唆","2018年2月8日 18時50分","ベネズエラ,ペルー,アルゼンチン,カナダ,ジャマイカ,アメリカ,スペイン,すべて表示する","【サンパウロ山本太一】米国が、独裁色を強める南米ベネズエラのマドゥロ政権に対し、新たに基幹産業である石油分野の制裁を検討している。中南米歴訪中のティラーソン国務長官は７日、「近く制裁するかどうか決定する」と述べた。欧州連合（ＥＵ）も制裁を強化しており、マドゥロ政権の国際的な孤立が深まっている。ロイター通信によると、ティラーソン氏は米国、メキシコ、カナダの３カ国が、ベネズエラから安価な石油を輸入してきたカリブ海諸国を支援することで合意したと明らかにした。ジャマイカへの機中で７日、記者団に述べた。こうした国々に対してベネズエラからの石油の輸入制限などを求めたとみられる。米国もベネズエラ産原油を輸入しており、トランプ政権はこれまで、自国経済への影響も考慮し石油を対象にした制裁は見送ってきた。だが、ティラーソン氏は４日、訪問先のアルゼンチンの首都ブエノスアイレスでベネズエラ産原油の輸入制限を検討していると表明。「何もしないことはベネズエラ国民にさらに長い間、苦しみに耐えるよう求めることだ」と語り、マドゥロ氏や閣僚ら４０人以上の資産凍結など実施中の制裁に加え、石油制裁の必要性を強調した。ＥＵも昨秋に発表した武器禁輸に続いて今年１月、ベネズエラの閣僚ら７人の資産凍結や渡航禁止などの制裁を決めた。直後にマクロン仏大統領が「欧州レベルで新たな制裁の必要性を検討しなければならない」と強調。ＥＵに制裁を求めていたスペインは同国駐在のベネズエラ大使の追放を発表し、欧州でも非難が高まっている。一方、昨年のインフレ率が２６００％（国会発表）を超え経済危機が深刻化する中、マドゥロ政権は７日、大統領選を前倒しして４月２２日に実施すると表明。再選を狙うマドゥロ氏は、財政破綻したり、野党の準備が整ったりする前の選挙ならば自身に有利になると判断したとみられる。またマドゥロ政権は６日、ペルーの首都リマで４月に開かれる米州首脳会議にマドゥロ氏が出席すると発表。南北米大陸の指導者が集まるが、多くはマドゥロ政権に批判的だ。"
"故カストロ氏の長男が自殺","2018年2月2日 11時51分","国際,中南米,速報","キューバ政府系メディアによると、キューバの故フィデル・カストロ前国家評議会議長の長男フィデル・カストロ・ディアスバラルト氏（６８）が１日、自殺した。数カ月前から重いうつ状態で治療を受けていたという。１９４９年、首都ハバナ生まれ。原子力が専門の科学者で、国家評議会科学顧問を長年務めていた。（共同）"
"フジモリ派が分裂　大統領選に影響も","2018年2月1日 07時58分","国際,中南米,速報","南米ペルーからの報道によると、フジモリ元大統領（７９）の次男ケンジ議員（３７）が１月３１日、姉のケイコ氏（４２）が党首を務める政党「フエルサ・ポプラル」に仲間９人と共に離党届を出したと発表した。フジモリ派の分裂により、２０２１年の次期大統領選で別々に立候補する可能性が強まった。軍による人権侵害事件で禁錮刑に服し、昨年末に政府から恩赦を受けたフジモリ元大統領の対応が注目される。フエルサ・ポプラルは昨年、汚職疑惑が浮上したクチンスキ大統領に対する罷免決議案を提出。しかしケンジ氏らの造反で否決され、３日後に元大統領が恩赦を受けた。（共同）"
"ナスカの地上絵一部破損　トラックが進入","2018年1月31日 21時23分","国際,芸術・文化,中南米,話題,速報,カルチャー","南米ペルーの文化省は３１日までに、世界遺産「ナスカの地上絵」が描かれた砂地にトラックが進入し、絵の一部が破損したと発表した。文化省は警察に被害届を出し、運転手が逮捕された。発生は２７日夕。同省の調査で、縦約１００メートル、横約５０メートルにわたる範囲で深い走行痕が確認され、三つの地上絵に破損がみられた。地元メディアによると運転手はＵターンするために進入したと話している。普段からトラックやバイクなどの進入が後を絶たないという。地上絵は傷みが激しく、政府は立ち入りを厳しく制限している。（共同）"
"キューバのグアンタナモ収容所維持を表明","2018年1月31日 19時43分","アメリカ,キューバ,中南米,北米,速報,国際","【ワシントン会川晴之】トランプ米大統領は３０日、キューバのグアンタナモ収容所の維持を決め、マティス国防長官に指示した。一般教書演説で明らかにした。過激派組織「イスラム国」（ＩＳ）などとの「テロとの戦い」を進める上で必要と判断した。オバマ前政権は、収容所の早期閉鎖を命令しており政策転換を図る。トランプ氏は演説で、過去の政権が「愚かにも、数百人のテロリストを釈放した。彼らは再び戦場に戻った。ＩＳのバクダディ指導者もその一人だ」と述べた。また、取り調べの強化策を検討するよう命じた。グアンタナモ収容所は、２００１年９月の米同時多発テロを受け、ブッシュ（子）政権が開設し、米軍などがアフガニスタンなど海外で拘束した約７００人を収容した。だが、収容者の人権を無視した過酷な扱いや、無実の市民がテロリストとして拘束される事態が相次いだことから批判を浴びた。ブッシュ氏自身も早期閉鎖を公言し、約５３０人を釈放した。オバマ前政権は０９年に閉鎖を決めたが、約２５０人（当時）の収容者を米国に移送した場合、米国憲法が適用されて収容者の権利が大幅に増えるなどの問題に直面。他国への移送作業も難航したため、現在も約４０人が収容されている。取り調べ方法についてトランプ氏は大統領就任前、かつて採用された「水責め」などの拷問を復活させる考えを主張。これに対しマティス氏が拷問復活に反対したため見送られた経緯がある。"
"ルラ元大統領、控訴審も有罪　返り咲き出馬困難","2018年1月25日 10時25分","国際,中南米,速報","【ポルトアレグレ（ブラジル南部）山本太一】収賄罪などに問われたブラジルのルラ元大統領（７２）に対し、南部ポルトアレグレの連邦裁判所は２４日、禁錮１２年１月の控訴審判決を言い渡した。ルラ氏が立候補表明していた１０月の大統領選出馬は難しくなった。世論調査では圧倒的な支持を得て本命とみられていただけに、選挙戦の見通しは不透明になった。ルラ氏は２４日、「何の罪も犯していない」と改めて無罪を主張。所属する左派の労働党はルラ氏を候補とする考えに変わりないと表明した。ルラ氏は判決を不服として上訴する見通し。ブラジルの法律では控訴審で有罪判決を受けると、立候補できなくなるが、上級審や選挙裁判所が判断を覆す可能性も残る。１審は昨年７月、禁錮９年６月の判決を言い渡した。控訴審の裁判官３人全員が１審の有罪認定を支持し、「大統領が関与した罪は極めて重い。民主主義を危うくした」として量刑を重くした。判決によると、ルラ氏は大統領在任中の２００９年、ブラジルの大手建設会社ＯＡＳが国営石油会社ペトロブラスから工事を受注する便宜を図り、見返りに高級マンション１戸を譲渡された。ＯＡＳからの賄賂総額はマンション購入費や改装費など３７０万レアル（約１億３０００万円）に上る。ルラ氏は「不動産契約書などの書類に自分の名前はなく、賄賂を受け取った証拠はない」と主張したが、退けられた。ルラ氏は０３～１０年の在任中、低所得家庭への支援事業など貧困層へ手厚い政策を実施し、今も人気が根強い。調査会社「ダッタフォーリャ」が昨年１２月に発表した大統領選の世論調査によると、ルラ氏の支持率は３４％で、１７％の右派ボウソナロ下院議員（６２）を大きく引き離し首位に立っている。ルラ氏は第１回投票を１位で通過し、上位２人による決選投票で小差で勝つとみられていた。ポルトアレグレやサンパウロではルラ氏の支持者ら１万人以上が判決に抗議するデモを行い、「ルラ氏抜きの大統領選は詐欺だ」と気勢をあげた。ポルトアレグレの集会に参加した会社員のリジアさん（５４）は毎日新聞の取材に「判決はルラ氏を陥れる政治的な陰謀だ」と話した。一方、ルラ氏の反対派はサンパウロなどで判決を支持する集会を開いた。"
