"横浜の農薬工場で火事　従業員１人けが","2018年2月12日12時42分","社会,事件・事故・裁判,神奈川","１２日午前９時ごろ、横浜市神奈川区恵比須町の「エス・ディー・エス　バイオテック」の５階建て工場から出火。男性従業員１人がけがをし、病院に運ばれた。火は午後０時５分に鎮火した。神奈川署や横浜市消防局によると現場は工場群の一角で、４９台の消防車が出動した。同社は農薬などを作っているが、有毒なガスの発生などによる避難指示などは出ていないという。同署などが出火原因を調べている。（鈴木孝英）"
"福岡の警官、同期の結婚式後に酔ってガラス割った疑い","2018年2月12日07時56分","社会,事件・事故・裁判","福岡市内のマンションで窓ガラスを割ったとして、福岡県警は１２日、南署刑事２課知能犯係の巡査長（２９）を建造物損壊の疑いで現行犯逮捕し、発表した。「やっていない」と容疑を否認しているという。監察官室によると、巡査長の逮捕容疑は１２日午前０時３５分ごろ、福岡市中央区大名１丁目のマンション玄関ロビーの窓ガラス１枚（縦約１８０センチ、横約４０センチ）を壊したというもの。近くの飲食店従業員がガラスの割れる音を聞いて外に出た際、巡査長を発見。現場から離れたため、後を追いながら１１０番通報した。駆けつけた警察官が職務質問し、逮捕した。巡査長は調べに対し、１１日午後にあった同期の結婚式に出席したと説明。検査したところ、呼気１リットルあたり０・６ミリグラムのアルコールが検出されたという。落合喜久司・首席監察官は「警察官が逮捕されたことは誠に遺憾。県民に深くおわび申し上げます」とコメントした。県警では昨年不祥事が相次ぎ、２００５年以降で最多の計２３人が懲戒処分を受けている。（藤山圭）"
"屋根で雪下ろし男性死亡　福井、死者５人・重軽傷６２人","2018年2月11日20時34分","社会,事件・事故・裁判,福井","記録的な豪雪に見舞われた北陸地方などで再び大雪の恐れが強まっている。気象庁によると、北陸の多いところで１２日午後６時までの２４時間に予想される降雪量は８０センチ。１３日午後６時までの２４時間では６０～８０センチの降雪が予想されている。「今回の雪下ろしは悪条件」　北陸の豪雪、専門家が指摘１１日午後６時現在、福井市で８２センチ（平年１９センチ）、金沢市で３６センチ（同１３センチ）と、平年の３～４倍近い雪が残っている。さらに降雪が予想されることから気象庁では大雪や路面凍結による交通障害、ふぶき、雪崩などに注意を呼びかけている。福井県越前市では１０日、平屋住宅の屋根で雪下ろしをしていた運送会社役員大友修一さん（６８）の妻から「夫が落ちて倒れている」と１１９番通報があった。県警によると、大友さんは病院に搬送されたが、１１日未明に死亡が確認された。福井市内では１０日、除雪作業中の重機の運転席で男性作業員（６６）が心肺停止状態で見つかり、その後死亡が確認された。県警によると病死とみられるという。県災害対策本部の１１日午後５時現在のまとめによると、大雪の影響による５日以降の県内の死亡者は５人、重軽傷者は６２人に上った。ピークがいったん過ぎた９、１０日に除雪や雪下ろしの作業に取りかかった人が多く、重軽傷者６２人のうち両日に屋根からの転落などでけがをした人は２８人を占めた。"
"新幹線台車亀裂に厳しい声　宝塚線被害者にＪＲ西説明会","2018年2月11日16時12分","社会,事件・事故・裁判","ＪＲ西日本は１１日、２００５年４月に１０７人が死亡したＪＲ宝塚線（福知山線）脱線事故の被害者に対する説明会を開いた。事故後の安全対策や現場保存について報告する年１回の会で、今回は昨年１２月に新幹線の台車に亀裂が入った状態で運行を続けた重大インシデントについても説明。出席者からは「脱線事故の反省が生かされず、安全最優先の運行になっていない」などと厳しい声が上がった。会は非公開で、来島（きじま）達夫社長ら幹部が説明。出席者によると、ＪＲ西側は、多くの異常を認識しながら運行を止められなかったことについて保守担当と指令の車両の状況認識にずれがあり、運行停止の判断を互いに依存していたことなどを課題に挙げた。その上で、指令と乗務員の連携を強化し、判断基準の明確化などの新たな対策を進めていることを報告し、安全が確認できない場合は「迷わず列車を止める」と説明した。また、脱線事故を教訓に定めた「安全考動計画」を更新し、来年度から５年間で取り組むという内容の説明もあったという。脱線事故で次女が重傷を負った三井ハルコさん（６２）＝兵庫県川西市＝は説明会後、「実際に起こる前に問題に気づくことができる態勢を作ることが大切。ＪＲ西の社員一人ひとりが自分の責任と権限で、安全を最優先できる仕組みを作ってほしい」と話した。"
"住宅火災で男性死亡、妻は意識不明　兵庫・加古川","2018年2月11日12時06分","社会,事件・事故・裁判,兵庫","１０日午後９時５分ごろ、兵庫県加古川市平岡町新在家の野辺成昭さん（７９）方付近から出火、鉄筋コンクリート２階建て住宅の１階部分が焼けた。兵庫県警加古川署によると、２階にいた成昭さんが病院に搬送され、まもなく死亡。妻の鈴代さん（７０）はのどをやけどするなどし、意識不明の重体となっている。"
"ヘリ墜落、直撃の２軒のほか７件で被害　陸自が確認","2018年2月11日11時54分","社会,事件・事故・裁判,政治,国政","佐賀県神埼市で陸上自衛隊のＡＨ６４Ｄ戦闘ヘリコプターが墜落した事故で、陸自は１１日、同日午前８時までに、墜落したヘリが直撃した民家２軒のほかに、現場から約２００メートルの範囲で７件の被害が出ているのを確認したことを明らかにした。ヘリの部品が屋根を貫通したり、倉庫の壁に穴があいたりしているという。防衛相、佐賀県知事に謝罪　陸自ヘリ墜落事故小野寺五典防衛相が同日、墜落事故の謝罪のため、佐賀県の山口祥義知事と会談した際に提出した資料で示した。陸自は、１０日から約１千人態勢で、ヘリの飛行経路にあたる約８キロで、落下物や被害がないか調査している。"
"防衛相、佐賀県知事に謝罪　陸自ヘリ墜落事故","2018年2月11日10時57分","社会,事件・事故・裁判,政治,国政","佐賀県神埼市で陸上自衛隊のＡＨ６４Ｄ戦闘ヘリコプターが住宅に墜落した事故で、小野寺五典防衛相は１１日午前、佐賀県庁で山口祥義知事と会談した。小野寺氏は「防衛省自衛隊として改めておわび申し上げる」と謝罪。山口知事は「最近、部隊関係の事故が多いように感じる。民間人を巻き込んではならないことを肝に銘じて欲しい」と応じた。ヘリ墜落、直撃の２軒のほか７軒で被害　陸自が確認防衛相、被害家族らに謝罪　ヘリ墜落事故後初の現地入り会談で知事は「今回の事故が起きたのは、小学校や幼稚園が立地する住宅地だ。大変憂慮している」と指摘。防衛相に対し、①原因究明②再発防止策の徹底③被害家族や住民への丁寧な対応の３点を要請した。これに対し、小野寺氏は原因究明について「（検証に）学識者も入って早急に結果を出して報告する」と強調。被害者への補償も「防衛省を挙げて誠心誠意対応する」と述べた。（相原亮）"
"「入院より在宅」促進　診療報酬改定、遠隔診療も拡大","2018年2月10日23時44分","社会,事件・事故・裁判,医療・健康・福祉（アピタル）","医療機関で治療を受けたり、薬を出してもらったりする時の４月からの値段が７日、決まった。医療ニーズが急増する「２０２５年問題」を乗り切るため、患者がなるべく入院せずに住み慣れた自宅や施設で治療を受けられる体制づくりを一層加速させる内容だ。遠隔診療の対象も広がる。中央社会保険医療協議会（中医協＝厚生労働相の諮問機関）がこの日、医療サービスの公定価格となる診療報酬の個別の改定内容を決め、答申した。診療報酬は２年に１度見直す。政府は昨年末、全体で１・１９％引き下げると決定。治療代などの「本体」は０・５５％引き上げ、薬代の「薬価」などは１・７４％引き下げるとした。中医協はこの範囲に収まるよう値段を決めた。原則１～３割の患者の自己負担額も変わる。今回の改定は、団塊の世代がすべて７５歳以上になる２５年を強く意識したものになった。今の年約４２兆３千億円から健康保険組合連合会の推計で約５７兆８千億円に膨らむとされる国民医療費をいかに抑えるかが課題だ。患者の急増で入院中心では受け皿が足りなくなる恐れもある。在宅の患者を支えるための柱は、２４時間診療に応じられる新たな仕組みだ。地域の複数の診療所などが連携し、２４時間連絡がついて往診できる体制を築いたら報酬を患者１人当たり月２１６０円加算する。スマートフォンやパソコンを通じて診察する遠隔診療は、保険対象を拡大する。対面診療と適切に組み合わせ、診察や日常生活の指導などをした場合の報酬を新設する。糖尿病といった生活習慣病患者の利用などを想定し、訪問診療や外来の代わりとしても使ってもらう狙いだ。１回当たりの治療代は安くなり、生活習慣病なら対面の２割ほどになる。国民医療費の４割ほどを占める入院費の新たな抑制策も打ち出した。急性期向けで患者７人に対して看護職員１人と最も配置が手厚く、報酬が高い「７対１病床」は高齢化による慢性疾患患者の増加でニーズが下がっているが、なかなか減らない。次に手厚い病床との入院基本料の差額が大きいためで、二つの基準を残しつつ基本料を７段階に細分化し、診療実績も加味して支払う基本料を決める。多死社会の本格化を前に、いまは８割が医療機関で亡くなっている「みとり」に備える見直しもした。６年に１度の同時報酬改定となった介護とも連携。患者の住み慣れた特別養護老人ホーム（特養）で外部の医師がみとった場合、医師側も特養側も報酬を受け取れるようになる。（水戸部六美）"
"ＳＮＳで架空請求、コンビニ払い狙う　収納代行悪用急増","2018年2月10日23時06分","社会,事件・事故・裁判,テック＆サイエンス","「収納代行」を悪用した新たな架空請求詐欺の手口が急増している。警察庁によると、昨年の被害は９２４件（被害総額８億３千万円）に上る。収納代行は、コンビニで十数桁の番号を店員に伝えたり、店内の端末に入力したりしてネット通販などの代金を収納代行業者を通じて支払うことができるサービス。番号は商品の注文時に「コンビニ払い」を選べば利用者に通知される仕組みだ。警察庁によると、犯人側は電子マネーのギフト券などをネット通販で注文して収納代行に必要な番号を入手。一方で「有料サイト利用料が未納」などとする虚偽の内容のショートメールを、不特定多数に送りつける。反応があった人に収納代行に使う番号を伝え、コンビニで支払わせる。被害者は有料サイトの利用料を支払ったつもりが、犯人側の買い物代を支払わされてしまう形だ。架空請求詐欺ではここ数年、被害者にコンビニでプリペイド式電子マネーを買わせて、記載された番号を聞き出し、犯人側が電子マネーを使う手口が目立っていた。ただ１枚の利用額の上限があり、多額の電子マネーを詐取するには被害者に大量に購入させる必要があり、店員に不審に思われるリスクがあった。このため、一度に１０万円以上の支払いもできる収納代行が狙われていると警察庁はみている。警察はコンビニなどと連携し、店内の端末に注意喚起表示をするなどの対策を進めている。（浦野直樹）"
"２１歳女性、首絞められ死亡　殺人未遂容疑で母親を逮捕","2018年2月10日23時00分","社会,事件・事故・裁判","娘を殺害しようとしたとして、警視庁は１０日、東京都昭島市田中町３丁目、無職清水悦子容疑者（６３）を殺人未遂の疑いで現行犯逮捕し、発表した。娘は搬送先の病院で死亡し、同庁は容疑を殺人に切り替えて詳しい動機などを調べる。清水容疑者は「殺そうとしたことは間違いない」と容疑を認めているという。昭島署によると、清水容疑者は１０日午後２時ごろ、自宅の集合住宅の一室で、長女で無職の萌さん（２１）の首を絞めて殺そうとした疑いがある。「子どもに手をかけた」という内容の電話を受けた都内の報道機関から同日午後２時２０分ごろに１１０番通報があり、駆けつけた署員が室内で首にネクタイが巻きつけられた状態で倒れている萌さんを発見した。萌さんは約２時間後に死亡が確認された。清水容疑者は萌さんと夫の３人暮らしで、夫は事件当時は外出中だったという。現場はＪＲ昭島駅の南西約３キロの多摩川沿いにある集合住宅の一角。"
